
[00:00:00.040 --> 00:00:14.060]   QUINN SLACK:
[00:00:14.060 --> 00:00:15.060]   QUINN SLACK: Great to see you all.
[00:00:15.060 --> 00:00:16.260]   Again, I'm Quinn Slack.
[00:00:16.260 --> 00:00:18.480]   I'm CEO and co-founder here at Sourcegraph.
[00:00:18.480 --> 00:00:20.400]   And yes, I was at Bleach Report.
[00:00:20.400 --> 00:00:23.120]   I think I learned I'm better coding than doing sports.
[00:00:23.120 --> 00:00:25.240]   So I'm in the right role here.
[00:00:25.240 --> 00:00:30.220]   I want to talk to you about why most devs still do not
[00:00:30.220 --> 00:00:31.160]   use code AI.
[00:00:31.160 --> 00:00:33.620]   It's probably a mind-boggling fact to all the people in this room,
[00:00:33.620 --> 00:00:35.020]   but it's true.
[00:00:35.020 --> 00:00:37.300]   And we'll have a good discussion about that.
[00:00:37.300 --> 00:00:37.960]   I'm a coder.
[00:00:37.960 --> 00:00:39.200]   I code all the time.
[00:00:39.200 --> 00:00:42.780]   Been building Sourcegraph, which is code search and code AI
[00:00:42.780 --> 00:00:44.780]   for devs since 2013.
[00:00:44.780 --> 00:00:47.340]   I merged four PRs earlier today.
[00:00:47.340 --> 00:00:50.520]   But I want to talk mostly about the product and what to build
[00:00:50.520 --> 00:00:52.560]   and how to get it in the hands of users.
[00:00:52.560 --> 00:00:54.280]   Because if you don't do that right,
[00:00:54.280 --> 00:00:57.500]   then all the code that you write is for nil.
[00:00:57.500 --> 00:01:01.380]   So three points I want to make.
[00:01:01.380 --> 00:01:05.880]   One is that most devs don't use code AI.
[00:01:05.880 --> 00:01:07.640]   I want this to scare you.
[00:01:07.640 --> 00:01:09.740]   I want to scare you in this talk.
[00:01:09.740 --> 00:01:12.040]   And then I want to share some of the mistakes we made
[00:01:12.040 --> 00:01:15.880]   and some of the tips from our experience doing all the things
[00:01:15.880 --> 00:01:17.440]   wrong and then trying to figure out,
[00:01:17.440 --> 00:01:19.540]   how do we do it right at Sourcegraph
[00:01:19.540 --> 00:01:21.840]   as we've been building coding?
[00:01:21.840 --> 00:01:23.060]   MATT DAVIS: All right.
[00:01:23.060 --> 00:01:24.440]   First, just show of hands here.
[00:01:24.440 --> 00:01:27.420]   Who uses-- who in the last week has
[00:01:27.420 --> 00:01:31.540]   used any kind of code AI tool while coding?
[00:01:31.540 --> 00:01:31.940]   All right.
[00:01:31.940 --> 00:01:34.520]   Man, I wish the whole world was like this room.
[00:01:34.520 --> 00:01:37.400]   But we are in the heart of it in San Francisco.
[00:01:37.400 --> 00:01:39.320]   And the whole world is very different.
[00:01:39.320 --> 00:01:41.060]   Most devs do not use code AI.
[00:01:41.060 --> 00:01:42.780]   And I'm going to give some numbers here.
[00:01:42.780 --> 00:01:44.900]   I'm privy to a lot of private information and stuff
[00:01:44.900 --> 00:01:46.180]   that I've heard as well.
[00:01:46.180 --> 00:01:49.500]   And all of this is in line with what I've been hearing.
[00:01:49.500 --> 00:01:52.160]   So first number-- oh, man, this is a great statistic.
[00:01:52.160 --> 00:01:55.560]   92% of devs use code AI tools at work.
[00:01:55.560 --> 00:01:56.040]   Wow.
[00:01:56.040 --> 00:02:00.440]   That means these tools must have tens of millions of users.
[00:02:00.440 --> 00:02:02.460]   This was a study from GitHub.
[00:02:02.460 --> 00:02:03.040]   500 people.
[00:02:03.040 --> 00:02:05.520]   Well, it turns out this is only in the US.
[00:02:05.520 --> 00:02:07.760]   And they had a very broad definition of what it means
[00:02:07.760 --> 00:02:10.000]   to use a code AI tool.
[00:02:10.000 --> 00:02:12.660]   So here's a case where the hype kind of outstrips
[00:02:12.660 --> 00:02:15.660]   the reality, a common pattern.
[00:02:15.660 --> 00:02:17.220]   This is an infographic from GitHub.
[00:02:17.220 --> 00:02:22.180]   70% of developers see a benefit to using AI coding tools at work.
[00:02:22.180 --> 00:02:23.900]   Surely if there's a benefit, they must all
[00:02:23.900 --> 00:02:25.880]   be using these things, right?
[00:02:25.880 --> 00:02:28.520]   I mean, if only it worked that way.
[00:02:28.520 --> 00:02:31.500]   All right, some numbers for the broader universe.
[00:02:31.500 --> 00:02:35.500]   There are 1.3 million paid subscribers to GitHub Copilot.
[00:02:35.500 --> 00:02:38.860]   This was what Microsoft reported in January 2024.
[00:02:38.860 --> 00:02:40.820]   1.3 million is a lot.
[00:02:40.820 --> 00:02:42.500]   But if you're just paying for something,
[00:02:42.500 --> 00:02:43.500]   are you actually using it?
[00:02:43.500 --> 00:02:45.620]   And also, 1.3 million is not a lot
[00:02:45.620 --> 00:02:49.820]   compared to all the people in the world that write code.
[00:02:49.820 --> 00:02:52.500]   And there's actually a way to get an even finer point
[00:02:52.500 --> 00:02:53.260]   on that number.
[00:02:53.260 --> 00:02:55.700]   GitHub released a study saying,
[00:02:55.700 --> 00:02:59.980]   if you look at the fine print, that in this time range this year,
[00:02:59.980 --> 00:03:04.580]   935,000 devs received a suggestion, not even accepted it.
[00:03:04.580 --> 00:03:07.240]   So there's going to be some that saw that little ghost text
[00:03:07.240 --> 00:03:09.440]   in their editor, never actually accepted it.
[00:03:09.440 --> 00:03:11.380]   And also, that's yearly active users.
[00:03:11.380 --> 00:03:14.560]   I don't know of any companies that go and cite yearly active users.
[00:03:14.560 --> 00:03:18.280]   Surely the monthly active users and daily active user figures
[00:03:18.280 --> 00:03:20.460]   are much lower than that.
[00:03:20.460 --> 00:03:22.980]   So these numbers are pretty--
[00:03:22.980 --> 00:03:25.320]   you can fill a city with these people.
[00:03:25.320 --> 00:03:28.060]   But it's not that many people when you compare it to the 26
[00:03:28.060 --> 00:03:31.920]   million professional developers in the world.
[00:03:31.920 --> 00:03:33.640]   And I think this is an undercount.
[00:03:33.640 --> 00:03:35.200]   I will say that, how do you get this number?
[00:03:35.200 --> 00:03:36.860]   I googled a bunch of different stats,
[00:03:36.860 --> 00:03:38.800]   and they all were around this.
[00:03:38.800 --> 00:03:41.540]   So you know, that's the vibes citation there.
[00:03:41.540 --> 00:03:44.800]   There's a lot more people that touch code in some way or another.
[00:03:44.800 --> 00:03:46.980]   I-- again, it's really hard to get a number on this, but I'd say
[00:03:46.980 --> 00:03:51.560]   probably 100, 150 million people in the world touch code in some way.
[00:03:51.560 --> 00:03:54.580]   And that includes students and other people and so on.
[00:03:54.580 --> 00:03:59.400]   So, you know, 935K, best case, what is that, an MAU?
[00:03:59.400 --> 00:04:02.900]   That's tiny compared to the number of people that interact with code.
[00:04:02.900 --> 00:04:04.640]   So, this is a scary thing.
[00:04:04.640 --> 00:04:09.500]   My best case estimate is that around 5% of professional developers use code AI.
[00:04:09.500 --> 00:04:13.000]   These are people that are paid a lot of money to write code.
[00:04:13.000 --> 00:04:15.300]   And they do it all day, every single day.
[00:04:15.300 --> 00:04:19.820]   And all of us here in the room, we know that there's this amazing new alien technology
[00:04:19.820 --> 00:04:22.760]   that's dropped on Earth, and that it changes how we code.
[00:04:22.760 --> 00:04:24.880]   And 5% are using it.
[00:04:24.880 --> 00:04:25.920]   That's crazy.
[00:04:25.920 --> 00:04:29.100]   That means in a room of 20 people, 19 are not using this.
[00:04:29.100 --> 00:04:31.260]   It just absolutely boggles my mind.
[00:04:31.260 --> 00:04:33.000]   And that's, you know, a huge problem.
[00:04:33.000 --> 00:04:35.920]   And it's an even bigger problem, because if you look at what they're actually using,
[00:04:35.920 --> 00:04:39.320]   the vast majority of code AI use is just autocomplete.
[00:04:39.320 --> 00:04:40.420]   It's the ghost text.
[00:04:40.420 --> 00:04:41.600]   I mean, yeah, that's good.
[00:04:41.600 --> 00:04:46.860]   But anyone who has used anything beyond that knows that AI can do so much more when coding.
[00:04:46.860 --> 00:04:51.280]   It can write entire files, it can answer questions, it can fix bugs, and all of that stuff.
[00:04:51.280 --> 00:04:53.360]   So this usage is absolutely tiny.
