
[00:00:00.000 --> 00:00:20.760]   All right. Hey, everyone. My name is Sharif. I'll be talking to you about demos and why I think
[00:00:20.760 --> 00:00:26.040]   demos are probably the most important thing in the world right now. I'm the founder of Lexica.
[00:00:26.040 --> 00:00:31.140]   We're working on generative models, specifically image models. But I kind of want to just talk
[00:00:31.140 --> 00:00:37.360]   to you about something a bit more than just models themselves, even more than demos. I
[00:00:37.360 --> 00:00:43.300]   kind of just want to talk to you about curiosity. There's a famous French mathematician, Poincaré,
[00:00:43.300 --> 00:00:48.420]   he said, at the moment when I put my foot on the step, the idea came to me. He was working
[00:00:48.420 --> 00:00:53.480]   on this really, really esoteric field of mathematics called fusion functions. And he was stuck on
[00:00:53.480 --> 00:00:57.300]   this problem for weeks at a time. He didn't really know how to make any progress at all.
[00:00:57.300 --> 00:01:02.700]   And he was boarding a bus one day. And suddenly, it kind of just all came to him. He went from
[00:01:02.700 --> 00:01:06.720]   not knowing at all to having a full understanding of the problem. He said something along the
[00:01:06.720 --> 00:01:11.900]   lines of, the role of this unconscious work in mathematical invention appears to me as
[00:01:11.900 --> 00:01:18.480]   incontestable. I'm going to make one main argument to you guys today. And that's going to be that
[00:01:18.480 --> 00:01:25.300]   curiosity is the main force for how we pull ideas from the future into the present. And when we have
[00:01:25.300 --> 00:01:30.980]   these subconscious patterns that our brains recognize, they kind of surface as a feeling. And this feeling
[00:01:30.980 --> 00:01:37.480]   is what we know as curiosity. So I'm going to present you with a few demos I've worked on over the years.
[00:01:37.480 --> 00:01:43.720]   And they've each followed a specific pattern, where initially, I had this really great idea. I thought it was
[00:01:43.720 --> 00:01:47.860]   fantastic that it was going to change everything. And then you kind of get to implementing the specific
[00:01:47.860 --> 00:01:53.080]   idea. And you realize it's actually not possible at all. And then like, through sheer effort and like
[00:01:53.080 --> 00:01:57.140]   determination, you somehow find a way to make things work, even though you're working with models that
[00:01:57.140 --> 00:02:01.620]   have maybe a context length of like 2000 tokens. And then once you get to work, and you feel this like
[00:02:01.620 --> 00:02:06.740]   really good sense of pride and joy, and I think the most important thing about good demos is that
[00:02:06.740 --> 00:02:14.260]   they're kind of a way of exploring what's possible with these models. I'm, I kind of see these models as
[00:02:14.260 --> 00:02:20.020]   not necessarily things you can kind of understand fully without interacting with them. And I think the way you
[00:02:20.020 --> 00:02:24.900]   can best interact with them is by making really, really interesting demos. And the way you make
[00:02:24.900 --> 00:02:34.020]   interesting demos is just by following your curiosity. So this is from 2020. This was when GPT-3 was
[00:02:34.020 --> 00:02:39.940]   released. This was pretty mind-blowing for me. And I was surprised no one was really talking about this.
[00:02:39.940 --> 00:02:45.780]   GPT-3, for those of you who remember, had a context length of 2000 tokens. It cost, I think,
[00:02:45.780 --> 00:02:52.980]   $75 per million output tokens. And yeah, you had to get specific permissions from OpenAI before you
[00:02:52.980 --> 00:02:57.620]   shared anything about the model. You couldn't ship a chat app because that violated the terms of service,
[00:02:57.620 --> 00:03:03.940]   but it was a really magical time. It felt like you had this new tool in this like, in this toolkit of
