
[00:00:00.000 --> 00:00:04.000]   (music)
[00:00:04.000 --> 00:00:09.000]   For the past week or so we've been looking at gifts and particularly spiritual gifts.
[00:00:09.000 --> 00:00:15.000]   I didn't design it this way. It was providential that so many episodes touched on this topic.
[00:00:15.000 --> 00:00:19.000]   Last week we looked at the question, "What are my skills worth?"
[00:00:19.000 --> 00:00:25.000]   That was APJ 1857. If you're a carpenter or mechanic, plumber, doctor, or a lawyer,
[00:00:25.000 --> 00:00:29.000]   if you have some skill that people in the church assume you will share with them for free,
[00:00:29.000 --> 00:00:33.000]   listen to that episode, APJ 1857.
[00:00:33.000 --> 00:00:37.000]   And then we looked at, "What distinguishes my life from non-Christians?"
[00:00:37.000 --> 00:00:44.000]   APJ 1858, an episode sparked by a question on spiritual gifts.
[00:00:44.000 --> 00:00:51.000]   And then we asked a related question to that, "What makes my gift a spiritual gift?"
[00:00:51.000 --> 00:00:54.000]   That was last time, in APJ 1859.
[00:00:54.000 --> 00:00:57.000]   Today we close out the week with an email from a listener named Kara.
[00:00:57.000 --> 00:01:03.000]   Kara says she has no spiritual gift at all. None. Now what?
[00:01:03.000 --> 00:01:07.000]   Here's her email. "Pastor John, hello. I've been a believer for about a dozen years now,
[00:01:07.000 --> 00:01:14.000]   but I don't seem to have any spiritual gifts. I really feel like a talentless and sinful mess.
[00:01:14.000 --> 00:01:18.000]   Does this mean that the Spirit does not actually dwell in me?
[00:01:18.000 --> 00:01:24.000]   How can I discover my purpose in Him and fulfill 1 Peter 4, verse 10?"
[00:01:24.000 --> 00:01:32.000]   I think I have really good news for Kara. But I need to say a warning first.
[00:01:32.000 --> 00:01:39.000]   She says, "I feel like a talentless and sinful mess."
[00:01:39.000 --> 00:01:46.000]   Here's the warning. There is a fundamental difference between talents and sins.
[00:01:46.000 --> 00:01:54.000]   If it were true, and I don't think it is true, that she were without any talents,
[00:01:54.000 --> 00:02:01.000]   that would not be a spiritually serious problem. Really.
[00:02:01.000 --> 00:02:07.000]   God does not judge us on the basis of whether we have talents or not.
[00:02:07.000 --> 00:02:13.000]   But to be a sinful mess is a huge problem.
[00:02:13.000 --> 00:02:17.000]   God does judge sin. He hates sin.
[00:02:17.000 --> 00:02:27.000]   If Kara's life is spiraling down into sin, that's a very urgent matter.
[00:02:27.000 --> 00:02:36.000]   And my warning is, fight that, Kara, as we all must, fight that with all your might,
[00:02:36.000 --> 00:02:46.000]   all God's might in you, put to death sinful attitudes and words and deeds by the Spirit,
