
[00:00:00.000 --> 00:00:20.040]   so good morning everybody there we go my name is Dave Burnison I'm a senior devops advocate with
[00:00:20.040 --> 00:00:29.100]   github and I want to talk today about github copilot and demo a little bit of everything that
[00:00:29.100 --> 00:00:38.340]   copilot is today because it has the capabilities have grown a lot now over the last two three years
[00:00:38.340 --> 00:00:46.140]   so how many how many of you are using github copilot today okay looks like half to two-thirds
[00:00:46.140 --> 00:00:55.080]   kind of a thing kind of a ratio or so here so yeah as we get started we can see github copilot started
[00:00:55.080 --> 00:01:04.320]   out just as generating code in the IDE with copilot individual then we launched copilot business into GA
[00:01:04.320 --> 00:01:13.560]   shortly after that year and a half ago I guess that would be we launched copilot chat so now not only
[00:01:13.560 --> 00:01:21.600]   could you ask copilot to generate code for you but you could take somebody's existing code maybe they
[00:01:21.600 --> 00:01:27.800]   didn't write very good comments in their code shocker right say hey copilot explain that code to me or help
[00:01:27.800 --> 00:01:37.040]   let me simplify that code so many more ways to use github copilot and then just this february we launched github copilot
[00:01:37.040 --> 00:01:37.040]   enterprise being able to not only use copilot in your IDE of choice but also right on github.com itself have copilot help you generate pull request summaries
[00:01:37.040 --> 00:01:44.040]   have copilot help you generate pull request summaries or tap into information that may be stored in your knowledge bases and ask copilot questions and things like that and use a lot of the same chat features right there and I'll also talk about some of the things that were
[00:01:44.040 --> 00:01:45.040]   launching
[00:01:45.040 --> 00:01:51.040]   launching right now we've got in beta and technical preview and such so I think we're launching right now we've got in beta and technical preview and such
[00:01:51.040 --> 00:01:59.040]   so I think we're launching a lot of the things that we're launching right now and we've got in beta and technical preview and such so I think we're going to talk about some of the
[00:01:59.040 --> 00:02:11.040]   things that we're launching right now we've got in beta and technical preview and such so I think we're going to talk about some of the things that we're launching right now we've got in beta and technical preview and such
[00:02:11.040 --> 00:02:14.040]   so as most of you know
[00:02:14.040 --> 00:02:31.040]   Github copilot is there to be your AI pair programmer help you generate code based on comments and things now the thing about copilot individual and copilot business it lives and runs as extensions in visual studio code
[00:02:31.040 --> 00:02:40.040]   Github code spaces which is visual studio code running inside the browser the JetBrains IDEs like PyCharm and IntelliJet
[00:02:40.040 --> 00:03:09.040]   and visual studio and a key thing about this is it doesn't actually matter where your code lives right the code hopefully lives on github github enterprise cloud but the code could live in bitbucket or azure devops even in team foundation version control it doesn't even have to be get based version control and you can still take advantage of everything that copilot business and copilot individual have to offer
[00:03:09.040 --> 00:03:16.040]   So I am going to play through a little video of the basics here because there's a couple of things I want to point out this is just two minute video
[00:03:16.040 --> 00:03:43.040]   Let's see how copilot can make me a more productive developer I'm using Django Python which like most programming languages and frameworks is supported by copilot Django is a framework for creating line to business applications and the first step is to create my model classes which is typically tedious what I'm going to do instead is describe using natural language what I need my model to look like that gray italicized text is going to look at the
[00:03:43.040 --> 00:04:12.040]   That gray italicized text is co-pilot generating the appropriate code it creates the class definition and the full class across multiple lines of code copilot is also context aware it saw the fact that I created a speaker class and once again goes well speakers need to do something and it generates a talk class for me that entire class all of those lines of code was generated for me
[00:04:12.040 --> 00:04:30.040]   There was one thing I didn't necessarily want here which is it's allowing for speakers and talks all to be deleted I want to modify that so I go back to copilot ask it for a new suggestion and it generates one
[00:04:30.040 --> 00:04:59.040]   Finally I want to add on a code for the talk which matches a particular pattern normally at this point I would go running off to stack overflow to look up how to write this regular expression instead I describe in natural language what that pattern is supposed to look like and copilot generates all of the appropriate code for me this allows me to stay in the zone and focus in on the more
[00:04:59.040 --> 00:05:28.040]   More important aspects of writing code all right now I know that's a very basic demo and most of you who are using copilot have seen it and used it in this way but still there's some key things to point out here it's called github copilot it's not called github autopilot you know this is not going to replace developers we still need that person in the middle and there was a great example here of that you know when it generated
[00:05:28.040 --> 00:05:56.040]   In the talk class initially it was allowing speakers to be deleted even when talks existed so he wiped out that line he continued the conversation with copilot added that additional comment to say hey no don't allow speakers to be deleted when talks exist and then he was able to get you know exactly what he needed in this case
[00:05:56.040 --> 00:06:25.040]   Now another thing there's there's actually an opportunity here in this even in this little demo to talk about prompt crafting or prompt engineering you know when he was adding this talk code he didn't just say add a talk code he was more specific right he said with a format of three letters a dash and three numbers and that allowed him to get back the regular expression that he needed
[00:06:25.040 --> 00:06:53.040]   So that he needed so that you know part of prompt crafting is that specificity in your comments in your requests and things but another key element here is he was able to stay in the flow he didn't have to leave the IDE and go to find some regular expression documentation or do a google search or anything like that to figure out that syntax he got that in a matter of seconds so you can see in a second actually you know so you can see
[00:06:53.040 --> 00:07:21.040]   just how much this can improve productivity and keep you in the flow and things like that now next we look oh so here's some at the end I'll have a link where you can find a lot of these resources and things and at some point after this session I'll put a PDF up there so you've also got all of these links and things but we've got several resources now to learn about prompt crafting
[00:07:21.040 --> 00:07:42.040]   You know this is not something where you need a week long boot camp or anything like that just an hour or two of you know it will take less than an hour to understand prompt crafting but then just kind of playing around with it yourself to get a better feel how do you get more accurate suggestions for the context that you're in and everything.
[00:07:42.040 --> 00:08:06.040]   And then next we launched GitHub Copilot chat so we went from just typing in comments in code to having a chat panel right inside the IDE so now I can do things like hey give me an overview of the entire solution help me write automated tests explain this code to me help me find and fix the bugs in my code and stuff so let's see a little demo of that.
[00:08:06.040 --> 00:08:15.040]   Copilot is great for giving you code suggestions in line as you type but there was no way to easily ask questions or provide additional context until now.
[00:08:15.040 --> 00:08:30.040]   Copilot chat lets you have a much richer pair programming experience writing Visual Studio and Visual Studio code it can suggest tasks based on your code for example here I have some code I've inherited with a bunch of regular expressions in it but it's pretty poorly documented.
[00:08:30.040 --> 00:08:43.040]   Let's ask Copilot what they do oh looks like we have validation for email addresses phone numbers and strong passwords make sense but let's ask for help to make this code a bit more readable for the next person.
[00:08:43.040 --> 00:08:55.040]   I'll type make this code more readable not bad but I'd like some more so let's ask Copilot to separate out the validation functions and add more comments.
[00:08:55.040 --> 00:09:06.040]   Okay great that's much better the code is now in separate functions with the comments and the variables have much more meaningful names.
[00:09:06.040 --> 00:09:10.040]   This is going to be a lot easier to maintain going forward so let's bring it over.
[00:09:10.040 --> 00:09:16.040]   Now let's take a look at some code that isn't working and see if Copilot can help me figure out why.
[00:09:16.040 --> 00:09:24.040]   I'll ask Copilot to propose a fix for the bugs in my code.
[00:09:24.040 --> 00:09:35.040]   Now Copilot's determined by looking at my comment and comparing it to the code that I was treating the data as comma separated in my code but in my comment I was saying it was space separated.
[00:09:35.040 --> 00:09:46.040]   It's also noticed from the comment that I was returning the values in a different order and it's adding some error checking for me that it typically sees with this type of code.
[00:09:46.040 --> 00:09:49.040]   Okay so let's bring this code over and run it.
[00:09:49.040 --> 00:09:51.040]   And yep that works.
[00:09:51.040 --> 00:09:52.040]   Brilliant.
[00:09:52.040 --> 00:09:58.040]   While we're here let's ask Copilot to create some unit tests so we don't accidentally break this code again.
[00:09:58.040 --> 00:09:59.040]   Perfect.
[00:09:59.040 --> 00:10:08.040]   Copilot's analysing the copaths we take in our code and using the context from the comment to generate a set of unit tests for the branches of logic it sees.
[00:10:08.040 --> 00:10:15.040]   It's a great start for us so we could take this copy it over into a test function and then build that out over time.
[00:10:15.040 --> 00:10:17.040]   But let me show you one last thing.
[00:10:17.040 --> 00:10:23.040]   With chat functionality right in your editor it's so much easier to stay focused and on task.
[00:10:23.040 --> 00:10:26.040]   You can ask for help about coding right where you are.
[00:10:26.040 --> 00:10:30.040]   You can even have a conversation with Copilot to learn more.
[00:10:30.040 --> 00:10:32.040]   Let's ask for an example here.
[00:10:32.040 --> 00:10:39.040]   However we're deliberately constraining the prompt to ensure we only have questions that we detect has an intent around programming.
[00:10:39.040 --> 00:10:42.040]   If we stray outside of this it will politely decline.
[00:10:42.040 --> 00:10:46.040]   So yeah well Copilot can help.
[00:10:46.040 --> 00:10:50.040]   You're on your own as far as figuring out what's for dinner.
[00:10:50.040 --> 00:11:08.040]   So yeah you can see there he was able to have the code explained to him, generate comments for the code, refactor it, debug code, write unit tests for it, all from working right inside of GitHub Copilot chat.
[00:11:08.040 --> 00:11:11.040]   So we added a lot more capabilities there.
[00:11:11.040 --> 00:11:21.040]   Now we made a pretty big splash at Microsoft build last month talking about GitHub Copilot extensions.
[00:11:21.040 --> 00:11:29.040]   So this brings the world's knowledge into the most widely adopted AI developer tool.
[00:11:29.040 --> 00:11:41.040]   And through a growing partner ecosystem Copilot extensions are going to enable developers to build and deploy to the cloud with natural language with their preferred tools and services.
[00:11:41.040 --> 00:11:56.040]   You know a lot of third parties out there, MongoDB and Octopus Deploy and Data Stacks and lots of others understand that GitHub is the place that developers want to be.
[00:11:56.040 --> 00:12:10.040]   So that developers can stay in the flow now with GitHub extensions you can access information and things from a lot of these other third party systems directly from GitHub Copilot chat.
[00:12:10.040 --> 00:12:23.040]   And so you can see we had an initial set of partners here and actually I'm going to play through one of the little demos here.
[00:12:23.040 --> 00:12:39.040]   So that link there and again this will all be provided at the end takes you to this blog post where we made the announcement and I'm going to play the Octopus Deploy demo.
[00:12:39.040 --> 00:12:52.040]   The Octopus extension for GitHub Copilot allows developers to maintain a state of flow by querying the state of their deployments from the same tools they use to write their code.
[00:12:52.040 --> 00:12:55.040]   In this example, we have a Node.js web application.
[00:12:55.040 --> 00:13:01.040]   We will commit and push changes to our Git repository and track those changes through the GitHub Copilot chat interface.
[00:13:01.040 --> 00:13:08.040]   We'll make a small change to the index page, save those changes and then push those to our repository.
[00:13:08.040 --> 00:13:14.040]   Once pushed, the GitHub actions workflow will trigger a build and initiate a deployment to Octopus Deploy.
[00:13:14.040 --> 00:13:19.040]   We can then track the deployment through the Octopus extension for GitHub Copilot.
[00:13:19.040 --> 00:13:24.040]   We can view the high-level status of deployments to all environments with a text-based dashboard.
[00:13:24.040 --> 00:13:31.040]   So you can see he asked there, hey Octopus Deploy, show me the dashboard.
[00:13:31.040 --> 00:13:41.040]   And again, without breaking the flow right inside of GitHub Copilot chat, he's getting this information to see, okay, have the changes been deployed all the way to production yet?
[00:13:41.040 --> 00:13:47.040]   Let's look at the versions and see, no, the latest version is not yet in production.
[00:13:47.040 --> 00:13:53.040]   So getting all this valuable information without leaving your flow.
[00:13:53.040 --> 00:13:57.040]   Useful items in the deployment logs like URLs can be extracted.
[00:13:57.040 --> 00:13:59.040]   We can use the comprehension key.
[00:13:59.040 --> 00:14:06.040]   Actually, in the interest of time, we'll just stop there because there's definitely other things that I want to cover.
[00:14:06.040 --> 00:14:14.040]   But yeah, you can see that full demo if you go to GitHub.blog and look for the Copilot extensions blog post.
[00:14:14.040 --> 00:14:18.040]   And we'll have links to that available later.
[00:14:18.040 --> 00:14:24.040]   So in February, we launched GitHub Copilot Enterprise.
[00:14:24.040 --> 00:14:34.040]   So now, not only are you able to do all of this inside of your IDE, but bringing it to GitHub Enterprise Cloud
[00:14:34.040 --> 00:14:43.040]   and adding new capabilities like building Bing search right into the chat and everything.
