
[00:00:00.000 --> 00:00:02.160]   (silence)
[00:00:02.160 --> 00:00:06.320]   - Assuming that most people wake up in the morning,
[00:00:06.320 --> 00:00:08.240]   as opposed to night shift workers, et cetera,
[00:00:08.240 --> 00:00:09.400]   we could talk about later.
[00:00:09.400 --> 00:00:11.200]   But they wake up in the morning,
[00:00:11.200 --> 00:00:12.600]   so let's divide the day into quarters.
[00:00:12.600 --> 00:00:16.760]   What is the proper way to interact with light
[00:00:16.760 --> 00:00:19.360]   in the first part of the day?
[00:00:19.360 --> 00:00:22.600]   - So I honestly think the easiest thing is waking up.
[00:00:22.600 --> 00:00:24.080]   Get as much light as you can.
[00:00:24.080 --> 00:00:25.920]   - Into your eyes.
[00:00:25.920 --> 00:00:27.200]   - Yeah, it's really nice.
[00:00:27.200 --> 00:00:28.580]   Your system is primed.
[00:00:28.580 --> 00:00:30.640]   If you're entrained, it's primed to get light.
[00:00:30.640 --> 00:00:32.440]   The sun should be out.
[00:00:32.440 --> 00:00:33.800]   Most animals in the wild,
[00:00:33.800 --> 00:00:36.080]   they actually seem to track the sun.
[00:00:36.080 --> 00:00:38.520]   The sun has a huge influence on life on Earth.
[00:00:38.520 --> 00:00:41.640]   It's actually, life on Earth is because of sun.
[00:00:41.640 --> 00:00:43.820]   So that's easy.
[00:00:43.820 --> 00:00:45.800]   In the morning, when you wake up, you need light.
[00:00:45.800 --> 00:00:48.200]   - Okay, so what is the behavioral practice
[00:00:48.200 --> 00:00:49.760]   that you recommend?
[00:00:49.760 --> 00:00:51.920]   Does it, let's say somebody is in a condition
[00:00:51.920 --> 00:00:53.440]   where there's a lot of cloud cover.
[00:00:53.440 --> 00:00:54.280]   - Yeah.
[00:00:54.280 --> 00:00:55.400]   - Is it important to get outside?
[00:00:55.400 --> 00:00:56.560]   - So I have to tell you,
[00:00:56.560 --> 00:00:59.140]   the cloudiest day is gonna be much more brighter
[00:00:59.140 --> 00:00:59.980]   than your room.
[00:00:59.980 --> 00:01:02.080]   You could ask any photographer.
[00:01:02.080 --> 00:01:05.220]   A cloudy day, unless it's really dark, dark clouds,
[00:01:05.220 --> 00:01:08.560]   usually cloudy days have much more bright outside
[00:01:08.560 --> 00:01:09.580]   than inside the room,
[00:01:09.580 --> 00:01:12.480]   even when you have good lighting inside the room.
[00:01:12.480 --> 00:01:15.720]   So I think in the outside is usually,
[00:01:15.720 --> 00:01:18.300]   even when it's cloudy, you're gonna get enough intensity
[00:01:18.300 --> 00:01:21.480]   to help you adjust your cycle to the day-night cycle.
[00:01:21.480 --> 00:01:23.600]   - So how long do you,
[00:01:23.600 --> 00:01:24.760]   these are general rules of thumb,
[00:01:24.760 --> 00:01:27.040]   but how long do you recommend people go outside?
[00:01:27.040 --> 00:01:29.680]   - So if you do it daily, you possibly need very,
[00:01:29.680 --> 00:01:30.600]   if you do it daily,
[00:01:30.600 --> 00:01:31.440]   because remember,
[00:01:31.440 --> 00:01:33.240]   this thing is gonna happen on a daily matter.
[00:01:33.240 --> 00:01:34.080]   So let's say 15 minutes.
[00:01:34.080 --> 00:01:35.840]   - So the clock is tracking it on a regular basis.
[00:01:35.840 --> 00:01:39.360]   - Absolutely, it's photon counting, it's tracking.
[00:01:39.360 --> 00:01:40.440]   I would say 15 minutes.
[00:01:40.440 --> 00:01:43.400]   If you don't do it daily, you may wanna increase it.
[00:01:43.400 --> 00:01:45.480]   And we'll talk about when you travel, what you could do.
[00:01:45.480 --> 00:01:47.760]   But yeah, 15 minutes should be fine.
[00:01:47.760 --> 00:01:49.640]   You do it more, it doesn't hurt.
[00:01:49.640 --> 00:01:51.140]   - And through a window, I was,
[00:01:51.140 --> 00:01:52.960]   my understanding is that through a window,
[00:01:52.960 --> 00:01:55.640]   it dramatically decreases the amount of light energy.
[00:01:55.640 --> 00:01:57.480]   - It depends of how, you know,
[00:01:57.480 --> 00:01:59.960]   how thick the windows are and how dark they are.
[00:01:59.960 --> 00:02:02.640]   So it's, but it's also nice to go outside
[00:02:02.640 --> 00:02:04.240]   and to feel the season.
[00:02:04.240 --> 00:02:05.840]   - Sunglasses off.
[00:02:05.840 --> 00:02:07.440]   - I don't use sunglasses.
[00:02:07.440 --> 00:02:11.600]   - But you have the Jordanian for pigment, you know, so.
[00:02:11.600 --> 00:02:14.100]   Yeah, whereas my eyes are very sensitive, right?
[00:02:14.100 --> 00:02:16.880]   - No, but I personally, you know,
[00:02:16.880 --> 00:02:20.000]   if I'm in the shade or if it's not incredibly bright,
[00:02:20.000 --> 00:02:21.780]   I try to, especially in the morning,
[00:02:21.780 --> 00:02:23.360]   but I'm also an early person.
[00:02:23.360 --> 00:02:25.000]   So we have to differentiate between early.
[00:02:25.000 --> 00:02:26.000]   - What time do you wake up?
[00:02:26.000 --> 00:02:27.560]   - I wake up at 4.30 in the morning.
[00:02:27.560 --> 00:02:28.640]   - But the sun isn't out yet.
[00:02:28.640 --> 00:02:29.880]   - It's not out yet, so it's.
[00:02:29.880 --> 00:02:30.720]   - So what do you do?
[00:02:30.720 --> 00:02:31.880]   You turn on artificial lights?
[00:02:31.880 --> 00:02:33.960]   - I usually don't turn on artificial light
[00:02:33.960 --> 00:02:36.300]   because I know the sun is gonna come up eventually.
[00:02:36.300 --> 00:02:38.720]   But that's why I don't like the change
[00:02:38.720 --> 00:02:40.800]   in the timing that they do.
[00:02:40.800 --> 00:02:43.520]   - Wait, but what do you do between 4.30 a.m. and 7 a.m.?
[00:02:43.520 --> 00:02:46.040]   - I mean, I just got my computer and my phone.
[00:02:46.040 --> 00:02:48.480]   So possibly I get enough light.
[00:02:48.480 --> 00:02:50.080]   But in reality, I mean,
[00:02:50.080 --> 00:02:53.580]   as long as you let your body get the morning sunlight,
[00:02:53.580 --> 00:02:55.980]   which I think is really, to me,
[00:02:55.980 --> 00:02:58.780]   and there's no evidence, but to me, this is,
[00:02:58.780 --> 00:03:00.620]   if you look at all animals, plants,
[00:03:00.620 --> 00:03:04.140]   this morning sunlight seems to be very important.
[00:03:04.140 --> 00:03:07.160]   And I, you know, we don't have experiments to show it,
[00:03:07.160 --> 00:03:10.500]   but I have a gut feeling that it has a huge impact
[00:03:10.500 --> 00:03:11.460]   on humans.
[00:03:11.460 --> 00:03:14.140]   - Well, Jamie Zeitzer's lab at the Stanford Sleep Lab
[00:03:14.140 --> 00:03:16.900]   has shown that these early morning light flashes
[00:03:16.900 --> 00:03:19.420]   can adjust the total amount of sleep
[00:03:19.420 --> 00:03:21.860]   that one will get and makes it easier to get into sleep.
[00:03:21.860 --> 00:03:22.700]   - Absolutely, absolutely.
[00:03:22.700 --> 00:03:23.520]   - Okay, so--
[00:03:23.520 --> 00:03:28.000]   - And Ken Wright also did this beautiful camping experiments
