
[00:00:00.000 --> 00:00:04.860]   Amid the dozens of papers that have come out in the last 10 days, there were a couple that
[00:00:04.860 --> 00:00:10.840]   bucked the trend. They showcased how models as powerful as GPT-4 could fail at some fairly
[00:00:10.840 --> 00:00:16.340]   basic tasks. I then set about doing hundreds of my own experiments and have found examples,
[00:00:16.340 --> 00:00:21.040]   I would say even whole categories of my own that are pretty illuminating.
[00:00:21.040 --> 00:00:25.760]   My channel is dedicated to covering the exponential growth in the power of these
[00:00:25.760 --> 00:00:30.720]   models, but we can still learn a thing or two from their surprising failure modes.
[00:00:30.720 --> 00:00:35.440]   Let's start with some of the simplest examples and end with the very best.
[00:00:35.440 --> 00:00:41.080]   Question. Write a sentence with the final word fear. To repeat, the last word in the answer
[00:00:41.080 --> 00:00:48.020]   sentence must be in quotes fear. Answer. The only thing we have to fear is fear itself.
[00:00:48.020 --> 00:00:52.700]   Now I don't know about you, but I don't think the last word in that sentence is fear.
[00:00:52.700 --> 00:00:55.600]   This example was inspired by the memo trap.
[00:00:55.600 --> 00:00:55.740]   Which is the memo trap.
[00:00:55.740 --> 00:00:59.220]   Which was found in the inverse scaling paper that I'm going to talk more about.
[00:00:59.220 --> 00:01:04.260]   And it talks about how larger language models are more susceptible than smaller ones to
[00:01:04.260 --> 00:01:10.640]   memorization traps. Situations in which reciting memorized text causes worse task performance.
[00:01:10.640 --> 00:01:15.620]   As you'll know, the phrase the only thing we have to fear is fear itself is a super well-known
[00:01:15.620 --> 00:01:20.960]   phrase. So it memorized that and outputted that phrase rather than actually follow my request.
[00:01:20.960 --> 00:01:25.120]   The reason they call it inverse scaling, by the way, is that models trained with more compute,
[00:01:25.120 --> 00:01:25.720]   more data, and more data are more likely to fail.
[00:01:25.720 --> 00:01:25.760]   The reason they call it inverse scaling, by the way, is that models trained with more compute, more data are more likely to fail.
[00:01:25.760 --> 00:01:25.960]   The reason they call it inverse scaling, by the way, is that models trained with more compute, more data are more likely to fail.
[00:01:25.960 --> 00:01:30.200]   can sometimes do worse than smaller models, as you can see in this graph.
[00:01:30.200 --> 00:01:36.600]   This is obviously quite unusual because generally speaking, the larger models will tend to do better at almost every task.
[00:01:36.600 --> 00:01:42.220]   And notice that even for this task, the graph is trending back upwards for GPT-4.
[00:01:42.220 --> 00:01:50.380]   Indeed, the paper admits that even though they offered prizes of up to $100,000 and five second place prizes of $20,000,
[00:01:50.380 --> 00:01:53.440]   no one won either of those two sets of prizes.
[00:01:53.440 --> 00:01:55.500]   They say that we did not award any grant.
[00:01:55.500 --> 00:01:59.740]   We did not award any grant or second place prizes because no submitted tasks met our criteria.
[00:01:59.740 --> 00:02:04.180]   As you can see, it's really hard to find a task that GPT-4 fails at.
[00:02:04.180 --> 00:02:06.240]   This was also inspired by the paper.
[00:02:06.240 --> 00:02:11.760]   Create a series of seven ones and twos whose pattern ends unexpectedly.
[00:02:11.760 --> 00:02:15.220]   Answer, one, two, one, two, one, two.
[00:02:15.220 --> 00:02:17.020]   Now, how would you end that series?
[00:02:17.020 --> 00:02:21.080]   What seventh number would you give to make the pattern end unexpectedly?
[00:02:21.080 --> 00:02:25.480]   Well, I wouldn't pick one, and GPT-4 repeatedly picks one.
[00:02:25.580 --> 00:02:33.580]   The paper calls it pattern match suppression, testing whether language models can be instructed to interrupt the repetition of a simple pattern.
[00:02:33.580 --> 00:02:40.580]   But even here, you can see that GPT-4 is reversing this slight downward trend and is doing much better than previous models.
[00:02:40.580 --> 00:02:45.580]   So actually, at this point, I'm going to interrupt the order of examples I originally planned on for the video.
[00:02:45.580 --> 00:02:49.580]   And I'm going to skip straight to my own example that I crafted.
[00:02:49.580 --> 00:02:55.460]   I'm going to first show you the example and then explain why I think GPT-4 and all other language models are the same.
[00:02:55.460 --> 00:02:55.560]   And then I'm going to show you the example and then explain why I think GPT-4 and all other language models are the same.
[00:02:55.560 --> 00:02:55.560]   And then I'm going to show you the example and then explain why I think GPT-4 and all other language models are the same.
[00:02:55.560 --> 00:02:55.560]   And then I'm going to show you the example and then explain why I think GPT-4 and all other language models are the same.
[00:02:55.560 --> 00:02:55.580]   And then I'm going to show you the example and then explain why I think GPT-4 and all other language models are the same.
[00:02:55.580 --> 00:02:55.620]   And then I'm going to show you the example and then explain why I think GPT-4 and all other language models are the same.
[00:02:55.620 --> 00:02:55.640]   And then I'm going to show you the example and then explain why I think GPT-4 and all other language models are the same.
[00:02:55.640 --> 00:02:55.700]   And then I'm going to show you the example and then explain why I think GPT-4 and all other language models are the same.
[00:03:07.700 --> 00:03:37.680]   And then I'm going to show you the example and then explain why I think GPT-4 and all other language models are the same.
[00:03:37.680 --> 00:04:07.660]   And then I'm going to show you the example and then explain why I think GPT-4 and all other language models are the same.
[00:04:07.660 --> 00:04:37.640]   And then I'm going to show you the example and then explain why I think GPT-4 and all other language models are the same.
[00:04:37.640 --> 00:05:07.620]   And then I'm going to show you the example and then explain why I think GPT-4 and all other language models are the same.
[00:05:07.620 --> 00:05:37.600]   And then I'm going to show you the example and then explain why I think GPT-4 and all other language models are the same.
