
[00:00:00.000 --> 00:00:05.800]   The holidays start here at Ralph's with a variety of options to celebrate traditions old and new.
[00:00:05.800 --> 00:00:10.500]   You could do a classic herb roasted turkey or spice it up and make turkey tacos.
[00:00:10.500 --> 00:00:17.100]   Serve up a go-to shrimp cocktail or use Simple Truth wild-caught shrimp for your first Cajun risotto.
[00:00:17.100 --> 00:00:22.400]   Make creamy mac and cheese or a spinach artichoke fondue from our selection of Murray's cheese.
[00:00:22.400 --> 00:00:27.800]   No matter how you shop, Ralph's has all the freshest ingredients to embrace all your holiday traditions.
[00:00:27.800 --> 00:00:30.200]   Ralph's fresh for everyone.
[00:00:30.200 --> 00:00:33.800]   Welcome to Radical Personal Finance, a show dedicated to providing you with the knowledge, skills, insight,
[00:00:33.800 --> 00:00:38.700]   and encouragement you need to live a rich and meaningful life now while building a plan for financial freedom in 10 years or less.
[00:00:38.700 --> 00:00:44.600]   My name is Joshua. I am your host. Today is Friday, August 11, 2023.
[00:00:44.600 --> 00:00:48.800]   And on this Friday, as we do on any Friday when I can arrange the appropriate recording equipment,
[00:00:48.800 --> 00:00:52.800]   we have live Q&A. You call in, talk about anything that you want.
[00:00:52.800 --> 00:00:56.800]   Workshops like Call & Talk Radio. And if you'd like to join me on one of these Friday Q&A shows,
[00:00:56.800 --> 00:01:02.000]   do so at patreon.com/radicalpersonalfinance. We begin with Eric in Kansas.
[00:01:02.000 --> 00:01:05.100]   Eric, welcome to the show. How can I serve you today?
[00:01:05.100 --> 00:01:09.200]   Hi Joshua, thanks so much for taking the call. I love what you do.
[00:01:09.200 --> 00:01:15.200]   My question is around more so the career aspect of some of the things you talk about.
[00:01:15.200 --> 00:01:22.900]   I've listened to a good number of the old episodes and I hear people talking about a career and income course.
[00:01:22.900 --> 00:01:28.900]   You've mentioned it quite frequently with other callers. And so I wondered if you could,
[00:01:28.900 --> 00:01:35.900]   if you had any plans on maybe making that available again or if that's something that you've closed off completely.
[00:01:35.900 --> 00:01:42.200]   And the reason is because I've been working in a particular industry in the insurance industry.
[00:01:42.200 --> 00:01:45.800]   Some of those alphabets after your name are very familiar to me.
[00:01:45.800 --> 00:01:54.400]   And I've just gotten maybe bored with the industry and looking for a career change,
[00:01:54.400 --> 00:01:59.900]   but just wanting to have a good framework on how I might process my next step.
[00:01:59.900 --> 00:02:08.800]   I make decent money, so that's not an issue. But just looking to see what my next move might be for the next maybe five to ten years.
[00:02:08.800 --> 00:02:14.200]   Yeah, I have been planning to release that course and I'll tell you why I took it off the market.
[00:02:14.200 --> 00:02:21.400]   When I sat down and started doing private courses after years of doing various things to try to figure out how to make money on radical personal finance.
[00:02:21.400 --> 00:02:29.900]   And once I gave up my vendetta to try to do everything with just the free open source listener support stuff.
[00:02:29.900 --> 00:02:36.500]   When I sat down, I said, I don't have any interest in talking about stuff that's well covered,
[00:02:36.500 --> 00:02:39.800]   but I would have interest in talking about stuff that's the most impactful.
[00:02:39.800 --> 00:02:51.000]   And I said, where should I begin? And I said, well, the single thing that is not discussed by financial planners that should be discussed is the importance of your career and your income.
[00:02:51.000 --> 00:02:55.800]   And to me, it's obviously it's the most blindingly obvious thing when you say it out loud,
[00:02:55.800 --> 00:03:00.900]   but you will go through all of your training, all of your personal finance books and whatnot.
[00:03:00.900 --> 00:03:04.500]   Nobody talks about it. It seemed to me years ago that nobody talks about it.
[00:03:04.500 --> 00:03:07.400]   Maybe they talk about it now. I've heard people talk about it.
[00:03:07.400 --> 00:03:15.300]   It's like if you want to help people to become wealthy, the very first thing that you need to do is to help them to get a job that they like,
[00:03:15.300 --> 00:03:23.400]   that's a good fit for them where they can do well in it, and then to make as much money as they possibly can for as long as they possibly can.
[00:03:23.400 --> 00:03:30.200]   Those are the two components of it. You want your income to be as high as possible, but you also want it to come in for as long as possible.
[00:03:30.200 --> 00:03:34.200]   And that means that you can't just do something that you're doing just for money for the short term.
[00:03:34.200 --> 00:03:40.500]   You need to do something that's a good fit for you so you can build a 60, 70, 80-year career out of something,
[00:03:40.500 --> 00:03:44.900]   and then you want that thing to be a very high paying, and you want to approach it strategically.
[00:03:44.900 --> 00:03:50.200]   And so I sat down and I wrote from scratch what I called my career and income course.
