
[00:00:00.000 --> 00:00:06.000]   The holidays start here at Ralph's with a variety of options to celebrate traditions old and new.
[00:00:06.000 --> 00:00:10.000]   You could do a classic herb roasted turkey or spice it up and make turkey tacos.
[00:00:10.000 --> 00:00:17.000]   Serve up a go-to shrimp cocktail or use Simple Truth wild-caught shrimp for your first Cajun risotto.
[00:00:17.000 --> 00:00:22.000]   Make creamy mac and cheese or a spinach artichoke fondue from our selection of Murray's cheese.
[00:00:22.000 --> 00:00:28.000]   No matter how you shop, Ralph's has all the freshest ingredients to embrace all your holiday traditions.
[00:00:28.000 --> 00:00:30.000]   Ralph's fresh for everyone.
[00:00:30.000 --> 00:00:33.000]   Today on Radical Personal Finance is live Q&A.
[00:00:33.000 --> 00:00:49.000]   [Music]
[00:00:49.000 --> 00:00:53.000]   Welcome to Radical Personal Finance, the show dedicated to providing you with the knowledge, skills, insight,
[00:00:53.000 --> 00:00:56.000]   and encouragement you need to live a rich and meaningful life now
[00:00:56.000 --> 00:00:59.000]   while building a plan for financial freedom in 10 years or less.
[00:00:59.000 --> 00:01:04.000]   My name is Joshua Sheets. I'm your host. Today is Friday, November 4, 2022.
[00:01:04.000 --> 00:01:12.000]   And on this Friday, as we do any Friday where I can arrange the appropriate technology, we do live Q&A.
[00:01:12.000 --> 00:01:21.000]   [Music]
[00:01:21.000 --> 00:01:24.000]   This is your first Friday show. Welcome. I'm glad that you are here.
[00:01:24.000 --> 00:01:28.000]   Do you think it works just like Call & Talk Radio works or I guess used to work, does work?
[00:01:28.000 --> 00:01:35.000]   Interestingly, Call & Talk Radio, there is still some kind of like live interaction,
[00:01:35.000 --> 00:01:40.000]   but a lot of that happens on a local show.
[00:01:40.000 --> 00:01:46.000]   So if you have a local show where you just have a radio host who's going through and working with callers regularly,
[00:01:46.000 --> 00:01:49.000]   they still do that live interaction.
[00:01:49.000 --> 00:01:57.000]   But if you go to a larger show, if there are callers, obviously we know that talk radio show hosts have screened calls forever.
[00:01:57.000 --> 00:02:04.000]   But if you look at like Dave Ramsey, for example, right, here's a mega king of financial talk radio.
[00:02:04.000 --> 00:02:08.000]   None of his stuff is actually live anymore. He doesn't just take callers.
[00:02:08.000 --> 00:02:11.000]   What happens is people call in, they speak to a call screener.
[00:02:11.000 --> 00:02:19.000]   The call screener very carefully screens callers for interesting case, interesting facts,
[00:02:19.000 --> 00:02:23.000]   whatever it is that he's trying to accomplish with how he performs his radio show.
[00:02:23.000 --> 00:02:29.000]   He's trying to appeal to a certain demographic and so he screens calls based upon the content of the questions, etc.
[00:02:29.000 --> 00:02:36.000]   And then a time is assigned and then they'll deal with those often in advance.
[00:02:36.000 --> 00:02:41.000]   So I'm not saying he doesn't do live radio. And by the way, none of this is, I'm not saying any harm about it.
[00:02:41.000 --> 00:02:45.000]   I just thought you might be interested in knowing some of what I've learned being in this industry and going around and learning.
[00:02:45.000 --> 00:02:47.000]   I'm not saying there's anything wrong with this.
[00:02:47.000 --> 00:02:56.000]   He does still do live shows, but the calls are generally, for the vast majority of time, are generally pre-planned, pre-screened, pre-programmed.
[00:02:56.000 --> 00:03:03.000]   And then frequently he will record shows and then they'll be released as live and then you can do them afterwards, which I think is great.
[00:03:03.000 --> 00:03:07.000]   But I guess my only point was, number one, I thought you might enjoy knowing that.
[00:03:07.000 --> 00:03:13.000]   But if you want real call live radio where I don't screen the calls, you guys self-select.
[00:03:13.000 --> 00:03:19.000]   I hit go on the phone line and people show up. Then, of course, you need to be here at Radical Personal Finance.
[00:03:19.000 --> 00:03:23.000]   So let's begin with Andrew in Wisconsin. Let's see if you can stump me today.
[00:03:23.000 --> 00:03:25.000]   Andrew, welcome to the show. How are you today?
[00:03:25.000 --> 00:03:27.000]   Hey, Joshua. I'm doing well. How are you?
[00:03:27.000 --> 00:03:29.000]   Very well, sir.
[00:03:29.000 --> 00:03:33.000]   Good. Thank you for all your time today and all of your work.
[00:03:33.000 --> 00:03:36.000]   The situation is my wife and I, we live here in the U.S.
[00:03:36.000 --> 00:03:45.000]   We have no intention of immediately leaving, but we're trying to create a strategy of a backup residency in a location that's physically nearby
[00:03:45.000 --> 00:03:49.000]   and having a citizenship that we can travel around if that would ever become needed.
[00:03:49.000 --> 00:03:54.000]   We have a second meeting with our local Mexican consulate in a couple of weeks.
[00:03:54.000 --> 00:04:03.000]   This should check the box for the local residency permit in the country that we enjoy spending time in with no physical presence.
[00:04:03.000 --> 00:04:07.000]   Since we don't plan on going there right now, we can see ourselves living there in the future.
[00:04:07.000 --> 00:04:11.000]   My question revolves around obtaining a second citizenship.
[00:04:11.000 --> 00:04:20.000]   We've been trying to decide between purchasing a Caribbean CBI versus the Portugal Golden Visa, which could lead to the naturalization.
[00:04:20.000 --> 00:04:29.000]   Both would be beneficial during normal times, but where we're getting hung up is trying to decide which would be better during, say, another global pandemic
