
[00:00:00.000 --> 00:00:02.180]   (beeping)
[00:00:02.180 --> 00:00:13.160]   - This is Ask the Compound.
[00:00:13.160 --> 00:00:15.980]   Our email here is askthecompoundshow@gmail.com.
[00:00:15.980 --> 00:00:18.100]   We get questions every week from people on YouTube,
[00:00:18.100 --> 00:00:21.220]   email, Twitter, wherever.
[00:00:21.220 --> 00:00:22.060]   Always good ones.
[00:00:22.060 --> 00:00:22.880]   We got a bunch of good ones today.
[00:00:22.880 --> 00:00:25.700]   I even said to our expert guest host
[00:00:25.700 --> 00:00:28.460]   who kept coming on that we got some good ones.
[00:00:29.420 --> 00:00:31.120]   Today's show is sponsored by Future Proof.
[00:00:31.120 --> 00:00:32.040]   We're getting there.
[00:00:32.040 --> 00:00:33.540]   I was just telling someone,
[00:00:33.540 --> 00:00:35.480]   I always get really sad when the summer's over
[00:00:35.480 --> 00:00:37.380]   because I hate cold weather,
[00:00:37.380 --> 00:00:39.600]   which doesn't make sense since I live in Michigan.
[00:00:39.600 --> 00:00:41.480]   But Future Proof, being in the middle of September,
[00:00:41.480 --> 00:00:42.720]   gives me something to look forward to
[00:00:42.720 --> 00:00:45.360]   to extend the summer a little bit.
[00:00:45.360 --> 00:00:47.760]   So they tell me August 15th is the last day
[00:00:47.760 --> 00:00:50.440]   that you can register for the conference
[00:00:50.440 --> 00:00:53.260]   and still get a discounted ticket.
[00:00:53.260 --> 00:00:56.880]   Duncan may or may not be running a meetup
[00:00:56.880 --> 00:00:59.620]   for compound people, right?
[00:00:59.620 --> 00:01:00.660]   - It's true.
[00:01:00.660 --> 00:01:03.380]   We're trying to keep it nice and pretty intimate, though,
[00:01:03.380 --> 00:01:06.220]   so don't tell everyone on a live stream or anything.
[00:01:06.220 --> 00:01:08.820]   - Yeah, I kept out of the bag.
[00:01:08.820 --> 00:01:11.300]   Futureproof.advisorscircle.com.
[00:01:11.300 --> 00:01:12.220]   It's gonna be a blast.
[00:01:12.220 --> 00:01:13.700]   Can't wait.
[00:01:13.700 --> 00:01:15.380]   - Yeah, I can't wait.
[00:01:15.380 --> 00:01:16.380]   - Let's do a question.
