
[00:00:00.000 --> 00:00:08.920]   so there's a myth that coca-cola at one point had cocaine in it not just the coca leaf but
[00:00:08.920 --> 00:00:16.760]   actual cocaine but then you hear various versions of this myth slash legend what's the deal with
[00:00:16.760 --> 00:00:23.060]   coca-cola the coca leaf and cocaine yeah so it's a it's a great old story i had john pemberton was
[00:00:23.060 --> 00:00:32.400]   a pharmacist in atlanta home of coca-cola these days and developed a formula that contained the
[00:00:32.400 --> 00:00:43.220]   coca leaf extract from the coca leaf and extract from the cola nut so coca-cola and put this together
[00:00:43.220 --> 00:00:50.000]   sold it as a tonic it's an interesting just a quick segue on soft drinks in general so soft drinks came
[00:00:50.000 --> 00:00:55.700]   about because they weren't hard drinks so it was an alternative to liquor so they weren't hard
[00:00:55.700 --> 00:01:03.120]   alcohol they were soft drinks or soft beverages they also generally had effervescence to them or
[00:01:03.120 --> 00:01:10.720]   carbonation and most of those were available at a pharmacist soda fountain so 7up had lithium in it
[00:01:10.720 --> 00:01:19.540]   in the past and it was um you know for mind wellness um pepsi had pepsinogen which is a digestive peptide
[00:01:19.540 --> 00:01:26.540]   in it um most of the soft drinks dr pepper was developed by dr pepper in waco texas and was a
[00:01:26.540 --> 00:01:31.740]   special formula that he had come up with for well-being as well so all these soft drinks have a
[00:01:31.740 --> 00:01:40.460]   really cool history but john pemberton's story of coca-cola was it actually goes way back further than
[00:01:40.460 --> 00:01:47.520]   coca-cola in terms of putting uh coca leaf into beverages um but we'll we'll just stick with coca-cola
[00:01:47.520 --> 00:01:57.400]   so coca-cola um definitely had cocaine in it in in its original setting um and then as time went on
[00:01:57.400 --> 00:02:03.360]   and we realized that cocaine was problematic and addictive um there was pressure for him to take
[00:02:03.360 --> 00:02:11.480]   that out of of the process and so and what they realized was the coca leaf in in many people that
[00:02:11.480 --> 00:02:18.520]   chew coca leaf talk about the different varieties that are available within south uh america and
[00:02:18.520 --> 00:02:25.640]   different flavor profiles that are there well the the specific um one that they use for coca-cola has a
[00:02:25.640 --> 00:02:36.060]   a definitive flavor profile to it and when they took that out it lost the flavor that people were used
[00:02:36.060 --> 00:02:44.800]   to um and so they they decided to keep this in there and coca-cola is still the major importer of coca
[00:02:44.800 --> 00:02:50.280]   leaves into the united states to this day they do it through a company called the stepan company in new jersey
[00:02:50.280 --> 00:03:00.120]   the leaf comes from peru uh comes from a state-run company in peru that oversees the production of the coca leaf
[00:03:00.120 --> 00:03:09.840]   comes into uh this company in new jersey they then process the leaf into um two parts so they take all of the
[00:03:09.840 --> 00:03:15.660]   cocaine and all of the cocaine metabolites essentially the alkaloids right we talked about these alkaloids
[00:03:15.660 --> 00:03:21.660]   they take the alkaloids out and that gets sent to a pharmaceutical company and those are processed
[00:03:21.660 --> 00:03:26.080]   into cocaine which is used as a pharmaceutical still to this day
