
[00:00:00.040 --> 00:00:09.520]   Muss
[00:00:09.520 --> 00:00:10.320]   ma ma. I have a
[00:00:10.320 --> 00:00:11.060]   Book tracking
[00:00:11.060 --> 00:00:29.660]  GA property is a cas as is theизнесCDG resonance
[00:00:30.060 --> 00:00:42.900]   Welcome to Radical Personal Finance, the show dedicated to providing you with the knowledge, skills, insight, and encouragement you need to live a rich and meaningful life now while building a plan for financial freedom in 10 years or less.
[00:00:42.900 --> 00:00:48.400]   My name is Joshua. I am your host, and I have a unique show today for you that is very current.
[00:00:48.400 --> 00:00:53.480]   And in this show, we're going to talk about living the rich life.
[00:00:53.480 --> 00:01:00.060]   I am preempting the show that I've just recorded and deleted, wherein I was answering more questions.
[00:01:00.060 --> 00:01:00.080]   I am preempting the show that I've just recorded and deleted, wherein I was answering more questions.
[00:01:00.080 --> 00:01:00.080]   I am preempting the show that I've just recorded and deleted, wherein I was answering more questions.
[00:01:00.080 --> 00:01:00.080]   I am preempting the show that I've just recorded and deleted, wherein I was answering more questions.
[00:01:00.080 --> 00:01:00.080]   I am preempting the show that I've just recorded and deleted, wherein I was answering more questions.
[00:01:00.120 --> 00:01:11.540]   I
[00:01:11.540 --> 00:01:29.020]  line, I have a book. I have a YouTube, and,,,, ugh packet
[00:01:29.480 --> 00:01:35.420]   ado. I have a book. I have a Patreon. I have a Patreon account. I'm working very
[00:01:35.420 --> 00:01:41.520]   diligent with Patreon to get back in. It's a moderate length story, but basically, um,
[00:01:41.520 --> 00:01:46.760]   I'll skip the story because I want to do this in three minutes. I said there was a discount code
[00:01:46.760 --> 00:01:50.420]   in Patreon because I thought I would be able to get it in there by the time that that show where
[00:01:50.420 --> 00:01:58.800]   I said that was in there went live. Unfortunately, I haven't. Uh, so if you are a
[00:01:58.800 --> 00:01:58.800]   I'm working diligently to get back into the account. I'm working diligently to get back into the
[00:01:58.800 --> 00:01:58.800]   account. I'm working diligently to get back into the account. I'm working diligently to get back
[00:01:58.800 --> 00:01:58.800]   I'm working diligently to get back into the account. I'm working diligently to get back into the
[00:01:58.800 --> 00:01:58.800]   account. I'm working diligently to get back into the account. I'm working diligently to get back into the
[00:01:59.780 --> 00:02:28.700]   I'm working diligently to get back into the account. I'm working diligently to get back into the account. I'm working
[00:02:28.720 --> 00:02:28.940]   I'm working diligently to get back into the account. I'm working diligently to get back into the account. I'm working
[00:02:28.940 --> 00:02:28.940]   I'm working diligently to get back into the account. I'm working diligently to get back into the account. I'm working
[00:02:28.940 --> 00:02:28.940]   I'm working diligently to get back into the account. I'm working diligently to get back into the account. I'm working
[00:02:28.940 --> 00:02:28.940]   I'm working diligently to get back into the account. I'm working
[00:02:28.940 --> 00:02:28.940]   I'm working diligently to get back into the account. I'm working
[00:02:28.940 --> 00:02:28.940]   I'm working diligently to get back into the account. I'm working
[00:02:28.940 --> 00:02:28.940]   I'm working diligently to get back into the account. I'm working
[00:02:28.940 --> 00:02:28.940]   I'm working diligently to get back into the account. I'm working
[00:02:28.940 --> 00:02:31.060]   I'm working diligently to get back into the account. I'm working
[00:02:31.060 --> 00:02:31.780]   I'm working diligently to get back into the account. I'm working
[00:02:31.780 --> 00:02:58.060]   I'm working diligently to get back into the account. I'm working
[00:02:58.080 --> 00:03:27.960]  ,
[00:03:27.960 --> 00:03:28.080]   I'm working diligently to get back into the account. I'm working
