
[00:00:00.000 --> 00:00:20.160]   yes AI and a case study on the New York Times connections which is the team that I work on is
[00:00:20.160 --> 00:00:28.200]   our games team and I work on our popular games if anyone's heard of connections before or played
[00:00:28.200 --> 00:00:35.400]   connections or not since some people might have so again a little bit about me a game developer at
[00:00:35.400 --> 00:00:42.720]   the Times I worked previously in media for most of my career and I have a background in machine
[00:00:42.720 --> 00:00:47.940]   learning mobile development and data science so the majority of this talk is going to probably
[00:00:47.940 --> 00:00:54.660]   involve a little bit of all of those so caveats about you're about to see and I'll get through as
[00:00:54.660 --> 00:00:59.280]   much of it as I can because it's some of it's a little bit dense but this is my own independent
[00:00:59.280 --> 00:01:04.200]   research and experimentation it's not based on our internal research we do have internal research and
[00:01:04.200 --> 00:01:10.620]   just need to clarify that separation results of this work are preliminary and subject to refinement with
[00:01:10.620 --> 00:01:18.720]   additional experimentation and the purpose of this work is investigatory not authoritative so it's mostly
[00:01:18.720 --> 00:01:27.600]   me trying to kind of look into the realm of AI problem solving in the game space through our games and
[00:01:27.600 --> 00:01:33.660]   it's mostly like a fun exercise there does exist third-party research and AI as it resolves as it
[00:01:33.660 --> 00:01:38.940]   relates to solving connections and other games but and that's an inspiration here for this project but the
[00:01:38.940 --> 00:01:45.120]   processes and everything that I'm describing here I did on my own with my own research so for those of you
[00:01:45.120 --> 00:01:51.820]   who are not familiar with the game connections was launched by the New York Times in June of 2023 into beta and
[00:01:51.820 --> 00:01:59.500]   officially released in August of 2023 to the greater world the game is edited by Winna Lu who's a awesome editor at the
[00:01:59.500 --> 00:02:03.120]   times that I work with on games and she creates the puzzles for connections it quickly became one of the New York Times most played game second only to wordle with hundreds of millions of plays within its first year and
[00:02:03.120 --> 00:02:30.120]   just to mention all the connections puzzles and game itself game the game mechanics and the programming etc are human made now and forever so all of our properties that fall into that category so the game is on the right in case you have your mobile apps want to download it so how connections works each so you have a daily puzzle and the game is on the right in case you have your mobile apps want to download it so how connections works each so you have a daily puzzle and the game is on the right in case you have your mobile apps want to download it so how connections works
[00:02:30.120 --> 00:02:42.120]   you have your mobile apps want to download it so you have your mobile apps want to download it so you have a daily puzzle and each puzzle provides 16 words to be grouped the visualization on the right is kind of demonstrating play the goal is to form four groups of words of four groups of four related words
[00:02:42.120 --> 00:02:57.120]   each word belongs only to one group and each word belongs only to one group no overlaps and players can make up to four incorrect guesses before losing so you can see that as the game finishes this particular situation the person has won the game
[00:02:57.120 --> 00:03:15.120]   so this is where the AI and data science and etc start to come into play there's a difficulty structure to connections so people who play the game probably know that the easiest category is yellow where yellow is like the most obvious when you actually solve the game the most obvious connections are within the yellow category
[00:03:15.120 --> 00:03:23.120]   green is the slightly less obvious connections where you have to kind of stretch a little to think but once you get those it's kind of like okay this is kind of obvious
[00:03:23.120 --> 00:03:33.120]   why how these things are related the blue category is trickier themes where you have things like sayings idiomatic lexical or trivia based themes
[00:03:33.120 --> 00:03:42.120]   and then purple is the infamous purple for those of who you think of the game is a difficult game is the category that usually trips up most people from a perfect win and
[00:03:42.120 --> 00:03:49.120]   that's because there's a concept of decoy slash overlap slash misleads that are associated with the purple category
[00:03:49.120 --> 00:04:00.120]   so why is it an interesting game via AI analysis and standards so it can actually challenge AI's ability to abstractly reason
[00:04:00.120 --> 00:04:06.120]   and now at some point in time we all believe that LLMs can do absolutely everything and some people think that's true
[00:04:06.120 --> 00:04:14.120]   but one thing that connections has done throughout the course of its time period is actually challenged LLMs to actually have a hundred percent solve rate
[00:04:14.120 --> 00:04:21.120]   the game's intentional decoys tests whether AI can over avoid overfitting or superficial similarities
[00:04:21.120 --> 00:04:29.120]   each solution requires clean and explainable well aligned in with AI transparency so like for example if you want to figure out how AI reasoned it is
[00:04:29.120 --> 00:04:35.120]   how AI reasoned through a game this is an actual good like process because you do need some sort of reasoning
[00:04:35.120 --> 00:04:42.120]   and perhaps abstract reasoning to solves like the difficult or purple category and you get to see how AI thinks about that
[00:04:42.120 --> 00:04:58.120]   there's fixed input solutions make it a reproducible and scalable testbed so one of the interesting things that I like about this game particularly is because it is a could be a potential benchmarking tool and people have uses as such to test the capabilities of AI and since the puzzles are the same and
[00:04:58.120 --> 00:05:06.120]   playable you can repeat this process and this is just me entering the puzzle in ChatGPT and ChatGPT giving the wrong solution
[00:05:06.120 --> 00:05:15.120]   this is sort of like unfair comparison because this is the 4.0 model the higher models do give better reasoning but that's not exactly I'll go into that a little later if I get to time
[00:05:15.120 --> 00:05:43.120]   and so how do humans solve connections there's the concept of system one versus system two thinking I'm guessing many people might be familiar with this concept it came out in the 90s and it's so system one thinking is when you're trying to intuit relationships very fast when you see two things that are obviously part of the same category you don't have to think so much your brain sort of makes that automatic judgment
[00:05:43.120 --> 00:06:01.120]   system two which is slow and deliberate thinking is where you have like the sort of deep kind of reasoning which you need to perform and that's where you're like oh I'm struggling I don't know if this belongs to one or two let me use my knowledge base and then in order to solve the games most effectively most people use a high
