
[00:00:00.000 --> 00:00:10.920]   Hello, and welcome to the Everyday Educator, a podcast where we explore the beauty, challenges,
[00:00:10.920 --> 00:00:16.960]   and calling of classical Christian homeschooling through classical conversations. I'm your
[00:00:16.960 --> 00:00:23.260]   host, Kelly Wilt, and today's episode is for the parents who are standing on the edge
[00:00:23.260 --> 00:00:29.260]   of a big decision, the ones who might feel the tug to homeschool but wonder, am I really
[00:00:29.260 --> 00:00:35.500]   ready for this? And if you've ever wrestled with doubts, questions, or fears about starting
[00:00:35.500 --> 00:00:41.360]   this journey, you, my friend, are definitely not alone. In today's conversation, I'm sitting
[00:00:41.360 --> 00:00:47.100]   down with two moms who have been in your shoes. Lynn and Deedee, thank you so much for being
[00:00:47.100 --> 00:00:52.560]   my guest here today. Can you take a moment to introduce yourselves to our listeners, and
[00:00:52.560 --> 00:00:58.520]   Lynn, we'll start with you. Hello, my name is Lynn Patti. I have been homeschooling for
[00:00:58.520 --> 00:01:06.140]   13 years. Eight of those have been with CC, with classical conversations. My children,
[00:01:06.140 --> 00:01:14.120]   I have five children, and they go from seven to 17. My husband is a software developer, so
[00:01:14.120 --> 00:01:19.700]   he works at home, we homeschool at home, and our house is definitely very busy. It's like
[00:01:19.700 --> 00:01:27.060]   Grand Central Station. And I am just very, very passionate about the subject, about getting
[00:01:27.060 --> 00:01:34.780]   moms engaged with that conversation about homeschool, where to start, what to do. I love this stuff.
[00:01:34.780 --> 00:01:43.600]   So yeah, Deedee, go ahead. Okay. Hi, everyone. My name is Deedee, and I have four kids from 10
[00:01:43.600 --> 00:01:48.760]   years old to 17 years old to 17 years old. My husband works at the bank, and we have been in
[00:01:48.760 --> 00:01:55.780]   Charlotte for about 12 years now. I used to come from corporate America background, so we lived in
[00:01:55.780 --> 00:02:02.300]   California, Florida, and currently Charlotte for my job moving around. So homeschooling now has really
[00:02:02.300 --> 00:02:08.400]   been an opportunity to just feel settled as a family and kind of reclaim my sense of motherhood,
[00:02:08.400 --> 00:02:14.480]   honestly. So I do enjoy talking about this as well, because it's easier than you think to start.
[00:02:14.480 --> 00:02:22.060]   I like that. I like that intro to what we're going to talk about today. And, you know, during this
[00:02:22.060 --> 00:02:27.360]   podcast today, we're going to talk about what, quote unquote, readiness really looks like and how to
[00:02:27.360 --> 00:02:34.340]   prepare for homeschooling, both practically and spiritually, and how God's grace fills all of the
[00:02:34.340 --> 00:02:41.040]   gaps that we might feel so deeply. If you've ever asked yourself, am I enough? Is this enough? This
[00:02:41.040 --> 00:02:46.840]   podcast today is for you. So if you're watching, grab your coffee or your laundry basket, because we've all
[00:02:46.840 --> 00:02:53.880]   been there, and settle in. And let's talk about having the courage to begin even before you feel
[00:02:53.880 --> 00:03:00.920]   completely ready. So ladies, I'm going to start with this question. And Lynn, I'm going to direct this to you
[00:03:00.920 --> 00:03:07.720]   first. What first sparked your interest in homeschooling? And how did you know that homeschooling
[00:03:07.720 --> 00:03:14.240]   was the right choice for your family? Thanks, Kelly. Yeah, we were living in Los Angeles at the
[00:03:14.240 --> 00:03:22.500]   time. It was 2012. And I had come from a public, I was an educator and in public schools. I was actually
[00:03:22.500 --> 00:03:28.420]   a music teacher. But I was like, let's go tour the local school where my daughter, Emma would go.
[00:03:28.420 --> 00:03:34.520]   And we went and I was definitely like, Oh, I don't think this is good. You know, and then it's like,
[00:03:34.520 --> 00:03:41.240]   well, there's no way we can do private school because that's just out of our budget. And so my friend who
[00:03:41.240 --> 00:03:46.540]   had moved up to Washington State, she's like, you know, we're going to do this thing called classical
