
[00:00:00.080 --> 00:00:04.720]   Traveling for free isn't just about earning points, it's about using them smartly.
[00:00:04.720 --> 00:00:09.280]   But if you've ever searched for a ward space and come up empty, burned more points than you should
[00:00:09.280 --> 00:00:13.840]   have, or run into other roadblocks getting the most out of your points and miles, don't worry,
[00:00:13.840 --> 00:00:18.560]   you're not alone. It's something we all face. So today I'm going to share 18 of my favorite
[00:00:18.560 --> 00:00:23.360]   tricks for actually redeeming those points for flights and hotels, including how to find the
[00:00:23.360 --> 00:00:28.240]   best deals, navigate airline rules, and make sure you're never stuck paying more than you should.
[00:00:28.240 --> 00:00:32.320]   I'm Chris Hutchins. If you enjoyed this episode, please share it with a friend or leave a comment
[00:00:32.320 --> 00:00:37.120]   or review. And if you want to keep upgrading your life, money, and travel, click follow or subscribe.
[00:00:37.120 --> 00:00:42.240]   I am really excited to help you all use your points and miles to book some incredible travel.
[00:00:42.240 --> 00:00:46.560]   And if you're not familiar or you haven't been listening for a while, I just want to remind
[00:00:46.560 --> 00:00:51.920]   everyone that sometimes the best way to get outsized value from your points and miles is to transfer
[00:00:51.920 --> 00:00:56.960]   those points and miles to airlines or hotel groups, or maybe you already have points and miles sitting
[00:00:56.960 --> 00:01:02.080]   in an airline or a hotel program from flying or staying with them. And so today's episode is
[00:01:02.080 --> 00:01:06.640]   really about figuring out how to use those airline points and miles, whether you've earned them in
[00:01:06.640 --> 00:01:11.280]   that program or transfer them from a credit card so that you can get the most out of it. Oh, and for
[00:01:11.280 --> 00:01:16.400]   anyone not familiar, when I say award redemptions or award travel, that just means travel booked with
[00:01:16.400 --> 00:01:19.920]   those points and miles. Okay, so and here's how we're going to break the episode down. I'm going to
[00:01:19.920 --> 00:01:24.880]   start with the foundational strategies that make or break most award redemptions. These are things like
[00:01:24.880 --> 00:01:30.000]   flexibility, booking windows, search tools, and how to understand program rules. From there,
[00:01:30.000 --> 00:01:35.600]   we'll dive into all the tactics for finding and booking, including sweet spots, hidden availability,
[00:01:35.600 --> 00:01:41.200]   stopovers, leveraging positioning flights, and more. Then I'll get into a few things that I know trip
[00:01:41.200 --> 00:01:46.720]   people up like fees, travel coverage, and married segment logic. Finally, we'll wrap with some hotel
[00:01:46.720 --> 00:01:52.880]   specific advice and a few niche but very helpful tricks for families and Southwest travelers. So whether you're
[00:01:52.880 --> 00:01:57.200]   booking your very first award trip or you've been doing this a while and you just want to keep leveling
[00:01:57.200 --> 00:02:02.080]   up your strategy, I promise there is something in this episode that's going to help you travel better,
[00:02:02.080 --> 00:02:07.360]   use fewer points and miles than you expected, and enjoy your next vacation even more. So let's start
[00:02:07.360 --> 00:02:13.120]   with flexibility, which is the first thing I want to talk about because the most successful award travelers
[00:02:13.120 --> 00:02:18.320]   tend to be flexible on some aspect of their trip. But I think sometimes people get caught up on what
[00:02:18.320 --> 00:02:24.160]   flexibility means and they think, "Oh, flexibility, it's just about being able to fly on any date and I
[00:02:24.160 --> 00:02:29.360]   can't do that because I only have specific dates off work." Well, that's not true. When I say flexibility
[00:02:29.360 --> 00:02:35.840]   and that flexibility unlocks so much, that could be flexibility with your dates for sure. If you could go
[00:02:35.840 --> 00:02:40.800]   to Europe and you can go anytime, that's going to make it even easier to find a great deal. But it also
[00:02:40.800 --> 00:02:47.360]   could be flexibility around where you go. So you might say, "I have very specific dates but I'm willing
[00:02:47.360 --> 00:02:52.240]   to go anywhere." It might be flexibility on what airlines you fly on. I meet some people who say,
[00:02:52.240 --> 00:02:56.640]   "I really only want to fly Delta." Well, that's going to make it really tricky. But if you're flexible on,
[00:02:56.640 --> 00:03:02.080]   well, I don't care where I go. Or I don't care if I have to change planes a few times. Or if I route
[00:03:02.080 --> 00:03:07.600]   a different way, like from California down to Florida to get to Europe. That might not be the
[00:03:07.600 --> 00:03:13.200]   most direct path there, but it might be the path that has the best deal. And at certain points of
[00:03:13.200 --> 00:03:18.160]   your journey in this points and miles game, that might be what you're optimizing for. It might be
[00:03:18.160 --> 00:03:23.200]   flexibility on which cabin you're in. If you're just trying to redeem first class or business class,
[00:03:23.200 --> 00:03:28.160]   that could be a little harder. Not impossible by any stretch, right? I've done it hundreds of times.
[00:03:28.160 --> 00:03:32.240]   But if you're flying economy or premium economy, that might make things even easier.
[00:03:32.240 --> 00:03:37.840]   And then another one that I think a lot of people don't always think about is the flexibility around
[00:03:37.840 --> 00:03:41.680]   when you can lock in the trip. I know a lot of people who say, "Well, I want to go to Europe and
[00:03:41.680 --> 00:03:46.320]   I want to go this week. And in fact, I really want to go to Paris." And I say, "Well, the one piece of
[00:03:46.320 --> 00:03:52.320]   flexibility it sounds like maybe you could have is when you book the trip." Because if you wait till
[00:03:52.320 --> 00:03:58.080]   the last minute, you might get a really amazing deal. Or if you can plan it over a year in advance,
[00:03:58.080 --> 00:04:02.880]   you might get the best deal. So deciding when you're going to be able to book that trip is another form
[00:04:02.880 --> 00:04:08.080]   of flexibility. Because the average traveler is looking to book a trip somewhere around, I think,
[00:04:08.080 --> 00:04:12.960]   three to four months out. So if you can deviate from that and book it a year out, or if you're comfortable
[00:04:12.960 --> 00:04:18.720]   waiting until two weeks out, things open up so drastically in that last two-week window that
[00:04:18.720 --> 00:04:25.040]   I would argue that that's kind of the best time to buy. But I'm going to share a few tactics to make
[00:04:25.040 --> 00:04:31.040]   that less stressful because I know very well, I've had many conversations with my wife, the idea of waiting
[00:04:31.040 --> 00:04:36.400]   until a few days before we leave to know that the trip is even happening can be really stressful.
[00:04:36.400 --> 00:04:39.840]   So there are ways to avoid that. And we're going to talk about them. One other thing, actually,
[00:04:39.840 --> 00:04:45.200]   that we are using for a trip to Japan next year is we didn't have flexibility on dates. We didn't have
[00:04:45.200 --> 00:04:49.920]   flexibility on when we wanted to go. And honestly, with two young kids, we didn't want to be flexible
[00:04:49.920 --> 00:04:55.680]   about the weather we changed stops. We wanted to go direct. And honestly, we wanted to go direct
[00:04:55.680 --> 00:05:01.920]   on a flight in business class. So where we were flexible is we were able to find flights, one from San
[00:05:01.920 --> 00:05:07.360]   Francisco to Haneda and one from San Francisco to Narita, the two different Tokyo airports.
[00:05:07.360 --> 00:05:11.760]   And so my wife and I, at least right now, and we'll talk about what might change over the next coming
[00:05:11.760 --> 00:05:16.800]   months. But we split up and each of us is on one of those flights with one of our children. And so that
[00:05:16.800 --> 00:05:21.840]   is another form of flexibility. So I think you've got to decide where you can be flexible. And the more
[00:05:21.840 --> 00:05:27.200]   flexible you are, the easier it's going to be to find amazing deals. But even if you're not flexible,
[00:05:27.200 --> 00:05:30.320]   I think you can still find great deals. And we're going to walk through a lot of ways that we're going
[00:05:30.320 --> 00:05:34.560]   to make that happen. The next thing I want you to understand is that almost every airline has a
[00:05:34.560 --> 00:05:39.440]   handful of different airline partners. Now, sometimes those are part of the big three airline alliances,
[00:05:39.440 --> 00:05:44.240]   SkyTeam, One World and Star Alliance. And sometimes they're just one-off partnerships. Like Alaska has a
[00:05:44.240 --> 00:05:49.360]   one-off partnership with Condor, which gives you access to a bunch of flights to Europe from the US,
[00:05:49.360 --> 00:05:54.480]   even though Condor is not part of the One World Alliance. And every single one of those partners has a
[00:05:54.480 --> 00:05:59.680]   different award price, a different fee structure, and a different way things operate. So just to
[00:05:59.680 --> 00:06:03.760]   point an example out, I'm going to look at this one flight right now. It's a flight from Boston to
[00:06:03.760 --> 00:06:10.400]   Amsterdam on Delta. And the retail price of that flight right now is $2,700. And you can book it with
[00:06:10.400 --> 00:06:18.320]   Delta miles. It's 240,000 Delta miles plus $6 in taxes and fees. Now, that's a lot of points. Maybe that's a
[00:06:18.320 --> 00:06:23.760]   better deal than spending $2,700 if you really want to be on this flight. But if you look at the other
[00:06:23.760 --> 00:06:28.160]   options, and I'm using a tool called point.me, but we're going to talk about some other tools today,
[00:06:28.160 --> 00:06:35.440]   you can actually book that flight for as low as 47,500 points using Virgin Atlantic Flying Club. And at
[00:06:35.440 --> 00:06:39.840]   first glance, you might say, well, that sounds like a great deal. That's way less than 240,000 points.
[00:06:39.840 --> 00:06:45.680]   But Virgin Atlantic is one of the airlines that, depending on the route, can have really high fees. And so the fees on
[00:06:45.680 --> 00:06:55.440]   this flight are $1,054. I think I'd still rather pay 47,500 points plus 1,054 than 240,000 Delta points. And it's even
[00:06:55.440 --> 00:07:00.720]   better if you have chase points, because right now there's a 25% transfer bonus. So you'd actually only need
[00:07:00.720 --> 00:07:08.240]   38,000 chase points to be able to have 47,500 Virgin points. But neither of those are as exciting as the fact that
[00:07:08.240 --> 00:07:14.320]   Flying Blue, which is the frequent flyer program of KLM and Air France, you could book the same flight for
[00:07:14.320 --> 00:07:22.000]   64,500 points and only $33 in taxes and fees. So let's ignore the Virgin Atlantic option now because
[00:07:22.000 --> 00:07:32.480]   such high fees and say, Delta, 240,000 points, $6. Flying Blue, 64,500 points, $33. Way better deal.
[00:07:32.480 --> 00:07:36.960]   Now, you could also book it through Korean Air for 80,000 points. But I'm going to guess most of you
[00:07:36.960 --> 00:07:41.280]   you don't have Korean Air miles because it's very difficult to obtain them if you're not flying on
[00:07:41.280 --> 00:07:46.400]   Korean Air because they're not a transfer partner of anyone. So that's just an example of how it can be
[00:07:46.400 --> 00:07:51.680]   much, much cheaper to go look at other programs. And if you were stuck in the mindset of I'm flying on
[00:07:51.680 --> 00:07:55.840]   Delta, I should book through Delta, you might completely miss the fact that there are so many
[00:07:55.840 --> 00:08:01.760]   great ways to book it. And in this particular case, Flying Blue and Virgin Atlantic are partners of
[00:08:01.760 --> 00:08:07.680]   Chase, Amex, Built, Capital One, Citi, and Wells Fargo. Basically, if you have transferable points,
[00:08:07.680 --> 00:08:11.840]   you can get them to Air France and Virgin Atlantic and get a way better deal than what you'd get
[00:08:11.840 --> 00:08:15.840]   booking with Delta. Just to paint another example, you can often book American Airlines flights with
[00:08:15.840 --> 00:08:21.280]   British Airways, Avios, which can be a great deal for short domestic flights. But on long haul flights,
[00:08:21.280 --> 00:08:26.960]   Avios similar to Virgin Atlantic often has high taxes and fees. So you'll always want to make sure
[00:08:26.960 --> 00:08:30.080]   you're looking at lots of different airline partners, but we're going to talk about tools
[00:08:30.080 --> 00:08:34.800]   that make that so easy that you almost don't have to think about it. The next is that you want to
[00:08:34.800 --> 00:08:39.360]   understand the different rules of those programs. So yes, sometimes they take different miles,
[00:08:39.360 --> 00:08:44.320]   sometimes they have different taxes and fees, but often they have different cancellation policies.
[00:08:44.320 --> 00:08:48.480]   Now, depending on how certain you are about this travel and how far out it is,
[00:08:48.480 --> 00:08:53.360]   might change how important these policies are. But there's a few airlines that I want to highlight,
[00:08:53.360 --> 00:08:59.600]   like Iberia, which might sound like they have a good deal when you see it, but Iberia awards on
[00:08:59.600 --> 00:09:04.400]   partner airlines are non-refundable. Meaning if you don't take that flight, you cannot get your points
[00:09:04.400 --> 00:09:09.520]   back. So I would strongly advise you, unless you're looking at a flight that leaves in three or four hours
[00:09:09.520 --> 00:09:15.040]   and you're at the airport to not book partner flights through Iberia. Etihad is similar,
[00:09:15.040 --> 00:09:20.960]   except they keep somewhere between 25 and 75% of the points, depending on how far out you cancel it.
[00:09:20.960 --> 00:09:26.560]   But still, that's a massive, massive penalty. Whereas there are lots of airlines, most of the domestic
[00:09:26.560 --> 00:09:33.440]   U.S. ones have no fees. Alaska has a $12.50 fee for partner awards. I know that there are a handful of
[00:09:33.440 --> 00:09:41.040]   European airlines where the fee might be $25 to $50 to $70 to cancel. So in my mind, if I'm planning
[00:09:41.040 --> 00:09:46.000]   a really big family international trip that I'm pretty confident I'm going to take, but the penalty
[00:09:46.000 --> 00:09:51.520]   is $25 or $50 if I have to cancel it and I get all my points and miles back, that's okay. But if it's
[00:09:51.520 --> 00:09:56.160]   more speculative where I'm not even sure if I'm going to take it, sometimes I might pay a few more miles to
[00:09:56.160 --> 00:10:01.520]   be able to book it from a program where I can refund it with no penalty and no cost at all. So that's kind
[00:10:01.520 --> 00:10:06.480]   of how I'm thinking about this. A couple of cool, interesting hacks here. So LifeMiles, which is the
[00:10:06.480 --> 00:10:13.760]   program of Avianca, they actually have high penalties for canceling flights that you booked with points,
[00:10:13.760 --> 00:10:18.160]   but they have this program called LifeMiles Plus. And I think it's somewhere between
[00:10:18.160 --> 00:10:23.120]   $20 and $40 a month and you have to commit for six months. Though when you commit, you get this kind of
[00:10:23.120 --> 00:10:28.480]   monthly deposit of miles, but it completely waives all your award fees. So if you were to book something
[00:10:28.480 --> 00:10:34.240]   and you needed to cancel it and you didn't want to have to pay those fees, it might be cheaper to join LifeMiles Plus
[00:10:34.240 --> 00:10:41.120]   and get all those fees waived. Also United has this ridiculously amazing thing where even if you book a flight with points
[00:10:41.120 --> 00:10:48.000]   and you forget to cancel it and you miss the flight, they will even redeposit the miles on a flight that
[00:10:48.000 --> 00:10:54.160]   you forgot to cancel before it took off for only $125 fee. Now, most airlines, I think you're completely
[00:10:54.160 --> 00:10:59.680]   forfeiting your miles if you don't cancel it before departure. In fact, British Airways one time, I didn't
