
[00:00:00.000 --> 00:00:02.580]   (gentle music)
[00:00:02.580 --> 00:00:07.000]   - Welcome friends to this episode
[00:00:07.000 --> 00:00:09.720]   of the Everyday Educator podcast.
[00:00:09.720 --> 00:00:11.560]   I'm your host, Lisa Bailey,
[00:00:11.560 --> 00:00:15.120]   and I am excited to spend some time with you today
[00:00:15.120 --> 00:00:18.880]   as we encourage one another, learn together,
[00:00:18.880 --> 00:00:21.880]   and ponder the delights and challenges
[00:00:21.880 --> 00:00:25.360]   that make homeschooling the adventure of a lifetime.
[00:00:25.360 --> 00:00:27.560]   Whether you're just considering
[00:00:27.560 --> 00:00:29.560]   this homeschooling possibility
[00:00:29.560 --> 00:00:33.880]   or deep into the daily delight of family learning,
[00:00:33.880 --> 00:00:37.080]   I believe you'll enjoy thinking along with us.
[00:00:37.080 --> 00:00:38.640]   But don't forget,
[00:00:38.640 --> 00:00:42.520]   although this online community is awesome,
[00:00:42.520 --> 00:00:47.520]   you'll find even closer support in a local CC community.
[00:00:47.520 --> 00:00:52.780]   So go to classicalconversations.com
[00:00:52.780 --> 00:00:56.600]   and find a community near you today.
[00:00:57.640 --> 00:00:59.600]   Well, listeners, I have a treat for you,
[00:00:59.600 --> 00:01:02.800]   and actually it's a treat for me too.
[00:01:02.800 --> 00:01:06.300]   I have with me today, Amy Jones.
[00:01:06.300 --> 00:01:11.300]   Amy and I talked several weeks ago about finding wonder,
[00:01:11.300 --> 00:01:15.880]   especially as we begin this new school year
[00:01:15.880 --> 00:01:18.440]   with our children at home.
[00:01:18.440 --> 00:01:22.720]   How can we do more to find wonder
[00:01:22.720 --> 00:01:24.800]   in the world that God has given us?
[00:01:24.800 --> 00:01:28.700]   And how can we bring that wonder into our families
[00:01:28.700 --> 00:01:30.840]   and into our schooling?
[00:01:30.840 --> 00:01:33.640]   And Amy and I didn't get finished talking.
[00:01:33.640 --> 00:01:37.480]   So I invited Amy to come back today,
[00:01:37.480 --> 00:01:42.000]   and we are gonna talk about finding wonder.
[00:01:42.000 --> 00:01:47.000]   And so I put out the podcast as putting on your wonder hat,
[00:01:47.000 --> 00:01:51.120]   because that's something that Amy encouraged me to do
[00:01:51.120 --> 00:01:54.640]   as we prepared to talk together again.
[00:01:54.640 --> 00:01:59.440]   This is just gonna be an hour of encouraging you.
[00:01:59.440 --> 00:02:03.680]   And specifically, we are, as we go,
[00:02:03.680 --> 00:02:08.680]   gonna look at how do we find wonder
[00:02:08.680 --> 00:02:10.840]   with our youngest children?
[00:02:10.840 --> 00:02:13.000]   And we're gonna talk to you a little bit
[00:02:13.000 --> 00:02:17.960]   about how you could use the Scribblers resource,
[00:02:17.960 --> 00:02:21.200]   the brand new Scribblers at Home recipes
[00:02:21.200 --> 00:02:23.880]   from Lifelong Learners resource,
[00:02:23.880 --> 00:02:25.680]   not just with your littlest learners,
[00:02:25.680 --> 00:02:27.180]   but with your whole family.
[00:02:27.180 --> 00:02:32.180]   And it can be a real tool for finding wonder in your day.
[00:02:32.180 --> 00:02:35.820]   So Amy, thank you so much for agreeing
[00:02:35.820 --> 00:02:38.280]   to talk with me about this again.
[00:02:38.280 --> 00:02:39.120]   - Oh, thanks, Lisa.
[00:02:39.120 --> 00:02:43.700]   This is one of the most delightful things I do for my day,
[00:02:43.700 --> 00:02:45.840]   is to contemplate wonder.
[00:02:45.840 --> 00:02:48.640]   - And you're so good at it.
[00:02:48.640 --> 00:02:53.640]   Every time I talk to you about how to find wonder,
[00:02:54.640 --> 00:02:58.960]   for our families and our homeschooling journey,
[00:02:58.960 --> 00:03:02.480]   what I discover, Amy, I'll be really honest,
[00:03:02.480 --> 00:03:06.480]   is a new way that God is calling me, Grandma,
[00:03:06.480 --> 00:03:12.200]   to find wonder in my everyday world
[00:03:12.200 --> 00:03:14.140]   so that I can connect with Him.
[00:03:14.140 --> 00:03:19.140]   And so moms and dads who are listening to this podcast,
[00:03:19.140 --> 00:03:24.040]   we're not encouraging you to find wonder just
[00:03:24.040 --> 00:03:28.600]   so you can show it to your children,
[00:03:28.600 --> 00:03:35.100]   so that you can find wonder that ministers to your soul,
[00:03:35.100 --> 00:03:40.900]   that draws you back into deep fellowship with the Lord.
[00:03:40.900 --> 00:03:46.560]   So hey, maybe it'll be just kind of like a revival
[00:03:46.560 --> 00:03:49.560]   for all of us today as we explore this.
[00:03:49.560 --> 00:03:52.280]   I wanna ask you first though, Amy,
[00:03:52.280 --> 00:03:58.440]   how can we encourage wonder in our families?
[00:03:58.440 --> 00:04:02.600]   What can we do every day to chase the wonder?
[00:04:02.600 --> 00:04:04.920]   - Oh, that's such a great question.
[00:04:04.920 --> 00:04:09.920]   I really love the way the Scribblers lays out
[00:04:09.920 --> 00:04:14.240]   that play, pray, read, explore, serve,
[00:04:15.200 --> 00:04:18.200]   because it's not just for, it's just like you said,
[00:04:18.200 --> 00:04:20.200]   it's not just for our children,
[00:04:20.200 --> 00:04:25.200]   that the rhythm of our day and recognizing in that rhythm
[00:04:25.200 --> 00:04:30.760]   God's presence and having that awareness,
[00:04:30.760 --> 00:04:33.520]   I was just reminded that the scriptures,
[00:04:33.520 --> 00:04:38.340]   like the Psalm about the heavens declaring the glory of God
[00:04:38.340 --> 00:04:43.340]   and Romans telling us that He reveals His divine nature
[00:04:44.240 --> 00:04:47.520]   and eternal power and through the creation.
[00:04:47.520 --> 00:04:51.320]   Those texts were written for adults.
[00:04:51.320 --> 00:04:54.600]   They weren't written for little children to discover.
[00:04:54.600 --> 00:04:57.080]   They're written for us because God knows
[00:04:57.080 --> 00:05:02.080]   that we respond to beauty and that beauty and wonder
[00:05:02.080 --> 00:05:05.480]   draws us into relationship with Him.
[00:05:05.480 --> 00:05:10.480]   So I would say that the way that we can incorporate wonder
