
[00:00:00.000 --> 00:00:00.720]   Hello, everybody.
[00:00:00.720 --> 00:00:02.120]   It's Sam from Financial Samurai.
[00:00:02.120 --> 00:00:03.940]   And it is almost the new year, which
[00:00:03.940 --> 00:00:07.500]   means we should conduct some money-saving tax
[00:00:07.500 --> 00:00:10.740]   moves to save some money and grow our wealth.
[00:00:10.740 --> 00:00:14.640]   Taxes are our largest ongoing liability, right?
[00:00:14.640 --> 00:00:16.800]   Death and taxes, you can't avoid them.
[00:00:16.800 --> 00:00:19.080]   But we can get smart about our taxes,
[00:00:19.080 --> 00:00:23.120]   and we can make moves to lower our tax liability.
[00:00:23.120 --> 00:00:25.240]   The great thing about having multiple income streams,
[00:00:25.240 --> 00:00:29.820]   as I'm sure all of you guys have, is that-- you know what?
[00:00:29.820 --> 00:00:32.800]   We don't rely on one single income to survive.
[00:00:32.800 --> 00:00:35.600]   But the bad news about having multiple income streams
[00:00:35.600 --> 00:00:39.680]   is that we have to do more tax work come year end
[00:00:39.680 --> 00:00:41.120]   and into the new year.
[00:00:41.120 --> 00:00:44.560]   So let's talk about some various tax moves we can make.
[00:00:44.560 --> 00:00:48.360]   Number one, and most obvious, is charitable donations.
[00:00:48.360 --> 00:00:50.720]   Everybody should be feeling more charitable
[00:00:50.720 --> 00:00:52.440]   during the holiday season and hopefully
[00:00:52.440 --> 00:00:54.080]   all throughout the year.
[00:00:54.080 --> 00:00:57.040]   Being able to give your time and money away to worthy causes
[00:00:57.040 --> 00:01:01.000]   is one of the best benefits of being financially independent.
[00:01:01.000 --> 00:01:03.660]   You no longer feel conflicted about whether you
[00:01:03.660 --> 00:01:06.720]   should save and invest your next dollar versus helping someone
[00:01:06.720 --> 00:01:07.780]   in need.
[00:01:07.780 --> 00:01:08.940]   You just kind of do it.
[00:01:08.940 --> 00:01:11.780]   And being able to spend that time with someone
[00:01:11.780 --> 00:01:13.340]   is really, really special.
[00:01:13.340 --> 00:01:15.860]   So in terms of charitable givings,
[00:01:15.860 --> 00:01:17.820]   keep in mind you'll need to itemize deductions
[00:01:17.820 --> 00:01:20.020]   and file Form 1040.
[00:01:20.020 --> 00:01:22.700]   The charity organization must be qualified with the IRS
[00:01:22.700 --> 00:01:25.300]   and be actively tax exempt.
[00:01:25.300 --> 00:01:27.500]   Used items such as housewares and clothing
[00:01:27.500 --> 00:01:28.980]   must be in good condition or better
[00:01:28.980 --> 00:01:30.500]   for them to be deductible.
[00:01:30.500 --> 00:01:32.800]   So when you're going to Goodwill or the Salvation Army,
[00:01:32.800 --> 00:01:35.460]   don't just give them a bag of stuff
[00:01:35.460 --> 00:01:37.180]   you wouldn't wear because they're
[00:01:37.180 --> 00:01:39.180]   dirty or ripped or broken.
[00:01:39.180 --> 00:01:42.460]   You've got to donate usable items that you
[00:01:42.460 --> 00:01:45.100]   would wear or use with pride.
[00:01:45.100 --> 00:01:47.980]   Donated vehicles can be deducted at fair market value
[00:01:47.980 --> 00:01:49.700]   if you meet certain requirements.
[00:01:49.700 --> 00:01:51.460]   For example, the charity must sell your car
[00:01:51.460 --> 00:01:54.860]   well below market price to a person in need.
[00:01:54.860 --> 00:01:57.060]   If the total of your non-cash contributions
[00:01:57.060 --> 00:02:02.180]   is greater than $500, you'll need to file Form 8283,
[00:02:02.180 --> 00:02:04.300]   which means you have to highlight
[00:02:04.300 --> 00:02:06.500]   the details of that giving.
[00:02:06.500 --> 00:02:08.580]   You'll need a written record of all cash donations
[00:02:08.580 --> 00:02:10.900]   with the date, amount, and charity name.
[00:02:10.900 --> 00:02:14.260]   If you donate $250 or more in cash or property,
[00:02:14.260 --> 00:02:16.760]   you'll need a statement from the charitable organization
[00:02:16.760 --> 00:02:19.780]   detailing your gift and so forth.
[00:02:19.780 --> 00:02:21.120]   So there are many, many rules.
[00:02:21.120 --> 00:02:23.500]   But overall, I don't think the IRS is
[00:02:23.500 --> 00:02:24.980]   going to nitpick on what you give
[00:02:24.980 --> 00:02:26.740]   and what you write as the value.
[00:02:26.740 --> 00:02:31.500]   Just be as close to the true value as possible.
[00:02:31.500 --> 00:02:33.620]   In terms of giving percentages by rate of income,
[00:02:33.620 --> 00:02:35.280]   I thought this was really interesting.
[00:02:35.280 --> 00:02:37.900]   The average giving percentage as a percentage
[00:02:37.900 --> 00:02:42.440]   of total adjustable gross income looks to be around 3%.
[00:02:42.440 --> 00:02:45.700]   Now, the lowest giving percentage rate
[00:02:45.700 --> 00:02:50.020]   is from the income group who make between 200,000 to 250,000
[00:02:50.020 --> 00:02:56.020]   at 2.4%, while folks making 45,000 to 50,000 give 4%.
[00:02:56.020 --> 00:02:59.160]   And then if you move up the income curve to 10 million
[00:02:59.160 --> 00:03:03.860]   or more, these folks give away the most percentage at 5.9%
[00:03:03.860 --> 00:03:06.420]   and also the most in absolute dollar terms.
