
[00:00:00.000 --> 00:00:20.520]   how's it going everyone are you all doing yeah let's go let's go let's get the vibes going let's
[00:00:20.520 --> 00:00:27.300]   get the vibes going yeah excited to chat here today I you know by the end of this why I hope
[00:00:27.300 --> 00:00:33.900]   that you get out of it is maybe some some advice I wish I had had before kind of trying to hold on to
[00:00:33.900 --> 00:00:40.260]   the tail of the dragon with the past months of what we've been up to and you know so I think for
[00:00:40.260 --> 00:00:45.360]   us you know I how many people here have heard of bolt on you by the way just kind of curious oh wow
[00:00:45.360 --> 00:00:49.620]   dang I guess I'm still used to being like has anyone heard of stack blitz and there'd be like
[00:00:49.620 --> 00:00:53.460]   two hands and that sort of thing okay so cool so everyone's used this thing you're wherever you tried
[00:00:54.600 --> 00:01:01.200]   um so uh is anyone aware of how long we were around as a company before we launched bolt on
[00:01:01.200 --> 00:01:09.420]   yeah seven years yeah um so to kind of hit the graph of this thing so if you if you rewind uh you know the
[00:01:09.420 --> 00:01:15.240]   x-axis uh way back seven years the the ARR starting at the bottom of this that's in November uh sorry
[00:01:15.240 --> 00:01:21.300]   that's October of last year's when that thing starts the ARR was 0.7 million that's that's over seven years
[00:01:21.300 --> 00:01:26.400]   what it had gotten up to right and at the time that we launched bolt uh you know we were a team
[00:01:26.400 --> 00:01:32.340]   of less than 20 people and when we put it online we had absolutely no idea what was going to happen
[00:01:32.340 --> 00:01:36.480]   like we thought uh we were getting ready to shut down the company actually at the end of last year
[00:01:36.480 --> 00:01:42.900]   um this was like the last you know uh not like pivot of the company because it's the same core technology
[00:01:42.900 --> 00:01:47.220]   that was used to build this product that we've been building for seven years but we we couldn't figure
[00:01:47.220 --> 00:01:51.860]   out a way to kind of create a commercial offering that made sense at a venture scale we've been around
[00:01:51.860 --> 00:01:57.220]   for a long time and uh so you know our expectations were like if we can add a hundred thousand dollars
[00:01:57.220 --> 00:02:01.700]   of ARR by the end of the year with this thing that would be that would be game changing right obviously
[00:02:01.700 --> 00:02:07.220]   kind of beyond our wildest expectations of what happened and since then we've over doubled it
[00:02:08.260 --> 00:02:13.060]   but the i think that to me the the really crazy thing about the graph you're looking at
[00:02:13.060 --> 00:02:20.740]   is how clean of a ramp that is right like there's not this like jagged edges during the the insanity
[00:02:20.740 --> 00:02:26.020]   uh of the early days and the product we put online was really it's it's like those race cars like it
[00:02:26.020 --> 00:02:29.220]   was an mvp it's like those race cars where they strip everything out and it's just like metal there's
[00:02:29.220 --> 00:02:33.300]   no back seat there's no side seat it's just like this you know that's kind of what the product was like
[00:02:33.300 --> 00:02:38.420]   so the fact that you know our team was able to scale this uh was just unbelievably impressive
[00:02:38.420 --> 00:02:42.900]   and so that's i kind of want to talk about what that looked like and how to structure teams to be
[00:02:42.900 --> 00:02:48.740]   able to actually rally together and um you know be able to to scale what would normally take at least
[00:02:48.740 --> 00:02:54.020]   a year to grow into right uh the best analogy of what it feels like have you ever seen the movie 300
[00:02:54.020 --> 00:02:58.260]   um during this time right like on this revenue ramp kind of like probably at the tail end of that we
[00:02:58.260 --> 00:03:02.740]   were looking at probably 30 or 40 000 active customers at that point you know on month two
[00:03:03.300 --> 00:03:07.460]   a team of less than 20 people so this is kind of apt you got this small group of people
[00:03:07.460 --> 00:03:13.060]   you know surrounded by just tens of thousands of things that are uh maybe not trying to kill you in
[00:03:13.060 --> 00:03:17.620]   our sense but like it felt like that i mean the support load was was unbelievable we had no there
[00:03:17.620 --> 00:03:22.340]   was not a person on our team that had you know success or support uh in their title right it was my
[00:03:22.340 --> 00:03:27.220]   chief of staff and i largely responding to support tickets and whatnot but the the main thing we were
[00:03:27.220 --> 00:03:31.940]   able to make this work because it was this just an incredible uh camaraderie amongst the people on
[00:03:31.940 --> 00:03:37.060]   our team and we'd been working together for seven years at that point um and we were just extremely
[00:03:37.060 --> 00:03:41.940]   aligned and very lean and very fast and those are not new things for us like that's how we've been
[00:03:41.940 --> 00:03:48.660]   operating all along right and one of the core uh you know philosophies that we set out like my co-founder
[00:03:48.660 --> 00:03:53.540]   and i uh he's actually a childhood friend of mine he and i have been building uh websites together
[00:03:53.540 --> 00:03:59.540]   since for like 20 years now literally since we're like 13 years old and uh the company we did
[00:03:59.540 --> 00:04:04.100]   before stackless before this one we'd actually bootstrapped that thing from the ground up
[00:04:04.100 --> 00:04:09.620]   ourselves like we we were broke living on couches um and when you do that you really learn how far a
[00:04:09.620 --> 00:04:16.180]   dollar can stretch and it's very obvious how most startups are just incredibly inefficient when you're
[00:04:16.180 --> 00:04:20.740]   in the in the phase of trying to find product market fit right and uh so this is kind of where
