
[00:00:00.000 --> 00:00:08.280]   I want to make sure that I ask you about stroke, diabetes, and heart disease.
[00:00:08.280 --> 00:00:14.380]   You have some really interesting data that people who take on this practice of getting into nature
[00:00:14.380 --> 00:00:18.240]   can actually improve their health outcomes beyond just being able to focus better.
[00:00:18.240 --> 00:00:26.720]   Right. So there's, you know, there's all this incredible work on physical health benefits of nature.
[00:00:26.800 --> 00:00:29.900]   Now, of course, mind and body are united.
[00:00:29.900 --> 00:00:34.000]   And, you know, that's one thing that we talk about in the book, that it's mind, body are united.
[00:00:34.000 --> 00:00:36.080]   And then we have to deal with the environment, too.
[00:00:36.080 --> 00:00:44.600]   But it's interesting that there have been these studies about these incredible physical health benefits
[00:00:44.600 --> 00:00:46.500]   that people get from interacting with nature.
[00:00:46.500 --> 00:00:50.360]   And one of the most incredible ones, I don't know if you're familiar with this, Andrew,
[00:00:50.360 --> 00:00:53.140]   was a study done by Roger Ulrich in the 1980s.
[00:00:53.980 --> 00:01:00.960]   And what Roger Ulrich was looking at was a hospital corridor in this hospital in Philadelphia.
[00:01:00.960 --> 00:01:09.200]   And he looked at, in these hospital rooms, what view did they have out of the window of these hospital rooms?
[00:01:09.200 --> 00:01:15.220]   And some of the hospital rooms had views of modest nature, like a tree and some shrubs.
[00:01:15.220 --> 00:01:18.300]   Others were just looking out to a brick wall.
[00:01:20.240 --> 00:01:31.640]   And it was interesting that patients who were recovering from gallbladder surgery, when they had the view of nature out of their window,
[00:01:31.640 --> 00:01:39.720]   this modest view of nature, they recovered from gallbladder surgery a day earlier and they used less pain medication compared to the people that had the view of the brick wall.
[00:01:39.720 --> 00:01:47.200]   And what's cool about this study is that it wasn't, you know, Ulrich didn't have the power to randomly put people in different rooms,
[00:01:47.200 --> 00:01:52.100]   but essentially patients were just randomly put into these different hospital rooms.
[00:01:52.100 --> 00:01:56.360]   So it's not like healthier people got the views of nature or wealthier people got the views of nature.
[00:01:56.360 --> 00:02:02.320]   These patients were just randomly placed into these different hospital rooms.
