
[00:00:00.000 --> 00:00:02.000]   I'm now recording.
[00:00:02.000 --> 00:00:04.000]   Jesus, you look terrible.
[00:00:04.000 --> 00:00:05.000]   What's going on? Did you sleep last night?
[00:00:05.000 --> 00:00:06.000]   Do I look tired?
[00:00:06.000 --> 00:00:07.000]   You do look a little tired.
[00:00:07.000 --> 00:00:08.000]   You look unshaven.
[00:00:08.000 --> 00:00:09.000]   Yeah, what happened last night?
[00:00:09.000 --> 00:00:12.000]   I had a holiday party at my house last night from my office and...
[00:00:12.000 --> 00:00:14.000]   You look destroyed.
[00:00:14.000 --> 00:00:16.000]   Yeah, what's going on? I mean, did you drink?
[00:00:16.000 --> 00:00:17.000]   I did drink, yeah.
[00:00:17.000 --> 00:00:19.000]   What does vodka and oat milk taste like?
[00:00:19.000 --> 00:00:21.000]   He had a White Russian!
[00:00:21.000 --> 00:00:25.000]   A White Russian Big Lebowski style with oat milk.
[00:00:25.000 --> 00:00:27.000]   He's like, "I want a White Russian with oat milk."
[00:00:27.000 --> 00:00:28.000]   Oh my God.
[00:00:28.000 --> 00:00:30.000]   Actually, my White Russian is made with oat leaf.
[00:00:30.000 --> 00:00:33.000]   And please compliment that with a huge punch in the face.
[00:00:33.000 --> 00:00:36.000]   Give me five minutes. I'm going to go shave and...
[00:00:36.000 --> 00:00:38.000]   It's called the hair of the dog.
[00:00:38.000 --> 00:00:39.000]   Yeah.
[00:00:39.000 --> 00:00:40.000]   You know, a little Bloody Mary.
[00:00:40.000 --> 00:00:41.000]   You banana bug.
[00:00:41.000 --> 00:00:42.000]   Banana man.
[00:00:42.000 --> 00:00:45.000]   Should I go get a beer? I'm going to get a beer just to beat this hangover.
[00:00:45.000 --> 00:00:46.000]   Go do it. Yeah, go get a beer.
[00:00:46.000 --> 00:00:47.000]   Hang on, I'll be right back.
[00:00:47.000 --> 00:00:48.000]   I'll be right back.
[00:00:48.000 --> 00:01:09.000]   All right, listen, we have to start with scam, bank run, fraud.
[00:01:09.000 --> 00:01:11.000]   I mean, Sam Bankvin Freed.
[00:01:11.000 --> 00:01:13.000]   I get that wrong sometimes.
[00:01:13.000 --> 00:01:19.000]   He was interviewed by Andrew Orr Sorkin, the suit at Dealbook,
[00:01:19.000 --> 00:01:21.000]   who gave him softball after softball.
[00:01:21.000 --> 00:01:24.000]   Then, the next day, he was on Good Morning America.
[00:01:24.000 --> 00:01:26.000]   You're being really passive aggressive right now.
[00:01:26.000 --> 00:01:27.000]   A little bit.
[00:01:27.000 --> 00:01:29.000]   You're throwing a little shade at our friend Andrew Orr.
[00:01:29.000 --> 00:01:30.000]   Little chippy.
[00:01:30.000 --> 00:01:31.000]   He's sticking the knife in.
[00:01:31.000 --> 00:01:32.000]   He's sticking the knife in.
[00:01:32.000 --> 00:01:33.000]   But J. Cao's got a point.
[00:01:33.000 --> 00:01:34.000]   He's got a point.
[00:01:34.000 --> 00:01:35.000]   A little bit.
[00:01:35.000 --> 00:01:36.000]   A little bit.
[00:01:36.000 --> 00:01:37.000]   A little bit.
[00:01:37.000 --> 00:01:40.000]   Anyway, the New York Times continues to embarrass themselves
[00:01:40.000 --> 00:01:42.000]   by handling Sam Bankvin Fraud with kid gloves.
[00:01:42.000 --> 00:01:43.000]   Wow.
[00:01:43.000 --> 00:01:48.000]   George Stephanopoulos, my Greek brother, Stephanopoulos the Spartan,
[00:01:48.000 --> 00:01:53.000]   came in and absolutely fricassed and filleted Sam Bankvin Freed
[00:01:53.000 --> 00:01:55.000]   on Good Morning America.
[00:01:55.000 --> 00:01:58.000]   Very important to note that Good Morning America,
[00:01:58.000 --> 00:02:04.000]   the segment was between holiday cocktails and the cast of The White Lotus.
[00:02:04.000 --> 00:02:07.000]   And Andrew Orr Sorkin was at the Dealbook finance conference.
[00:02:07.000 --> 00:02:10.000]   But you know, that Stephanopoulos interview was two hours,
[00:02:10.000 --> 00:02:12.000]   but they reduced it down to 10 minutes.
[00:02:12.000 --> 00:02:18.000]   So there were probably a lot of sort of cordial conversation,
[00:02:18.000 --> 00:02:20.000]   banter, and then softball questions.
[00:02:20.000 --> 00:02:24.000]   And then he does stick the knife in and does the fricassee,
[00:02:24.000 --> 00:02:26.000]   but he cuts out all the other stuff.
[00:02:26.000 --> 00:02:28.000]   So he just gets it down to the 10 minutes.
[00:02:28.000 --> 00:02:33.000]   What Stephanopoulos did to him was extraordinary in that he said over
[00:02:33.000 --> 00:02:36.000]   and over again, in the FTX terms of service,
[00:02:36.000 --> 00:02:41.000]   you cannot touch the user accounts, but you at Alameda were taking them
[00:02:41.000 --> 00:02:43.000]   and you were loaning them out.
[00:02:43.000 --> 00:02:48.000]   I don't know who is advising Sam Bankvin Freed at this point,
[00:02:48.000 --> 00:02:50.000]   but why he is talking so much.
[00:02:50.000 --> 00:02:56.000]   He was also on a two-hour Twitter spaces after all this.
[00:02:56.000 --> 00:03:01.000]   At this point, Sax, what do you think is going on here in the mind
[00:03:01.000 --> 00:03:04.000]   of Sam Bankvin Freed and also the media,
[00:03:04.000 --> 00:03:10.000]   which seems to have a very variable way of dealing with this obvious fraud
[00:03:10.000 --> 00:03:11.000]   and crime?
[00:03:11.000 --> 00:03:15.000]   Right. Okay. Well, you know, I can speculate about SBF.
[00:03:15.000 --> 00:03:18.000]   I think if there is a strategy here, it is this.
[00:03:18.000 --> 00:03:25.000]   He is basically copying to criminal negligence in order to avoid the more
[00:03:25.000 --> 00:03:26.000]   serious charges of fraud.
[00:03:26.000 --> 00:03:29.000]   And I think, again, if there's a strategy here, it is,
[00:03:29.000 --> 00:03:34.000]   he saw himself being defined as Bernie Madoff 2.0 in the press.
[00:03:34.000 --> 00:03:41.000]   And if that image, which may well be true, cemented around him,
[00:03:41.000 --> 00:03:43.000]   then prosecutors would never stop.
[00:03:43.000 --> 00:03:48.000]   They would never accept a plea that basically gave him anything less than
[00:03:48.000 --> 00:03:52.000]   a Madoff-like sentence, which would be decades in prison,
[00:03:52.000 --> 00:03:53.000]   maybe a life sentence.
[00:03:53.000 --> 00:03:57.000]   So he is out there doing what lawyers would tell you never to do,
[00:03:57.000 --> 00:04:00.000]   which is basically incriminate yourself, create more of a record,
[00:04:00.000 --> 00:04:03.000]   but he's doing it to change the public perception,
[00:04:03.000 --> 00:04:08.000]   maybe muddy up the public perception, get people thinking that, okay,
[00:04:08.000 --> 00:04:11.000]   he, you know, this, that he's admitting he did something wrong,
[00:04:11.000 --> 00:04:13.000]   but it wasn't deliberate. It wasn't fraudulent.
[00:04:13.000 --> 00:04:17.000]   It was just basically carelessness or sloppiness.
[00:04:17.000 --> 00:04:20.000]   And if he succeeds in muddying the waters enough,
[00:04:20.000 --> 00:04:23.000]   then maybe the prosecutors will give him a plea deal that allows him to have
[00:04:23.000 --> 00:04:24.000]   his life back at some point.
[00:04:24.000 --> 00:04:29.000]   I think that would be the crazy, like a Fox explanation of what's happening.
[00:04:29.000 --> 00:04:32.000]   Now there is, you know, an alternative explanation as well,
[00:04:32.000 --> 00:04:37.000]   which is, I just think that these types of guys, you could call it, you know,
[00:04:37.000 --> 00:04:39.000]   a narcissistic fraudster.
[00:04:39.000 --> 00:04:43.000]   They think they can talk their way out of anything, you know,
[00:04:43.000 --> 00:04:46.000]   because they have, they have, you know,
[00:04:46.000 --> 00:04:50.000]   they've talked their way into getting hundreds of millions of dollars of
[00:04:50.000 --> 00:04:54.000]   investment, billions, billions in some cases.
[00:04:54.000 --> 00:04:58.000]   And so they just feel, and they've been trained by employees,
[00:04:58.000 --> 00:05:01.000]   partners, investors, the press that they can talk their way out of.
[00:05:01.000 --> 00:05:03.000]   Yeah. Well, I think, yeah,
[00:05:03.000 --> 00:05:06.000]   the average person is not really used to dealing with one of these
[00:05:06.000 --> 00:05:09.000]   personality types who is, I mean,
[00:05:09.000 --> 00:05:12.000]   they clearly are smart and they're articulate articulate and they know what
[00:05:12.000 --> 00:05:14.000]   to say and they're crafting their words.
[00:05:14.000 --> 00:05:18.000]   What they've learned through their life is that if they use the precise magic
[00:05:18.000 --> 00:05:21.000]   words with a person, they can pretty much convince them of anything,
[00:05:21.000 --> 00:05:23.000]   get them to do anything. And in particular,
[00:05:23.000 --> 00:05:25.000]   I would say investors tend to fall for this,
[00:05:25.000 --> 00:05:27.000]   not because investors are dumb,
[00:05:27.000 --> 00:05:31.000]   but because investors are so clear about what they're looking for and what
[00:05:31.000 --> 00:05:34.000]   they want. They're predictable. Yeah. Like we're, you know, VCs,
[00:05:34.000 --> 00:05:36.000]   especially we're looking for the a hundred X outcome or whatever.
[00:05:36.000 --> 00:05:43.000]   So it's easy for this type of personality to construct a story to essentially
[00:05:43.000 --> 00:05:46.000]   stroke the erogenous zones of a VC. Whoa. Yeah.
[00:05:46.000 --> 00:05:48.000]   And, and, and sort of trick them.
[00:05:48.000 --> 00:05:52.000]   And so there is probably a positive reinforcement loop that gets created in
[00:05:52.000 --> 00:05:54.000]   the minds of one of these people who,
[00:05:54.000 --> 00:05:57.000]   and they start to think that they can basically talk their way out of any
[00:05:57.000 --> 00:06:01.000]   situation. So I think that would be part of what's going on here.
[00:06:01.000 --> 00:06:02.000]   And, you know,
[00:06:02.000 --> 00:06:06.000]   if you look at sort of the tactics that he's using to do this, you know,
[00:06:06.000 --> 00:06:09.000]   all of a sudden he's trying to portray himself, you know,
[00:06:09.000 --> 00:06:12.000]   before this he was portraying himself as the smartest guy in the room.
[00:06:12.000 --> 00:06:16.000]   Now all of a sudden there's this babe in the woods impression where I didn't
[00:06:16.000 --> 00:06:20.000]   know it was my subordinates. I wasn't really in control.
[00:06:20.000 --> 00:06:22.000]   That was somebody else. Right.
[00:06:22.000 --> 00:06:26.000]   Each individual decision he says looked sensible to him.
[00:06:26.000 --> 00:06:29.000]   It's just, it all added up to something he didn't anticipate. Like, really,
[00:06:29.000 --> 00:06:30.000]   you know,
[00:06:30.000 --> 00:06:35.000]   loaning yourself a billion dollars of, of basically the company's money,
[00:06:35.000 --> 00:06:37.000]   which was basically customer money. That seemed reasonable to you.
[00:06:37.000 --> 00:06:39.000]   I don't know how you defend that individual decision.
[00:06:39.000 --> 00:06:41.000]   And there's many like that, but,
[00:06:41.000 --> 00:06:44.000]   but this is sort of the narrative that he's trying to construct.
[00:06:44.000 --> 00:06:46.000]   And let me stop there,
[00:06:46.000 --> 00:06:50.000]   but I think there's a lot more that can be said to dismantle the narrative
[00:06:50.000 --> 00:06:53.000]   he's trying to create, but I want to let other people get in here.
[00:06:53.000 --> 00:06:54.000]   What's your take on this? And then Freiburg,
[00:06:54.000 --> 00:06:59.000]   can I make a comparison to SBF and Trump through the lens of the media?
[00:06:59.000 --> 00:07:03.000]   So if you go back to 2016, you know,
[00:07:03.000 --> 00:07:08.000]   Donald Trump violated every single establishment bias in the world.
[00:07:08.000 --> 00:07:13.000]   Every single establishment bias that these left progressive journalist
[00:07:13.000 --> 00:07:18.000]   elites had. And so they basically just attacked, attacked, attacked,
[00:07:18.000 --> 00:07:19.000]   attacked,
[00:07:19.000 --> 00:07:24.000]   but then you went into the election and there was a very clear data point
[00:07:24.000 --> 00:07:29.000]   that said, whatever you thought was that was at best limited.
[00:07:29.000 --> 00:07:34.000]   And you missed the tone of the country because 50 plus percent of the country
[00:07:34.000 --> 00:07:37.000]   held a very different view about this person.
[00:07:37.000 --> 00:07:41.000]   And instead of taking a step back and then the left media,
[00:07:41.000 --> 00:07:46.000]   the mainstream media re-underwriting and learning and then saying,
[00:07:46.000 --> 00:07:48.000]   you know what, mea culpa, I got this wrong.
[00:07:48.000 --> 00:07:51.000]   They just double down and they said, no,
[00:07:51.000 --> 00:07:53.000]   it still doesn't meet our priors.
