
[00:00:00.040 --> 00:00:18.880]   ind take
[00:01:22.200 --> 00:01:23.260]   and all of the appropriate technical details. I open up the phone lines to do a Q&A show. These shows are open to patrons of the show, people who sign up to support the show on my Patreon page. You can do that at patreon.com slash radical personal finance. That gives you access to the shows and you can call in and talk about anything you want to do, want to talk about. Sometimes they're wide open. Sometimes they're very full, but today they're wide open. So we begin with Ryan in Florida. Ryan, welcome to the show. How can I serve you today, sir?
[00:01:23.260 --> 00:01:24.220]   Hey, Joshua.
[00:02:53.840 --> 00:02:54.100]   Hey, Ryan.
[00:02:54.100 --> 00:02:54.100]   Hey, Ryan.
[00:02:54.100 --> 00:02:54.100]   Hey, Ryan.
[00:02:54.100 --> 00:02:54.100]   Hey, Ryan.
[00:02:54.100 --> 00:02:54.100]   Hey, Ryan.
[00:02:54.100 --> 00:02:54.100]   Hey, Ryan.
[00:02:54.100 --> 00:02:54.100]   Hey, Ryan.
[00:02:54.100 --> 00:02:54.100]   Hey, Ryan. And I'm going to ask you a question about the health care ministry. I know you use one and so I thought maybe you could elaborate on that and the solution that you came up with for yourself and your family. Sure. Do you and or any of your family members have any significant medical services that you can use?
[00:02:54.100 --> 00:02:54.100]   Sure. Do you and or any of your family members have any significant medical services that you can use?
[00:02:54.100 --> 00:02:54.100]   Sure. Do you and or any of your family members have any significant medical services that you can use?
[00:02:54.120 --> 00:03:24.120]   No. We don't. We actually happen to be pregnant right now. Congratulations. Thank you. Nothing that we're concerned about right now. I have some back issues that I've had for a while, but I don't intend to have surgery. I hope that I never have to, but it's in the back of my mind that someday that could be the best.
[00:03:24.140 --> 00:03:54.140]   Sure. Do you and or any of your family members have any significant medical services that you can use?
[00:03:54.140 --> 00:03:54.140]   That's a great question.
[00:03:54.180 --> 00:04:24.160]   and I have observed over the years is, I don't know why, but there just seems to be this almost obsession with being protected from any kind of medical issue that could happen.
[00:04:24.160 --> 00:04:24.160]   I have a friend of mine who in his case, he does have significant medical issues, but he has worked for 15 years at a job that he doesn't like that he isn't well suited for, and he works there exclusively for the medical insurance, because he's a medical insurance specialist.
[00:04:24.160 --> 00:04:24.160]   It's a great question.
[00:04:24.160 --> 00:04:24.160]   But I don't know why, but I don't know why, but there just seems to be this almost obsession with being protected from any kind of medical issue that could happen, and I have observed that sometimes it keeps people from doing things that could otherwise be done.
[00:04:24.200 --> 00:04:54.180]   But I don't know why, but I don't know why, but there just seems to be this almost obsession with being protected from any kind of medical issue that could otherwise be done.
[00:04:54.180 --> 00:04:54.180]   But I don't know why, but I don't know why, but I don't know why, but there just seems to be this almost obsession with being protected from any kind of medical issue that could otherwise be done.
[00:04:54.200 --> 00:05:24.200]   I don't know why, but I don't know why, but there just seems to be this almost obsession with being protected from any kind of medical issue that could otherwise be done.
[00:05:24.200 --> 00:05:24.200]   I don't know why, but I don't know why, but there just seems to be this almost obsession with being protected from any kind of medical issue that could otherwise be done.
[00:05:24.200 --> 00:05:24.200]   I don't know why, but I don't know why, but there just seems to be this almost obsession with being protected from any kind of medical issue that could otherwise be done.
[00:05:24.200 --> 00:05:24.200]   I don't know why, but I don't know why, but there just seems to be this almost obsession with being protected from any kind of medical issue that could otherwise be done.
[00:05:24.200 --> 00:05:24.200]   I don't know why, but I don't know why, but there just seems to be this almost obsession with being protected from any kind of medical issue that could otherwise be done.
[00:05:24.240 --> 00:05:54.220]  , and I don't know why, but I don't know why, but there just seems to be this almost obsession with being protected from any kind of medical issue that could otherwise be done.
[00:05:54.220 --> 00:05:54.220]   I don't know why, but I don't know why, but there just seems to be this almost obsession with being protected from any kind of medical issue that could otherwise be done.
[00:05:54.220 --> 00:05:54.220]   I don't know why, but I don't know why, but there just seems to be this almost obsession with being protected from any kind of medical issue that could otherwise be done.
[00:05:54.220 --> 00:05:54.220]   I don't know why, but I don't know why, but there just seems to be this almost obsession with being protected from any kind of medical issue that could otherwise be done.
[00:05:54.220 --> 00:05:54.220]   I don't know why, but I don't know why, but there just seems to be this almost obsession with being protected from any kind of medical issue that could otherwise be done.
[00:05:54.240 --> 00:06:24.240]   I don't know why, but I don't know why, but there just seems to be this almost obsession with being protected from any kind of medical issue that could otherwise be done.
[00:06:24.240 --> 00:06:24.240]   I don't know why, but I don't know why, but there just seems to be this almost obsession with being protected from any kind of medical issue that could otherwise be done.
[00:06:24.240 --> 00:06:24.240]   I don't know why, but I don't know why, but there just seems to be this almost obsession with being protected from any kind of medical issue that could otherwise be done.
[00:06:24.240 --> 00:06:24.240]   I don't know why, but I don't know why, but there just seems to be this almost obsession with being protected from any kind of medical issue that could otherwise be done.
[00:06:24.240 --> 00:06:24.240]   I don't know why, but I don't know why, but there just seems to be this almost obsession with being protected from any kind of medical issue that could otherwise be done.
[00:06:24.260 --> 00:06:54.260]   I don't know why, but I don't know why, but there just seems to be this almost obsession with being protected from any kind of medical issue that could otherwise be done.
[00:06:54.260 --> 00:06:54.260]   I don't know why, but I don't know why, but there just seems to be this almost obsession with being protected from any kind of medical issue that could otherwise be done.
[00:06:54.260 --> 00:06:54.260]   I don't know why, but I don't know why, but there just seems to be this almost obsession with being protected from any kind of medical issue that could otherwise be done.
[00:06:54.260 --> 00:06:54.260]   I don't know why, but I don't know why, but there just seems to be this almost obsession with being protected from any kind of medical issue that could otherwise be done.
[00:06:54.260 --> 00:06:54.260]   I don't know why, but there seems to be this almost obsession with any kind of medical issue that could otherwise be done.
[00:06:54.260 --> 00:07:24.280]  , and I don't know why, but there just seems to be this almost obsession with being protected from any kind of medical issue that could otherwise be done.
[00:07:24.280 --> 00:07:24.280]   I don't know why, but there just seems to be this almost obsession with being protected from any kind of medical issue that could otherwise be done.
[00:07:24.280 --> 00:07:24.280]   I don't know why, but there just seems to be this almost obsession with being protected from any kind of medical issue that could otherwise be done.
[00:07:24.280 --> 00:07:24.280]   I don't know why, but there just seems to be this almost obsession with being protected from any kind of medical issue that could otherwise be done.
[00:07:24.280 --> 00:07:24.280]   I don't know why, but there just seems to be this almost obsession with being protected from any kind of medical issue that could otherwise be done.
