
[00:00:00.000 --> 00:00:06.840]   Let's get started.
[00:00:06.840 --> 00:00:12.520]   Welcome, everyone, to Cloud Code Best Practices.
[00:00:12.520 --> 00:00:14.880]   In this talk, I'm going to talk about kind of what
[00:00:14.880 --> 00:00:17.040]   Cloud Code is at a high level.
[00:00:17.040 --> 00:00:19.480]   Then we'll peer under the hood a little bit
[00:00:19.480 --> 00:00:22.480]   to kind of understand how Cloud Code works.
[00:00:22.480 --> 00:00:24.000]   And then knowing that, because it's
[00:00:24.000 --> 00:00:26.160]   useful to kind of know how your tools work,
[00:00:26.160 --> 00:00:28.680]   we're going to talk about good use cases for Cloud Code
[00:00:28.680 --> 00:00:31.920]   and also best practices we've figured out,
[00:00:31.920 --> 00:00:35.440]   both internally and from our users,
[00:00:35.440 --> 00:00:38.000]   for getting the most out of this tool.
[00:00:38.000 --> 00:00:40.120]   But before I get started, I'd like to introduce myself
[00:00:40.120 --> 00:00:42.800]   real quick and talk about how I ended up on the stage.
[00:00:42.800 --> 00:00:44.760]   So my name's Cal.
[00:00:44.760 --> 00:00:48.240]   And I joined Anthropic about a year and a half ago
[00:00:48.240 --> 00:00:51.440]   to help start up a team we call Applied AI.
[00:00:51.440 --> 00:00:53.960]   And it's the Applied AI's kind of mission--
[00:00:53.960 --> 00:00:57.320]   our team's mission is to help our customers and partners build
[00:00:57.320 --> 00:01:00.160]   great products and features on top of Cloud.
[00:01:00.160 --> 00:01:04.360]   So what that really means is I spend a lot of my day prompting
[00:01:04.360 --> 00:01:08.440]   Cloud to get the absolute best outputs out of these models.
[00:01:08.440 --> 00:01:11.080]   That said, I also love to code, and I'm definitely
[00:01:11.080 --> 00:01:14.160]   one of those coders that starts a lot of projects,
[00:01:14.160 --> 00:01:16.720]   has some crazy idea, and then just never finishes them.
[00:01:16.720 --> 00:01:19.720]   So I have this graveyard of just like code that I started,
[00:01:19.720 --> 00:01:21.120]   never really finished.
[00:01:21.120 --> 00:01:22.560]   But I'm always spinning new things up.
[00:01:22.560 --> 00:01:24.720]   And then late last year, I was in Slack,
[00:01:24.720 --> 00:01:27.560]   and I was hearing about this new tool that a few people are using.
[00:01:27.560 --> 00:01:29.600]   They were saying it was really cool.
[00:01:29.600 --> 00:01:33.680]   And so on a Friday night, I downloaded the tool that would become Cloud Code,
[00:01:33.680 --> 00:01:37.400]   and I threw it at this kind of new note-taking app that I wanted to build.
[00:01:37.400 --> 00:01:43.240]   And that whole weekend just kind of totally changed the way that I code and think about software engineering.
[00:01:43.240 --> 00:01:46.240]   I was carrying around my laptop with me all weekend.
[00:01:46.240 --> 00:01:49.240]   I was super addicted to just watching Cloud Code work.
[00:01:49.240 --> 00:01:53.120]   And I would press enter, and I'd switch over to my browser and refresh.
[00:01:53.120 --> 00:01:58.240]   And I watched this huge, powerful application come together in front of my eyes.
[00:01:58.240 --> 00:02:01.520]   And I got way farther into this thing than I ever would have on my own.
[00:02:01.520 --> 00:02:03.920]   And it just blew my mind.
