
[00:00:00.000 --> 00:00:02.820]   (soft music)
[00:00:02.820 --> 00:00:05.260]   - Welcome friends to this episode
[00:00:05.260 --> 00:00:07.920]   of the Everyday Educator podcast.
[00:00:07.920 --> 00:00:09.700]   I'm your host, Lisa Bailey,
[00:00:09.700 --> 00:00:12.900]   and I'm excited to spend some time with you today
[00:00:12.900 --> 00:00:16.220]   as we encourage one another, learn together,
[00:00:16.220 --> 00:00:18.940]   and ponder the delights and challenges
[00:00:18.940 --> 00:00:22.420]   that make homeschooling the adventure of a lifetime.
[00:00:22.420 --> 00:00:24.400]   Whether you're just considering
[00:00:24.400 --> 00:00:26.480]   this homeschooling possibility
[00:00:26.480 --> 00:00:30.460]   or deep into the daily delight of family learning,
[00:00:30.460 --> 00:00:34.280]   I believe you'll enjoy thinking along with us.
[00:00:34.280 --> 00:00:35.620]   But don't forget,
[00:00:35.620 --> 00:00:39.260]   although this online community is awesome,
[00:00:39.260 --> 00:00:44.200]   you'll find even closer support in a local CC community.
[00:00:44.200 --> 00:00:47.840]   So go to classicalconversations.com
[00:00:47.840 --> 00:00:52.040]   and find a community near you today.
[00:00:52.040 --> 00:00:54.800]   Well, listeners, I'm excited to welcome you back
[00:00:54.800 --> 00:00:59.620]   to the podcast and I'm excited about this episode.
[00:00:59.620 --> 00:01:04.100]   Mock trial is something that I loved for a lot of years.
[00:01:04.100 --> 00:01:08.720]   I spent about seven years as a Challenge B tutor
[00:01:08.720 --> 00:01:10.920]   years ago, admittedly,
[00:01:10.920 --> 00:01:15.040]   but I absolutely loved working on mock trial
[00:01:15.040 --> 00:01:18.540]   with my students, with my students who lived in my house
[00:01:18.540 --> 00:01:21.560]   and with the students that I tutored week by week.
[00:01:21.560 --> 00:01:24.840]   And there were lots of reasons that I loved it.
[00:01:24.840 --> 00:01:28.160]   And I know that some of you have loved it in the past
[00:01:28.160 --> 00:01:31.540]   and some of you are looking forward to loving it.
[00:01:31.540 --> 00:01:36.320]   And some of you maybe are not as big a fan of mock trial
[00:01:36.320 --> 00:01:39.080]   as I am and as my guest is,
[00:01:39.080 --> 00:01:41.280]   I'll introduce her in just a second.
[00:01:41.280 --> 00:01:44.280]   So I wanted to use this episode
[00:01:44.280 --> 00:01:47.720]   to kind of set your minds at ease
[00:01:47.720 --> 00:01:50.160]   if you're anxious about mock trial,
[00:01:50.160 --> 00:01:53.860]   cast a vision for what it can become
[00:01:53.860 --> 00:01:58.820]   if you are not sure why we do this in Challenge B
[00:01:58.820 --> 00:02:00.640]   and what the good of it is,
[00:02:00.640 --> 00:02:03.520]   or if you're just not excited about it,
[00:02:03.520 --> 00:02:08.520]   I would like to cast a vision that might make you excited.
[00:02:08.520 --> 00:02:11.640]   And I have the perfect guest to do that.
[00:02:11.640 --> 00:02:14.520]   Stephanie Meador is here with us today.
[00:02:14.520 --> 00:02:17.320]   Stephanie, thanks for joining me.
