
[00:00:00.000 --> 00:00:05.500]   Struggling with your electric bill? Get an energy assist from SDG&E and SAFE.
[00:00:05.500 --> 00:00:14.500]   You may qualify for an 18% discount. Visit sdge.com/fera to find out more.
[00:00:14.500 --> 00:00:20.500]   The funding model behind Radical Personal Finance is direct listener support.
[00:00:20.500 --> 00:00:31.500]   Listeners, individuals just like you, who decide that the content of Radical Personal Finance is worthy of financial support.
[00:00:31.500 --> 00:00:41.500]   If the content of Radical Personal Finance is worthy of your financial support, please go to radicalpersonalfinance.com/patron.
[00:00:41.500 --> 00:00:47.500]   Should take about three minutes. You put a number in the box, click support, there's some bribes there for you.
[00:00:47.500 --> 00:00:51.500]   That's it. radicalpersonalfinance.com/patron.
[00:00:51.500 --> 00:00:56.500]   Today on the show, we dig into three more questions and maybe more depending on time.
[00:00:56.500 --> 00:00:58.500]   Three questions I didn't get to yesterday.
[00:00:58.500 --> 00:01:02.500]   Number one, discussion of special needs financing for kids. Just a quick discussion today.
[00:01:02.500 --> 00:01:11.500]   Also, starting a podcast but dealing with potential controversy and how do I manage money, college money for a 15-year-old boy.
[00:01:11.500 --> 00:01:21.500]   Josh, on a recent show, you talked about your frustrations with the ethics behind some of the investment markets and investment products.
[00:01:21.500 --> 00:01:26.500]   What are you going to do about it? I'll share with you some details in today's show.
[00:01:26.500 --> 00:01:42.500]   [Music]
[00:01:42.500 --> 00:01:44.500]   Welcome to the Radical Personal Finance podcast.
[00:01:44.500 --> 00:01:46.500]   My name is Joshua Sheets. I'm your host.
[00:01:46.500 --> 00:01:49.500]   And today, I'm your answer man.
[00:01:49.500 --> 00:01:51.500]   You should steal that.
[00:01:51.500 --> 00:01:57.500]   Cliff Ravenscraft has his podcast Answer Man podcast and Roger, what's his last name?
[00:01:57.500 --> 00:02:00.500]   Roger, who has the retirement Answer Man. I should be the money Answer Man.
[00:02:00.500 --> 00:02:06.500]   So today, Joshua Sheets, the money Answer Man, here to answer your questions.
[00:02:06.500 --> 00:02:14.500]   [Music]
[00:02:14.500 --> 00:02:17.500]   Of course, I'll leave it up to you to decide whether my answers are worth anything or not.
[00:02:17.500 --> 00:02:18.500]   That's up to you.
[00:02:18.500 --> 00:02:24.500]   But today's questions come from some patrons of the show who I put out a call for questions and I've got lots of questions.
[00:02:24.500 --> 00:02:28.500]   And so I've decided just to burn through a bunch of them and I love answering your questions.
[00:02:28.500 --> 00:02:30.500]   They give me fun things to talk about.
[00:02:30.500 --> 00:02:38.500]   I'm going to kick it off with just a very short question for Jose who asked a question about special needs planning for a special needs child.
[00:02:38.500 --> 00:02:46.500]   He says, "Joshua, do you have any tips or feedback about how to factor a special needs child in when planning for retirement, college, etc.?
[00:02:46.500 --> 00:03:06.500]   The typical advice usually is that once you have a special needs child, things change as you delve into the wonderful world of early intervention, therapies, IEPs, which I believe are individualized education programs if my knowledge of IEPs is correct, tax planning, etc.
[00:03:06.500 --> 00:03:16.500]   I used to think that I would just need to change my assumptions in terms of planning for our son to be with us long past his 18th birthday as well as making sure we plan for after we're gone.
[00:03:16.500 --> 00:03:18.500]   But I'm sure I'm missing other strategies.
[00:03:18.500 --> 00:03:20.500]   Thanks, Jose."
[00:03:20.500 --> 00:03:24.500]   Jose, in essence, you're right.
[00:03:24.500 --> 00:03:29.500]   That's really all it is just with another level of technical complexity.
[00:03:29.500 --> 00:03:33.500]   In some ways, it's a simple question and in some ways, it's not.
[00:03:33.500 --> 00:03:44.500]   The field of the tools of technical financial planning for special needs is quite complex and it's quite specialized.
[00:03:44.500 --> 00:03:48.500]   I don't have a deep specialized knowledge in this area.
[00:03:48.500 --> 00:03:50.500]   I have just a general cursory overview.
[00:03:50.500 --> 00:04:00.500]   I do have on my list some attorneys who are real specialists in this that I may reach out to and do an interview with, even some that are near me.
[00:04:00.500 --> 00:04:03.500]   I know you mentioned in a different part of your note that you're in South Florida.
[00:04:03.500 --> 00:04:06.500]   There are some people in South Florida who are world class.
[00:04:06.500 --> 00:04:13.500]   There's one attorney on my list who's literally almost written the book on special needs planning in Florida.
[00:04:13.500 --> 00:04:18.500]   So there are some general – well, there are some specific things that I'd like to cover.
[00:04:18.500 --> 00:04:25.500]   I would like to be very knowledgeable and expert in this area and I might use this show as a reason for doing that.
