
[00:00:00.000 --> 00:00:06.200]   Why do you exist?
[00:00:06.200 --> 00:00:08.520]   Why do I exist?
[00:00:08.520 --> 00:00:13.100]   That's the question we kick the week off with, and it comes from a regular
[00:00:13.100 --> 00:00:16.840]   listener to the podcast named Tyler, a young Christian, and Pastor
[00:00:16.840 --> 00:00:18.560]   John joins us over the phone.
[00:00:18.560 --> 00:00:20.640]   Pastor John, hello, and thank you for taking my question.
[00:00:20.640 --> 00:00:24.360]   I found that I flourish in almost anything when I understand the big picture.
[00:00:24.360 --> 00:00:28.600]   When this is true, I understand the why behind everything I'm
[00:00:28.600 --> 00:00:30.200]   doing and where I'm going.
[00:00:30.200 --> 00:00:34.160]   Unfortunately, as I'm now laying the foundations for the rest of my life as a
[00:00:34.160 --> 00:00:38.760]   Christian, all too often I find myself asking why and not getting an answer.
[00:00:38.760 --> 00:00:43.400]   It seems that every sermon at church and every lesson from fellow believers is
[00:00:43.400 --> 00:00:47.940]   quote unquote, in the weeds of immediate life application, and doesn't relate
[00:00:47.940 --> 00:00:51.960]   back to the larger storyline of God's purposes and creation and recreation.
[00:00:51.960 --> 00:00:56.800]   So what is the overarching concept for my life, my reason for existence
[00:00:56.800 --> 00:00:58.320]   and relationship with God?
[00:00:58.340 --> 00:01:02.960]   I know if I better understand this, I could dive into the details and perform
[00:01:02.960 --> 00:01:07.120]   them more effectively and more joyfully within this larger context.
[00:01:07.120 --> 00:01:08.540]   Pastor John, what would you say to Tyler?
[00:01:08.540 --> 00:01:11.600]   Yes, yes, yes.
[00:01:11.600 --> 00:01:15.540]   That's exactly the way I think about it.
[00:01:15.540 --> 00:01:20.280]   Tyler and I are wired very similarly, it seems.
[00:01:20.400 --> 00:01:28.500]   Actually, I think all human beings are wired this way, only some feel it
[00:01:28.500 --> 00:01:31.340]   more consciously than others.
[00:01:31.340 --> 00:01:35.020]   I think we're all made to find our significance by being
[00:01:35.020 --> 00:01:37.660]   attached to the ultimate.
[00:01:37.660 --> 00:01:44.780]   So all human beings are created to attach their tiny little lives to
[00:01:45.140 --> 00:01:51.200]   something absolutely majestic and glorious so that their life takes on a
[00:01:51.200 --> 00:01:56.320]   sense of wonder and eternal significance, not because of who or what we are in
[00:01:56.320 --> 00:02:01.360]   ourselves, but because of how we're attached to and participate in the life
[00:02:01.360 --> 00:02:03.920]   and purposes of the creator of the universe.
[00:02:03.920 --> 00:02:05.040]   So yes, yes, yes.
[00:02:05.040 --> 00:02:05.840]   Amen.
[00:02:05.840 --> 00:02:06.880]   Tyler.
[00:02:06.880 --> 00:02:14.720]   Oh, how I remember the tumultuous and wonderful days between 1968 and
[00:02:14.720 --> 00:02:23.520]   1971 when my world was being rebuilt, destroyed and rebuilt by an
[00:02:23.520 --> 00:02:29.640]   understanding of the overarching sovereign purposes of God to be
[00:02:29.640 --> 00:02:31.840]   glorified in this world.
[00:02:31.840 --> 00:02:38.640]   It was a kind of Copernican revolution to read Jonathan Edwards, the end for
