
[00:00:00.000 --> 00:00:04.740]   All right. I want to try something unexpected here. I'm going to start with a little known
[00:00:04.740 --> 00:00:09.780]   story from the life of Walt Disney that I came across recently while reading Richard Snow's book
[00:00:09.780 --> 00:00:18.280]   Disney's Land. I am then going to connect this tale from the 1940s to our current moment in
[00:00:18.280 --> 00:00:24.760]   the 2020s, and I am going to extract from it a useful strategy for trying to combat that all
[00:00:24.760 --> 00:00:30.940]   too common sense that we are sleepwalking through life subservient to our screens.
[00:00:30.940 --> 00:00:40.860]   Okay. So let me set the scene for this story. It's the late 1940s. Walt Disney is going through
[00:00:40.860 --> 00:00:47.360]   a hard time in his life. So here's a timeline you got to understand. Sort of the apex of the
[00:00:47.360 --> 00:00:53.740]   first half of Disney's career was 1937. That is when Snow White and the Seven Doors comes out.
[00:00:53.740 --> 00:00:58.960]   It's the first full-length animated movie. It was the highest grossing movie of all time when it came
[00:00:58.960 --> 00:01:05.360]   out. So this was a phenomenon. But after that high point, his animation studio had begun to suffer
[00:01:05.360 --> 00:01:10.880]   financial difficulties, in particular because of World War II. So his follow-up films, which we now
[00:01:10.880 --> 00:01:17.700]   see as classics like Fantasia and Pinocchio, they struggled in part because there was no European or
[00:01:17.700 --> 00:01:23.240]   otherwise international market for these because of the ongoing war. Then we get in the early 1940s,
[00:01:23.240 --> 00:01:28.360]   this big animator strike at Disney Studios. This was really traumatic for Disney. Several of his
[00:01:28.360 --> 00:01:33.640]   biographers, including my favorite biographer of his, Neil Gabler's, talks about how this really was a
[00:01:33.640 --> 00:01:40.860]   period of emotional and creative malaise for Disney. He felt betrayed. He felt drained. So here we are,
[00:01:40.860 --> 00:01:46.500]   as the 40s wear on, the high point of the animation studio is down. They're struggling. They were having to
[00:01:46.500 --> 00:01:51.700]   do, I don't know if you've ever seen this before, Jesse, but they were doing propaganda videos on
[00:01:51.700 --> 00:01:56.300]   contract for the government, animated propaganda videos because they needed the money. So there's
[00:01:56.300 --> 00:02:02.120]   nothing really exciting going on. They were always short on money. He felt betrayed. He's not having a
[00:02:02.120 --> 00:02:10.460]   great time. Then came the trains. So Disney was fascinated with steam trains. This is not unusual for someone who
[00:02:10.460 --> 00:02:15.580]   was born near the turn of the 20th century. You have to imagine what it was like if you're Disney's age.
[00:02:15.580 --> 00:02:24.360]   When you were growing up in the 1920s, right? Steam engines were magic, right? Think about it. You had
[00:02:24.360 --> 00:02:30.540]   horse transportation. That's all anyone had ever known for centuries. And suddenly you have these
[00:02:30.540 --> 00:02:36.780]   massive machines. You've never seen something like this. They were blowing and hissing steam like a dragon
[00:02:36.780 --> 00:02:41.560]   of a size that you've rarely seen anything man-made that large. It could actually move.
[00:02:41.560 --> 00:02:47.860]   And they could rush across the landscape 60, 70, 80 miles per hour, pulling these massive lines of
[00:02:47.860 --> 00:02:53.840]   freight over giant trestle bridges. I mean, it was the thing. There was nothing else to be as amazed by
[00:02:53.840 --> 00:02:59.980]   in the period when Disney grew up than it was trains. So like many people from his era, he always had had
[00:02:59.980 --> 00:03:05.340]   a fascination with trains. He worked selling papers on a train for a while as a kid. And so he bought,
[00:03:05.340 --> 00:03:11.640]   he was 46 years old. It's 1940. He's not feeling good. He buys a Lionel train set. You know, the what
[00:03:11.640 --> 00:03:17.680]   do you call model trains you set up? He's like, oh, this is kind of fun. Then he discovers that one of his
[00:03:17.680 --> 00:03:24.460]   animators, Ward Kimball, was essentially building a full-size steam engine in his backyard.
[00:03:25.520 --> 00:03:29.760]   And this started to get Disney going like, well, wait a second, what are you doing here? And so he
[00:03:29.760 --> 00:03:36.560]   travels with Kimball. They go to a train show where I think I forgot exactly where this was. It might've
[00:03:36.560 --> 00:03:42.640]   been Chicago. It might've been, um, somewhere in the Midwest, but it was a train show where they were
[00:03:42.640 --> 00:03:48.880]   bringing together all these like great steam engines from times past. And it was like really amazing.
[00:03:48.880 --> 00:03:55.140]   And he saw that, uh, Ward Kimball was building like a fake set in his backyard to put the steam engine. And
[00:03:55.540 --> 00:04:00.180]   and Disney felt something that he hadn't felt in a little while, which was a spark of inspiration.
[00:04:00.180 --> 00:04:08.500]   And so he hatched a plan. He said, I'm going to build not a model train, but a 1/8 scale train. So
[00:04:08.500 --> 00:04:15.940]   to put that in the perspective, a 1/8 scale train, the, uh, engine is just big enough that like a full
[00:04:15.940 --> 00:04:20.500]   grown man, you could sit on it and you know, your legs would kind of be over the side, but so it's like
[00:04:20.500 --> 00:04:25.300]   the size of, I don't know. You think of it as like a wagon, right? So he was like, I'm going to build a
[00:04:25.300 --> 00:04:31.540]   train at that scale and I'm going to build a track to run this thing on. Now he didn't have enough room
[00:04:31.540 --> 00:04:38.900]   where they lived. So he bought a new house, right? This is 1949. Disney purchases a five acre plot in
[00:04:38.900 --> 00:04:44.420]   Los Angeles specifically because the land would be well suited for building this 1/8 scale train that he
[00:04:44.420 --> 00:04:51.620]   suddenly had come up with is like, this will be fun. He laid out nearly 800 meters of track for his steam
[00:04:51.620 --> 00:04:55.620]   engine, which he called the Carolwood Pacific railroad because it was on Carolwood Avenue.
[00:04:55.620 --> 00:05:03.460]   He ended up with a 46 foot long trestle. So that's a old school railroad bridge that was large enough
[00:05:03.460 --> 00:05:08.660]   that it fell under LA County's jurisdiction as a real bridge. They had to actually check that it was properly
[00:05:08.660 --> 00:05:14.740]   built, had loops and overpasses, a gradient, an elevated dirt berm and a 90 foot tunnel underneath
[00:05:14.740 --> 00:05:19.620]   his wife's flower bed. They engineered the tunnel at great expense to have an S turn so that when you
[00:05:19.620 --> 00:05:23.620]   went in one end, you couldn't see out the backs. You had no idea how long it felt like the tunnel was going
[00:05:23.620 --> 00:05:31.700]   on and on for a long time. We have some photos, I think, right, Jesse, of this track. So if you're
[00:05:31.700 --> 00:05:36.340]   watching this on YouTube, instead of just listening, we're going to see if we can pull up on the screen.
[00:05:36.340 --> 00:05:41.460]   Jesse will pull up while we're talking here some photos from an article I found that were pretty
[00:05:41.460 --> 00:05:46.580]   good. And so, yeah, so we see here, there he is on the train. So that's what 1/8 scale is. You see,
[00:05:46.580 --> 00:05:51.380]   he's riding on it, but close to the ground. All right, scroll some more, Jesse. That's the layout.
[00:05:51.380 --> 00:05:58.100]   Look at that. Oh, I'm so jealous. And then you see here, there's his barn. If you're watching,
[00:05:58.100 --> 00:06:01.780]   keep that barn in mind. I'll mention that in a second. I think there's like maybe one more photo on there.
[00:06:02.340 --> 00:06:08.660]   Yeah, there they are going by the flower beds. All right. So amid this circuit,
[00:06:08.660 --> 00:06:13.620]   Disney also built a barn where he could store and maintain his rolling stock. It was also the control
[00:06:13.620 --> 00:06:20.020]   room for the Pacific line as well. And as long as he was building it, he designed it to look
[00:06:20.020 --> 00:06:26.260]   like his family barn he had growing up in Marceline, Missouri. This also became a place for him to relax and
[00:06:26.260 --> 00:06:32.900]   the brainstorm about future projects. So he went all in on this. His biographers talk about him
[00:06:32.900 --> 00:06:40.820]   really coming alive once he was able to start working on this railroad, this project that he was
[00:06:40.820 --> 00:06:44.980]   spending more and more time on. He bought a house just to build, had nothing to do with his work,
[00:06:44.980 --> 00:06:49.780]   but he really began to come alive, which made it all the more surprising when in 1953,
[00:06:51.380 --> 00:06:56.260]   a accident happened. It wasn't a major accident, but he, he let someone drive the train, a young
[00:06:56.260 --> 00:07:00.020]   guy drive the train and he went too fast and it derailed. And some of the steam came out of the
[00:07:00.020 --> 00:07:06.020]   engine and a five-year-old girl got some minor burns. She was fine. But right after that accident,
[00:07:06.020 --> 00:07:11.620]   he's like, okay, I'm done. And he shut it down and they stored away the cars. The, the locomotive went
[00:07:11.620 --> 00:07:15.860]   back to, I think they had under a desk somewhere at Walt Disney. His friends and family were surprised,
[00:07:15.860 --> 00:07:20.260]   like, wait, you're just going to shut this whole thing down. But it was not a surprise to Disney
[00:07:20.260 --> 00:07:26.420]   because the Carolwood Pacific project had accomplished its purpose. It had reignited his
[00:07:26.420 --> 00:07:30.180]   ability to feel wonder and motivation to build things and do things that mattered.
[00:07:30.180 --> 00:07:36.260]   Right. And in that barn he had built where he would sit after a day of working with his train,
[00:07:36.260 --> 00:07:40.660]   where he'd been working in there and brainstorming, he had been, it turned out, mulling an idea for the
[00:07:40.660 --> 00:07:44.980]   next chapter of his career, the chapter that would occupy him happily for the rest of his life.
[00:07:44.980 --> 00:07:50.340]   He had decided reinvigorated by that railway project that he was going to build a theme park.
[00:07:50.340 --> 00:07:58.100]   And that's where he then turned his energy. Now, Disney used this experiment to overcome
[00:07:58.100 --> 00:08:03.540]   the professional malaise, but I couldn't help think when I was reading Richard Snow's book recently,
[00:08:03.540 --> 00:08:09.540]   I couldn't help coming across this story that there might be a lesson in here that is relevant to people
[00:08:09.540 --> 00:08:15.620]   today who are suffering from what I think is a related condition that's at the same time,
[00:08:15.620 --> 00:08:21.940]   very of our current moment. Here's the issue I'm observing today that Disney's scheme might help.
[00:08:21.940 --> 00:08:30.500]   We spend all of our time on screens, right? At work, it's email, it's Zoom, it's web interfaces,
