
[00:00:00.000 --> 00:00:01.040]   Hello, everybody.
[00:00:01.040 --> 00:00:03.320]   It's Sam from Financial Samurai.
[00:00:03.320 --> 00:00:06.360]   And we're in May, May 2020.
[00:00:06.360 --> 00:00:08.360]   And the good news is that I think
[00:00:08.360 --> 00:00:11.240]   the lockdowns are almost over.
[00:00:11.240 --> 00:00:14.200]   I've got to believe that the lockdowns for most of us
[00:00:14.200 --> 00:00:17.000]   will be over by June 2020.
[00:00:17.000 --> 00:00:19.480]   And life will kind of go back to the way
[00:00:19.480 --> 00:00:22.240]   it was with a lot of precautions.
[00:00:22.240 --> 00:00:25.040]   Things are faring pretty well on the financial front.
[00:00:25.040 --> 00:00:29.220]   The S&P 500 is rallying because in April,
[00:00:29.220 --> 00:00:33.800]   we only lost 20.5 million jobs when the expectations were
[00:00:33.800 --> 00:00:36.800]   more like 22 to 23 million.
[00:00:36.800 --> 00:00:39.840]   Now, obviously, the numbers are crazy high.
[00:00:39.840 --> 00:00:41.360]   But everything is about expectations
[00:00:41.360 --> 00:00:43.400]   as we've been talking time and time again.
[00:00:43.400 --> 00:00:46.400]   So the market continues to rally and hold up.
[00:00:46.400 --> 00:00:50.480]   And the expectations are that there will be more stimulus,
[00:00:50.480 --> 00:00:54.040]   more stimulus for the month of May and maybe June,
[00:00:54.040 --> 00:00:56.460]   maybe another stimulus check for all of you
[00:00:56.460 --> 00:01:02.480]   folks who make under $75,000 per person and $150,000 per couple.
[00:01:02.480 --> 00:01:04.860]   Maybe more PPP money.
[00:01:04.860 --> 00:01:08.000]   After all, there's something like, I think, 30 million
[00:01:08.000 --> 00:01:11.680]   small businesses, and only half of them applied.
[00:01:11.680 --> 00:01:14.400]   And I think there's about a 30% to 40% chance
[00:01:14.400 --> 00:01:18.240]   that the enhanced unemployment benefits gets extended
[00:01:18.240 --> 00:01:20.920]   from July 31 till maybe the end of the year.
[00:01:20.920 --> 00:01:21.520]   Why not?
[00:01:21.520 --> 00:01:23.080]   I mean, give me a break.
[00:01:23.080 --> 00:01:26.120]   There are tens and tens of millions of people unemployed.
[00:01:26.120 --> 00:01:28.720]   So this is much worse than in 2008 and 2009
[00:01:28.720 --> 00:01:31.360]   in terms of the unemployment front.
[00:01:31.360 --> 00:01:34.600]   Yet in 2008 and 2009, unemployment benefits
[00:01:34.600 --> 00:01:36.840]   were extended to 99 weeks.
[00:01:36.840 --> 00:01:38.040]   So come on, government.
[00:01:38.040 --> 00:01:40.640]   Let's at least match that 99 weeks.
[00:01:40.640 --> 00:01:44.240]   And things will probably feel much more secure for those
[00:01:44.240 --> 00:01:46.600]   who rely on those benefits.
[00:01:46.600 --> 00:01:48.600]   Now, it's important for all of us to continue
[00:01:48.600 --> 00:01:51.040]   to try to forecast the future.
[00:01:51.040 --> 00:01:53.200]   And since lockdowns are going to end,
[00:01:53.200 --> 00:01:56.480]   I think, within the next 30 days to 45 days,
[00:01:56.480 --> 00:02:00.000]   it's important for us to step it up.
[00:02:00.000 --> 00:02:03.320]   Step it up these remaining 35, 45 days,
[00:02:03.320 --> 00:02:05.320]   because a lot is at stake.
[00:02:05.320 --> 00:02:08.380]   When I ran track in high school, my most hated relay
[00:02:08.380 --> 00:02:10.880]   was the 4 by 400 meter.
[00:02:10.880 --> 00:02:11.680]   I was a sprinter.
[00:02:11.680 --> 00:02:15.320]   I did the 100 meter dash and the 200 meter dash.
[00:02:15.320 --> 00:02:18.080]   And the 400 meters, which is one lap around the track,
[00:02:18.080 --> 00:02:21.200]   was about 200 meters beyond what I could sustainably
[00:02:21.200 --> 00:02:22.960]   run at max speed.
[00:02:22.960 --> 00:02:25.400]   And generally, I'm always trying to go max, max, max.
