
[00:00:00.040 --> 00:00:09.420]   caveat
[00:00:09.420 --> 00:00:10.800]   at the that
[00:00:28.360 --> 00:00:56.680]   'Support Radical Personal Finance'
[00:00:56.680 --> 00:00:56.680]   'Support Radical Personal Finance'
[00:00:56.680 --> 00:00:56.680]   'Support Radical Personal Finance'
[00:00:56.680 --> 00:00:56.680]   'Support Radical Personal Finance'
[00:00:56.680 --> 00:00:56.680]   'Support Radical Personal Finance'
[00:00:56.680 --> 00:00:56.720]   'Support Radical Personal Finance'
[00:00:56.720 --> 00:00:56.840]   'Support Radical Personal Finance'
[00:00:56.840 --> 00:00:56.880]   'Support Radical Personal Finance'
[00:00:56.880 --> 00:00:56.920]   'Support Radical Personal Finance'
[00:00:56.920 --> 00:00:57.040]   'Support Radical Personal Finance'
[00:00:57.040 --> 00:00:57.180]   'Support Radical Personal Finance'
[00:00:57.180 --> 00:00:57.340]   'Support Radical Personal Finance'
[00:00:57.340 --> 00:00:57.420]   'Support Radical Personal Finance'
[00:00:57.420 --> 00:00:57.680]   'Support Radical Personal Finance'
[00:00:57.680 --> 00:00:57.760]   'Support Radical Personal Finance'
[00:00:57.760 --> 00:00:57.840]   'Support Radical Personal Finance'
[00:00:57.840 --> 00:00:57.880]   'Support Radical Personal Finance'
[00:00:57.880 --> 00:00:57.960]   'Support Radical Personal Finance'
[00:00:57.960 --> 00:00:58.000]   'Support Radical Personal Finance'
[00:00:58.040 --> 00:01:04.220]   just
[00:01:04.220 --> 00:01:11.760]  違 brain. I have.
[00:01:27.480 --> 00:01:29.600]   How can I serve you today, sir?
[00:01:29.600 --> 00:01:56.920]   I got that. Thanks for taking my call. I am curious how you would encourage building career confidence when you don't have a lot of time to spend building a successful side job or and or don't want to make the costly decision of lowering your income by switching to a near career field that I'm not qualified in yet. So you're going to be able to do that.
[00:01:56.960 --> 00:02:07.160]   2021
[00:02:07.160 --> 00:02:08.840]   the is
[00:02:15.920 --> 00:02:34.840]   Перв, I'm in a union, so I feel like probably making more than my skills and services are necessarily worth, and I would like to not feel that way and we have more, I guess, kind of backup time.
[00:02:34.840 --> 00:02:34.840]   I'm in a union, so I feel like probably making more than my skills and services are necessarily worth, and I would like to earn an income doing what you're doing.
[00:02:34.840 --> 00:02:34.840]   I'm in a union, so I feel like probably making more than my skills and services are necessarily worth, and I would like to not feel that way and be have more, I guess, kind of backup time.
[00:02:34.840 --> 00:02:34.840]   I'm in a union, so I feel like probably making more than my skills and services are necessarily worth, and I would like to earn an income doing what you're doing.
[00:02:34.840 --> 00:02:34.840]   I'm in a union, so I feel like probably making more than my skills and services are necessarily worth, and I would like to earn an income doing what you're doing.
[00:02:34.880 --> 00:02:59.000]  , and I would like to earn an income doing what you're doing.
[00:02:59.000 --> 00:03:03.080]   I'm in a union, so I feel like probably making more than my skills and services are necessarily worth, and I would like to earn an income doing what you're doing.
[00:03:03.080 --> 00:03:03.120]   I'm in a union, so I feel like probably making more than my skills and services are necessarily worth, and I would like to earn an income doing what you're doing.
[00:03:03.120 --> 00:03:03.200]   I'm in a union, so I feel like probably making more than my skills and services are necessarily worth, and I would like to earn an income doing what you're doing.
[00:03:03.200 --> 00:03:03.240]   I'm in a union, so I feel like probably making more than my skills and services are necessarily worth, and I would like to earn an income doing what you're doing.
[00:03:03.240 --> 00:03:03.240]   I'm in a union, so I feel like probably making more than my skills and services are necessarily worth, and I would like to earn an income doing.
[00:03:31.640 --> 00:03:31.980]   I'm in a union, so I feel like probably making more than my skills and services are necessarily worth, and I would like to earn an income doing what you're doing.
[00:03:31.980 --> 00:03:32.000]   I'm in a union, so I feel like probably making more than my skills and services are necessarily worth, and I would like to earn an income doing what you're doing.
[00:03:32.000 --> 00:03:32.040]   I'm in a union, so I feel like probably making more than my skills and services are necessarily worth, and I would like to earn an income doing what you're doing.
[00:03:32.040 --> 00:03:32.100]   I'm in a union, so I feel like probably making more than my skills and services are necessarily worth, and I would like to earn an income doing what you're doing.
[00:03:32.100 --> 00:03:32.160]   I'm in a union, so I feel like probably making more than my skills and services are necessarily worth, and I would like to earn an income doing what you're doing.
[00:04:00.920 --> 00:04:01.100]   I'm in a union, so I feel like probably making more than my skills and services are necessarily worth, and I would like to earn an income doing what you're doing.
[00:04:01.100 --> 00:04:01.160]   I'm in a union, so I feel like probably making more than my skills and services are necessarily worth, and I would like to earn an income doing what you're doing.
[00:04:01.160 --> 00:04:01.200]   I'm in a union, so I feel like probably making more than my skills and services are necessarily worth, and I would like to earn an income doing what you're doing.
[00:04:01.200 --> 00:04:01.240]   I'm in a union, so I feel like probably making more than my skills and services are necessarily worth, and I would like to earn an income doing what you're doing.
[00:04:01.240 --> 00:04:01.280]   I'm in a union, so I feel like probably making more than my skills and services are necessarily worth, and I would like to earn an income doing what you're doing.
[00:04:01.280 --> 00:04:01.320]   I'm in a union, so I feel like to earn an income doing what you're doing.
[00:04:01.320 --> 00:04:31.340]  , and I would like to earn an income doing what you're doing.
[00:04:31.340 --> 00:04:31.340]   I'm in a union, so I feel like probably making more than my skills and services are necessarily worth, and I would like to earn an income doing what you're doing.
[00:04:31.340 --> 00:04:31.340]   I'm in a union, so I feel like probably making more than my skills and services are necessarily worth, and I would like to earn an income doing what you're doing.
[00:04:31.340 --> 00:04:31.340]   I'm in a union, so I feel like probably making more than my skills and services are necessarily worth, and I would like to earn an income doing what you're doing.
[00:04:31.340 --> 00:04:31.340]   I'm in a union, so I feel like probably making more than my skills and services are necessarily worth, and I would like to earn an income doing.
[00:04:31.360 --> 00:05:01.360]   I'm in a union, so I feel like probably making more than my skills and services are necessarily worth, and I would like to earn an income doing what you're doing.
[00:05:01.360 --> 00:05:01.360]   I'm in a union, so I feel like probably making more than my skills and services are necessarily worth, and I would like to earn an income doing what you're doing.
[00:05:01.360 --> 00:05:01.360]   I'm in a union, so I feel like probably making more than my skills and services are necessarily worth, and I would like to earn an income doing what you're doing.
[00:05:01.360 --> 00:05:01.360]   I'm in a union, so I feel like probably making more than my skills and services are necessarily worth, and I would like to earn an income doing what you're doing.
[00:05:01.360 --> 00:05:01.360]   I'm in a union, so I feel like probably making more than my skills and services are necessarily worth, and I would like to earn an income doing what you're doing.
[00:05:01.360 --> 00:05:31.380]  , and I would like to earn an income doing what you're doing.
[00:05:31.380 --> 00:05:31.380]   I'm in a union, so I feel like probably making more than my skills and services are necessarily worth, and I would like to earn an income doing what you're doing.
[00:05:31.380 --> 00:05:31.380]   I'm in a union, so I feel like probably making more than my skills and services are necessarily worth, and I would like to earn an income doing what you're doing.
[00:05:31.380 --> 00:05:31.380]   I'm in a union, so I feel like probably making more than my skills and services are necessarily worth, and I would like to earn an income doing what you're doing.
[00:05:31.380 --> 00:05:31.380]   I'm in a union, so I feel like probably making more than my skills and services are necessarily worth, and I would like to earn an income doing what you're doing.
[00:05:31.380 --> 00:05:31.380]   I'm in a union, so I feel like probably making more than my skills and services are necessarily worth, and I would like to earn an income doing what you're doing.
[00:05:31.400 --> 00:06:01.400]   I'm in a union, so I feel like probably making more than my skills and services are necessarily worth, and I would like to earn an income doing what you're doing.
[00:06:01.400 --> 00:06:01.400]   I'm in a union, so I feel like probably making more than my skills and services are necessarily worth, and I would like to earn an income doing what you're doing.
[00:06:01.400 --> 00:06:01.400]   I'm in a union, so I feel like probably making more than my skills and services are necessarily worth, and I would like to earn an income doing what you're doing.
[00:06:01.400 --> 00:06:01.400]   I'm in a union, so I feel like probably making more than my skills and services are necessarily worth, and I would like to earn an income doing what you're doing.
