
[00:00:00.000 --> 00:00:18.540]   Thanks Ally for the great intro. Indeed we're working on what I believe to
[00:00:18.540 --> 00:00:23.600]   be the extant problem in AI, which is to say how do you validate, verify, audit,
[00:00:23.600 --> 00:00:28.520]   steer something that is as subjective and unstructured as literal LLM slop. So
[00:00:28.520 --> 00:00:31.980]   today we're gonna be talking a lot about this. I should point out that ostensibly
[00:00:31.980 --> 00:00:34.760]   we're part of the AI security track, although I would really consider us more
[00:00:34.760 --> 00:00:38.780]   of a QA company, an eval company in some sense, although there's a lot of shared
[00:00:38.780 --> 00:00:41.720]   similarities in how we approach the problem technically. Right, we are
[00:00:41.720 --> 00:00:45.740]   essentially a property-based testing company, or Fuzz testing company, or as I
[00:00:45.740 --> 00:00:52.460]   like to call it, a hazing company. Cool, so just to set the context a little bit, why
[00:00:52.460 --> 00:00:56.540]   do we start Haze? What does Haze mean? Haze to us is ultimately, all right, we know
[00:00:56.540 --> 00:01:00.820]   that AI systems are extremely unreliable. They're hard to trust in practice, and you
[00:01:00.820 --> 00:01:04.880]   sort of need to pressure test them before you put them out into the wild. Our
[00:01:04.880 --> 00:01:08.440]   solution to doing this is basically, let's just run large-scale optimization and
[00:01:08.440 --> 00:01:12.500]   simulation and search before deployment and try and figure out through a battery
[00:01:12.500 --> 00:01:15.920]   of tests whether or not your system will behave as expected before it actually goes
[00:01:15.920 --> 00:01:22.200]   into production. And I'm sure any of you guys who have tried to build LLM apps in the past, have
[00:01:22.200 --> 00:01:26.480]   understood extremely viscerally what I mean when I say the last mile problem in AI.
[00:01:26.480 --> 00:01:34.480]   Right, it's at this point in 2025, extremely easy to get something that is demo-ready, or POC-ready.
[00:01:34.480 --> 00:01:39.540]   Like, you can whip together a cool product over the weekend and impress your PM and whatnot, but it's
[00:01:39.540 --> 00:01:43.540]   really hard to get that same product into production at a point where it's truly robust and
[00:01:43.540 --> 00:01:48.820]   enterprise-grade and reliable. And, you know, this has been the case for the past two-plus years at this point.
[00:01:48.820 --> 00:01:56.380]   Right? Like, we've been promised the allure of autonomy and agency and full-gen AI and enterprise
[00:01:56.380 --> 00:02:00.820]   transformation for two-plus years since ChatGPT launched, and we're still not quite there. Right?
[00:02:00.820 --> 00:02:06.100]   And I think, ultimately, it's because we haven't solved this last mile problem around trust and reliability
[00:02:06.100 --> 00:02:12.400]   and risk. So, I think part of the big reasons we haven't solved this is because people still think
[00:02:12.400 --> 00:02:18.100]   about evals and measuring your AI system in a very straightforward and naive sense, which is easiest to
[00:02:18.100 --> 00:02:23.100]   explain as follows. Right? I'm sure everybody has seen this idea of going out, being a human subject matter
[00:02:23.100 --> 00:02:29.940]   experts, collecting a finite static golden data set of inputs and then expected outputs, ground truth
[00:02:29.940 --> 00:02:35.880]   outputs from the human, and then basically running the inputs through the application, getting the actual
[00:02:35.880 --> 00:02:40.920]   output, and then comparing it somehow with the ground truth golden answers. Right? This is how evals has
[00:02:40.920 --> 00:02:49.200]   been done forever since the birth of deep learning and prior. But it doesn't quite hold up in the Gen AI era,
[00:02:49.200 --> 00:02:55.200]   specifically because of this property of Gen AI systems, which is what I like to call brittleness, or
[00:02:55.200 --> 00:03:01.620]   more technically, Lipschitz discontinuity. And what I mean by this is, you know, people say AI is sensitive,
[00:03:01.620 --> 00:03:08.380]   AI is brittle, AI is non-deterministic, which is true. This is all true. But that's really not the main problem
[00:03:08.380 --> 00:03:12.320]   that makes AI so hard to deal with. Right? Non-determinism is really fine if you set the temperature to zero.
[00:03:12.320 --> 00:03:18.020]   Yes, there's like caching and weird systems, quirks, and all of the LLM providers that make it somewhat
[00:03:18.020 --> 00:03:22.460]   non-deterministic, even at scale. But for the most part, non-determinism really doesn't bite you too
[00:03:22.460 --> 00:03:25.760]   much when you're building AI apps. Right? You, for the most part, are constraining your outputs to
[00:03:25.760 --> 00:03:30.140]   temperature zero. You're running things through a workflow. It's fairly deterministic. What does bite
[00:03:30.140 --> 00:03:35.480]   you a lot when you're building AI apps, though, is when you send two ostensibly similar inputs to your
[00:03:35.480 --> 00:03:42.020]   AI application with maybe slight variance in the syntax or the semantics or the appearance of the text,
[00:03:42.020 --> 00:03:46.740]   but all of a sudden you get wildly different outputs on the other side. Right? This is what I mean when I say
[00:03:46.740 --> 00:03:51.180]   Gen AI apps are incredibly brittle. And I think this is the actual core property
[00:03:51.180 --> 00:03:57.240]   that makes billing with AI, with Gen AI, so difficult. And of course, we see this
[00:03:57.240 --> 00:04:01.720]   brittleness manifest itself in all sorts of fun ways. I'm sure we don't have to belabor this point
[00:04:01.720 --> 00:04:07.500]   too much, but you've got everything from Air Canada customer supports, hallucinating to, you know,
[00:04:07.500 --> 00:04:14.440]   character AI telling teenagers to commit suicide, to buying a pickup truck for one dollar on the Chevy
[00:04:14.440 --> 00:04:20.120]   patient or customer portal. Right? I don't think we need to go through more examples of this. This
[00:04:20.120 --> 00:04:24.820]   happens more or less every single week. There's more and more examples popping out. And again, this all
[00:04:24.820 --> 00:04:31.380]   comes back to Gen AI being extremely sensitive and brittle to perturbations in the input space. Cool. So,
[00:04:31.380 --> 00:04:35.520]   standard evals, of course, doesn't cover this brittleness property. And I would say it's
[00:04:35.520 --> 00:04:41.760]   insufficient in two senses, two primary senses. One is coverage. Right? With a static data set,
[00:04:41.760 --> 00:04:46.960]   you only know how good your AI system will be with respect to that data set. Right? It might look like
[00:04:46.960 --> 00:04:52.840]   your AI system is 100% on all your unit tests, on all your golden data set points. But if you just push
[00:04:52.840 --> 00:04:57.400]   around the corner and look around the corner for more inputs that cover your space more densely, it is
[00:04:57.400 --> 00:05:01.660]   entirely possible that you get perturbations that tell a very, very different story about how your AI
[00:05:01.660 --> 00:05:06.100]   application actually does in the wild. So point number one, standard evals don't have sufficient coverage.
[00:05:06.100 --> 00:05:14.920]   Second point, too, is it's actually really difficult to come up with a good measure of quality or even
[00:05:14.920 --> 00:05:20.680]   similarity between the outputs of your AI application and your ground truth outputs. Really, what we would
[00:05:20.680 --> 00:05:28.180]   want almost is a human subject matter expert who is constantly overseeing your AI application and a subject matter
[00:05:28.180 --> 00:05:32.380]   expert who has all the right taste and sensitivity but is able to translate that sensitivity into some
[00:05:32.380 --> 00:05:37.360]   quantitative metric. This by no means is a trivial task. Right? I think this is the core challenge that
[00:05:37.360 --> 00:05:41.680]   we've been trying to face in the field of AI around reward modeling for the past five, six, seven plus
[00:05:41.680 --> 00:05:47.080]   years. Right? And the key challenge is how do you get that sensitivity from the subject matter expert from
[00:05:47.080 --> 00:05:54.040]   a non-technical domain to be able to translate their criteria into quantitative measures? This is not even
[00:05:54.040 --> 00:05:58.060]   close to something that's being solved with standard evals today. People are using things like exact match,
[00:05:58.060 --> 00:06:06.760]   classifiers, LM as a judge, semantics, limity. All these things have their own sets of quirks and undesiderata. And we'll
[00:06:06.760 --> 00:06:14.140]   see how this pans out in a second. Long story short of how we think about tackling this eval problem is
[00:06:14.140 --> 00:06:20.380]   essentially through hazing. Right? Fuzz testing in the AI era. Essentially, what hazing comprises is very simple in the
[00:06:20.380 --> 00:06:29.080]   abstract. We just simulate large-scale stimuli to center your AI application. We get the responses as a result of the stimuli. We judge and
[00:06:29.080 --> 00:06:35.400]   analyze and score the outputs of your AI application. And we use that as a signal to help guide the next round of search. Right? And we
[00:06:35.400 --> 00:06:41.260]   essentially just do this iteratively until we discover some bugs and corner cases that break your AI application. And if we don't discover
[00:06:41.260 --> 00:06:47.060]   anything and we exhaust our search budget, that means you're essentially ready for production. Right? So this is hazing in a
[00:06:47.060 --> 00:06:48.960]   nutshell.
[00:06:48.960 --> 00:06:57.440]   But easy to describe. Actually, really difficult to execute in practice. Both sides of the equation in terms of scoring the output and also
[00:06:57.440 --> 00:07:03.520]   generating the input stimuli are quite difficult technically. I'll first talk about how do we think about scoring the output. Again,
[00:07:03.520 --> 00:07:10.320]   translating from subjective criteria into quantitative metrics. We call this judging, more broadly.
[00:07:10.320 --> 00:07:17.760]   Probably you guys are familiar with something like using LM as a judge to essentially have LM look at the output of your AI
[00:07:17.760 --> 00:07:23.200]   application and decide, you know, based on some prompts or rubric that you give to your judge, you know, is this a good
[00:07:23.200 --> 00:07:27.220]   response or is it a bad response? Tell me on a scale from 1 to 5 or 1 to 10 or what have you. Right?
[00:07:27.220 --> 00:07:35.820]   Very simple to do, but it has its whole large array of different failure modes. In particular, LM as a judge itself is prone to
[00:07:35.820 --> 00:07:43.660]   hallucinations. It is obviously an LLM, so it's prone to hallucinations. It is unstable. You could have actually a really good
[00:07:43.660 --> 00:07:53.380]   articulation of the criteria, but it doesn't actually operationalize well into a model. Right? So it's uncalibrated in the output. Right? Like, what is a 1 to an LLM? That's very
[00:07:53.380 --> 00:08:00.140]   different to what is a 1 to a human. Right? What is a 5 to a human is very different to what is a 5 to an LLM? So it's
[00:08:00.140 --> 00:08:07.260]   uncalibrated. It has all sorts of biases. Right? If you change the inputs in any weird position. Right? Let's say you present one
[00:08:07.260 --> 00:08:12.660]   response first and the second response. If you flip the order, that changes the results oftentimes. If you provide context or you
[00:08:12.660 --> 00:08:22.140]   change some part of your rubric, that changes the result of the LM as a judge, too. So extremely biased, extremely fickle. And TL;DR, LM as a judge itself, as an off the
[00:08:22.140 --> 00:08:28.900]   call call call off the shelf call to an LM is oftentimes not going to solve your reliability issues.
[00:08:28.900 --> 00:08:34.900]   So the key question in my mind is, how do you actually QA the judge itself? Right? How do you get to a point where you
[00:08:34.900 --> 00:08:40.520]   can judge the judge and say that this is the best gold standard metric that I can use to then actually iterate my
[00:08:40.520 --> 00:08:50.900]   underlying AI application against? So how do you judge this judge? The broad philosophy that we've been taking over the past few months is essentially pushing the idea of inference
[00:08:50.900 --> 00:08:59.660]   time scaling or more broadly compute time scaling to the judging stage. So we call this scaling judge time compute. And there's two ends of the spectrum of this
[00:08:59.660 --> 00:09:08.420]   philosophy. One end of the spectrum is basically just rip from scratch, no inductive biases, train reasoning models that get
[00:09:08.420 --> 00:09:15.180]   really, really, really good at this evaluation task. And then the other end of the spectrum is be very structured. You know, don't train any models.
