
[00:00:00.000 --> 00:00:00.640]   Hi, folks.
[00:00:00.640 --> 00:00:02.280]   It's Anton here from Chroma, here
[00:00:02.280 --> 00:00:04.320]   to talk to you a little bit about embedding stores
[00:00:04.320 --> 00:00:06.000]   and vector databases and how they work
[00:00:06.000 --> 00:00:09.880]   in the context of LLM in the loop applications,
[00:00:09.880 --> 00:00:12.040]   like the one you're building in this course.
[00:00:12.040 --> 00:00:13.920]   So by now, you've learned a little bit
[00:00:13.920 --> 00:00:16.840]   about embeddings and nearest neighbor
[00:00:16.840 --> 00:00:20.660]   and how to use them for similarity search.
[00:00:20.660 --> 00:00:22.040]   I want to talk to you a little bit
[00:00:22.040 --> 00:00:24.160]   about some of the software packages and tools available
[00:00:24.160 --> 00:00:26.440]   for you that will make that a bit easier, especially
[00:00:26.440 --> 00:00:28.280]   if you're working with large amounts of data
[00:00:28.280 --> 00:00:31.440]   or you're ready to build a production-grade application.
[00:00:31.440 --> 00:00:32.840]   So let's get right into it.
[00:00:32.840 --> 00:00:34.520]   What is an embedding store?
[00:00:34.520 --> 00:00:36.520]   An embedding store is basically a software package
[00:00:36.520 --> 00:00:38.360]   that abstracts away a lot of the operations
[00:00:38.360 --> 00:00:39.760]   that you've already learned about.
[00:00:39.760 --> 00:00:42.680]   So first, you take a set of documents
[00:00:42.680 --> 00:00:44.320]   that represent your knowledge base,
[00:00:44.320 --> 00:00:46.120]   and you can use the embedding store
[00:00:46.120 --> 00:00:48.800]   to embed them using its embedding function.
[00:00:48.800 --> 00:00:51.840]   And then when a query comes in, the same embedding function
[00:00:51.840 --> 00:00:52.340]   gets called.
[00:00:52.340 --> 00:00:55.120]   It generates an embedding as the query embedding,
[00:00:55.120 --> 00:00:57.720]   and then the embedding store itself
[00:00:57.720 --> 00:00:59.960]   performs the nearest neighbor search for you
[00:00:59.960 --> 00:01:03.280]   and returns the relevant documents to the LLM context
[00:01:03.280 --> 00:01:05.040]   window, thus basically simplifying
[00:01:05.040 --> 00:01:06.660]   a lot of the operations that you would
[00:01:06.660 --> 00:01:09.360]   have to implement yourself.
[00:01:09.360 --> 00:01:12.080]   So the next question is, when should you be using one?
[00:01:12.080 --> 00:01:13.960]   Well, the first answer is when your data
[00:01:13.960 --> 00:01:15.400]   gets sufficiently large.
[00:01:15.400 --> 00:01:18.360]   Computing distances to each embedding for each query
[00:01:18.360 --> 00:01:20.920]   is pretty slow and expensive, especially
[00:01:20.920 --> 00:01:22.680]   under certain distance functions.
[00:01:22.680 --> 00:01:24.320]   A good rule of thumb is that when
[00:01:24.320 --> 00:01:27.640]   you're over about 10,000 embeddings using
[00:01:27.640 --> 00:01:29.960]   some of the commercial open source embedding models,
[00:01:29.960 --> 00:01:31.460]   it's probably a good time to switch
[00:01:31.460 --> 00:01:33.280]   to a vector database or embedding store,
[00:01:33.280 --> 00:01:37.440]   and we'll get to a little bit about why that is in a minute.
[00:01:37.440 --> 00:01:39.600]   The other important thing is not to underestimate
[00:01:39.600 --> 00:01:42.060]   the convenience that actually using an off-the-shelf package
[00:01:42.060 --> 00:01:43.080]   gives you here.
[00:01:43.080 --> 00:01:45.880]   LLM-powered applications need to support many users
[00:01:45.880 --> 00:01:47.400]   across many indices.
[00:01:47.400 --> 00:01:49.960]   You need to handle data and scaling automatically.
[00:01:49.960 --> 00:01:51.840]   And basically, you want it to just work.
[00:01:51.840 --> 00:01:53.920]   So rather than getting into all the nitty gritty
[00:01:53.920 --> 00:01:56.400]   of implementation, as long as you understand what's going on,
[00:01:56.400 --> 00:01:58.800]   oftentimes it's easier to just use an off-the-shelf solution
[00:01:58.800 --> 00:02:01.080]   like Chroma.
[00:02:01.080 --> 00:02:05.640]   So how exactly do embedding stores and vector databases
[00:02:05.640 --> 00:02:07.880]   deal with large amounts of data without incurring
[00:02:07.880 --> 00:02:10.880]   the costs of computing distances between the query
[00:02:10.880 --> 00:02:13.400]   and every single embedding that it stores?
[00:02:13.400 --> 00:02:15.640]   Well, as we've seen, exact nearest neighbor
[00:02:15.640 --> 00:02:18.320]   basically requires us to scan over the entire list
[00:02:18.320 --> 00:02:21.040]   of embeddings and compute the distances to each one.
[00:02:21.040 --> 00:02:24.160]   That takes O(n) operations, commonly called linear time,
[00:02:24.160 --> 00:02:27.960]   where n is the number of embeddings you already have.
[00:02:27.960 --> 00:02:30.520]   Embedding stores typically use an approximate nearest neighbor
[00:02:30.520 --> 00:02:31.080]   algorithm.
[00:02:31.080 --> 00:02:32.540]   And basically, what they do is they
[00:02:32.540 --> 00:02:35.520]   exploit the underlying structure of the data
