
[00:00:00.000 --> 00:00:02.580]   (upbeat music)
[00:00:02.580 --> 00:00:11.840]   - Yes sir, here with another episode of Curious Mike.
[00:00:11.840 --> 00:00:14.040]   Today we got the one and only Vaughn Miller with me.
[00:00:14.040 --> 00:00:15.500]   - Yeah boy.
[00:00:15.500 --> 00:00:16.920]   - Appreciate you being on my guy.
[00:00:16.920 --> 00:00:18.000]   - Yeah, appreciate you, huh?
[00:00:18.000 --> 00:00:18.840]   - You already know.
[00:00:18.840 --> 00:00:22.100]   So we gonna start off in the football space.
[00:00:22.100 --> 00:00:25.800]   Obviously that's where everybody know you from,
[00:00:25.800 --> 00:00:27.080]   but like growing up,
[00:00:27.080 --> 00:00:29.000]   football is a lot different than basketball.
[00:00:29.000 --> 00:00:32.760]   Like you gotta be, like it's a lot more of a physical sport
[00:00:32.760 --> 00:00:34.480]   and then you play the most physical position.
[00:00:34.480 --> 00:00:35.300]   - Yeah, it's one of them.
[00:00:35.300 --> 00:00:36.360]   You know, I wouldn't say it's the,
[00:00:36.360 --> 00:00:37.920]   I wouldn't say it's the most physical though.
[00:00:37.920 --> 00:00:40.000]   - Yeah, so like growing up though,
[00:00:40.000 --> 00:00:42.320]   like how did you, how did you get into that?
[00:00:42.320 --> 00:00:44.520]   And then how did you kind of,
[00:00:44.520 --> 00:00:46.400]   kind of get to where you have to be to play you at today?
[00:00:46.400 --> 00:00:50.560]   - Oh, bro, like my, my earliest memories
[00:00:50.560 --> 00:00:52.400]   of like my childhood, right?
[00:00:52.400 --> 00:00:55.680]   I remember like, you know, I was like two years old
[00:00:55.680 --> 00:00:57.800]   and I got in like this little pot
[00:00:57.800 --> 00:00:59.040]   in my mom's kitchen, right?
[00:00:59.040 --> 00:01:00.240]   It's like this little pot.
[00:01:00.240 --> 00:01:02.080]   And I think that, I think that memory is like reinforced
[00:01:02.080 --> 00:01:03.960]   because I got like pictures that my mom
[00:01:03.960 --> 00:01:05.880]   always showed me and stuff.
[00:01:05.880 --> 00:01:08.000]   But another memory that I had was like my dad,
[00:01:08.000 --> 00:01:10.960]   like me hearing my dad scream, like for the first time,
[00:01:10.960 --> 00:01:14.000]   like, and I ran in the room and I look in the room
[00:01:14.000 --> 00:01:16.800]   and he like yelling, like, not like in like,
[00:01:16.800 --> 00:01:20.040]   not like he crying or nothing, like he hurting or nothing,
[00:01:20.040 --> 00:01:22.000]   but it's like, he was like happy.
[00:01:22.000 --> 00:01:22.840]   He was like so happy.
[00:01:22.840 --> 00:01:24.600]   The Cowboys were on the game.
[00:01:24.600 --> 00:01:28.160]   I mean, the Cowboys on the TV and they had just scored
[00:01:28.160 --> 00:01:29.680]   or something, he was like going crazy.
[00:01:29.680 --> 00:01:31.320]   And I just remember being like a little kid
[00:01:31.320 --> 00:01:33.880]   and seeing my daddy like reacting this way.
[00:01:33.880 --> 00:01:35.680]   And like, that's where it started.
[00:01:35.680 --> 00:01:38.160]   Like, I want to make my dad, like, I want to do that.
[00:01:38.160 --> 00:01:40.240]   Like, I want to, whatever they doing on TV,
[00:01:40.240 --> 00:01:41.080]   that's what I want.
[00:01:41.080 --> 00:01:42.080]   - That's crazy.
[00:01:42.080 --> 00:01:43.920]   Yeah, that's kind of, that's kind of how it was for me.
[00:01:43.920 --> 00:01:45.320]   Started early.
[00:01:45.320 --> 00:01:46.960]   My pops played hoop basketball
[00:01:46.960 --> 00:01:49.760]   and then he could put the ball in my hand, three years old.
[00:01:49.760 --> 00:01:50.680]   Just got rolling from there.
[00:01:50.680 --> 00:01:51.880]   You just find a passion for it.
[00:01:51.880 --> 00:01:53.520]   And then it just roll from there.
[00:01:53.520 --> 00:01:55.840]   But for you, so it was all that.
[00:01:55.840 --> 00:01:57.600]   And then you get to the, you go to college,
[00:01:57.600 --> 00:02:00.480]   get to the league, you know, you doing your thing,
[00:02:00.480 --> 00:02:03.160]   become one of the best pretty quick at your position.
[00:02:03.160 --> 00:02:06.240]   Then end up winning Super Bowl 50 MVP.
[00:02:06.240 --> 00:02:07.480]   Talk to me a little bit about that.
[00:02:07.480 --> 00:02:09.240]   Like when you got in the league and in the process
[00:02:09.240 --> 00:02:11.320]   to winning that and then that feeling.
[00:02:11.320 --> 00:02:15.560]   - Yeah, honestly, like at first, like I always felt like,
[00:02:15.560 --> 00:02:17.360]   you know, you just have like that belief in yourself.
[00:02:17.360 --> 00:02:19.000]   Like whatever you put your mind to, you're going to do it.
[00:02:19.000 --> 00:02:21.320]   I think we all like, you know, have those thoughts.
[00:02:21.320 --> 00:02:26.320]   But for me, I never thought that I would be like
[00:02:26.320 --> 00:02:29.520]   the number two pick or like fight for the Denver Broncos
[00:02:29.520 --> 00:02:31.200]   or like winning Super Bowl, do all this crazy stuff.
[00:02:31.200 --> 00:02:33.200]   I knew like deep down in my heart,
[00:02:33.200 --> 00:02:34.480]   like if I worked hard enough
[00:02:34.480 --> 00:02:36.440]   and I did all the right things and I went to sleep,
[00:02:36.440 --> 00:02:38.720]   you know, like all the stuff that you do, like as a kid,
[00:02:38.720 --> 00:02:40.400]   like you believe that you can make the,
[00:02:40.400 --> 00:02:42.240]   you believe that you can make the league.
[00:02:42.240 --> 00:02:43.480]   And I felt like that.
[00:02:43.480 --> 00:02:48.200]   And it just, it just start like playing Texas A&M,
[00:02:48.200 --> 00:02:49.800]   like my first two years.
[00:02:49.800 --> 00:02:52.160]   I was like, I was, I wasn't like, you know,
[00:02:52.160 --> 00:02:54.200]   all American, nothing crazy, nothing like that.
[00:02:54.200 --> 00:02:55.080]   But like my third year,
[00:02:55.080 --> 00:02:57.560]   they moved me to this outside linebacker,
[00:02:57.560 --> 00:02:58.920]   like rush position.
[00:02:58.920 --> 00:03:02.040]   And I just kind of like took off with it.
[00:03:02.040 --> 00:03:04.560]   At the same time I was at Texas A&M
[00:03:04.560 --> 00:03:06.040]   and I was taking easy classes.
[00:03:06.040 --> 00:03:08.680]   I mean, my GPA wasn't like, you know,
[00:03:08.680 --> 00:03:10.440]   my GPA wasn't like the best.
[00:03:10.440 --> 00:03:12.760]   So I had to like take like classes to like help out
[00:03:12.760 --> 00:03:13.600]   with my GPA.
[00:03:13.600 --> 00:03:16.160]   And one of those classes was meat production,
[00:03:16.160 --> 00:03:18.760]   one-on-one chickens, turkey and quail.
[00:03:18.760 --> 00:03:21.000]   So I took this class and it was an easy class.
[00:03:21.000 --> 00:03:23.640]   And I was like, it's like, bro, it's so easy.
[00:03:23.640 --> 00:03:24.720]   Like I don't even have to stay awake.
[00:03:24.720 --> 00:03:26.240]   So I used to fall asleep in this class
[00:03:26.240 --> 00:03:29.480]   and my professor, Dr. Farnell, he used to wake me up.
[00:03:29.480 --> 00:03:32.600]   He used to wake me up and like, like making me go,
[00:03:32.600 --> 00:03:33.840]   like just make me like recite,
[00:03:33.840 --> 00:03:35.360]   like everything that we learned in the class today.
[00:03:35.360 --> 00:03:40.000]   In turn, it really made me like learn like the chicken,
[00:03:40.000 --> 00:03:41.360]   like business.
[00:03:41.360 --> 00:03:42.560]   And that was like my backup plan.
[00:03:42.560 --> 00:03:43.400]   It was weird.
[00:03:43.400 --> 00:03:45.480]   Like if I make it to the league, you know,
[00:03:45.480 --> 00:03:47.680]   I'm gonna use the money to start a chicken farm, man.
[00:03:47.680 --> 00:03:49.640]   - Yeah, and I was actually,
[00:03:49.640 --> 00:03:52.960]   I was gonna ask you about that later, the chicken farm.
[00:03:52.960 --> 00:03:55.440]   I mean, everybody know you for that off the field.
[00:03:55.440 --> 00:03:58.120]   How big is that like in your life and how did you,
[00:03:58.120 --> 00:04:00.240]   so you got into it just as a backup plan.
[00:04:00.240 --> 00:04:03.760]   - It was just, it was just one of the, I swear like, bro,
[00:04:03.760 --> 00:04:05.040]   you know, you take a lot of classes, bro.
[00:04:05.040 --> 00:04:06.600]   You never expect them, you know,
