
[00:00:00.000 --> 00:00:07.000]   At Suboba Casino Resort this October, something fun is lurking in the dark.
[00:00:07.000 --> 00:00:09.000]   Thriller Nights.
[00:00:09.000 --> 00:00:14.000]   Win a share of up to $417,000 in cash and prizes.
[00:00:14.000 --> 00:00:21.000]   October 28th, you could take a thrill ride in your very own 2023 Dodge Challenger SRT Hellcat.
[00:00:21.000 --> 00:00:24.000]   Earn entries daily with your Suboba Rewards Card.
[00:00:24.000 --> 00:00:27.000]   And boogie on down to Thriller Nights.
[00:00:27.000 --> 00:00:29.000]   Suboba Casino Resort.
[00:00:30.000 --> 00:00:35.000]   It's Friday. That means it's time for a live Q&A call.
[00:00:35.000 --> 00:00:56.000]   Welcome to Radical Personal Finance, the show dedicated to providing you with the knowledge, skills, insight,
[00:00:56.000 --> 00:01:01.000]   and encouragement you need to live a rich and meaningful life now while building a plan for financial freedom in 10 years or less.
[00:01:01.000 --> 00:01:03.000]   My name is Joshua and I am your host.
[00:01:03.000 --> 00:01:05.000]   And today we have a live Q&A call.
[00:01:05.000 --> 00:01:07.000]   That means I open up the phone lines.
[00:01:07.000 --> 00:01:09.000]   I've got a couple of callers hanging on the line right now.
[00:01:09.000 --> 00:01:16.000]   You ask any question that you want and I do my best to come up with something useful to serve you and also share with 20,000 or 30,000 people.
[00:01:16.000 --> 00:01:17.000]   So let's get to it.
[00:01:23.000 --> 00:01:26.000]   Access to these calls is restricted to patrons of the show.
[00:01:26.000 --> 00:01:30.000]   That allows me to have a few enough callers that I can handle.
[00:01:30.000 --> 00:01:35.000]   If you'd like to become a patron of the show and have access to these Q&A calls, I'd love for you to do that.
[00:01:35.000 --> 00:01:38.000]   You can do it at RadicalPersonalFinance.com/patron.
[00:01:38.000 --> 00:01:40.000]   RadicalPersonalFinance.com/patron.
[00:01:40.000 --> 00:01:45.000]   If you are in a place where you aren't able to or simply don't want to support the show financially,
[00:01:45.000 --> 00:01:49.000]   then make sure that you are involved in other aspects of the Radical Personal Finance community.
[00:01:49.000 --> 00:01:58.000]   For example, just a moment ago, I just put a last-minute invitation in the Facebook group that we have for Radical Personal Finance.
[00:01:58.000 --> 00:02:02.000]   So we'll see who jumps in from there if they happen to be hanging out on Facebook.
[00:02:02.000 --> 00:02:09.000]   Maybe I shouldn't penalize people like that because we don't want people just living on Facebook and so that sends us to the wrong people.
[00:02:09.000 --> 00:02:17.000]   But every now and then, I'll do an invitation like that and throw a last-minute invitation to invite callers from Facebook or from the email list, etc.
[00:02:17.000 --> 00:02:19.000]   So I do like to do that to reward that.
[00:02:19.000 --> 00:02:22.000]   But the safest way to be notified about these calls is to join us as a patron.
[00:02:22.000 --> 00:02:26.000]   So you can do that at RadicalPersonalFinance.com/patron.
[00:02:26.000 --> 00:02:30.000]   We're going to begin with Sean in Missouri. Sean, welcome to the show.
[00:02:30.000 --> 00:02:33.000]   Thank you, Josh. I appreciate it.
[00:02:33.000 --> 00:02:35.000]   Go ahead and ask your question, please.
[00:02:35.000 --> 00:02:41.000]   Yes. So me and my wife, we're currently trying to figure out a plan right now.
[00:02:41.000 --> 00:02:44.000]   So we're carrying a lot of credit card debt.
[00:02:44.000 --> 00:02:49.000]   We bought a house about two years ago. It's proved to be a very fruitful investment for us.
[00:02:49.000 --> 00:02:59.000]   And right now, we've got a total of about $45,000 in credit card debt that's kind of just been built up over the past few years.
[00:02:59.000 --> 00:03:05.000]   So we're trying to come up with a plan to eliminate that debt as quickly as possible.
[00:03:05.000 --> 00:03:10.000]   And so we've talked it over and we've kind of narrowed it down to a couple of different options.
[00:03:10.000 --> 00:03:21.000]   So either pulling out maybe a home equity loan to reduce because the credit card interest rates are so high, because they're 18 or 19 percent.
[00:03:21.000 --> 00:03:28.000]   We could get a home equity loan of 6 percent to cover all of that and then aggressively pay that down.
[00:03:28.000 --> 00:03:38.000]   Or we were looking at the other options of possibly paying off one credit card, like, as quickly as possible.
[00:03:38.000 --> 00:03:43.000]   So we're just kind of lost just in the numbers of it right now.
[00:03:43.000 --> 00:03:50.000]   And so we're hoping maybe you could help us figure out a plan for that. So that way we can get on a better path.
[00:03:50.000 --> 00:03:54.000]   How much is your household annual income?
[00:03:54.000 --> 00:04:03.000]   Total right now is about $75,000. That's after tax.
[00:04:03.000 --> 00:04:08.000]   And before you bought the house, did you and your wife have credit card debt then?
[00:04:08.000 --> 00:04:18.000]   We did. We had a little bit, maybe $3,000 or $4,000 at the time. So it's been about two years now that we've kind of built that up.
[00:04:18.000 --> 00:04:24.000]   So the credit card debt then primarily, as I'm understanding, is from improvements, repairs to the house.
[00:04:24.000 --> 00:04:33.000]   You put things, construction materials at Home Depot, new paint, new curtains, new furniture, those types of expenses on the credit card.
[00:04:33.000 --> 00:04:35.000]   And that's what the debt is from. Is that right?
[00:04:35.000 --> 00:04:41.000]   No, not really. So it's more about 10 percent, me and my wife are both also entrepreneurs.
[00:04:41.000 --> 00:04:48.000]   And so I've just recently started my own real estate business as an agent.
[00:04:48.000 --> 00:04:55.000]   So part of it is that and then hers is I think about maybe 15 of that is hers. She's got a company.
[00:04:55.000 --> 00:05:07.000]   She's a makeup artist. She's working on building right now. I'd say maybe about 15 of that is towards her makeup artistry.
[00:05:07.000 --> 00:05:13.000]   Okay. So then the house was just simply you moved into the house. It's been a good decision. It's been a good house.
[00:05:13.000 --> 00:05:20.000]   But that's not what caused you to go into debt. What caused you to go into debt is that recently both you and she have begun new businesses.
[00:05:20.000 --> 00:05:32.000]   And the credit card debt is due to that. Is it due to business-related expenditures such as purchasing signs, outfitting a location to do makeup artists, buying tools?
