
[00:00:00.000 --> 00:00:06.480]   I mean the the the the the the question was do we record the whole thing or just the
[00:00:06.480 --> 00:00:10.960]   just the presentation but then the presentation sometimes often extends to the whole thing so
[00:00:10.960 --> 00:00:16.400]   uh if you want private question and answers you can write them in the chat they will not be
[00:00:16.400 --> 00:00:21.680]   reflected in the youtube recording or we will do it afterwards when we stop recording okay yeah
[00:00:21.680 --> 00:00:26.480]   and people have brought up can we save the chat transcripts so I think like for a writer episode
[00:00:26.480 --> 00:00:30.400]   I saved the chat transcripts there's a lot of good questions in there now if people are interested
[00:00:30.400 --> 00:00:35.680]   if we post them that's good to know because I've been saving them sometimes but they've damn been
[00:00:35.680 --> 00:00:43.840]   sharing yeah it could be and just general thing for everyone that joins there's always great questions
[00:00:43.840 --> 00:00:50.080]   that come up in chat so yeah always always open yeah I think the chat is the main one that's still
[00:00:50.080 --> 00:00:54.560]   that's what was nice about discord hosting it because all the chat just stays in discord
[00:00:55.120 --> 00:01:00.560]   in this space I have it pulled up to the side but if I miss any of them um please just pick you know
[00:01:00.560 --> 00:01:07.280]   just raise your hand and just ask me to stop okay cool so we're going to talk about this paper who
[00:01:07.280 --> 00:01:13.440]   validates the validators um I don't have any slides as for normal uh but I think that there are a few
[00:01:13.440 --> 00:01:22.160]   key interesting ideas in this paper that I want to quickly go through in um hopefully in just uh
[00:01:24.320 --> 00:01:29.680]   give me a second let me try to see if I can actually share my entire desktop I want to quickly go through
[00:01:29.680 --> 00:01:37.680]   this uh paper in maybe about 30 45 minutes then I also want to share about um an app that I built
[00:01:37.680 --> 00:01:46.000]   that I try to show all of this with evaluation mode um labeling mode as well as optimization mode
[00:01:46.800 --> 00:01:55.600]   um I had given Shreyya a sneak preview of this the last time um so we'll see okay now on to who
[00:01:55.600 --> 00:02:01.120]   validates the validators um so what what is this paper about so essentially this paper is about okay
[00:02:01.120 --> 00:02:06.560]   everyone's using airline evaluators uh but the question is how are we actually going to evaluate it
[00:02:07.120 --> 00:02:14.720]   so obviously the I think that the way to do this is to label some data label some data and then match
[00:02:14.720 --> 00:02:19.920]   how it matches against that label data and you will see that that's how that's how they try to do it as
[00:02:19.920 --> 00:02:26.080]   well um just to confirm you can actually see my screen right you can actually see the yellow and blue
[00:02:26.080 --> 00:02:32.480]   highlights okay yeah so I'm just because I'm showing the whole desktop so we'll go through a couple of
[00:02:32.480 --> 00:02:38.480]   key ideas here but the one key idea is this idea that's very interesting uh and these are scattered
[00:02:38.480 --> 00:02:46.320]   throughout in blue so firstly the observation that Shreyya and her authors made is that to grade outputs
[00:02:47.520 --> 00:02:53.920]   we need to have some evaluation criteria but the process of grading outputs help us define that
[00:02:53.920 --> 00:03:00.720]   evaluation criteria so it's a chicken neck problem um across many tasks in terms of evaluation I've seen
[00:03:00.720 --> 00:03:06.720]   that trying to grade the outputs without actually having seen your data actually leads to criteria
[00:03:06.720 --> 00:03:09.760]   trying to create criteria we've actually seen the data actually leads to criteria that's very divorced
[00:03:09.760 --> 00:03:15.360]   from reality like people will say oh I don't want any toxicity I don't want any um spelling errors
[00:03:15.360 --> 00:03:20.000]   etc etc but the thing is well you know those are actually not problems um or they could say that
[00:03:20.000 --> 00:03:23.760]   oh you know I want to tell them to speak like how it's speaking to a friend well the thing is
[00:03:23.760 --> 00:03:27.360]   if you actually try it and you try to look at the data you realize that you actually cannot
[00:03:27.360 --> 00:03:34.960]   create that kind of create a kind of text you can't create um text that is uh it can't really return
[00:03:34.960 --> 00:03:40.400]   slang like for example things like romanticy which is a mixture of romance and fantasy like this
[00:03:40.400 --> 00:03:47.760]   kind of genre or like grumpy sunshine um or reverse harem so things like this is not really quite
[00:03:47.760 --> 00:03:53.360]   part of its vocabulary it's very hard to prompt it to get it written that kind of data so so that that
[00:03:53.360 --> 00:03:58.880]   leads to undue expectations right these are expectations that just cannot be met so therefore
[00:03:58.880 --> 00:04:05.040]   what she's proposing is that what they're saying is that it is impossible to completely determine good
[00:04:05.040 --> 00:04:10.800]   evaluation criteria without actually looking at all the outputs so essentially the point is you have
[00:04:10.800 --> 00:04:16.480]   to look at the data before you become evaluation criteria um unfortunately this this is not the main
[00:04:16.480 --> 00:04:21.360]   part of the paper but it was a very key thing and I think this was actually one of the biggest
[00:04:21.360 --> 00:04:29.040]   uh aspects of the paper so essentially what what she's proposing is that okay here's the typical
[00:04:29.040 --> 00:04:35.680]   evaluation pipeline um that's right on top okay we start with uh prompting we get outputs then we
[00:04:35.680 --> 00:04:42.960]   just use some kind of evaluator lm without really checking it we just oh vipu you're not muted
[00:04:51.120 --> 00:04:58.160]   thanks thanks i took care of it yeah yeah okay so what we're seeing is that okay it's uh on the top
[00:04:58.160 --> 00:05:04.080]   that's how we're doing it right now but we're not actually um checking the alien evaluator so what
[00:05:04.080 --> 00:05:09.360]   they are proposing is that okay we put it through an alien evaluator we have some kind of candidate
[00:05:09.360 --> 00:05:15.280]   criteria and the human also does need to grade the output in terms of yes or no and then we check
[00:05:15.280 --> 00:05:20.160]   how well the candidate criteria aligns with the human grader output and you know this is an iteration
[00:05:20.160 --> 00:05:25.280]   of the process um only once it's aligned enough and that's why they have an alignment report card
[00:05:25.280 --> 00:05:32.880]   we consider the lm evaluator as aligned and usable both in development and in production so essentially
[00:05:32.880 --> 00:05:38.000]   users iterate through the process of refining criteria and grading so that you align the lm together with
[00:05:38.000 --> 00:05:44.160]   to your criteria i think there are three big there are three main problems uh when trying to use an
[00:05:44.160 --> 00:05:49.040]   lml evaluator i think the first there are two of them that we just solved one is at the end which is given
[00:05:49.040 --> 00:05:54.320]   the ideal prop can an ally evaluator achieve sufficient level of accuracy i believe the answer to this is
[00:05:54.320 --> 00:06:00.800]   yes second one is how do we get humans to label a hundred to four hundred samples of data with
[00:06:00.800 --> 00:06:06.960]   sufficient high quality i think the answer to that is also solved uh essentially you just motivate them
[00:06:06.960 --> 00:06:12.160]   incentivize them the right way but the second the what's in the middle is that now that you have this
[00:06:12.160 --> 00:06:17.520]   hundred to four hundred golden samples how do you come up with some kind of prompt or some kind of
[00:06:17.520 --> 00:06:23.680]   input or output uh some kind of prompt or instruction or a few short samples that can actually achieve that
[00:06:23.680 --> 00:06:30.080]   ideal the ideal prompt that can align well so this part that is in the middle i think is somewhat of an
[00:06:30.080 --> 00:06:37.840]   unsolved problem at least for me uh and we see how how you try to solve this um so eval gen design
[00:06:37.840 --> 00:06:41.520]   essentially how can we assist developers in creating evaluators
[00:06:41.520 --> 00:06:52.320]   so even gen design how do we assist developers uh in creating evaluators to grade the element outputs right
[00:06:52.320 --> 00:06:56.400]   so essentially instead of having them to use the vibe track how can you assist them to initialize the
[00:06:56.400 --> 00:07:02.560]   l evaluator once and then we can move on so they have a workflow here i think it's useful to for
[00:07:02.560 --> 00:07:07.920]   me to just talk through this i have had the chance to actually play with this uh live and it's very nice
[00:07:07.920 --> 00:07:14.720]   and a lot of it is what inspired my own uh prototype so essentially at the start you can see here there's
[00:07:14.720 --> 00:07:18.960]   a prop node uh where you're just writing a prompt essentially these are tweets you'll be doing name
[00:07:18.960 --> 00:07:25.680]   entity recognition on tweets so this is the generation prompt now over here this uh still in box a you
[00:07:25.680 --> 00:07:30.400]   can see that here over here the multi evaluator this is the evaluation prompt so in order to generate
[00:07:30.400 --> 00:07:34.480]   an evaluation prompt they should provide you three ways which is you can infer the criteria based on
[00:07:34.480 --> 00:07:42.080]   their prompt uh infer the uh you can write criteria manually or you can grade some responses first so
[00:07:42.080 --> 00:07:48.480]   that's part two so after you've done this it will generate the criteria itself so essentially you're just
[00:07:48.480 --> 00:07:54.960]   getting gpd-4 to generate some kind of criteria and this kind of criteria can be in the form of code or it can
[00:07:54.960 --> 00:07:58.800]   be in the form of an lm prompt so there's two kinds of criteria here one is code and one's an
[00:07:58.800 --> 00:08:04.560]   lm prompt so you can imagine things like no hashtags it's really just a regex search for hashtags uh
[00:08:04.560 --> 00:08:10.720]   whereas no made up entities uh this is probably something that you need to rely on lm on so that's
[00:08:10.720 --> 00:08:16.960]   box c over here creating criteria and then as you're creating criteria as you try to run it when you're
[00:08:16.960 --> 00:08:23.440]   running it running these criteria through the lm as you're running it you have the option to grade some
[00:08:23.440 --> 00:08:29.840]   uh great some of the sample data whereby you can say that okay is this good or is this bad
[00:08:29.840 --> 00:08:35.200]   unfortunately this is very broad is it is it good or is it bad it's not clear enough i think and the
[00:08:35.200 --> 00:08:40.400]   authors actually do mention that it is helpful to be more specific in some of their future lessons and then
[00:08:40.400 --> 00:08:49.120]   finally in box e over here you can see uh what uh how well is the lm aligned so i think this one this
[00:08:49.120 --> 00:08:57.280]   box c is uh box e i'm sorry box e is is very useful so they use the term coverage and false failure rate
[00:08:58.160 --> 00:09:05.280]   so to simplify things coverage what it really means is recall how many of the bad responses can
[00:09:05.280 --> 00:09:12.160]   we actually catch and false failure rate is actually one minus precision so it took me a long
[00:09:12.160 --> 00:09:17.120]   time to try to understand this and i had several chats with shreya to really under uh clarify what was
[00:09:17.120 --> 00:09:22.800]   she trying to indicate false failure rate means that we are actually failing this but they should
[00:09:22.800 --> 00:09:27.840]   not have been failed so essentially how much of it has been wasted how many innocents are we just
[00:09:27.840 --> 00:09:35.520]   excluding so it's essentially one minus precision um okay so essentially this is the entire workflow
[00:09:35.520 --> 00:09:41.360]   the entire ux that you are thinking of come up lm will help you create criteria you will uh lm will
[00:09:41.360 --> 00:09:47.920]   help you create criteria in box b you will create some responses in box d and then eventually we check
[00:09:47.920 --> 00:09:57.280]   how well they align in box e and if it's aligned enough that's it we have an l our lm evaluator so um well i i
[00:09:57.280 --> 00:10:02.000]   don't have to go through all this essentially that was all uh indicated in the diagram and
[00:10:02.000 --> 00:10:06.080]   of course the main thing is that the users can edit everything and the users are also asked to create
[00:10:06.080 --> 00:10:11.680]   their things um i think i will pause here to check if there are any questions
[00:10:15.520 --> 00:10:25.280]   the chat has not much in chat okay sure thing no no questions then uh i will proceed
[00:10:25.280 --> 00:10:33.600]   okay so now we know how the evalogen evalgen workflow looks like let's see how well it works and what do
[00:10:33.600 --> 00:10:39.280]   developers say because they also had a small study on developers so essentially um how is it done criteria
[00:10:39.280 --> 00:10:46.320]   suggestion gpt4 just proposes various criteria um candidate assertion essentially as they create
