
[00:00:00.040 --> 00:00:09.520]   Exodus
[00:00:09.520 --> 00:00:10.420]   one. I for compared keep
[00:00:10.420 --> 00:00:11.280]   held판, ",ür,'m,ilen,
[00:00:59.080 --> 00:00:59.080]   - Welcome to Radical Personal Finance, a show dedicated to providing you with the knowledge, skills, insight, and encouragement you need to live a rich and meaningful life now while building a plan for financial freedom in 10 years or less. My name is Joshua. I am your host. And today we continue our series related to National Preparedness Month in honor of September, which is officially here in the United States, the National Preparedness Month. And today I'm going to share with you the experiences of one man as he went through Hurricane Katrina.
[00:01:58.160 --> 00:01:58.160]   - Thank you for having me.
[00:01:58.160 --> 00:01:58.500]   - You're welcome.
[00:01:58.500 --> 00:01:58.620]   - I appreciate it.
[00:01:58.700 --> 00:02:28.200]  zoom.org. I'll link to it in the show notes for today's show. You can read it yourself if you will be able to read it.
[00:02:28.200 --> 00:02:28.300]   - Thank you.
[00:02:28.300 --> 00:02:28.400]   - Thank you.
[00:02:28.400 --> 00:02:28.660]   - Thank you.
[00:02:28.660 --> 00:02:28.700]   - Thank you.
[00:02:28.740 --> 00:02:39.200]   sauce
[00:02:39.200 --> 00:02:53.060]  評 does . I am a nicht
[00:03:58.340 --> 00:03:58.340]   He
[00:03:58.340 --> 00:03:58.340]   He
[00:03:58.340 --> 00:03:58.340]   He
[00:03:58.340 --> 00:03:58.340]   He
[00:03:58.340 --> 00:03:58.340]   He
[00:03:58.340 --> 00:03:58.340]   He
[00:03:58.340 --> 00:03:58.480]   He
[00:03:58.480 --> 00:03:58.480]   He was thoughtful and was prepared and it shows how money and physical preparations come together. Now you should note that some things have changed in the last more than ten years since Hurricane Katrina. Some of the technology references and such that he mentions are a little bit out of date, the technology has changed, some of the circumstances have changed, etc. I previously recorded a version of this show where I gave extensive commentary trying to give up-to-date information on this, but it became so cumbersome that I've decided to delete that and now I want to give you a little bit more information on this.
[00:04:28.360 --> 00:04:28.500]   I
[00:04:28.500 --> 00:04:28.500]  ,
[00:04:28.500 --> 00:04:28.500]  ,
[00:04:28.500 --> 00:04:28.500]  ,
[00:04:28.500 --> 00:04:28.500]  ,
[00:04:28.500 --> 00:04:28.500]  ,
[00:04:28.500 --> 00:04:28.500]  ,
[00:04:28.500 --> 00:04:35.540]  obedie
[00:04:35.540 --> 00:04:36.580]   e.
[00:04:36.580 --> 00:04:58.520]   Number two, think about what you would do if you were facing circumstances like this so that prior to your ever facing them you've thought about what it would be like. One of the most valuable things you can do is when watching the world consider the circumstances that other people are going through and then formulate your own ideas on responding to your own ideas.
[00:04:58.520 --> 00:04:58.520]   So
[00:04:58.560 --> 00:05:28.540]   and it's really important to think about what you would do if you were facing circumstances like this so that prior to your ever facing them you've thought about what it would be like. One of the most valuable things you could do is when watching the world consider the circumstances that other people are going through and then formulate your own ideas on responding to your own ideas.
[00:05:28.580 --> 00:05:58.560]  ,
[00:05:58.560 --> 00:05:58.560]   I
[00:05:58.560 --> 00:05:58.560]   I
[00:05:58.560 --> 00:05:58.560]   I
[00:05:58.560 --> 00:05:58.560]   I
[00:05:58.560 --> 00:05:58.560]   I
[00:05:58.560 --> 00:05:58.560]   I want to remind you that this account is a true account of people who are on the ground. Of course I can't verify it intensely but I have no reason to want to I have no reason why I see that this person would lie about these circumstances rather this is an anonymous posting so of course we can't actually verify it but I see no reason to doubt this account this is an unfiltered account of one man's experiences in the middle of a horrible and devastating
[00:05:58.580 --> 00:06:28.580]   circumstance and the lessons that he learned from it. We go to Raptor now with his story.
[00:06:28.580 --> 00:06:28.580]   I live in a suburb of New Orleans called Metairie. Parts of it were flooded briefly through a small though a small portion was flooded due to the 17th Street Canal failure for about two weeks. My home was not flooded and sustained relatively minor damage. I evacuated my family including our pets to Atlanta on Sunday at noon after making sure other people I know including employees
[00:06:28.580 --> 00:06:28.580]   I evacuated my family including our pets to Atlanta on Sunday at noon after making sure other people I know including employees
[00:06:28.580 --> 00:06:28.580]   I evacuated my family including our pets to Atlanta on Sunday at noon after making sure other people I know including employees
[00:06:28.580 --> 00:06:28.580]   I evacuated my family including our pets to Atlanta on Sunday at noon after making sure other people I know including employees
[00:06:28.580 --> 00:06:28.580]   I evacuated my family including our pets to Atlanta on Sunday at noon after making sure other people I know including employees I know including employees
[00:06:28.620 --> 00:06:37.460]   was
[00:06:37.460 --> 00:06:38.900]   out. ad�
[00:06:38.900 --> 00:06:56.620]  , .,,,, Rendvin belong neste prof tear務 the white is the replaced gotteneu as theasty ihremuplTCbon胡 East, .I, ., ., ., ., ., ,, ., ., ., ., ., ,, ., ., ., ., ., ., ., Sol FOR C costume headphones
[00:06:56.620 --> 00:06:58.120]  k in the not wake then story an't and check in the
[00:06:58.160 --> 00:07:05.280]   discuss
[00:07:05.280 --> 00:07:14.080]   instead.è,
[00:07:28.180 --> 00:07:37.720]   least
[00:07:37.720 --> 00:07:39.180]   somehow over. I made the tut
[00:07:39.180 --> 00:07:56.820]   Him I Pak乾 invest a assass enough to theтер, with the Makad, with the=B.P.The. D.i. genetically我們的 formidable continue to say and recovery and say and then's face and pin wicked and Murret and the early honest check and i say and yo andать and
[00:07:56.900 --> 00:08:25.580]   ado. My wife and mother to leave my house is an older home built of concrete block and stucco it has hurricane shutters a 30 kilowatt diesel generator with 300 gallons of fuel and is on a relatively high ground about 5 feet above sea level. I have always stockpiled food that is shelf stable and M. R. E. S. water firearms ammunition medical supplies and basic disaster supplies and I consider myself reasonably prepared. I also keep a small boat in the garage. I shut down my
[00:08:25.580 --> 00:08:25.580]   I shut down my business on Friday at noon.
