
[00:00:00.000 --> 00:00:05.540]   The following is a conversation with Jeffrey Wasserstrom, a historian of modern China.
[00:00:05.540 --> 00:00:11.160]   This is the Lex Friedman Podcast. To support it, please check out our sponsors in the description.
[00:00:11.160 --> 00:00:15.680]   And now, dear friends, here's Jeffrey Wasserstrom.
[00:00:15.680 --> 00:00:19.740]   You've compared Xi Jinping and Mao Zedong in the past.
[00:00:19.740 --> 00:00:24.520]   What are the parallels between the two leaders, and where do they differ?
[00:00:24.520 --> 00:00:28.460]   Xi Jinping, of course, is the current leader of China for the past 12 years,
[00:00:28.460 --> 00:00:33.800]   and Mao Zedong was the communist leader of China from 1949 to 1976.
[00:00:33.800 --> 00:00:37.260]   So what are the commonalities? What are the differences?
[00:00:37.260 --> 00:00:43.460]   So the biggest commonality of them is that they're both the subject of personality cults,
[00:00:43.460 --> 00:00:50.160]   and that Mao was the center of a very intensely felt one from 1949 to 1976.
[00:00:50.160 --> 00:00:54.120]   And when he died, there was tremendous outpouring of grief,
[00:00:54.120 --> 00:00:58.980]   even among people who had objectively suffered enormously because of his policies.
[00:00:58.980 --> 00:01:07.640]   Xi Jinping is the first leader in China since him who has had a sustained personality cult of the kind
[00:01:07.640 --> 00:01:14.460]   where if you walk into a bookstore in China, the first thing you see are books by him, collections of speeches.
[00:01:15.460 --> 00:01:20.600]   And when Mao was alive, you might have thought that's sort of what happened with communist party leaders in China.
[00:01:20.600 --> 00:01:31.980]   But after Mao's death, there was such an effort to not have that kind of personality cult that there was a tendency to not publish the speeches of a leader until they were done being in power.
[00:01:32.440 --> 00:01:41.140]   I was first in China in 1986, and you could go for days without being intensely aware of who was in charge of the party.
[00:01:41.140 --> 00:01:44.640]   You would know, but his face wasn't everywhere.
[00:01:44.640 --> 00:01:52.080]   The newspaper wasn't dominated with stories about him and quotations from his words and things like that.
[00:01:52.080 --> 00:01:59.840]   So with Xi Jinping, you've had a throwback to that period in communist party rule, which seemed as though it might be a part of the past.
[00:01:59.840 --> 00:02:01.980]   So that's a key commonality.
