
[00:00:00.000 --> 00:00:03.280]   Hey there, wine lovers!
[00:00:03.280 --> 00:00:08.200]   Elevate your holiday wine time with WineEnthusiast.com.
[00:00:08.200 --> 00:00:11.820]   WineEnthusiast has everything you need to transform your entertaining space into the
[00:00:11.820 --> 00:00:14.520]   ultimate wine spectacle of the season.
[00:00:14.520 --> 00:00:24.480]   From wine storage to glassware, personalized accessories, furniture, and more.
[00:00:24.480 --> 00:00:29.880]   Uncork a little joy this year with WineEnthusiast.
[00:00:29.880 --> 00:00:33.400]   Welcome to Radical Personal Finance, the show dedicated to providing you with the knowledge,
[00:00:33.400 --> 00:00:38.080]   skills, insight, and encouragement you need to live a rich and meaningful life now while
[00:00:38.080 --> 00:00:41.840]   building a plan for financial freedom in ten years or less.
[00:00:41.840 --> 00:00:44.440]   My name is Joshua Sheets and I am your host.
[00:00:44.440 --> 00:00:50.440]   Today I want to talk with you more about your income and give you some ideal targets for
[00:00:50.440 --> 00:00:55.080]   the type of income that you should target.
[00:00:55.080 --> 00:01:10.320]   I am embarrassed to hear about very capable people who aim low on their income.
[00:01:10.320 --> 00:01:14.160]   I understand it intellectually and emotionally.
[00:01:14.160 --> 00:01:17.840]   I especially understand it if you're working in a career you don't like or you're in
[00:01:17.840 --> 00:01:19.240]   a job you don't like.
[00:01:19.240 --> 00:01:21.600]   I've been there, done that.
[00:01:21.600 --> 00:01:22.600]   And I get that.
[00:01:22.600 --> 00:01:26.880]   And so there's a tendency to focus in and say, "Well, how can I lower my expenses
[00:01:26.880 --> 00:01:28.880]   as much as possible?"
[00:01:28.880 --> 00:01:32.160]   But over the years of Radical Personal Finance, I've done a series of shows trying to confront
[00:01:32.160 --> 00:01:38.540]   this problem, especially for young men, to say, "You should have ambition to increase
[00:01:38.540 --> 00:01:41.040]   your income."
[00:01:41.040 --> 00:01:49.400]   I tell you again, you should have ambition to increase your income.
[00:01:49.400 --> 00:01:56.680]   If you don't have ambition to increase your income, why not?
[00:01:56.680 --> 00:02:01.840]   There are a few mental problems that cause people not to have ambition to increase their
[00:02:01.840 --> 00:02:02.840]   income.
[00:02:02.840 --> 00:02:05.840]   Sometimes, people say, "Well, if I'm earning a lot of money, then I'm going to hurt other
[00:02:05.840 --> 00:02:06.840]   people."
[00:02:06.840 --> 00:02:11.040]   Well, if you're earning a lot of money by killing or raping or murdering or looting
[00:02:11.040 --> 00:02:16.360]   other people, because killing and murdering are the same thing, but you get the point,
[00:02:16.360 --> 00:02:18.600]   yes, that's kind of a problem.
[00:02:18.600 --> 00:02:20.480]   We don't want to do that.
[00:02:20.480 --> 00:02:32.080]   But if you're earning a lot of money by serving more people, that service is good.
[00:02:32.080 --> 00:02:43.600]   The people who serve me in my life and serve me well deserve to do well.
[00:02:43.600 --> 00:02:49.240]   I want the people that serve me to do well.
[00:02:49.240 --> 00:02:55.520]   I want the servant who provides food for me in a restaurant to earn a lot of money.
[00:02:55.520 --> 00:03:00.240]   I want that chef to earn a lot of money for that great dish that they created.
[00:03:00.240 --> 00:03:05.760]   I want that server who brought the food to my table and kept my water glass full.
[00:03:05.760 --> 00:03:08.200]   I want them to do well.
[00:03:08.200 --> 00:03:11.440]   I want everybody who serves me to prosper.
[00:03:11.440 --> 00:03:15.920]   I want my servant who cuts my grass to prosper.
[00:03:15.920 --> 00:03:20.480]   I want my servant who cleans my teeth to prosper.
[00:03:20.480 --> 00:03:26.600]   I want my servant who cracks my back to prosper.
[00:03:26.600 --> 00:03:31.560]   Because the more they prosper, the better service they'll give to me.
[00:03:31.560 --> 00:03:36.340]   You want me to prosper.
[00:03:36.340 --> 00:03:43.960]   Because the more I prosper, the better service I can provide to you.
[00:03:43.960 --> 00:03:44.960]   I'm very gratified.
[00:03:44.960 --> 00:03:47.680]   So many listeners have written to me over the years and said, "Joshua, we want to make
[00:03:47.680 --> 00:03:49.160]   sure you're still around in 10 years.
[00:03:49.160 --> 00:03:50.160]   We like what you're doing."
[00:03:50.160 --> 00:03:51.160]   Well, guess what?
[00:03:51.160 --> 00:03:55.800]   If I don't make a lot of money doing what I'm doing here for you on Radical Personal
[00:03:55.800 --> 00:04:00.160]   Finance, I ain't going to do it.
[00:04:00.160 --> 00:04:03.920]   Or at least I ain't going to do it the way that I'm doing it now.
[00:04:03.920 --> 00:04:06.280]   I made a lot of money as a financial planner.
[00:04:06.280 --> 00:04:08.000]   That path is easy.
[00:04:08.000 --> 00:04:13.560]   Rich people love to pay other servants to help them make more money.
[00:04:13.560 --> 00:04:18.720]   I would be very satisfied to go back to that business.
[00:04:18.720 --> 00:04:22.740]   Now I have a mission that goes beyond just simply working with one particular family,
[00:04:22.740 --> 00:04:24.480]   but I'll tell you what.
[00:04:24.480 --> 00:04:27.400]   I keep my tentacles connected.
[00:04:27.400 --> 00:04:28.520]   I keep my options open.
[00:04:28.520 --> 00:04:29.720]   I haven't burned all my bridges.
[00:04:29.720 --> 00:04:33.600]   I've burned a lot of them, but I haven't burned them all.
[00:04:33.600 --> 00:04:35.200]   Why?
[00:04:35.200 --> 00:04:37.480]   Because I want to prosper.
[00:04:37.480 --> 00:04:44.600]   I want to get rich, and I'm going to get rich through service.
[00:04:44.600 --> 00:04:48.620]   Now my personal plan, in case you're curious, my personal plan is to get rich by serving
[00:04:48.620 --> 00:04:53.840]   lots and lots of people, but I can also get rich by what I would do now if I were to go
[00:04:53.840 --> 00:04:55.160]   back in the financial planning industry.
[00:04:55.160 --> 00:04:59.560]   I would go and work for a single family or a small multifamily office, and I would get
[00:04:59.560 --> 00:05:03.720]   rich by serving one rich family.
[00:05:03.720 --> 00:05:05.960]   That's what I would do.
[00:05:05.960 --> 00:05:07.920]   It would fit me.
[00:05:07.920 --> 00:05:11.880]   So you should have an ambition to increase your income.
[00:05:11.880 --> 00:05:13.080]   It'll be good for you.
[00:05:13.080 --> 00:05:14.480]   It'll be good for the people that you serve.
[00:05:14.480 --> 00:05:17.280]   It'll be good for the people that you love.
[00:05:17.280 --> 00:05:22.080]   But very rarely do people sit down and figure out, "Well, how much income do I need to make
[00:05:22.080 --> 00:05:24.140]   to live the good life?"
[00:05:24.140 --> 00:05:26.560]   Very rarely do people sit down and actually set a target.
