
[00:00:00.040 --> 00:00:09.580]   caregiver
[00:00:09.580 --> 00:00:10.320]   con in,,, seem
[00:00:10.320 --> 00:00:24.340]   το
[00:02:16.800 --> 00:02:16.800]   It's not illegal to cross the state line and buy your things there when taxes are lower it is illegal to use off-highway diesel fuel in your on-highway vehicle so with regard to income taxes tax avoidance simply means choosing to do something like put money into an IRA to avoid the tax on a certain amount of income tax evasion means not telling the IRS about $5,000 of income that you earned in cash from side work.
[00:02:16.800 --> 00:02:16.800]   It's not illegal to cross the state line and buy your things there when taxes are lower it is illegal to use off-highway diesel fuel in your on-highway vehicle so with regard to income taxes tax avoidance simply means choosing to do something like put money into an IRA to avoid the tax on a certain amount of income tax evasion means not telling the IRS about $5,000 of income that you earned in cash from side work.
[00:02:33.840 --> 00:02:46.220]  , and this is not a new subject here on radical personal finance we were go all the way back to episode 17 in July of 2014 July 10 2014 I believe that the tax was not paying a tax out of protest for what it is and this is not a new subject here on radical personal finance we were go all the way back to episode 17 in July of 2014 July 10 2014 I believe that the
[00:02:46.220 --> 00:02:46.720]   and this is not a new subject here on radical personal finance we were go all the way back to episode 17 in July of 2014 July 10 2014 I believe that the
[00:02:46.720 --> 00:02:46.800]   and this is not a new subject here on radical personal finance we were go all the way back to episode 17 in July of 2014 July 10 2014 July 10 2014 I believe that a
[00:02:46.800 --> 00:03:16.820]  ,
[00:03:16.820 --> 00:03:16.820]   and this is not a new subject here on radical personal finance we were go all the way back to episode 17 in July of 2014 July 10 2014 I believe that the
[00:03:16.820 --> 00:03:16.820]   and this is not a new subject here on radical personal finance we were go all the way back to episode 17 in July of 2014 July 10 2014 I believe that the
[00:03:16.820 --> 00:03:16.820]   and this is not a new subject here on radical personal finance we were go all the way back to episode 17 in July of 2014 July 10 2014 I believe that the
[00:03:16.860 --> 00:03:23.240]   get
[00:03:23.240 --> 00:03:27.140]  illah Bi B B
[00:03:27.140 --> 00:03:44.240]   conhe., ,,,,,, X.terroundabout сист
[00:03:45.780 --> 00:03:49.900]   ado.com/bluetooth.
[00:03:49.900 --> 00:03:54.100]   The challenge is that war tax protesting, or tax protesting in general,
[00:03:54.100 --> 00:03:56.940]   can be an extra challenge for Christians.
[00:03:56.940 --> 00:04:00.780]   And this show is primarily targeted towards the audience of Radical Personal Finance
[00:04:00.780 --> 00:04:01.960]   that identifies as Christian.
[00:04:01.960 --> 00:04:05.340]   You're of course welcome to tune in if that's not you.
[00:04:05.340 --> 00:04:08.760]   But tax resistance is very difficult for Christians.
[00:04:08.760 --> 00:04:14.660]   Because on the one hand, there's an obvious moral horror
[00:04:14.660 --> 00:04:14.660]   There's an obvious moral horror
[00:04:14.660 --> 00:04:14.660]   There's an obvious moral horror
[00:04:14.660 --> 00:04:14.660]   There's an obvious moral horror at many of the things that are happening
[00:04:14.660 --> 00:04:14.660]   at many of the things that are happening
[00:04:14.660 --> 00:04:14.660]   at many of the things that are happening in the world.
[00:04:14.660 --> 00:04:14.660]   at many of the things that are happening in the world.
[00:04:14.660 --> 00:04:14.660]   at many of the things that are happening in the world. But tax resistance is very difficult
[00:04:14.660 --> 00:04:14.660]   in the world. But tax resistance is very difficult
[00:04:15.540 --> 00:04:43.580]   at many of the things that are happening in the world. But tax resistance is very difficult
[00:04:43.580 --> 00:04:43.580]   at many of the things that are happening in the world. But tax resistance is very difficult
[00:04:43.580 --> 00:04:43.580]   at many of the things that are happening in the world. But tax resistance is very difficult
[00:04:43.580 --> 00:04:43.580]   at many of the things that are happening in the world. But tax resistance is very difficult
[00:04:43.580 --> 00:04:43.580]   at many of the things that are happening in the world. But tax resistance is very difficult
[00:04:43.580 --> 00:04:43.580]   at many of the things that are happening in the world. But tax resistance is very difficult
[00:04:43.620 --> 00:04:53.180]   expect
[00:04:53.180 --> 00:04:55.480]   . best. I,
[00:04:55.480 --> 00:05:11.800]  , tact, tem, Red,%.......'s is a ?" Smack,間, Denver��, declar, glac, compliance,55,af,怎麼樣,onak,beit, massa, regeneration, Ci, DB,
[00:05:11.800 --> 00:05:13.040]   and
[00:05:13.040 --> 00:05:13.600]   come, I'm the quiet,, to se��,
[00:05:13.620 --> 00:05:17.080]   that very clearly teach
[00:05:17.080 --> 00:05:20.140]   submission to government authority
[00:05:20.140 --> 00:05:22.400]   and the payment of taxes.
[00:05:22.400 --> 00:05:25.860]   And if you look at the environments
[00:05:25.860 --> 00:05:28.280]   and the governments that these men were dealing with,
[00:05:28.280 --> 00:05:31.380]   it's hard to say that they had it tougher than we do.
[00:05:31.380 --> 00:05:33.700]   You can begin with Jesus Christ himself,
[00:05:33.700 --> 00:05:36.840]   who was executed without cause,
[00:05:36.840 --> 00:05:38.420]   without any kind of justice,
[00:05:38.420 --> 00:05:40.780]   was executed by the government of his day,
[00:05:40.780 --> 00:05:43.120]   and yet Jesus taught very clearly to
[00:05:43.120 --> 00:05:43.620]   pay taxes.
[00:05:43.620 --> 00:06:13.640]   to pay taxes.
[00:06:13.680 --> 00:06:43.660]   to pay taxes.
[00:06:43.660 --> 00:06:43.660]   We don't know exactly, but at least thousands of people collectively,
[00:06:43.660 --> 00:06:43.660]   We don't know exactly, but at least thousands of people collectively,
[00:06:43.660 --> 00:06:43.660]   We don't know exactly, but at least thousands of people collectively,
[00:06:43.660 --> 00:06:43.660]   We don't know exactly, but at least thousands of people collectively,
[00:06:43.660 --> 00:06:43.660]   We don't know exactly, but at least thousands of people collectively,
[00:06:43.660 --> 00:06:43.660]   We don't know exactly, but at least thousands of people collectively,
[00:06:43.660 --> 00:06:43.660]   We don't know exactly, but at least thousands of people collectively,
[00:06:43.660 --> 00:06:43.660]   We don't know exactly, but at least thousands of people collectively,
[00:06:43.680 --> 00:06:46.060]   and did nothing good.
[00:06:46.060 --> 00:06:48.640]   All of the accusations that were brought against them
[00:06:48.640 --> 00:06:49.620]   were trumped up charges.
[00:06:49.620 --> 00:06:54.320]   We have record of the trials of Christ and of Paul,
[00:06:54.320 --> 00:06:57.140]   and all of the accusations were false charges.
[00:06:57.140 --> 00:07:00.460]   They were lies that were brought against them in court.
[00:07:00.460 --> 00:07:04.300]   We don't know, we don't have the record of Paul's final trial,
[00:07:04.300 --> 00:07:06.340]   but we have the record of several of his trials
[00:07:06.340 --> 00:07:09.960]   before Festus and Felix, I think,
[00:07:09.960 --> 00:07:11.640]   before he ultimately went to Caesar.
[00:07:11.640 --> 00:07:13.680]   We have record of his defense before Christ,
[00:07:13.680 --> 00:07:13.680]   and we have the record of several of his trials
[00:07:13.680 --> 00:07:13.680]   before Festus and Felix, I think,
[00:07:13.680 --> 00:07:13.680]   before he ultimately went to Caesar.
[00:07:13.680 --> 00:07:13.680]   We have record of his defense before Christ,
[00:07:13.680 --> 00:07:13.680]   and we have record of several of his trials before Festus and Felix,
[00:07:13.680 --> 00:07:13.680]   and we have record of several of his trials before Festus and Felix,
[00:07:13.680 --> 00:07:43.700]   and we have record of several of his trials before Festus and Felix,
[00:07:43.700 --> 00:07:43.700]   and we have record of several of his trials before Festus and Felix,
[00:07:43.700 --> 00:07:43.700]   and we have record of several of his trials before Festus and Felix,
[00:07:43.700 --> 00:07:43.700]   and we have record of several of his trials before Festus and Felix,
[00:07:43.700 --> 00:07:43.700]   and we have record of several of his trials before Festus and Felix,
[00:07:43.700 --> 00:07:43.700]   and we have record of several of his trials before Festus and Felix,
[00:07:43.700 --> 00:07:43.700]   and we have record of several of his trials before Festus and Felix,
[00:07:43.700 --> 00:07:43.700]   and we have record of several of his trials before Festus and Felix,
[00:07:43.720 --> 00:08:13.720]   and we have record of several of his trials before Festus and Felix,
[00:08:13.720 --> 00:08:13.720]   and we have record of several of his trials before Festus and Felix,
[00:08:13.720 --> 00:08:13.720]   and we have record of several of his trials before Festus and Felix,
[00:08:13.720 --> 00:08:13.720]   and we have record of several of his trials before Festus and Felix,
[00:08:13.720 --> 00:08:13.720]   and we have record of several of his trials before Festus and Felix,
[00:08:13.720 --> 00:08:13.720]   and we have record of several of his trials before Festus and Felix,
[00:08:13.720 --> 00:08:13.720]   and we have record of several of his trials before Festus and Felix,
[00:08:13.720 --> 00:08:13.720]   and we have record of several of his trials before Festus and Felix,
[00:08:13.720 --> 00:08:13.720]   and we have record of several of his trials before Festus and Felix,
[00:08:13.720 --> 00:08:13.720]   and we have record of several of his trials before Festus and Felix,
[00:08:13.720 --> 00:08:13.720]   and we have record of several of his trials before Festus and Felix,
[00:08:13.720 --> 00:08:13.720]   and we have record of several of his trials before Festus and Felix,
[00:08:13.720 --> 00:08:43.740]   and we have record of several of his trials before Festus and Felix,
[00:08:43.740 --> 00:08:43.740]   and we have record of several of his trials before Festus and Felix,
[00:08:43.740 --> 00:08:43.740]   and we have record of several of his trials before Festus and Felix,
[00:08:43.740 --> 00:08:43.740]   and we have record of several of his trials before Festus and Felix,
[00:08:43.740 --> 00:08:43.740]   and we have record of several of his trials before Festus and Felix,
[00:08:43.740 --> 00:08:43.740]   and we have record of several of his trials before Festus and Felix,
[00:08:43.740 --> 00:08:43.740]   and we have record of several of his trials before Festus and Felix,
[00:08:43.740 --> 00:08:43.740]   and we have record of several of his trials before Festus and Felix,
[00:08:43.740 --> 00:08:43.740]   and we have record of several of his trials before Festus and Felix,
[00:08:43.760 --> 00:09:13.760]   I haven't seen or noticed any public statements by this raft of Democratic candidates
