
[00:00:00.000 --> 00:00:02.600]   [clicking]
[00:00:02.600 --> 00:00:05.620]   There's a wonderful systematic review
[00:00:05.620 --> 00:00:07.440]   of a large number of studies
[00:00:07.440 --> 00:00:09.380]   that have looked at mental training and visualization,
[00:00:09.380 --> 00:00:11.640]   what's effective, what's less effective
[00:00:11.640 --> 00:00:13.320]   across a bunch of different disciplines
[00:00:13.320 --> 00:00:15.180]   that include education, medicine, music,
[00:00:15.180 --> 00:00:16.680]   psychology, and sports.
[00:00:16.680 --> 00:00:17.980]   We will provide a link to this paper
[00:00:17.980 --> 00:00:18.840]   in the show note captions,
[00:00:18.840 --> 00:00:20.000]   but the title of the paper is
[00:00:20.000 --> 00:00:21.520]   "Best Practice for Motor Imagery,
[00:00:21.520 --> 00:00:23.140]   a Systematic Literature Review
[00:00:23.140 --> 00:00:24.860]   on Motor Imagery Training Elements
[00:00:24.860 --> 00:00:26.420]   in Five Different Disciplines."
[00:00:26.420 --> 00:00:27.440]   As the title suggests,
[00:00:27.440 --> 00:00:30.800]   it's mainly for motor imagery training,
[00:00:30.800 --> 00:00:32.880]   but it extends into music,
[00:00:32.880 --> 00:00:36.120]   which of course involves motor training and execution,
[00:00:36.120 --> 00:00:38.180]   but as well as education.
[00:00:38.180 --> 00:00:39.520]   This review establishes a number
[00:00:39.520 --> 00:00:40.400]   of different important things.
[00:00:40.400 --> 00:00:42.920]   I'm going to read off some of the key
[00:00:42.920 --> 00:00:44.800]   or highlight takeaways.
[00:00:44.800 --> 00:00:47.200]   For instance, I described principle one
[00:00:47.200 --> 00:00:49.560]   of effective mental training and visualization,
[00:00:49.560 --> 00:00:52.040]   which is that the visualization be brief
[00:00:52.040 --> 00:00:53.880]   and it be simple and it be repeated.
[00:00:53.880 --> 00:00:55.880]   You may ask how many times
[00:00:55.880 --> 00:00:59.040]   that very brief five to 15 second exercise
[00:00:59.040 --> 00:01:02.620]   of going through some routine should be repeated.
[00:01:02.620 --> 00:01:05.080]   Well, different studies have used different ranges
[00:01:05.080 --> 00:01:08.540]   of let's call them repetitions in a given training session,
[00:01:08.540 --> 00:01:11.420]   but the number that seems to be most effective
[00:01:11.420 --> 00:01:16.360]   is somewhere between 50 and 75 repeats per session.
[00:01:16.360 --> 00:01:17.360]   That brings about the question
[00:01:17.360 --> 00:01:21.440]   of how long one should rest between each repeat.
[00:01:21.440 --> 00:01:22.360]   This gets a little tricky
[00:01:22.360 --> 00:01:24.600]   depending on what you're trying to do.
[00:01:24.600 --> 00:01:26.720]   Remember that we have this kind of threshold
[00:01:26.720 --> 00:01:28.700]   of about 15 seconds for completion
[00:01:28.700 --> 00:01:30.100]   of the entire motor sequence.
[00:01:30.100 --> 00:01:31.340]   Let's say what you're trying to do,
[00:01:31.340 --> 00:01:33.740]   like a golf swing takes you five seconds
[00:01:33.740 --> 00:01:37.400]   to imagine in your mind's eye from the point where you,
