
[00:00:00.000 --> 00:00:22.720]   For a show of hands, how many people in this audience know who Circle is, what we do?
[00:00:23.160 --> 00:00:53.140]   Just trying to gauge. Okay. Do you know anything about our developer tooling? Gotcha. Gotcha. So nobody. Okay, so this is good. Alright. First, you know, I just want to introduce myself. My name is Corey Cooper. I lead DevRel at Circle. This talk is about the intersection of some exploratory work we've been doing internally between AI and programmable money.
[00:00:53.140 --> 00:01:09.140]   And, you know, one of the things we noticed a trend in with USDC when Circle launched its digital dollar technology is that it was an order of a magnitude better at doing escrow than traditional payment rails.
[00:01:09.140 --> 00:01:33.140]   And so combining USDC with AI gives you a way to do some type of verification of workflows that are happening that need to be met in order for escrow agreement to be honored. And then you get instant settlement with a stable coin that can settle faster than T plus two around the world.
[00:01:33.140 --> 00:01:59.140]   So in this presentation, what we'll do is I'll give you a background on circle. I'll give you an overview of our developer tooling. Then we'll jump into our smart contract that powers USDC, the technology that makes it a programmable dollar and gives it features and attributes that you can do with a digital representation of a dollar in traditional payment rails.
[00:01:59.140 --> 00:02:15.140]   And then we'll end off with giving a live demo of our escrow agent application that we open source recently and allow you all to set up this in your environment if you want to locally. I can walk you through doing that today.
[00:02:15.140 --> 00:02:29.140]   Or we can just do a Q&A. You can ask some questions about, you know, anything about, you know, idea of tooling and and where we see this marriage between agents and USDC going.
[00:02:29.140 --> 00:02:48.140]   So just to give you a quick background about circle, it's a fintech company that issues stable coins. We were established in 2013 and some of our backers are the pillars in the financial services industry like black rock and fidelity.
[00:02:48.140 --> 00:03:11.140]   The reason for that is because we've done a really good job of providing trust and transparency that the digital tokenized version of the US dollar or the euro that we deploy on different blockchain networks is backed one to one with fiat and short term treasuries in a bank account.
[00:03:11.140 --> 00:03:26.140]   So it's fully reserved 100%. We also have led the charge in regulation around this industry and really helped regulators around the world think about this as a groundbreaking technology for payments.
[00:03:26.140 --> 00:03:44.140]   And as you see, there are some things that are happening in the US and across the world where laws are being passed to regulate stable coins, which we're happy about because it's going to get businesses and individuals an opportunity to take advantage of this technology.
[00:03:44.140 --> 00:04:02.140]   And so another note is, you know, since inception, we've been able to be responsible for settling over $26 trillion of transactions on roughly we're on roughly 20 different blockchains and go on right now.
[00:04:02.140 --> 00:04:21.140]   But that that's a huge accomplishment for the amount of engineering resources, the product resources, marketing resources that the company has poured into to, you know, allowing businesses and individuals to be able to take advantage of this technology and build on top of it as a payment rail.
[00:04:21.140 --> 00:04:33.140]   So here is a chart or not really a chart. It's an overview slide, a visual of the lay of the land of what we offer as a company.
[00:04:33.140 --> 00:05:00.140]   Like I mentioned earlier, you know, we issue USDC and EURC. We recently acquired a company called HashNote, where we now have a tokenized version of a money market fund, which is going to give us the ability to do something with money markets that were never possible for to be able to liquidate out of a money market into USDC 24/7 365 days a week.
[00:05:00.140 --> 00:05:27.140]   And then we have our liquidity services for payment service providers, financial institutions, where we enable them to be able to mint and redeem USDC to a very secure enterprise grade vault wallet on chain for performing different types of use cases that relate to payments, dollar access, as well as capital markets.
[00:05:27.140 --> 00:05:30.140]   And on the far right.
[00:05:30.140 --> 00:05:46.140]   And on the far right, we have our developer services and this portion of of what we offer is what will be wrapped into what we will demonstrate today with the sample app that I will demo where comprises of wallets.
[00:05:46.140 --> 00:05:53.140]   So well, a developer can embed wallets in their application programmatically.
[00:05:53.140 --> 00:05:56.140]   We also have circle contracts.
[00:05:56.140 --> 00:06:05.140]   So that's a smart contract platform that enables you to deploy contracts programmatically and read to those contracts as well as write.
[00:06:05.140 --> 00:06:21.140]   And then under that we have our circle pay master and cctp and if anybody knows anything about transacting on public blockchain networks, there is something called gas fees.
[00:06:21.140 --> 00:06:31.140]   And so what we've done is we've enabled end users to be able to pay for gas fees within USDC, so from the USDC balance.
[00:06:31.140 --> 00:06:40.140]   So it actually feels like a traditional payment transaction as opposed to having some native token that you always have to have in your wallet to be able to transact.
[00:06:40.140 --> 00:06:57.140]   And then since we're on all these blockchain networks, there is a lot of fragmentation that we were trying to unify and the way we unify that is with our cross chain transfer protocol that allows for you to move USDC between different blockchain networks permissionlessly.
[00:06:57.140 --> 00:07:11.140]   And user developer can build very seamless multi chain experiences around this protocol so that you don't have fragmentation where someone is on one chain and they can't transact on another chain.
[00:07:11.140 --> 00:07:16.140]   So you can do cross chain transactions and things like that.
[00:07:16.140 --> 00:07:25.140]   And at the bottom layer are all the blockchains that we natively have USDC issued on.
[00:07:25.140 --> 00:07:28.140]   This this list is getting longer.
[00:07:28.140 --> 00:07:37.140]   So but, you know, we are we are in a multi chain world where we want USDC to be the premier digital dollar.
[00:07:37.140 --> 00:07:49.140]   And so we are building all types of on chain utility around USDC as well as the ERC to make this, you know, support for multiple blockchains more unified.
[00:07:49.140 --> 00:07:54.140]   So there will be some other innovations that we're going to release in the next couple of weeks and months.
[00:07:54.140 --> 00:08:06.140]   that advance the unification of balances across multiple blockchain networks with our stablecoin technology.
[00:08:06.140 --> 00:08:13.140]   So let's let's dive into USDC and just really talk about the attributes that are really important to a developer.
[00:08:13.140 --> 00:08:20.140]   And so one of the things is, you know, it is a dollar that is internet native.
[00:08:20.140 --> 00:08:28.140]   And so what that means is the ledger of that dollar is built into internet technology, which is blockchain networks and smart contracts.
[00:08:28.140 --> 00:08:38.140]   And so it enhances the programmability, the transferability to enable money to move in seconds globally.
[00:08:38.140 --> 00:08:45.140]   And so it's not constricted to some of the friction points we have in legacy payment rails.
[00:08:45.140 --> 00:08:55.140]   The other thing is because it's native to the internet, it's, it's, it has no borders.
[00:08:55.140 --> 00:09:02.140]   So it works like email or text where, you know, you can send text or email around the world.
[00:09:02.140 --> 00:09:07.140]   We want to make money to be that seamless, to be able to transact with.
[00:09:07.140 --> 00:09:17.140]   And so because of it being issued on public blockchain networks, it gives it the borderless freedom to be able to transact globally.
[00:09:17.140 --> 00:09:37.140]   And then last, when you have a network that is permissionless and public and open, it makes it very easy for other companies, individuals to plug into this actual network of money and transact with it.
[00:09:37.140 --> 00:09:50.140]   And so it's scaling very fast globally because of the openness of anybody being able to build on top of this protocol for sending and receiving and storing value.
[00:09:50.140 --> 00:09:53.140]   And so how does this work?
[00:09:53.140 --> 00:10:05.140]   You know, how it works is how USDC gets issued in the ecosystem is a business gets approved by Circle to set up a business account.
