
[00:00:00.000 --> 00:00:02.580]   (upbeat music)
[00:00:02.580 --> 00:00:06.760]   - Is there a way you structure your day
[00:00:06.760 --> 00:00:09.720]   or your workflow to be more productive?
[00:00:09.720 --> 00:00:11.320]   - I have a, I have a personal assistant.
[00:00:11.320 --> 00:00:13.120]   So she makes me do a lot of things that are important.
[00:00:13.120 --> 00:00:15.280]   So actually let's talk about hacking real quick, right?
[00:00:15.280 --> 00:00:17.920]   Like the idea of like, you know, card, credit card hacking
[00:00:17.920 --> 00:00:21.240]   or travel hacking or, you know, house hacking.
[00:00:21.240 --> 00:00:23.440]   Let's talk about self-discipline hacking.
[00:00:23.440 --> 00:00:26.040]   I have zero self-discipline, almost none.
[00:00:26.040 --> 00:00:28.960]   Like if there's a cookie on the counter, I will eat it.
[00:00:28.960 --> 00:00:31.800]   If there is a, if there is a meeting I can skip,
[00:00:31.800 --> 00:00:32.720]   I will skip it.
[00:00:32.720 --> 00:00:35.400]   If there is anything I need to do, I will let myself down.
[00:00:35.400 --> 00:00:36.820]   I will lie to myself.
[00:00:36.820 --> 00:00:39.240]   I will disappoint myself all day long.
[00:00:39.240 --> 00:00:42.760]   As a result, I'm really bad at getting things done.
[00:00:42.760 --> 00:00:45.680]   So I've had to hack my way into being productive
[00:00:45.680 --> 00:00:46.760]   and being efficient.
[00:00:46.760 --> 00:00:47.960]   I'll give you a couple of examples.
[00:00:47.960 --> 00:00:50.120]   One, I hire a personal assistant.
[00:00:50.120 --> 00:00:52.760]   So Jane, who's my assistant right now, Jane's awesome.
[00:00:52.760 --> 00:00:55.080]   Jane makes sure that I do the most important things
[00:00:55.080 --> 00:00:55.920]   and will yell at me.
[00:00:55.920 --> 00:00:57.080]   And I tell her like she has permission
[00:00:57.080 --> 00:00:59.400]   to like force me to do things.
[00:00:59.400 --> 00:01:01.000]   And there's ways to do it, right?
[00:01:01.000 --> 00:01:02.580]   For example, the massage I mentioned earlier,
[00:01:02.580 --> 00:01:05.160]   I'm getting them, I get a massage once a week.
[00:01:05.160 --> 00:01:07.440]   I don't get a massage because it feels good.
[00:01:07.440 --> 00:01:08.520]   I mean, yes, it feels good, right?
[00:01:08.520 --> 00:01:10.060]   Like massages are fun.
[00:01:10.060 --> 00:01:13.320]   I get a massage because I know the most important thing
[00:01:13.320 --> 00:01:15.480]   as an entrepreneur that I can do
[00:01:15.480 --> 00:01:19.300]   is have uninterrupted thinking time every week.
[00:01:19.300 --> 00:01:22.260]   But I don't do it, like I won't do it.
[00:01:22.260 --> 00:01:24.360]   I will write that, I'll put on my calendar, you know,
[00:01:24.360 --> 00:01:26.500]   go sit at the beach and go think for an hour and a half
[00:01:26.500 --> 00:01:29.080]   or just process, journal, I won't do it.
[00:01:29.080 --> 00:01:32.320]   'Cause I lie to myself and I disappoint myself all the time.
[00:01:32.320 --> 00:01:36.000]   But when Adriana, my Brazilian masseuse,
[00:01:36.000 --> 00:01:38.680]   shows up in my driveway and she's pulling behind
[00:01:38.680 --> 00:01:41.440]   this giant massage chair, well, now I'm gonna do it, right?
[00:01:41.440 --> 00:01:44.600]   I'm now, 'cause I've now obligated myself to somebody else.
[00:01:44.600 --> 00:01:46.640]   So then I go and get an hour and a half long massage.
[00:01:46.640 --> 00:01:49.700]   And most of the best ideas and problem solving I've had
[00:01:49.700 --> 00:01:51.080]   are during that massage.
[00:01:51.080 --> 00:01:54.800]   So a massage is simply a way that I have hacked
[00:01:54.800 --> 00:01:57.540]   my lack of self-discipline to do the things
[00:01:57.540 --> 00:01:58.380]   that I wanna do.
[00:01:58.380 --> 00:02:00.760]   I hire a personal trainer to come to my house to work out.
[00:02:00.760 --> 00:02:02.380]   I do the food thing, like you said.
[00:02:02.380 --> 00:02:04.200]   I have somebody now helping with the kids
[00:02:04.200 --> 00:02:05.100]   so that I can do other things.
[00:02:05.100 --> 00:02:09.600]   I align my life so that way I am obligated to do the things
[00:02:09.600 --> 00:02:11.360]   that I know I need to do,
[00:02:11.360 --> 00:02:15.000]   but lack the self-discipline to get it done.
[00:02:15.000 --> 00:02:17.080]   I even have like accountability groups,
[00:02:17.080 --> 00:02:18.840]   like mastermind groups that we meet every week
[00:02:18.840 --> 00:02:20.040]   and go through our goals.
[00:02:20.040 --> 00:02:23.360]   All this is designed to get me to just do something
[00:02:23.360 --> 00:02:25.360]   'cause I'm so darn lazy.
[00:02:25.360 --> 00:02:27.160]   Let me just throw out a couple more ideas
[00:02:27.160 --> 00:02:28.920]   in case people are interested in more ways
[00:02:28.920 --> 00:02:30.080]   they can kind of hack their laziness
[00:02:30.080 --> 00:02:32.080]   or their self-discipline.
[00:02:32.080 --> 00:02:36.240]   One of them, I am a big believer in like checking boxes.
[00:02:36.240 --> 00:02:39.040]   Maybe I can, there's a great, the Seinfeld strategy.
[00:02:39.040 --> 00:02:40.120]   Let's talk about this one.
[00:02:40.120 --> 00:02:42.800]   Seinfeld has this quote from years ago.
[00:02:42.800 --> 00:02:43.620]   It's probably made up.
[00:02:43.620 --> 00:02:44.980]   It's probably one of those like Abe Lincoln said it
[00:02:44.980 --> 00:02:46.960]   kind of things, but where he said,
[00:02:46.960 --> 00:02:49.080]   "Every day he writes one joke.
[00:02:49.080 --> 00:02:50.160]   And when he's done with the joke,
[00:02:50.160 --> 00:02:53.080]   he puts a big check mark on like a spreadsheet
[00:02:53.080 --> 00:02:54.040]   or something like that.
[00:02:54.040 --> 00:02:54.880]   And after a while,
[00:02:54.880 --> 00:02:57.240]   you start getting a lot of check marks in a row."
[00:02:57.240 --> 00:03:00.560]   And so his advice to this up-and-coming comedian he gave
[00:03:00.560 --> 00:03:03.200]   was don't break the chain of check marks.
[00:03:03.200 --> 00:03:04.560]   Just don't break the chain.
[00:03:04.560 --> 00:03:08.880]   So I'm a bigger believer of doing little tiny actions
[00:03:08.880 --> 00:03:09.760]   over and over and over and over,
[00:03:09.760 --> 00:03:11.640]   and then putting them on a checklist.
[00:03:11.640 --> 00:03:12.760]   Like that's why I said I have a checklist
[00:03:12.760 --> 00:03:14.760]   inside my bathroom mirror
[00:03:14.760 --> 00:03:16.520]   for some of our relationship habits.
[00:03:16.520 --> 00:03:18.120]   But I do it in my journal every single morning.
[00:03:18.120 --> 00:03:20.200]   So for example, like read one page.
[00:03:20.200 --> 00:03:21.520]   I can read one page.
[00:03:21.520 --> 00:03:25.140]   Or I can, I'm really bad at flossing, right?
[00:03:25.140 --> 00:03:26.780]   So like, I'll be like, I'm gonna floss.
[00:03:26.780 --> 00:03:29.080]   Like these are things, now I'm not good at it,
[00:03:29.080 --> 00:03:30.600]   but because I'm tracking it now,
[00:03:30.600 --> 00:03:33.040]   and because I have an accountability group
[00:03:33.040 --> 00:03:35.160]   that looks at my tracking,
[00:03:35.160 --> 00:03:37.600]   I've now, like I would look stupid if I showed up
[00:03:37.600 --> 00:03:39.840]   and was like, "Yeah, well, I said I was gonna eat healthy
[00:03:39.840 --> 00:03:42.000]   all week, but I just ate, you know,
[00:03:42.000 --> 00:03:43.360]   Cheetos and Mai Tais all week."
[00:03:43.360 --> 00:03:44.280]   Like, I would just look stupid
[00:03:44.280 --> 00:03:47.160]   'cause I don't wanna disappoint my accountability buddies.
[00:03:47.160 --> 00:03:48.280]   Like the other guys that are like,
[00:03:48.280 --> 00:03:50.720]   "Hey, we're gonna, you know, build our businesses too."
[00:03:50.720 --> 00:03:53.240]   So I don't wanna look bad in front of other people.
[00:03:53.240 --> 00:03:57.120]   So I will then get that, what do you wanna call it?
[00:03:57.120 --> 00:03:59.800]   Account, I guess, accountability around them.
[00:03:59.800 --> 00:04:03.360]   In fact, in my own company, I operate a system called EOS.
