
[00:00:00.000 --> 00:00:01.880]   Hello, everybody.
[00:00:01.880 --> 00:00:04.440]   It's Sam from the Financial Samurai podcast.
[00:00:04.440 --> 00:00:09.140]   And in this episode, I have a special guest with me, Anahad O'Connor.
[00:00:09.140 --> 00:00:12.920]   And I didn't realize, Anahad, you have a Wikipedia page.
[00:00:12.920 --> 00:00:15.360]   So I'm going to read it to you really quickly.
[00:00:15.360 --> 00:00:19.760]   Born May 23, 1981, is an American journalist and staff reporter for the New York Times.
[00:00:19.760 --> 00:00:21.940]   Well, he was for 20 years.
[00:00:21.940 --> 00:00:26.840]   He joined the Times in 2003 and writes about consumer health, science, and national issues.
[00:00:26.840 --> 00:00:29.280]   He's also a bestselling author.
[00:00:29.280 --> 00:00:30.920]   He went to Yale.
[00:00:30.920 --> 00:00:35.040]   His book, The 10 Things You Need to Eat, made the New York Times bestseller list.
[00:00:35.040 --> 00:00:38.260]   And now he is a part of the Washington Post.
[00:00:38.260 --> 00:00:40.940]   So welcome to the Financial Samurai podcast.
[00:00:40.940 --> 00:00:41.940]   Thanks for having me.
[00:00:41.940 --> 00:00:42.940]   I appreciate it.
[00:00:42.940 --> 00:00:47.240]   Thanks for that nice introduction, although I think that Wikipedia page needs updating.
[00:00:47.240 --> 00:00:49.280]   Yeah, that's pretty cool.
[00:00:49.280 --> 00:00:50.280]   You got one on.
[00:00:50.280 --> 00:00:51.280]   I don't think I have one.
[00:00:51.280 --> 00:00:52.280]   Maybe I can try to create one on my own.
[00:00:52.280 --> 00:00:53.280]   I don't know how that works.
[00:00:53.280 --> 00:00:56.280]   Yeah, I'm not even sure who created that.
[00:00:56.280 --> 00:00:57.280]   So.
[00:00:57.280 --> 00:00:58.280]   OK.
[00:00:58.280 --> 00:01:00.280]   So for 20 years, you've been writing about health.
[00:01:00.280 --> 00:01:01.280]   Yes?
[00:01:01.280 --> 00:01:02.280]   Health and fitness?
[00:01:02.280 --> 00:01:03.280]   Yes.
[00:01:03.280 --> 00:01:07.280]   So I started at the New York Times actually right out of college.
[00:01:07.280 --> 00:01:13.680]   I graduated in 1999, joined the New York Times in the science section, did several years
[00:01:13.680 --> 00:01:15.280]   there.
[00:01:15.280 --> 00:01:20.560]   And then I moved around to some other desks, the Metro desk.
[00:01:20.560 --> 00:01:23.400]   I covered national news, breaking news.
[00:01:23.400 --> 00:01:24.760]   But health has always been my passion.
[00:01:24.760 --> 00:01:30.280]   And so I made my way back to covering health after a brief detour.
[00:01:30.280 --> 00:01:31.280]   Got it.
[00:01:31.280 --> 00:01:35.040]   And also on the Wikipedia page, it says he was part of the first class of the New York
[00:01:35.040 --> 00:01:38.960]   Times College Scholarship Program in 1999.
[00:01:38.960 --> 00:01:40.640]   What is that or what was that?
[00:01:40.640 --> 00:01:41.640]   Yes.
[00:01:41.640 --> 00:01:47.180]   So the New York Times College Scholarship was started in 1999.
[00:01:47.180 --> 00:01:53.380]   It was basically started by the publisher and some top editors at the Times as a way
[00:01:53.380 --> 00:02:01.940]   to provide college scholarships to promising young New York high school students.
[00:02:01.940 --> 00:02:03.820]   And I was in the first class.
[00:02:03.820 --> 00:02:07.060]   There were six of us.
[00:02:07.060 --> 00:02:10.780]   And they actually wrote an article about us in the New York Times.
[00:02:10.780 --> 00:02:14.740]   So that was the first time my name appeared in the New York Times, is when I won this
[00:02:14.740 --> 00:02:16.940]   inaugural college scholarship.
[00:02:16.940 --> 00:02:20.580]   And it became it got such great positive feedback.
[00:02:20.580 --> 00:02:23.980]   It became so popular that people wanted to support it.
[00:02:23.980 --> 00:02:30.380]   And all this money and donations poured in and they were able to award 15 other scholarships
[00:02:30.380 --> 00:02:31.380]   that year.
[00:02:31.380 --> 00:02:35.900]   So it grew from a class of six high school students to 21.
[00:02:35.900 --> 00:02:41.100]   And basically high school students born and raised in New York, high school students from
[00:02:41.100 --> 00:02:47.260]   New York City who overcame challenges and showed promise.
[00:02:47.260 --> 00:02:51.700]   That is actually how I ended up working for the New York Times because I got an internship
[00:02:51.700 --> 00:02:54.380]   as part of the college scholarship program.
[00:02:54.380 --> 00:02:57.060]   And I wanted to go to college and become a doctor.
[00:02:57.060 --> 00:03:01.940]   And so I asked to become to be an intern in the science department because I grew up reading
[00:03:01.940 --> 00:03:03.540]   Science Times.
[00:03:03.540 --> 00:03:06.780]   And so I started as an intern in the science department.
[00:03:06.780 --> 00:03:09.700]   And then I kept coming back year after year.
[00:03:09.700 --> 00:03:15.500]   And then I eventually joined the New York Times as a cub reporter and then became a
[00:03:15.500 --> 00:03:16.500]   staff reporter.
[00:03:16.500 --> 00:03:24.340]   And so as you can see, I gave up my dreams of becoming a doctor and became a health journalist
[00:03:24.340 --> 00:03:30.700]   because I felt that I could have a much bigger impact in the world of health by doing this
[00:03:30.700 --> 00:03:31.700]   journalism.
[00:03:31.700 --> 00:03:33.620]   Mad Fientist Well, it must not have been easy getting that
[00:03:33.620 --> 00:03:34.940]   scholarship.
[00:03:34.940 --> 00:03:40.860]   Do you mind sharing, is it possible, what kind of financial aid that was?
[00:03:40.860 --> 00:03:44.540]   And was it implicit that if you did well in college, you would be able to get a job at
[00:03:44.540 --> 00:03:45.540]   the New York Times afterwards?
[00:03:45.540 --> 00:03:47.460]   Dr. Justin Marchegiani It wasn't implicit.
[00:03:47.460 --> 00:03:52.460]   So the scholarship was $48,000 at the time.
[00:03:52.460 --> 00:03:53.460]   Mad Fientist Wow, that's great.
[00:03:53.460 --> 00:03:55.700]   Dr. Justin Marchegiani Yeah, over the course of four years.
[00:03:55.700 --> 00:03:58.020]   So it was $12,000 a year.
[00:03:58.020 --> 00:04:02.460]   And back then, college was very expensive but not as expensive as it is now.
[00:04:02.460 --> 00:04:08.380]   I think tuition was maybe like $230,000 and $3,500 a year and I got accepted to Yale.
[00:04:08.380 --> 00:04:10.060]   And so I applied that to Yale.
[00:04:10.060 --> 00:04:15.620]   I think for the purposes of your podcast, I can say that it was one of several scholarships
[00:04:15.620 --> 00:04:21.980]   that I got for private scholarships because I grew up in a very poor neighborhood in New
[00:04:21.980 --> 00:04:22.980]   York City.
[00:04:22.980 --> 00:04:27.060]   I was one of seven children raised in a single parent household.
[00:04:27.060 --> 00:04:31.420]   And you know, I remember reading when I was young that college was very expensive and
[00:04:31.420 --> 00:04:36.380]   I knew I wanted to go to college and I had dreams of becoming a scientist.
[00:04:36.380 --> 00:04:39.860]   First I wanted to become a nuclear chemist, a physicist.
[00:04:39.860 --> 00:04:43.060]   And then when I got to college, it was my dream was to become a doctor.
[00:04:43.060 --> 00:04:44.140]   So I kind of changed along the way.
[00:04:44.140 --> 00:04:48.140]   But I knew that, you know, you know, my mom told me from a young age that we couldn't
[00:04:48.140 --> 00:04:49.140]   really afford college.
[00:04:49.140 --> 00:04:54.860]   So when I was in high school, I decided I got to figure out a way to pay for college.
[00:04:54.860 --> 00:04:59.540]   You know, and I just saw the price tag and thought this is, you know, a year of college
[00:04:59.540 --> 00:05:02.940]   is more than my mother makes in a year.
[00:05:02.940 --> 00:05:03.940]   So how am I going to pay for this?
[00:05:03.940 --> 00:05:08.020]   And so I made it my job at that time to find private scholarships.
[00:05:08.020 --> 00:05:12.500]   And so I got the New York Times scholarship, which was $48,000.
[00:05:12.500 --> 00:05:17.380]   And then I also got another scholarship called the Ron Brown Scholarship Program, which was
[00:05:17.380 --> 00:05:18.380]   $40,000.
[00:05:18.380 --> 00:05:19.380]   Wow.
[00:05:19.380 --> 00:05:20.380]   Yeah.
[00:05:20.380 --> 00:05:22.100]   Oh my gosh, that's a lot.
[00:05:22.100 --> 00:05:26.180]   So I ended up racking up over $100,000 in private scholarships.
[00:05:26.180 --> 00:05:28.500]   And so college was all paid for.
[00:05:28.500 --> 00:05:29.500]   Wow.
[00:05:29.500 --> 00:05:30.500]   Congratulations.
[00:05:30.500 --> 00:05:35.260]   Did you get the scholarships before or after you got accepted to Yale and other colleges?
[00:05:35.260 --> 00:05:36.260]   I got it before.
[00:05:36.260 --> 00:05:37.260]   Before.
[00:05:37.260 --> 00:05:38.260]   I see.
[00:05:38.260 --> 00:05:42.460]   So they say, if you get into college, we will help pay this amount.
[00:05:42.460 --> 00:05:46.500]   And then during your application to college, do you say, I got this scholarship?
[00:05:46.500 --> 00:05:50.420]   Because I would think that that would look pretty good too.
[00:05:50.420 --> 00:05:54.420]   That was part of the, I think it was all happening at the same time.
[00:05:54.420 --> 00:05:57.900]   It was all in senior year.
[00:05:57.900 --> 00:06:03.780]   And so I remember when I was doing the final interview, I had to do several interviews
[00:06:03.780 --> 00:06:07.380]   for the New York Times scholarship program.
[00:06:07.380 --> 00:06:14.220]   And when I got it, I had not yet been accepted to college.
[00:06:14.220 --> 00:06:19.420]   I think the acceptance was starting to roll in a little bit later.
[00:06:19.420 --> 00:06:27.380]   But I'm a big believer in, I remember, I went out and got a book from my school library
[00:06:27.380 --> 00:06:32.820]   that was all about private scholarships, academic scholarships.
[00:06:32.820 --> 00:06:38.380]   And I just went and was doing research during all the free time that I had.
[00:06:38.380 --> 00:06:42.620]   So during my lunch period, after school, I was just in the library researching scholarships
[00:06:42.620 --> 00:06:43.620]   and applying for everything.
[00:06:43.620 --> 00:06:48.260]   And I ended up getting six or seven of these private scholarships, but I must have applied
[00:06:48.260 --> 00:06:49.260]   for like 100.
[00:06:49.260 --> 00:06:50.400]   Oh, wow.
[00:06:50.400 --> 00:06:51.940]   So you were very intentional.
[00:06:51.940 --> 00:06:56.980]   So this is really important for listeners and parents is that you have to be intentional
