
[00:00:00.000 --> 00:00:04.820]   Almost no one has the time to investigate headlines like this one, seen by tens of
[00:00:04.820 --> 00:00:09.860]   millions of people. The AI models don't actually reason at all. They just memorize patterns. AGI
[00:00:09.860 --> 00:00:15.780]   is mostly hype, and even the underlying Apple paper quoted says it's an illusion of thinking.
[00:00:15.780 --> 00:00:21.400]   This was picked up in mainstream outlets like The Guardian, which quoted it as being a pretty
[00:00:21.400 --> 00:00:25.800]   devastating Apple paper. So what are people supposed to believe when half the headlines
[00:00:25.800 --> 00:00:31.960]   are about an imminent AI job apocalypse, and the other half are about LLMs all being fake?
[00:00:31.960 --> 00:00:36.520]   Well, hopefully you'll find that I'm not trying to sell a narrative. I'll just say what I found,
[00:00:36.520 --> 00:00:42.560]   having read the 30-page paper in full and the surrounding analyses. I'll also end with a
[00:00:42.560 --> 00:00:49.580]   recommendation on which model you should use, and yes, touch on the brand new O3 Pro from OpenAI.
[00:00:49.580 --> 00:00:55.400]   Although I would say that the $200 price per month to access that model is not for the unwashed
[00:00:55.400 --> 00:01:01.080]   masses like you guys. Some very quick context on why a post like this one gets tens of millions of
[00:01:01.080 --> 00:01:06.160]   views and coverage in the mainstream media, and no, it's not just because of the unnecessarily
[00:01:06.160 --> 00:01:12.220]   frantic breaking at the start. It's also because people hear the claims made by the CEOs of these
[00:01:12.220 --> 00:01:14.760]   AI labs, like Sam Altman yesterday, posting,
[00:01:14.760 --> 00:01:19.800]   Humanity is close to building digital superintelligence. We're past the event horizon.
[00:01:19.800 --> 00:01:25.160]   The takeoff has started. While the definitions of those terms are deliberately vague, you can understand
[00:01:25.160 --> 00:01:29.020]   people paying attention. People can see for themselves how quickly large language models
[00:01:29.020 --> 00:01:34.580]   are improving, and they can read the headlines generated by the CEO of Anthropic saying,
[00:01:34.580 --> 00:01:38.800]   there is a white-collar bloodbath coming. It's almost every week now that we get headlines like
[00:01:38.800 --> 00:01:43.080]   this one in the New York Times, so it's no wonder people are paying attention. Now, some would say
[00:01:43.080 --> 00:01:49.100]   cynically that Apple seem to be producing more papers, quote, debunking AI than actually improving AI,
[00:01:49.100 --> 00:01:54.420]   but let's set that cynicism aside. The paper essentially claimed that large language models don't follow
[00:01:54.420 --> 00:02:00.460]   explicit algorithms and struggle with puzzles when there are sufficient degrees of complexity.
[00:02:00.460 --> 00:02:06.440]   Puzzles like the Tower of Hanoi challenge, where you've got to move a tower of discs from one place
[00:02:06.440 --> 00:02:11.740]   to another, but never place a larger disc atop a smaller one. They also tested the models on games
[00:02:11.740 --> 00:02:16.940]   like checkers, where you've got to move the blue tokens all the way to the right and the red tokens to
[00:02:16.940 --> 00:02:21.820]   the left, following the rules of checkers. And games like River Crossing, which might be more familiar to you
[00:02:21.820 --> 00:02:25.900]   as the fox and chicken challenge, where you've got to go to the other side of the river without leaving
[00:02:25.900 --> 00:02:31.400]   the fox with the chicken. All of these games, of course, can be and were scaled up in complexity the
[00:02:31.400 --> 00:02:37.260]   more pieces you introduce. If models were a pre-programmed set of algorithms like a calculator,
[00:02:37.260 --> 00:02:42.360]   then it shouldn't matter how many discs or checkers or blocks you have, performance should be 100%
[00:02:42.360 --> 00:02:48.160]   all the time. Shocker, the paper showed that they're not that and performance dropped off noticeably the
[00:02:48.160 --> 00:02:53.200]   more complex the task got. But this has been known for years now about large language models. They're
[00:02:53.200 --> 00:02:58.340]   not traditional software, where the same input always leads to the same output. Nor, of course,
[00:02:58.340 --> 00:03:03.780]   are they fully randomised either, otherwise they couldn't pass a single benchmark. They are probabilistic
[00:03:03.780 --> 00:03:09.400]   neural networks, somewhere in between the two extremes. And the perfect example comes with multiplication.
[00:03:09.400 --> 00:03:15.280]   Again, I could have added breaking to the title of this video, but this has been known about for
