
[00:00:00.000 --> 00:00:02.180]   (beeping)
[00:00:02.180 --> 00:00:14.100]   - Welcome back to Ask the Compound,
[00:00:14.100 --> 00:00:15.940]   where every week I'm unpleasantly surprised
[00:00:15.940 --> 00:00:17.580]   because we get new questions
[00:00:17.580 --> 00:00:18.700]   that we haven't thought of before.
[00:00:18.700 --> 00:00:20.260]   Got a few this week.
[00:00:20.260 --> 00:00:23.620]   Our email here is askthecompoundshow@gmail.com.
[00:00:23.620 --> 00:00:27.420]   Today's show is sponsored by Bird Dogs.
[00:00:27.420 --> 00:00:30.020]   Bird Dogs, some of the most comfortable clothes that I have.
[00:00:30.020 --> 00:00:31.220]   I started with the shorts.
[00:00:31.220 --> 00:00:32.740]   I have a bunch of those.
[00:00:32.740 --> 00:00:33.700]   A couple weeks ago doing the laundry,
[00:00:33.700 --> 00:00:34.820]   my wife said, "Did you really wear
[00:00:34.820 --> 00:00:36.540]   "all these Bird Dog shorts this weekend?"
[00:00:36.540 --> 00:00:38.020]   I said, "Yes, I was active."
[00:00:38.020 --> 00:00:40.700]   I was outside, I was running around, working out,
[00:00:40.700 --> 00:00:41.940]   playing with the kids.
[00:00:41.940 --> 00:00:43.180]   I used a lot of them.
[00:00:43.180 --> 00:00:44.020]   Now we're going to fall.
[00:00:44.020 --> 00:00:45.460]   We have the sweatpants,
[00:00:45.460 --> 00:00:47.660]   the khaki pants that are stretch.
[00:00:47.660 --> 00:00:49.300]   You have the polo shirts.
[00:00:49.300 --> 00:00:50.140]   It's great.
[00:00:50.140 --> 00:00:52.580]   And if you go to birddogs.com/atc,
[00:00:52.580 --> 00:00:54.780]   Ask the Compound, of course,
[00:00:54.780 --> 00:00:58.180]   you get a free white tech dad hat,
[00:00:58.180 --> 00:00:59.940]   which I think I wore on the show a couple weeks ago.
[00:00:59.940 --> 00:01:00.780]   - You did.
[00:01:00.780 --> 00:01:01.820]   You looked like a tennis player.
[00:01:01.820 --> 00:01:02.900]   - Yeah, I wore a promo coat.
[00:01:02.900 --> 00:01:05.100]   Yeah, I look like I'd be in the U.S. Open.
[00:01:05.100 --> 00:01:05.940]   It's ATC.
[00:01:05.940 --> 00:01:08.980]   You get one of these really spiffy white hats.
[00:01:08.980 --> 00:01:09.820]   Duncan, I still got one for you.
[00:01:09.820 --> 00:01:11.460]   I have to bring it to Future Proof for you.
[00:01:11.460 --> 00:01:12.780]   - Oh, awesome, cool.
[00:01:12.780 --> 00:01:14.540]   Yeah, I'm expecting to see a ton
[00:01:14.540 --> 00:01:16.620]   of Bird Dogs gear at Future Proof,
[00:01:16.620 --> 00:01:18.700]   so looking forward to it. - Yes, yes.
[00:01:18.700 --> 00:01:20.460]   All right, let's do first question.
[00:01:20.460 --> 00:01:22.860]   - Okay.
[00:01:22.860 --> 00:01:25.180]   Up first today, we have,
[00:01:25.180 --> 00:01:28.180]   "My job is to run a concentrated 20-company portfolio,
[00:01:28.180 --> 00:01:30.260]   "all listed companies, buy and hold,
[00:01:30.260 --> 00:01:32.240]   "long-term horizon, et cetera.
[00:01:32.240 --> 00:01:34.900]   "I get a base salary and a bonus for performance,
[00:01:34.900 --> 00:01:36.820]   "so a good amount of my annual earnings
[00:01:36.820 --> 00:01:39.580]   "are tied to the performance of the companies I pick.
[00:01:39.580 --> 00:01:42.460]   "I also have a small personal investment account.
[00:01:42.460 --> 00:01:44.200]   "My question is about how I should think
[00:01:44.200 --> 00:01:46.040]   "about investing this.
[00:01:46.040 --> 00:01:47.900]   "Should I use the fact that I spend all day
[00:01:47.900 --> 00:01:49.960]   "or all my time researching companies
[00:01:49.960 --> 00:01:51.720]   "and invest in those companies for myself,
[00:01:51.720 --> 00:01:53.700]   "or should I avoid the concentration risk
[00:01:53.700 --> 00:01:56.340]   "and go for a passive strategy?"
[00:01:56.340 --> 00:01:58.460]   - I love questions like this because--
[00:01:58.460 --> 00:02:00.580]   - This is cool, I like this, yeah.
[00:02:00.580 --> 00:02:02.380]   - There's a compelling argument either way.
[00:02:02.380 --> 00:02:04.400]   So on the one hand, yes, it makes sense
[00:02:04.400 --> 00:02:05.620]   for you to practice what you preach
[00:02:05.620 --> 00:02:08.220]   or have skin in the game or you cook or whatever.
[00:02:08.220 --> 00:02:11.160]   Like, why should your clients have faith in your strategy
[00:02:11.160 --> 00:02:13.460]   if you don't have some money invested alongside of them?
[00:02:13.460 --> 00:02:15.860]   On the other hand, if you do have all of your money invested
[00:02:15.860 --> 00:02:16.820]   in this one strategy,
[00:02:16.820 --> 00:02:18.380]   you're doubling down on concentration risk.
[00:02:18.380 --> 00:02:19.460]   It's where you get your paycheck from,
[00:02:19.460 --> 00:02:22.020]   your bonus, all this stuff.
[00:02:22.020 --> 00:02:23.220]   So it's like not only a career
[00:02:23.220 --> 00:02:24.340]   and earning potential tied up in it,
[00:02:24.340 --> 00:02:27.020]   but if the strategy does bad, then it's double whammy.
[00:02:27.020 --> 00:02:30.080]   So I actually decided to look at what this was like.
[00:02:30.080 --> 00:02:32.040]   So I talked to Morningstar's Jeff Patak,
[00:02:32.040 --> 00:02:33.300]   who ran the numbers for me.
[00:02:33.300 --> 00:02:37.540]   And he says there's 10,300-ish mutual funds and ETFs
[00:02:37.540 --> 00:02:39.780]   in the United States that are listed.
[00:02:39.780 --> 00:02:44.420]   More than 5,900 have portfolio managers
[00:02:44.420 --> 00:02:47.640]   that have no shares in the funds that they manage, okay?
[00:02:47.640 --> 00:02:49.200]   So that's the other 4,300 have at least
[00:02:49.200 --> 00:02:50.940]   one portfolio manager who's listed,
[00:02:50.940 --> 00:02:52.080]   has some shares that they own.
[00:02:52.080 --> 00:02:54.780]   What this means is that close to 60% of all funds,
[00:02:54.780 --> 00:02:56.680]   the portfolio managers who are managing the funds
[00:02:56.680 --> 00:02:59.480]   have not one cent invested in their own fund.
[00:02:59.480 --> 00:03:00.880]   Now, I guess you could make an argument,
[00:03:00.880 --> 00:03:03.640]   well, they could be money market funds or bond funds
[00:03:03.640 --> 00:03:05.480]   or other kinds of funds that they just don't.
