
[00:00:00.000 --> 00:00:02.580]   (upbeat music)
[00:00:02.580 --> 00:00:08.200]   - So I thought back to kind of the first content of yours
[00:00:08.200 --> 00:00:09.720]   that I'd read and it was all about razors,
[00:00:09.720 --> 00:00:10.960]   which at the time I was like,
[00:00:10.960 --> 00:00:12.760]   I don't even know what that is.
[00:00:12.760 --> 00:00:15.420]   And I felt like that would be a great place to start
[00:00:15.420 --> 00:00:16.760]   for this conversation.
[00:00:16.760 --> 00:00:18.880]   But like everyone else listening,
[00:00:18.880 --> 00:00:21.440]   I'm sure people don't know what razors are.
[00:00:21.440 --> 00:00:23.600]   So can you talk a little bit about what they even are
[00:00:23.600 --> 00:00:25.080]   and we can jump into why they're important?
[00:00:25.080 --> 00:00:25.960]   - Yeah, absolutely.
[00:00:25.960 --> 00:00:28.760]   So it's not for shaving,
[00:00:28.760 --> 00:00:31.180]   would be the first thing I would start with, I suppose.
[00:00:31.180 --> 00:00:32.880]   No, I mean, a philosophical razor,
[00:00:32.880 --> 00:00:35.720]   the term is from philosophy.
[00:00:35.720 --> 00:00:37.920]   And basically the idea is that it's a rule of thumb
[00:00:37.920 --> 00:00:40.000]   or some sort of decision-making heuristic
[00:00:40.000 --> 00:00:42.600]   that allows you to cut through available options
[00:00:42.600 --> 00:00:43.600]   and make a decision.
[00:00:43.600 --> 00:00:46.280]   So the whole idea was like in philosophy,
[00:00:46.280 --> 00:00:49.240]   you can take a razor and it allows you to like strip away
[00:00:49.240 --> 00:00:50.680]   any of the unnecessary things
[00:00:50.680 --> 00:00:52.880]   in order to cut through the noise and just make a decision.
[00:00:52.880 --> 00:00:54.880]   So Occam's razor is the one that
[00:00:54.880 --> 00:00:56.520]   if people know a single razor,
[00:00:56.520 --> 00:00:58.320]   Occam's razor is the thing they've heard of.
[00:00:58.320 --> 00:00:59.440]   And that's like the whole idea
[00:00:59.440 --> 00:01:01.040]   that basically simple is beautiful.
[00:01:01.040 --> 00:01:04.040]   It's like, if you have a whole bunch of hypotheses,
[00:01:04.040 --> 00:01:06.120]   the one that requires the fewest assumptions
[00:01:06.120 --> 00:01:08.840]   is generally the one that is right.
[00:01:08.840 --> 00:01:13.680]   If you're kind of like looking to decide which path
[00:01:13.680 --> 00:01:16.660]   you believe is the driver of some situation.
[00:01:16.660 --> 00:01:18.560]   So I've written a bunch about razors
[00:01:18.560 --> 00:01:20.840]   and basically like extending the concept
[00:01:20.840 --> 00:01:22.280]   into a whole bunch of different realms.
[00:01:22.280 --> 00:01:24.940]   I think a lot about ways to simplify decision-making.
[00:01:24.940 --> 00:01:26.400]   It's always been something that I've liked.
[00:01:26.400 --> 00:01:27.520]   You're sort of similar to that,
[00:01:27.520 --> 00:01:30.000]   like life hacks are all sort of razors
[00:01:30.000 --> 00:01:31.120]   in their own way, shape, or form,
[00:01:31.120 --> 00:01:34.920]   like ways to make a decision, cut through things,
[00:01:34.920 --> 00:01:36.560]   you know, that'll just simplify your life hopefully,
[00:01:36.560 --> 00:01:37.800]   like tools in your toolkit.
[00:01:37.800 --> 00:01:40.120]   So that's been the kind of genesis
[00:01:40.120 --> 00:01:41.720]   of me writing about them in the past.
[00:01:41.720 --> 00:01:44.480]   - Yeah, I think when it comes to my whole scope in life
