
[00:00:00.000 --> 00:00:11.520]   All right. Hey, everybody. How are you doing? My name is Greg. I lead student outreach here at
[00:00:11.520 --> 00:00:16.440]   Anthropic, and I am so excited to be sharing the stage with some of the brightest young minds in AI.
[00:00:16.440 --> 00:00:23.680]   Just a little context for this panel. So, at Anthropic, we've given out API credits to thousands
[00:00:23.680 --> 00:00:29.160]   of students to help them build things at school, and so what you're about to see is a very small
[00:00:29.160 --> 00:00:35.220]   glimpse at what students have been creating with those API credits. It's a very wide variety of
[00:00:35.220 --> 00:00:40.400]   things, as you're about to notice. Some of these projects are very humorous and funny. Some of these
[00:00:40.400 --> 00:00:45.760]   projects are very serious and important. Some of these students are working on one project, and some
[00:00:45.760 --> 00:00:52.480]   of these students have been building an app every single week throughout all of 2025. So, I think if
[00:00:52.480 --> 00:00:57.360]   I was gonna sum up what I've learned from running this program, it's that the future is really, really
[00:00:57.360 --> 00:01:01.920]   bright in the hands of these students. So, without further ado, I'm gonna invite up our first speaker,
[00:01:01.920 --> 00:01:03.420]   Isabel from Stanford.
[00:01:03.420 --> 00:01:15.600]   All right. Thank you for having me. It's a privilege to be here. My name is Isabel. I'm a senior at Stanford,
[00:01:15.600 --> 00:01:20.740]   where I study aeronautics and astronautics, and I'm doing my honors in international security. And today,
[00:01:20.740 --> 00:01:26.220]   I'm here to talk to you about my honors work, which is on finding nuclear weapons in outer space, and how I use
[00:01:26.220 --> 00:01:34.780]   Claude to help me do it. So, for those of you that may not know, Article 4 of the Outer Space Treaty bans
[00:01:34.780 --> 00:01:39.900]   the placement of nuclear weapons in outer space. Now, other arms control agreements that you may have
[00:01:39.900 --> 00:01:44.780]   heard of, like START and New START, include provisions for verification and monitoring. So,
[00:01:44.780 --> 00:01:50.780]   nations are shown to be compliant with their treaty obligations using inspection systems. We have on-site
[00:01:50.780 --> 00:01:55.740]   inspections where inspectors will go and look at each other's delivery vehicles and inspect for the
[00:01:55.740 --> 00:01:59.340]   presence of nuclear warheads. We don't have anything like that for outer space.
[00:01:59.340 --> 00:02:04.220]   mostly because we signed the outer space treaty in 1967, and there were no technologies to do that
[00:02:04.220 --> 00:02:10.060]   kind of inspection, right? How would you go about approaching a satellite in orbit that might be
[00:02:10.060 --> 00:02:15.420]   carrying a nuclear weapon and inspecting it for the presence of such a device? Daunting for the 1960s,
[00:02:15.420 --> 00:02:21.900]   daunting today. And this became a problem recently, in 2024, in April of last year.
[00:02:24.860 --> 00:02:30.220]   The Biden administration announced that the United States assesses that Russia is developing a space
[00:02:30.220 --> 00:02:35.500]   vehicle that carries a nuclear weapon. Now, this was pretty destabilizing for the international
[00:02:35.500 --> 00:02:40.780]   community. We've had a lot of dispute in the UN Security Council recently about how to handle this
[00:02:40.780 --> 00:02:45.980]   potential violation of the Outer Space Treaty. Given that we don't have a verification mechanism for
[00:02:45.980 --> 00:02:50.220]   compliance with the Outer Space Treaty, I started to wonder if it would be possible to implement such a
[00:02:50.220 --> 00:02:56.380]   system. Particularly given that the US Space Force tracks 44,800 space objects today, how would you
[00:02:56.380 --> 00:03:04.220]   begin to know which one of those is the suspected nuclear weapon? So this brings me to my research
[00:03:04.220 --> 00:03:10.060]   question. Is it feasible to perform an in-space inspection mission where you inspect a target
[00:03:10.060 --> 00:03:15.740]   satellite for the presence of a nuclear warhead on board? Daunting question. It has a lot of interesting
[00:03:15.740 --> 00:03:21.420]   technical and political facets to it, but for one particular aspect of it, I was able to use Claude
[00:03:21.420 --> 00:03:27.900]   to my advantage. So I looked at specifically the feasibility of detecting the nuclear weapon with an
[00:03:27.900 --> 00:03:36.780]   x-ray system. So you fly an x-ray source and detector on two different inspector satellites in space,
[00:03:36.780 --> 00:03:42.060]   have them rendezvous with the suspected nuclear warhead target, and scan it for the presence of a nuclear
[00:03:42.060 --> 00:03:47.260]   weapon and board. I wanted to know if this would ever be possible. No one's ever tried using x-rays
[00:03:47.260 --> 00:03:51.820]   in space. There are interesting questions around whether the space background environment is - there's too
[00:03:51.820 --> 00:03:58.380]   much noise in space to detect the source signal. So I built a computational simulation to see if this
[00:03:58.380 --> 00:04:05.740]   would ever be possible. And to do it, I used Claude. I used this very complicated CERN software package
[00:04:05.740 --> 00:04:11.420]   called giant4. I am not a particle physicist. I did not know how to approach this software package
[00:04:11.420 --> 00:04:17.260]   and write the C++ code. But I was able to make a desktop application to do my simulation using Claude.
[00:04:17.260 --> 00:04:25.580]   And it was incredibly exciting. It worked. So what you're seeing in this picture is like a very, very quick
[00:04:25.580 --> 00:04:33.740]   snapshot of an x-ray image taken in space. And you see a little hole in the middle that shows you that
[00:04:33.740 --> 00:04:39.340]   there's very, very dense fissile material on board the target of the scan. So indeed, in this simulation,
[00:04:39.340 --> 00:04:45.660]   there was a simulated nuclear warhead on board the satellite target. The outcomes for this are pretty
[00:04:45.660 --> 00:04:50.540]   significant and interesting. There are a lot of people in the national security intelligence community in this
[00:04:50.540 --> 00:04:55.580]   country that are interested in developing this kind of capability to inspect adversary spacecraft on orbit.
[00:04:55.580 --> 00:05:01.100]   To understand their capabilities, particularly whether they might carry a weapon of mass destruction.
[00:05:01.100 --> 00:05:06.700]   So having done this research, I actually am going to be able to brief it in Washington, D.C. to some
[00:05:06.700 --> 00:05:12.540]   policy makers at the Pentagon and state. I'm really thrilled about that opportunity. And certainly,
[00:05:12.540 --> 00:05:16.540]   the desktop application with this level of fidelity would not have been possible without
[00:05:16.540 --> 00:05:22.060]   modern AI tools to make this kind of research accessible to an undergrad in less than a year.
[00:05:22.060 --> 00:05:32.060]   My takeaways for you, kind of as a student, doing research in the era of AI is just that primarily,
[00:05:32.060 --> 00:05:38.220]   there is no learning curve that is too steep any longer, right? Even the toughest problems, space
[00:05:38.220 --> 00:05:44.540]   technology is notoriously hard, nuclear weapons, existential threats. We can address these critical crises
[00:05:45.180 --> 00:05:50.140]   with the tools that we have today with emerging technology. And so I want to challenge all of the
[00:05:50.140 --> 00:05:54.460]   minds here and other students to think about what are the world's toughest problems? What are the problems
[00:05:54.460 --> 00:06:01.980]   that you thought were unaddressable, that feel like existential crises to you for the next generation?
[00:06:01.980 --> 00:06:08.140]   Those are the ones that we should be using our brand new, shiny, exciting AI assistants to work on,
[00:06:08.860 --> 00:06:13.580]   because that's how we're going to help make the world safer and more secure, or at least outer space,
[00:06:13.580 --> 00:06:15.660]   more secure. So thank you.
[00:06:15.660 --> 00:06:25.820]   I'm going to pass it off to the next presenter now, but if you have any questions, I'd love to talk after
[00:06:25.820 --> 00:06:30.380]   the presentation.
[00:06:30.380 --> 00:06:37.660]   Okay, so it's kind of tough to follow up finding nuclear objects in space. So I'm going to tell you about
[00:06:37.660 --> 00:06:42.060]   how I did not know the difference between the terminal and the code editor, and why Claude is
[00:06:42.060 --> 00:06:47.260]   the reason why I was able to learn how to code. I'm a student at UC Berkeley, my name is Mason Ardidi, and I'll go ahead
[00:06:47.260 --> 00:06:53.180]   and get started. So I want to talk about what we think of as the traditional way to approach learning
[00:06:53.180 --> 00:06:58.780]   how to code. I'm going to call this the bottom-up way, where we start by taking basic classes, learn our basic
[00:06:58.780 --> 00:07:04.220]   skills, and then build apps with those skills. Slowly but surely, we level up our skill set and build apps that are
[00:07:04.220 --> 00:07:13.340]   more complicated. I learned a little bit differently. I'm going to call this the top-down approach, where I had an
[00:07:13.340 --> 00:07:19.420]   idea as I get inspired randomly, and I had no idea how to solve it. It was software I've never coded before.
[00:07:19.420 --> 00:07:25.260]   So I tried to have AI make it for me. Hey, make this app for me. And then when it inevitably fails, I learn
[00:07:25.260 --> 00:07:30.780]   how to do it myself, slowly but surely learning through different layers of abstraction until I actually
[00:07:30.780 --> 00:07:36.540]   understand what's going on. Now, where did this leave me seven months ago? It left me not knowing what
[00:07:36.540 --> 00:07:43.180]   the difference between the terminal and the code editor was. I put npx create next app latest in my page
[00:07:43.180 --> 00:07:48.380]   file. I had no idea what I was doing. But slowly but surely, I asked, why is this happening? What am I
[00:07:48.380 --> 00:07:54.540]   doing wrong? And I was able to learn more complicated skills. Let me show you a demo of something I'm
[00:07:54.540 --> 00:08:00.940]   capable of doing now. Okay, welcome to CalGBT, which is a better way to schedule your Cal courses using AI.
[00:08:00.940 --> 00:08:07.580]   It's going to question like, show me math classes with a high average grade, since I want to be lazy in my
[00:08:07.580 --> 00:08:13.020]   math and get an easy curve. Here, it's going to show us five different classes that have an average of A or more,
[00:08:13.020 --> 00:08:17.660]   And in fact, it even showed us classes with a grade point average of 4.0. Can't really get much better
[00:08:17.660 --> 00:08:22.140]   than that. Now, let's say it's getting late in the enrollment cycle. And I want to see classes that
[00:08:22.140 --> 00:08:30.220]   still have open seats. Show me history classes that still have open seats. And this is drawing directly
[00:08:30.220 --> 00:08:35.260]   from Berkeley time. So it's live data. And here it is, it's showing you history classes, five seats,
[00:08:35.260 --> 00:08:42.060]   20 seats, or three seats. We can even ask questions that are more deep, like, what is the meaning of life?
[00:08:42.060 --> 00:08:50.460]   And do with that answer as you will. But this is CalGBT. My name is Mason. And enjoy your day.
[00:08:50.460 --> 00:08:55.900]   I'll show you another one, which I developed at the Pear and Anthropic hackathon as well.
[00:08:55.900 --> 00:09:03.900]   Okay, welcome to Get Ready, which is a new way to visualize and understand new code bases.
[00:09:03.900 --> 00:09:08.220]   Let's take a look at Anthropic's SDK for TypeScript, for example.
[00:09:08.220 --> 00:09:12.940]   You'll see soon. And we'll be able to interact with the chart and see
