
[00:00:00.000 --> 00:00:04.100]   [silence]
[00:00:04.100 --> 00:00:09.300]   Recently, I had the pleasure of hosting the one and only Ido Portal on the Huberman Lab podcast.
[00:00:09.300 --> 00:00:14.100]   I know many people are familiar with Ido and his work, but for those of you that might not be,
[00:00:14.100 --> 00:00:19.860]   Ido Portal is credited with being the world expert in all things movement and the person
[00:00:19.860 --> 00:00:24.820]   who coined the term "movement culture," which is the gathering in and around movement practices
[00:00:24.820 --> 00:00:30.820]   that span from sport to martial arts to dance, gymnastics. Ido and his colleagues have essentially
[00:00:30.820 --> 00:00:37.220]   combined all the different forms of movement that exist out there and expanded upon them to create
[00:00:37.220 --> 00:00:42.740]   patterns of movement that utilize all aspects of the nervous system and that can be incorporated
[00:00:42.740 --> 00:00:48.420]   not just into sport and dance, etc., but also into daily life. Having Ido on the podcast offered the
[00:00:48.420 --> 00:00:53.220]   unique opportunity to learn directly from him, and so rather than just sit in front of a couple
[00:00:53.220 --> 00:00:58.660]   of microphones, which we did, we also spent many hours doing movement practices, the first of which
[00:00:58.660 --> 00:01:05.460]   actually involved no movement. It began by lying on the floor, and Ido gave me and Odelia, one of
[00:01:05.460 --> 00:01:12.980]   his colleagues, instruction as to how to move out of a motionless state in very deliberate ways,
[00:01:12.980 --> 00:01:17.540]   as well as incorporating things like facial and eye movements, which felt very unusual, I confess,
[00:01:18.100 --> 00:01:24.180]   but quickly led to an expansion into other forms of movement that were dynamic and involved
[00:01:24.180 --> 00:01:28.580]   multiple people. You could call this dance or you could call this sport, but really what it
[00:01:28.580 --> 00:01:34.900]   involved is setting a small number of ground rules or constraints as to how one could or could not
[00:01:34.900 --> 00:01:41.940]   move, dictated to me by Ido, and that forced me to move in very specific ways that sometimes were
[00:01:41.940 --> 00:01:47.380]   very uncomfortable to me, not painful, but uncomfortable, meaning that they didn't necessarily
[00:01:47.940 --> 00:01:52.820]   bring me to a place of reflexive action. I had to think very hard, but very soon I noticed
[00:01:52.820 --> 00:02:00.420]   I was able to carry out the movements constrained by those rules in a reflexive way, which was very
[00:02:00.420 --> 00:02:05.220]   surprising and told me that the neural circuits for those particular movements had to have existed
[00:02:05.220 --> 00:02:10.900]   before that training with Ido because there's simply no way they could have wired up very
[00:02:10.900 --> 00:02:15.700]   quickly in the moment. So essentially what Ido was doing was revealing to me or allowing me to reveal
[00:02:15.700 --> 00:02:21.220]   to myself the different patterns of movement that are contained in the language of my nervous system,
[00:02:21.220 --> 00:02:26.340]   but that I was unaware of prior to the work with him. Then we moved on to some other sorts of
[00:02:26.340 --> 00:02:33.300]   dynamic movements involving high-level coordination of using feet and hands to stomp on tennis balls,
[00:02:33.300 --> 00:02:39.940]   bounce them up, grab them with the hand that was dictated in the moment by Ido. That was challenging
[00:02:39.940 --> 00:02:45.220]   at times, to say the least. Other patterns of movement involved an extreme amount of balance,
[00:02:45.220 --> 00:02:50.180]   again, my balance not being terrible, but certainly not being at a high-level skill
[00:02:50.180 --> 00:02:54.180]   and certainly not having done these sorts of moving practices before. I struggled quite a lot,
