
[00:00:00.000 --> 00:00:19.200]   Welcome to the AI Engineers World Fair. This is the first workshop. There's a few other running,
[00:00:19.200 --> 00:00:25.200]   but thanks for coming. We just arrived from Australia with my brother. I think he's over
[00:00:25.200 --> 00:00:30.720]   there somewhere, but yes, we just came here. Yes, we didn't know a lot of stuff about SF,
[00:00:30.720 --> 00:00:35.680]   and I think maybe the US is a bit different from Australia. But yeah, we're very excited to be here.
[00:00:35.680 --> 00:00:40.160]   So we're going to stay here for a few months. So if you want to meet up, you can just hit me off
[00:00:40.160 --> 00:00:44.960]   email or Twitter or wherever. So today I'm going to be talking about low-level technicals of language
[00:00:44.960 --> 00:00:52.560]   models. Yes, yes, I'm Daniel. So we do have a website called Unsloth.ai, if you want to look
[00:00:52.560 --> 00:00:58.720]   that up, there's like cute sloths and stuff. So my brother designed that. We'll be using two tiny
[00:00:58.720 --> 00:01:04.640]   URLs. Oh, did it? Okay, it's still working. Yeah, so we'll be using two tiny URLs now. So the first one
[00:01:04.640 --> 00:01:10.800]   is -- oh, wait, I'll shoot. Yeah. So the slides are at tinyurl.com/unsloth. Hopefully that works.
[00:01:10.800 --> 00:01:16.880]   And there's also Q&A. So I'll be monitoring Q&A. You can type any question that you like. And I will be
[00:01:16.880 --> 00:01:25.120]   answering questions as we go. And that is at tinyurl.com/unslothqa. So if those two work -- so
[00:01:25.120 --> 00:01:29.280]   they'll be like on the bottom if, you know, anyone doesn't get this, like this on the very bottom
[00:01:29.280 --> 00:01:39.040]   of the footer, they'll be like -- we'll re-show these links. Okay. Just -- it doesn't work? Yes? Okay.
[00:01:39.040 --> 00:01:48.080]   Okay. Good. Good. Good. Okay. Yes. So you might know me from my tweets. So Gemma like kind of like
[00:01:48.080 --> 00:01:53.680]   released an open source model a few months ago. And we just found a few like issues and bugs for like
[00:01:53.680 --> 00:02:00.560]   different implementations. So like, for example, the first tweet that we ever did was about some sort of
[00:02:00.560 --> 00:02:07.600]   like the approximate Jellu bug issue. And so like multiple implementations of Gemma that had different
[00:02:07.600 --> 00:02:12.400]   implementations. Some of them use exact Jellu. Some of them use approximate. And like, so which one is
[00:02:12.400 --> 00:02:17.920]   correct? And so that's the question. And so like, we just tweeted about this. And that was like our first
[00:02:17.920 --> 00:02:22.000]   issue that we found. We thought this was just like one issue. But actually, there were like many issues.
[00:02:22.640 --> 00:02:30.240]   And so like we found more bugs. And so I'm assuming maybe you know me from this. We did get partially
[00:02:30.240 --> 00:02:37.520]   recognizable for our Gemma bug fixes. So yeah. So today we'll be showing you how you can actually find
[00:02:37.520 --> 00:02:43.360]   these bugs and issues in language models. And how you can actually like analyze and do this yourself.
[00:02:43.360 --> 00:02:48.400]   Without, you know, us just doing it manually ourselves. And hopefully this can be like an open
[00:02:48.400 --> 00:02:53.360]   source project where everyone can find these issues automatically and help us to solve these issues.
[00:02:53.360 --> 00:02:57.200]   I always thought about like, can we like automate this? I don't think so. It can be automated.
[00:02:57.200 --> 00:03:01.680]   There are actually many issues of these implementations. And it's not just Gemma.
[00:03:01.680 --> 00:03:08.640]   For example, like, you know, we also analyzed Grok. And there's like some weird things in their code.
[00:03:08.640 --> 00:03:15.600]   Like they're scaled by 30 times 10 h x over 30. It's just a it's just a clamping mechanism.
[00:03:15.600 --> 00:03:20.800]   You can see I also make mistakes sometimes. I like, you know, said it's division and not
[00:03:20.800 --> 00:03:25.280]   multiplication. So sometimes I misread the code. That's because like, you know, I spend when the
[00:03:25.280 --> 00:03:30.640]   code gets released, I quickly try to analyze them. And sometimes I mistakenly say stuff. So I have to
