
[00:00:00.000 --> 00:00:02.180]   (beeping)
[00:00:02.180 --> 00:00:11.380]   (upbeat music)
[00:00:11.380 --> 00:00:18.680]   - Welcome back, Portfolio Rescue.
[00:00:18.680 --> 00:00:21.120]   Each week we get tons of questions from YouTube viewers
[00:00:21.120 --> 00:00:23.320]   and podcast listeners and blog readers.
[00:00:23.320 --> 00:00:25.440]   And this is a show we created to answer those questions.
[00:00:25.440 --> 00:00:29.660]   Remember, if you have one, askthecompoundshow@gmail.com.
[00:00:29.660 --> 00:00:31.960]   Duncan, we're in a nice little correction here.
[00:00:31.960 --> 00:00:34.200]   So, last year, peak to trough,
[00:00:34.200 --> 00:00:36.720]   worst drawdown on the S&P 500, 5.2%.
[00:00:36.720 --> 00:00:40.040]   As of the close on Wednesday, yesterday,
[00:00:40.040 --> 00:00:41.880]   the S&P was down 5.5%.
[00:00:41.880 --> 00:00:43.480]   That doesn't sound too bad.
[00:00:43.480 --> 00:00:44.520]   We look at other areas of the market,
[00:00:44.520 --> 00:00:47.200]   NASDAQ 100 was down 9.2%
[00:00:47.200 --> 00:00:50.640]   and small cap stocks were off almost 16%.
[00:00:50.640 --> 00:00:52.200]   So there is a market getting dinged right now.
[00:00:52.200 --> 00:00:53.840]   I don't think our inbox reflects this quite yet.
[00:00:53.840 --> 00:00:55.400]   We did get a couple questions on corrections.
[00:00:55.400 --> 00:00:57.200]   We're gonna talk about that a little this week.
[00:00:57.200 --> 00:00:58.680]   How are you feeling?
[00:00:58.680 --> 00:01:00.160]   - I mean, things have only gotten worse
[00:01:00.160 --> 00:01:02.500]   for my robin hood since last week.
[00:01:02.500 --> 00:01:05.080]   But the good news is I feel like
[00:01:05.080 --> 00:01:07.120]   I'm a little more numb to it now.
[00:01:07.120 --> 00:01:08.640]   - I mean, that was the one thing
[00:01:08.640 --> 00:01:10.080]   that all these other stocks are getting killed
[00:01:10.080 --> 00:01:11.760]   and the stock market's still at all time highs.
[00:01:11.760 --> 00:01:13.580]   That had to be the big worry of,
[00:01:13.580 --> 00:01:15.420]   okay, but what happens when the market rolls over?
[00:01:15.420 --> 00:01:16.840]   It's not like these stocks are gonna start going up
[00:01:16.840 --> 00:01:17.920]   when the market goes.
[00:01:17.920 --> 00:01:19.400]   So, who knows?
[00:01:19.400 --> 00:01:20.420]   We're gonna talk a little bit today
[00:01:20.420 --> 00:01:22.440]   about how long corrections take
[00:01:22.440 --> 00:01:23.840]   and we'll get to that in the second question.
[00:01:23.840 --> 00:01:25.120]   But why don't we do the first one here
[00:01:25.120 --> 00:01:27.080]   and try to think more positively?
[00:01:27.080 --> 00:01:28.040]   - Yeah.
[00:01:28.040 --> 00:01:31.660]   Okay, so first up today we have,
[00:01:31.660 --> 00:01:35.000]   so I know it's a little bit of Michigan bias
[00:01:35.000 --> 00:01:36.440]   in the questions this week,
[00:01:36.440 --> 00:01:38.320]   but that's cool, that's cool.
[00:01:38.320 --> 00:01:40.720]   So, first, is it just me or does everyone hope
[00:01:40.720 --> 00:01:43.560]   to run into Ben whenever they're in Grand Rapids?
[00:01:43.560 --> 00:01:46.760]   Second, we all know Buffett's feelings on the S&P.
[00:01:46.760 --> 00:01:48.600]   Kramer says to put your first 10K
[00:01:48.600 --> 00:01:50.840]   into the index every year and so on.
[00:01:50.840 --> 00:01:53.400]   Does S&P 500 provide enough diversification
[00:01:53.400 --> 00:01:55.720]   over a 20 plus year time horizon?
[00:01:55.720 --> 00:01:59.160]   If I want to set it and forget it from age 30 to 50,
[00:01:59.160 --> 00:02:02.360]   do I really need anything more than to automate into VOO?
[00:02:02.360 --> 00:02:05.600]   And VOO is the world market index?
[00:02:05.600 --> 00:02:08.180]   - No, VOO is the Vanguard S&P 500 ETF.
[00:02:08.180 --> 00:02:09.920]   So, there's a million S&P 500 ETFs.
[00:02:09.920 --> 00:02:13.400]   He's basically saying one of those Vanguard S&P 500 ETFs.
[00:02:13.400 --> 00:02:16.560]   And by the way, thank you to our flyover state questions
[00:02:16.560 --> 00:02:18.560]   here, I appreciate it.
[00:02:18.560 --> 00:02:21.640]   Someone coming from West Michigan, not a coastal elitist.
[00:02:21.640 --> 00:02:23.460]   I know you're more prone to these New York questions,
[00:02:23.460 --> 00:02:25.000]   Duncan, but it's nice to know
[00:02:25.000 --> 00:02:26.980]   the West Michigan faithful's here.
[00:02:26.980 --> 00:02:28.140]   John, let's throw up the first chart.
[00:02:28.140 --> 00:02:29.780]   So, this person's asking, 20 years,
[00:02:29.780 --> 00:02:31.740]   how can I reasonably feel good about the S&P?
[00:02:31.740 --> 00:02:33.420]   This is the rolling 20 year returns,
[00:02:33.420 --> 00:02:36.020]   going back to the 1920s for the S&P 500.
[00:02:36.020 --> 00:02:38.220]   You can see there's a wide range of results.
[00:02:38.220 --> 00:02:40.900]   The good news here, there has never been
[00:02:40.900 --> 00:02:44.420]   a single 20 year rolling period in the S&P 500
[00:02:44.420 --> 00:02:47.420]   to start at any month you want that has been negative.
[00:02:47.420 --> 00:02:49.020]   Not one, obviously this doesn't include things
[00:02:49.020 --> 00:02:53.140]   like taxes and transaction costs and all that stuff.
[00:02:53.140 --> 00:02:54.820]   Or inflation, but still, pretty impressive.
[00:02:54.820 --> 00:02:56.520]   There's never been a 20 year period
[00:02:56.520 --> 00:02:59.140]   with a loss over the last 100 years or so.
[00:02:59.140 --> 00:03:01.700]   But, that's a wide enough range between the best
[00:03:01.700 --> 00:03:02.940]   and the worst that you could drive a truck through it.
[00:03:02.940 --> 00:03:07.060]   So, the best 20 year return, it was 18% per year,
[00:03:07.060 --> 00:03:09.100]   ending in 2000, so you had this wonderful run
[00:03:09.100 --> 00:03:14.100]   in the 80s and 90s, 2700% return in the S&P.
[00:03:14.100 --> 00:03:18.380]   The worst return, you had a total return with dividends
[00:03:18.380 --> 00:03:20.940]   of 45%, that's like 2% per year for 20 years.
[00:03:20.940 --> 00:03:23.180]   Of course, that started in 1929.
[00:03:23.180 --> 00:03:26.580]   So, you invest in September 1929, over the next 20 years,
