
[00:00:00.000 --> 00:00:05.940]   Today, we're going to be taking a look at OpenAI's Agents SDK and how we can use agent
[00:00:05.940 --> 00:00:13.840]   handoffs within the framework. Now, this is the second video on multi-agent systems in Agents
[00:00:13.840 --> 00:00:20.400]   SDK. The first one, we were looking at more of a orchestrate sub-agent pattern and how we achieve
[00:00:20.400 --> 00:00:26.460]   that with the Agents as Tools method, but we didn't cover the handoffs and the handoffs are,
[00:00:26.720 --> 00:00:34.880]   well, they're different to the as Tools method. And the best way of thinking about these two
[00:00:34.880 --> 00:00:40.580]   different methods and understanding them is the as Tools method or the orchestrate sub-agent pattern.
[00:00:40.580 --> 00:00:47.520]   When you use that, you always have one of your agents as the orchestrator, as the controller of
[00:00:47.520 --> 00:00:53.840]   the entire workflow. It's that orchestrator that is receiving and sending messages to your user.
[00:00:54.000 --> 00:01:01.000]   It's that orchestrator that is deciding which sub-agent to go ahead and use. And those sub-agents
[00:01:01.000 --> 00:01:06.420]   are always going to respond back to that orchestrator. So, the orchestrator is always in control.
[00:01:06.420 --> 00:01:11.820]   Whereas, with handoffs, it is slightly different. I mean, you kind of have it in the name. It's a
[00:01:11.820 --> 00:01:18.340]   handoff. So, let's say we still had an orchestrator, although that wouldn't be a very good name in this
[00:01:18.340 --> 00:01:25.220]   scenario. So, let's just call our main agent the orchestrator. In the handoff setup, if we maintain
[00:01:25.220 --> 00:01:32.900]   three sub-agents, the orchestrator would be handing off full control to the sub-agent. So,
[00:01:32.900 --> 00:01:39.340]   the sub-agent may be able to go back to the orchestrator if it likes. It depends on how you set
[00:01:39.340 --> 00:01:46.340]   things up. But in many cases, it will probably go directly back to the user. So, the sub-agents
[00:01:46.340 --> 00:01:53.980]   in this scenario can actually respond directly to the user. Now, both of these approaches have their
[00:01:53.980 --> 00:02:04.780]   pros and cons. The orchestrator pattern, you can use this orchestrator agent to have very fine-grained
[00:02:04.780 --> 00:02:10.860]   control over what is happening within the workflow. You can call various agents, also in parallel if you
[00:02:10.860 --> 00:02:16.960]   need, and prompt each one of those agents to specialize in whatever it is they are doing.
[00:02:17.820 --> 00:02:23.820]   With the handoff, you can still do that. You can still specialize each of these agents to be
[00:02:23.820 --> 00:02:32.620]   good at specific tasks. But they also need to be capable of answering correctly to a user. And
[00:02:32.620 --> 00:02:39.520]   generally, because of that, they need to have a better understanding of the overall context of the
[00:02:39.520 --> 00:02:47.600]   system. And one of the biggest differences, one of the biggest pros or cons, depending on which way
[00:02:47.600 --> 00:02:52.320]   you're looking at it, the orchestrator system is generally going to use more tokens, and it's going
[00:02:52.320 --> 00:02:58.480]   to be slower, because everything is going through our orchestrator. So, when a user asks for some
[00:02:58.480 --> 00:03:04.000]   information from the web, the orchestrator is going to be receiving those tokens. The orchestrator is then
[00:03:04.000 --> 00:03:09.280]   going to be generating tokens to say, "Okay, use the web search sub-agent." The web sub-agent is going to be
[00:03:09.280 --> 00:03:13.840]   generating tokens to use its internal web search tool, then it's going to be generating tokens to
[00:03:13.840 --> 00:03:18.400]   return the answer back to the orchestrator. And the orchestrator is going to be generating tokens
[00:03:18.400 --> 00:03:24.720]   to respond to the user. This is a pretty inefficient approach. There are just a lot of tokens being
[00:03:24.720 --> 00:03:33.600]   created. It's expensive. And that can benefit you where you really need an accurate system that can do
[00:03:33.600 --> 00:03:39.760]   many things. But if it is, like I just explained with the web search sample, you just need to use the
[00:03:39.760 --> 00:03:48.000]   web search, it's super inefficient. The handoff approach, because you're handing off to that web
[00:03:48.000 --> 00:03:55.760]   search agent, the web search agent can generate a response early to the user. So, you are using one
[00:03:56.320 --> 00:04:03.440]   less generation step with that, which it makes a big difference. So, which of these approaches
[00:04:03.440 --> 00:04:09.360]   you're going to go for? It's kind of up to you. Handoffs are very useful though. So, to get started,
[00:04:09.360 --> 00:04:16.080]   we are going through this article here, which is multi-agent systems and agents SDK. And in this
