
[00:00:00.120 --> 00:00:23.680]   All right, so I was gonna give a live demo coding, but I will, but I know you all are
[00:00:23.680 --> 00:00:28.720]   actually here to hear a cool story. So I'll tell you a story about web search built for AI,
[00:00:28.720 --> 00:00:35.620]   and then we do some coding at the end. This story will end with this slide, one API
[00:00:35.620 --> 00:00:41.080]   to get any information from the web, and you'll know what this means by the end, but
[00:00:41.080 --> 00:00:47.500]   the story starts in 1998, and what you're looking at is the state-of-the-art in
[00:00:47.500 --> 00:00:53.080]   information retrieval in 1998. You type in a word Australia to this new search
[00:00:53.080 --> 00:00:57.160]   engine called Google, and it magically finds you all the documents that contain
[00:00:57.160 --> 00:01:02.060]   the word Australia from the web. It's crazy. And the big insight of Google was
[00:01:02.060 --> 00:01:06.700]   they had this page rank algorithm, so the results are ranked by authority based on
[00:01:06.700 --> 00:01:09.800]   the graph structure of the web. And this was a clever algorithm, and it was really
[00:01:09.800 --> 00:01:14.020]   cool. I was two years old at the time, so if I was conscious, I would have thought
[00:01:14.020 --> 00:01:23.560]   this was cool. Okay, and now our story skips 23 years to 2021. By this point, I was conscious,
[00:01:23.560 --> 00:01:32.920]   barely. And I noticed that GB3 had recently come out, and it was this magical thing that
[00:01:32.920 --> 00:01:37.680]   you could input a whole paragraph explaining exactly what you want, and it would really understand
[00:01:37.680 --> 00:01:42.580]   the subtleties of your language and give you an output that exactly matched. And it's hard to remember how
[00:01:42.580 --> 00:01:47.220]   magical this was, but it was really magical in 2021. And at the same time, I noticed there was Google,
[00:01:47.220 --> 00:01:53.580]   which, you know, you type in a simple query, like shirts without stripes, and it would give you shirts with stripes,
[00:01:53.580 --> 00:02:00.280]   which is crazy. It like doesn't understand the word without, because it's doing a keyword comparison algorithm.
[00:02:00.280 --> 00:02:08.880]   And so I decided that for the next at least 10 years, I'm going to devote myself to building a search engine that combines the technology of GB3
[00:02:08.880 --> 00:02:19.120]   with a search engine to make a search engine that actually understands what you're saying at a deep level, and understands all the documents on the web at a deep level, and gives you exactly what you asked for.
[00:02:19.120 --> 00:02:28.120]   This is a very big idea, and we've worked on it for four years and a lot of progress, but it would change the world if you actually solve this problem.
[00:02:28.120 --> 00:02:37.120]   And so in 2021, we joined YC, summer 2021. We raised a couple million dollars, and we did what every YC startup should do.
[00:02:37.120 --> 00:02:41.120]   We spent half of it on a GPU cluster. I'm joking. You shouldn't do that.
[00:02:41.120 --> 00:02:52.120]   And then we also followed YC's advice, where we didn't talk to any users or customers for a year and a half, and we just did research.
[00:02:52.120 --> 00:02:56.120]   Again, you shouldn't do that. You shouldn't talk to users. But in our case, it made sense, because we were trying to solve a really hard problem,
[00:02:56.120 --> 00:03:03.120]   which is like redesign search from scratch, using the same technology as GB3, this like next token prediction idea with transformers.
[00:03:03.120 --> 00:03:10.120]   What if you could apply the same thing to search? And this is actually one of our OneDB training runs.
[00:03:10.120 --> 00:03:17.120]   The purple one, I believe, was a breakthrough where it really learned. There was a few breakthroughs along the way involving random data sets
[00:03:17.120 --> 00:03:23.120]   and different transformer architectures that we were trying, and this purple one really started to work well.
[00:03:23.120 --> 00:03:30.120]   And the general idea we had was like, okay, so what is a search engine? You have like a trillion documents on the web.
[00:03:30.120 --> 00:03:35.120]   And traditional search engines on a very high level will create like a keyword index of those documents.
[00:03:35.120 --> 00:03:43.120]   So for each document, you ask what are the words in those documents, and you create this big inverted index where you map from like words like brown
[00:03:43.120 --> 00:03:49.120]   to all the documents that contain that word. And then at search time, you know, when a search without stripes comes in,
