
[00:00:00.040 --> 00:00:05.260]   sometimes you make some venture bets and they don't work and then you're like I just invested
[00:00:05.260 --> 00:00:11.360]   in the wrong trend and in fact sometimes you invest in the wrong company but it is the right
[00:00:11.360 --> 00:00:15.600]   trend and those bad investment cloud your judgment
[00:00:15.600 --> 00:00:33.800]   Bill we're back I think it's the 10th anniversary congratulations Philippe and Thomas thank you of
[00:00:33.800 --> 00:00:39.440]   course we're at Cotuzzi East meets West down here in Los Angeles I think it's an event that founders
[00:00:39.440 --> 00:00:45.440]   I certainly know you and I look forward to every year as I said to you both it's hard to put together
[00:00:45.440 --> 00:00:52.120]   something that has this much durability this much impact you do this incredible overview on public
[00:00:52.120 --> 00:00:57.360]   markets on venture markets and technology that I think you know you publish today online that
[00:00:57.360 --> 00:01:02.200]   everybody should go out and download and take a look at and so you know we've been at this now for
[00:01:02.200 --> 00:01:07.820]   a couple decades having built something like this is really cool so I just wanted to say thank you and
[00:01:08.520 --> 00:01:13.660]   conversations on on on the 10th anniversary and you know Bill and I thought why don't we just go
[00:01:13.660 --> 00:01:18.600]   through you know you had this slide today we got to sit through and listen to you guys commentate
[00:01:18.600 --> 00:01:24.140]   about uh some of these slides we wanted to share it with everybody else so we're all so excited to make
[00:01:24.140 --> 00:01:31.080]   our our debut as a podcast duo the world premiere we've we've done them individually but not as or we
[00:01:31.080 --> 00:01:38.040]   we're announcing we're announcing our new pod we yeah exactly we got bg2 and now we got what is it lb2
[00:01:38.040 --> 00:01:43.800]   lafond brothers too you know let's let's go so we're uh we're squared squared but yeah by the way I would
[00:01:43.800 --> 00:01:50.540]   just add like I think the conference is is kind of a a really amazing gift to the industry and for the
[00:01:50.540 --> 00:01:57.980]   founders to get to come like it it harkens back to the like when I was really young in this industry the
[00:01:57.980 --> 00:02:03.120]   agenda conference everyone would stay for the whole thing and so your opportunity to network
[00:02:03.120 --> 00:02:08.640]   is so much higher and a lot of conferences today people fly in and fly out but you know here you
[00:02:08.640 --> 00:02:13.860]   you've got some amazing people that are around for the entire thing it's just incredible yeah yeah
[00:02:13.860 --> 00:02:18.880]   agreed well I mean let's dive in you have a big budget for smoothies you know your smoothie budget
[00:02:18.880 --> 00:02:24.160]   really keeps people intact and by the way for for people that are listening um this deck we're going to
[00:02:24.160 --> 00:02:30.560]   reference some of the slides the code 2 team put it on their website uh just a few hours ago and so if
[00:02:30.560 --> 00:02:36.020]   you want to download it and have that as as we go through this it might be helpful yeah you should I
[00:02:36.020 --> 00:02:40.860]   mean Philippe let's just start off I mean you and I it seems like we spend most of our time talking when
[00:02:40.860 --> 00:02:48.560]   things get bad in the world and yet this is probably the most optimistic that I've heard you on this stage
[00:02:48.560 --> 00:02:53.660]   in the 10 years that you've been doing this right we talked you talked us through this slide four which
[00:02:53.660 --> 00:03:00.400]   is the AI super cycle slide and and and this slide which I thought was incredible slide six which is
[00:03:00.400 --> 00:03:07.360]   when will AI reach 75 percent of total US market cap which I think is incredibly provocative how you
[00:03:07.360 --> 00:03:12.260]   compare that to industrials and transport because everybody's saying it's so big already it can't get any
[00:03:12.260 --> 00:03:20.640]   bigger so just kick us off you know contextualizing your level of optimism and this slide like can it
[00:03:20.640 --> 00:03:30.500]   really be 75 percent of total cap yeah uh so listen um every time I'm optimistic I'm worried this is it
[00:03:30.500 --> 00:03:36.560]   you know this is the peak uh and now that Thomas and I are doing this podcast together we're guaranteed
[00:03:36.560 --> 00:03:43.500]   to be doomed but I think that at the end of the day that's how everybody thinks first of all so it's
[00:03:43.500 --> 00:03:49.480]   never priced in yeah everybody's worried that it's all the time the peak and yeah yet despite that uh
[00:03:49.480 --> 00:03:54.120]   things tend to work out I think today we've learned from these founders and stuff like that
[00:03:54.120 --> 00:04:02.560]   that AI is probably the defining and biggest tech trend that we're going to see and I showed you the
[00:04:02.560 --> 00:04:08.020]   different waves there's only been a few waves over the last 70 years or so going back to main frames
[00:04:08.020 --> 00:04:16.900]   and one person made the point that the networking we needed the pcs the internet we needed network pcs
[00:04:16.900 --> 00:04:24.180]   sass we needed what happened before and AI is also built so one of the reasons these trends get bigger
[00:04:24.180 --> 00:04:30.580]   they're built on all the on top of each other exactly so I think that's one second part we've tried to do
[00:04:30.580 --> 00:04:36.900]   and bill you've been great at it and brad you've done too is let's always try to look back at the
[00:04:36.900 --> 00:04:42.900]   past I find that this concept that like uh even though we're talking about new trends they've been
[00:04:42.900 --> 00:04:49.160]   new trends you know since the canals and uh yeah uh and uh whale oil and uh things like that right
[00:04:49.160 --> 00:04:55.040]   and so you look in the eight eighteen hundreds and stuff you know we start having a real finance and
[00:04:55.040 --> 00:05:02.200]   real estate industry then uh probably uh at some point especially after the second world war we had a
[00:05:02.200 --> 00:05:09.540]   real manufacturing uh industry and then we've had also a market dominated by energy and right now
[00:05:09.540 --> 00:05:19.180]   it's about 50 tech but um we had the ceo of uh the largest uh power plant uh sort of utility uh with us
[00:05:19.180 --> 00:05:25.500]   we had the ceo of the largest equipment maker for utilities today you're sort of wondering not just
[00:05:25.500 --> 00:05:30.860]   ai is going to become bigger tmt is going to become bigger but there's some sectors that should we
[00:05:30.860 --> 00:05:38.540]   reclassify them as tmt or utilities now like the next semi-cap what's the difference between a nuclear
[00:05:38.540 --> 00:05:44.180]   energy plant and a semi-cap guy they're both there at the beginning to help you create something that
[00:05:44.180 --> 00:05:50.480]   delivers a tech product yeah the you know said another way technology when when we got started
[00:05:50.480 --> 00:05:56.780]   thomas was five percent of global gdp today is 15 percent of global gdp and when we're sitting here in
[00:05:56.780 --> 00:06:01.860]   10 years i think you're saying confidently while there'll be a lot of noise and a lot of volatility
[00:06:01.860 --> 00:06:09.380]   it's going to be more than 15 percent of global gdp you guys talk about again like what the new class
[00:06:09.380 --> 00:06:16.400]   of ai entrance are so the mag 7 has actually underperformed this year but we have ai power we
[00:06:16.400 --> 00:06:23.600]   have ai related software we have ai semis that are up on the year you guys have diversified out
[00:06:23.600 --> 00:06:29.280]   philippe into some of these other categories you were just talking about it is that the case that
[00:06:29.280 --> 00:06:35.720]   everybody got crowded into mag 7 and now you see all of these other companies accelerating this year that
[00:06:35.720 --> 00:06:41.040]   that are starting to get some of the benefits and i think this one maybe thomas you should take it and
[00:06:41.040 --> 00:06:46.200]   also contrast it to what's going on a bit in the private side if we can add that too because there
[00:06:46.200 --> 00:06:52.240]   was a time where max 7 was a real excitement and now it's changed a bit yeah so it was interesting
[00:06:52.240 --> 00:06:57.840]   seeing that we think that on average the max 7 i mean it was basically flat year over year and yet
[00:06:57.840 --> 00:07:03.600]   tremendous value accretion to the top ai companies right whether it's open ai or anthropic that's right
[00:07:03.600 --> 00:07:09.140]   we're all kind of the following companies but to me my other takeaway looking at this and i was
[00:07:09.140 --> 00:07:14.560]   thinking about core weave that recently went public and you guys are big shareholders in we are and big
[00:07:14.560 --> 00:07:18.760]   fans of the management team and i think a lot of skepticism around that business and that business
[00:07:18.760 --> 00:07:24.480]   model but at the end of the day being an ai pure play there's very few in the public market right right
[00:07:24.480 --> 00:07:30.280]   and so you know i look at this list there's amazing companies on on this list but a lot of them
[00:07:30.280 --> 00:07:35.320]   might have legacy businesses or other kind of right i think of a google as an example right
[00:07:35.320 --> 00:07:40.940]   of certainly has a lot of good ai but also has some disruption threats so seeing new entrants like
[00:07:40.940 --> 00:07:45.500]   core weave that are a pure play on the trend yes um i think has been a really kind of positive
[00:07:45.500 --> 00:07:50.140]   development as well another thing today's an appropriate day to talk about this the stable
[00:07:50.140 --> 00:07:55.000]   coin legislation you know passed today which is a major you know we're going to want to talk about
[00:07:55.000 --> 00:08:00.540]   to sax about this later later but a major step forward for the for the you know kind of regulatory
[00:08:00.540 --> 00:08:07.340]   framework around u.s finance you were funny today uh philippe on stage talking about bitcoin you know it's
[00:08:07.340 --> 00:08:12.180]   this category that's broke you know you said it's broken out you lose sleep over it every single night
[00:08:12.180 --> 00:08:16.760]   because you're still not invested from an institutional perspective in it like a lot of us
[00:08:16.760 --> 00:08:24.920]   and yet you you showed this slide 18 where you said maybe the volatility of bitcoin is is coming down
[00:08:24.920 --> 00:08:30.420]   which might put it more into an institutional asset class talk to us a little bit about how you guys
[00:08:30.420 --> 00:08:36.840]   think about crypto maybe at the price you know we all have post-traumatic stress from the 1920 period
[00:08:36.840 --> 00:08:42.760]   i think of a venture investing in crypto is that changing is it now in the 2020 2020 i mean yeah
[00:08:42.760 --> 00:08:51.000]   i like that but i was like the first of the really early days of venture you know i do think it's
[00:08:51.000 --> 00:08:56.180]   actually really interesting to think of bitcoin as a company for the sake of our investing universe right
[00:08:56.180 --> 00:09:01.940]   we do think like the relative market caps becomes really interesting so as you see in in some vardec
[00:09:01.940 --> 00:09:07.160]   especially at the end first thing is awareness we need to include the large ones as we think about
[00:09:07.160 --> 00:09:12.820]   how they're valued versus kind of other things and so how do you think about how do you think about
[00:09:12.820 --> 00:09:20.000]   valuing it i mean listen uh but just touching back on your point so we we're looking at bitcoin it's like
[00:09:20.000 --> 00:09:27.540]   all right the market cap of the world the net worth of the world is like 450 500 trillion equities i think
[00:09:27.540 --> 00:09:34.720]   are like 120 or stuff real estate's probably another 100 150 then there's a value that people have in their
[00:09:34.720 --> 00:09:43.600]   homes uh gold is about 15 to 20 trillion uh above and under uh the ground and then we're like bitcoin
[00:09:43.600 --> 00:09:50.580]   at two and i'm like god so bitcoin it represents you know two out of 500 of the net worth of the world
[00:09:50.580 --> 00:09:56.560]   or 400 whatever it moves a little bit could it be four could it be five and then we're like well the
[00:09:56.560 --> 00:10:01.740]   largest company microsoft today is like three and a half trillion let's say that microsoft i don't know
[00:10:01.740 --> 00:10:06.800]   doubles in 10 years it would only be growing at seven percent per year microsoft will be a seven
[00:10:06.800 --> 00:10:14.200]   trillion dollar company in 10 years and could bitcoin be five or six it's a real asset class right and
[00:10:14.200 --> 00:10:19.960]   then on top of that it's very volatile then on top of that there's a lot of retail people that
[00:10:19.960 --> 00:10:26.720]   uh own it and it almost feels like sometimes you know the institutional investor is wrong and the
[00:10:26.720 --> 00:10:31.820]   retail investment right sometimes it's the opposite retail gets caught in a little bit of a meme stock
[00:10:31.820 --> 00:10:37.700]   and it comes back down and i don't think we can afford to ignore it anymore so it doesn't mean like
[00:10:37.700 --> 00:10:43.880]   we don't really know exactly when and how to own it and then your other point that's really interesting is
[00:10:43.880 --> 00:10:49.600]   sometimes you make some venture bets and they don't work and then you're like i just invested in
[00:10:49.600 --> 00:10:55.800]   the wrong trend and in fact sometimes you invest in the wrong company but it is the right trend
[00:10:55.800 --> 00:11:04.580]   and those bad investment cloud your judgment and there's bitcoin there's stable coins which we should
[00:11:04.580 --> 00:11:09.920]   talk about they're growing incredibly right now and then there's all these out coins and you could say
[00:11:09.920 --> 00:11:14.920]   okay well i don't like the out and the meme coins i don't like necessarily the collectible aspects of
[00:11:14.920 --> 00:11:21.700]   things but i like stable and bitcoin so for us it's more a process where we just need to become
[00:11:21.700 --> 00:11:26.500]   better be willing to change our mind and stay open to the future and those are a lot of the
[00:11:26.500 --> 00:11:31.460]   conversations that you have one thing i'm curious if you agree my one of my biggest lessons looking at
[00:11:31.460 --> 00:11:37.360]   private market investors versus public market investors is the appetite for institutions in the
[00:11:37.360 --> 00:11:43.440]   public market for assets that are perceived to have significant downside i.e. like 70 or 80 percent
[00:11:43.440 --> 00:11:49.700]   that are mark to market i have found is just really low yeah right investors on the public side just
[00:11:49.700 --> 00:11:54.780]   don't want to take that kind of risk right and so versus on the private side you are because you may
[00:11:54.780 --> 00:11:59.080]   have 20 of those they're not mark to market and you're like look maybe five go to zero but my other
[00:11:59.080 --> 00:12:05.380]   10 go so i do wonder how institutions versus retail may be willing to take that risk i wonder how
[00:12:05.380 --> 00:12:11.960]   institutions will think about an asset like that you know let me kind of telescope out for a second and i
[00:12:11.960 --> 00:12:17.920]   want to get bill's opinion on this as well like i think all of us you know now a couple decades into
[00:12:17.920 --> 00:12:22.740]   this i think one of the most powerful things about this conversation is mental flexibility
[00:12:22.740 --> 00:12:29.480]   yeah right and you know i think when you're when you're maybe a little bit younger in the business
[00:12:29.480 --> 00:12:34.560]   you're more dogmatic you develop an opinion you defend it to the hilt right and if you're wrong
[00:12:34.560 --> 00:12:40.140]   it can be extraordinarily costly and i think crypto was that way for a lot of people and you know they
[00:12:40.140 --> 00:12:44.760]   they carved out these positions they were like this is you know this is a fad and then they they're
[00:12:44.760 --> 00:12:50.000]   proven right at a moment in time because it'll have a 50 drawdown and so rather than re-evaluating
[00:12:50.000 --> 00:12:57.540]   their priors they lock in to that position bill how have you because i find venture particularly tribal
[00:12:57.540 --> 00:13:03.960]   yeah about this point you're locked in you can't sell so i think this is something that you guys
[00:13:03.960 --> 00:13:07.740]   develop more of an instinct for in the public markets right in the private because you're in
[00:13:07.740 --> 00:13:13.020]   you're in you're in forever like with the private companies you can learn lessons along the way but
[00:13:13.020 --> 00:13:18.680]   your windows are really long right whereas i think if you're in public stocks where you can
[00:13:18.680 --> 00:13:23.860]   you know change your mind and and make a decision right away that's very different yeah i mean you
[00:13:23.860 --> 00:13:29.640]   referenced drunkenmiller today you said you think this may be the most valuable attribute of the great
[00:13:29.640 --> 00:13:36.100]   investors i mean listen when he told me i've made 120 of my money on obvious ideas and i've lost 20
[00:13:36.100 --> 00:13:42.780]   elsewhere and then you start thinking of bitcoin and a company being like the fifth largest company in the
[00:13:42.780 --> 00:13:47.660]   world now it's a bit odd what i'm saying i recognize it because you could also say well should we consider
[00:13:47.660 --> 00:13:54.120]   gold as the largest company in the world because it's worth 20 trillion and not necessarily but i do
[00:13:54.120 --> 00:14:00.840]   think like forcing yourself to think differently and at least being at peace okay i thought differently
[00:14:00.840 --> 00:14:08.480]   i came to the same conclusion yeah and being able to do that now as to us being a flexible the fact that you
[00:14:08.480 --> 00:14:14.200]   think that french people are highly flexible people i'm very thankful of that i'm not sure it's true but
[00:14:14.200 --> 00:14:21.300]   we'll take it uh two things that are new about crypto that should should lead anyone to reevaluate
[00:14:21.300 --> 00:14:27.160]   the government's gone from being kind of antagonistic towards supportive that's a big shift because
[00:14:27.160 --> 00:14:32.800]   regulatory risk was a big question for all this stuff and then the stable coin you know based on what
[00:14:32.800 --> 00:14:41.060]   people are talking about this is a high utility use case for people that that is companies are using it
[00:14:41.060 --> 00:14:46.500]   you know as part of their workflow process that's a that's a new dimension as well so
[00:14:46.500 --> 00:14:50.400]   one additional thing just point on that that i think is interesting is
[00:14:50.400 --> 00:14:54.920]   you know when you talk about the u.s dollar you know the the the view is always well what's the
[00:14:54.920 --> 00:15:00.040]   alternative you know i'm not going to go do i want to go into europe you know probably not it's kind of
[00:15:00.040 --> 00:15:05.500]   interesting well what if actually the alternative is bitcoin right um and so that's something i've kind
[00:15:05.500 --> 00:15:09.920]   of been spending time on we you know we talked a lot today about the dollar and interest rates and
[00:15:09.920 --> 00:15:14.920]   what's going to happen and sure um so it'll be interesting to see whether that becomes a legitimate
