
[00:00:00.000 --> 00:00:04.380]   what's going on y'all there's another episode of curious mike i am here with denise garcia and
[00:00:04.380 --> 00:00:09.040]   britney renner appreciate y'all getting on the show thanks for having us yeah it's an honor
[00:00:09.040 --> 00:00:16.440]   denise's first podcast ever we've um me and you have been friends for years now um first time
[00:00:16.440 --> 00:00:23.820]   meeting you the other night yeah y'all have been friends how long since like 2018 too but we
[00:00:23.820 --> 00:00:28.380]   recently just got closer and then we filmed basketball wives so that i feel like trauma
[00:00:28.380 --> 00:00:35.220]   bonded us yeah talk a little bit about uh basketball wives what is that and like what are y'all why'd
[00:00:35.220 --> 00:00:38.860]   y'all get on the show and kind of what are you trying to get across on the show you can go first
[00:00:38.860 --> 00:00:46.600]   well i think the first time that i went on basketball wives i was very like friendly kind of trying to be
[00:00:46.600 --> 00:00:53.320]   liked and i came back full hijab and just different side of eyes and i thought maybe i would have a
[00:00:53.320 --> 00:00:59.580]   different experience but it was the same bullshit really so you regret going on there so what oh i
[00:00:59.580 --> 00:01:04.700]   don't have any regrets no i mean i feel like i don't think there's anything to be proud about when it
[00:01:04.700 --> 00:01:09.460]   comes to like checking someone that could be your mother like the same age as your mom but
[00:01:09.460 --> 00:01:14.840]   old bitches get checked every day and it's not something to be proud of but you know check out the
[00:01:14.840 --> 00:01:18.680]   show i've never seen it nah yeah i'm missing anything y'all too that's probably entertaining
[00:01:18.680 --> 00:01:26.560]   well i mean i enjoyed it i just feel like watching it play back was totally different than i thought it
[00:01:26.560 --> 00:01:30.820]   was going to be like i feel like people didn't get to see the real me they didn't really get to see
[00:01:30.820 --> 00:01:36.440]   like my personality really is it like it's reality tv right yeah clipping up and painting the narratives
[00:01:36.440 --> 00:01:41.560]   they want to paint yeah yeah but i think this season was so unique because you had a mother and
[00:01:41.560 --> 00:01:50.840]   daughter relationship that was just like the center and really the theme of the season and so like that
[00:01:50.840 --> 00:01:57.320]   in itself watching that playback too was really rough um we were closer to the daughter chantelle it was her
[00:01:57.320 --> 00:02:05.320]   first season as well so i i feel like that just kind of took up the whole season so it really didn't get
[00:02:05.320 --> 00:02:10.120]   what we kind of wanted really yeah i don't feel like at the end of the day it's really to showcase
[00:02:10.120 --> 00:02:15.640]   the lifestyle of people like in that world in that realm i feel like it's just more centered around the
[00:02:15.640 --> 00:02:20.840]   group dynamic and its dysfunction so naturally i don't think they even captured our friendship
[00:02:20.840 --> 00:02:27.240]   accurately in my opinion so you know but we made real friends yeah y'all are great friends obviously
[00:02:27.800 --> 00:02:33.000]   man there's um there's such a like for some reason such a negative connotation of being like a baby
[00:02:33.000 --> 00:02:39.000]   mama like whether the relationship you were in was super like healthy and good and you had a kid
[00:02:39.000 --> 00:02:42.520]   and you brought a kid into the world and it was whatever for some reason people always take that
[00:02:42.520 --> 00:02:49.160]   and run with it yeah and a narrative is painted that's so negative sometimes so how do you guys feel
[00:02:49.160 --> 00:02:55.000]   about that and why do you think that is i mean i i i've felt for you just seeing like some of the stuff
[00:02:55.000 --> 00:02:58.520]   you've gone through comments wise and i haven't known you as long but i'm sure it's similar like
[00:02:58.520 --> 00:03:03.640]   why what do you think that negative connotation comes from and speak on that a little bit i feel
