
[00:00:00.320 --> 00:00:08.540]   I recently stumbled across a fascinating 2024 essay written by a Norwegian psychology professor.
[00:00:08.540 --> 00:00:12.680]   In this essay he talks about how he was asked to teach a course about intelligence and he
[00:00:12.680 --> 00:00:19.580]   was excited about this because he used to teach that class a lot but hadn't recently.
[00:00:19.580 --> 00:00:23.200]   So he thought what he would do is he would open this class the way he always had before
[00:00:23.200 --> 00:00:30.140]   by talking about the so-called Flynn Effect which is this observation originally made by James
[00:00:30.140 --> 00:00:39.540]   Flynn that IQs worldwide have been rising since roughly the post-World War II period.
[00:00:39.540 --> 00:00:43.380]   So here's what the professor wrote in his essay, "The Flynn Effect has been rising steadily
[00:00:43.380 --> 00:00:49.420]   for so long that I thought I'd bring an updated graph, I'd update a graph to 2024 numbers because
[00:00:49.420 --> 00:00:52.820]   it's always fun to tell students that their generation is the smartest people who would
[00:00:52.820 --> 00:00:53.820]   ever live.
[00:00:53.820 --> 00:01:00.200]   But then he added those new numbers to his old chart of rising IQs and was floored by what
[00:01:00.200 --> 00:01:02.460]   he discovered.
[00:01:02.460 --> 00:01:04.460]   IQs weren't going up anymore.
[00:01:04.460 --> 00:01:11.820]   And not only had IQ increases slowed down, in recent years IQ scores had begun to decrease.
[00:01:11.820 --> 00:01:16.880]   His students were not the smartest generation to have ever lived, they were getting dumber.
[00:01:16.880 --> 00:01:21.000]   Today I want to talk about this so-called reverse Flynn Effect.
[00:01:21.000 --> 00:01:25.220]   There's some convincing arguments for why this is happening and I want to talk about these,
[00:01:25.220 --> 00:01:29.480]   but my main purpose is to then introduce an additional factor that I think is getting overlooked.
[00:01:29.480 --> 00:01:35.380]   But once we recognize this additional factor, it will give you some compelling opportunities
[00:01:35.380 --> 00:01:39.260]   for getting ahead in an increasingly stupid world.
[00:01:39.260 --> 00:01:42.380]   I'm Cal Newport, and this is Deep Questions.
[00:01:42.380 --> 00:02:00.000]   Today's episode, why are we getting dumber, and what you should do about it?
[00:02:00.000 --> 00:02:08.380]   All right, let's start by trying to verify this idea that IQ scores are actually now going down.
[00:02:08.380 --> 00:02:16.600]   There have been multiple different studies that have gathered information on IQ in multiple different ways that seem to be showing something similar.
[00:02:16.600 --> 00:02:28.860]   They all show somewhere in the roughly 2010s, usually somewhere between 2006 and 2012, we begin to see the measured IQs take a turn and begin decreasing.
[00:02:28.860 --> 00:02:33.820]   So I want to load up on the screen here for those who are watching instead of just listening.
[00:02:33.820 --> 00:02:40.040]   One of the better studies I could find, this is a chart I'm putting on the screen here, that came out of a 2023 paper.
