
[00:00:00.000 --> 00:00:19.040]   Hello everyone, there's a lot of interesting talks so thank you for being here. My name is Hubert,
[00:00:19.040 --> 00:00:26.560]   I work for Pharma Novartis. On a daily basis I work on designing of small molecules with
[00:00:26.560 --> 00:00:33.920]   generative AI. So designing small graphs which would try to fix our diseases, cure.
[00:00:33.920 --> 00:00:40.960]   But today I would like to talk about scientific reasoning, scientific discoveries,
[00:00:40.960 --> 00:00:46.320]   specifically how to use LLMs for that. And this is a joint work with my colleague Derek Lowe,
[00:00:46.320 --> 00:00:50.720]   who is a medicinal chemist. You might know him if you are interested in direct design.
[00:00:50.720 --> 00:00:56.080]   So today I'm going to talk about a few things, right? Probably I'm going to leave you with more
[00:00:56.080 --> 00:01:00.960]   questions than responses, more problems than solutions, but I think it's worthwhile.
[00:01:00.960 --> 00:01:07.440]   So first I'm going to show you an interesting paradox in biology which led to a Nobel Prize
[00:01:07.440 --> 00:01:13.760]   discovery. Then I'm going to be talking about reasoning with rags. And you've seen many different
[00:01:13.760 --> 00:01:19.680]   themes of rags and agentic rags during this conference, so I think it's fitting really nicely
[00:01:19.680 --> 00:01:28.240]   to all of the other topics. Scientific discovery framework which is how we can really build something,
[00:01:28.240 --> 00:01:33.600]   how we can build the system or rags specifically, which would help us in those scientific discoveries.
[00:01:33.600 --> 00:01:38.720]   And in the end I'll show you a few examples of the experiments.
[00:01:38.720 --> 00:01:50.480]   So back in 1990s, early 90s, scientists were trying to improve the color of the flowers,
[00:01:50.480 --> 00:01:54.240]   petunia flowers. You know, this is what you do when you're a scientist. So they were trying to
[00:01:54.240 --> 00:02:01.200]   overexpress the specific gene. So they wanted to get the color stronger. But what they get,
[00:02:01.920 --> 00:02:06.320]   they get the color flipped, which was really surprising. Nobody really knew what was happening
[00:02:06.320 --> 00:02:13.120]   and why was this happening, right? And this kind of results they were getting, biologists were getting,
[00:02:13.120 --> 00:02:16.720]   from different subdomains of biology. I'm not going to get into the details. I'm not a biologist,
[00:02:16.720 --> 00:02:22.240]   I'm a computer scientist, so I'm going to save you all of that. But the interesting thing here is that
[00:02:22.240 --> 00:02:29.680]   there were three different set of results, set of experiments, from different subdomains, even with
[00:02:29.680 --> 00:02:35.040]   different names. Everybody knew it was related to, something was messing with genes, but nobody knew why,
[00:02:35.040 --> 00:02:40.640]   right? So these three things, only after eight years, more or less,
[00:02:41.600 --> 00:02:49.120]   has been resolved, these three phenomena. And this is what led to Nobel Prize in biology, right,
[00:02:49.120 --> 00:02:59.600]   in medicine. And so the question is, can we really use LLMs to speed this up, right? It took eight years.
[00:02:59.600 --> 00:03:05.680]   There might be something in literature which could maybe give a hint of how we can go faster, right? And
[00:03:05.680 --> 00:03:10.720]   the question is, what are the underlying causes, or what might be the underlying causes of these three
[00:03:10.720 --> 00:03:15.600]   phenomena, right? And now you're all thinking, okay, let's run the RAC, let's ask the question. Probably
[00:03:15.600 --> 00:03:23.760]   it's going to get it quite quickly, right? Let's pause for a second and try to think how we can set this up
[00:03:23.760 --> 00:03:31.520]   and try to experiment. But before it, okay, we all know what RAC is, naive RAC is. We have a question,
[00:03:31.520 --> 00:03:37.600]   we process the question, we process previously before the data, we represent both of them in a
[00:03:37.600 --> 00:03:43.680]   given latent space, we do some kind of retrieval over the embeddings, and you get the response. And
[00:03:43.680 --> 00:03:50.960]   there is a lot of different tricks. I wanted to show you just a bunch of them, because these tricks,
[00:03:50.960 --> 00:03:58.400]   like height, for example, or ranking, or document indexing, are things relating to different pieces
[00:03:58.400 --> 00:04:03.440]   of RAC pipeline. And they are all for different purposes, slightly different purposes, right?
[00:04:03.440 --> 00:04:07.840]   They might try to try to fix the problem of matching between the question and answer,
[00:04:07.840 --> 00:04:14.320]   they might try to fix the problem of the right retrieval of the top documents or top chunks,
[00:04:14.320 --> 00:04:23.120]   and so on. But the problem is, if LLMs, and this is really interesting paper, if LLMs, and we know that,
[00:04:23.120 --> 00:04:31.600]   cannot respond a little bit more catchy questions, right? A little bit more convoluted questions,
[00:04:31.600 --> 00:04:37.200]   how we can expect that LLMs would understand the question, and then on top of that,
[00:04:38.320 --> 00:04:44.240]   give us the right response with the RAC, right? So we are trying to run before we crawl.
[00:04:44.240 --> 00:04:55.600]   So, I was thinking about it, and when you look at the literature, the papers, and the solutions during
[00:04:55.600 --> 00:05:02.320]   this conference, you're going to realize there are themes kind of repeatedly referring to something which
[00:05:02.320 --> 00:05:09.040]   is happening before the retrieval. And one example of reasoning before the retrieval
[00:05:09.040 --> 00:05:17.680]   is routing. Routing, which you have in iterating flows, is really the idea of doing something with
[00:05:17.680 --> 00:05:22.960]   the question, because we cannot throw it at the embeddings and just get the response, right? So,
[00:05:22.960 --> 00:05:32.400]   I'm naming it reasoning for a purpose, and you're going to understand it in a few slides, right? So,
[00:05:32.400 --> 00:05:35.920]   you need to understand a little bit more. We need to understand a little bit more what's the question
[00:05:35.920 --> 00:05:41.120]   about, right? And on the other hand, not only with the question, because we also try to
[00:05:42.880 --> 00:05:50.960]   do something with the data, right? So, graph RAC or a graph reader, very interesting papers,
[00:05:50.960 --> 00:05:56.080]   if you look at them, you're going to see that they are trying to represent the knowledge
[00:05:56.080 --> 00:06:02.240]   from these documents in a little bit different way, specifically with graphs. You might use different
[00:06:02.240 --> 00:06:07.440]   representations in many different ways, but the point is we are doing something before the retrieval,
[00:06:07.440 --> 00:06:15.680]   which really is a reasoning to deal with the more semantically complex question. The reasoning after
[00:06:15.680 --> 00:06:22.640]   the retrieval usually is done by delegated to LLM, right? Because this is all about LLMs, but that
[00:06:22.640 --> 00:06:34.320]   doesn't have to be the case. So, the point here really is that between more convoluted the semantics of
[00:06:34.320 --> 00:06:42.000]   the question, the harder it's going to be for your standard RAC without those reasoning steps. So,
[00:06:42.000 --> 00:06:46.400]   you probably want to try to add these reasoning steps before it, and I'm going to show you some
[00:06:46.400 --> 00:06:53.920]   experiments with that. And small, by the way, is that, as I was saying, I work on a little bit different
[00:06:53.920 --> 00:07:02.080]   flavor of AI, right? Which is generative, but for graphs. So, kind of old style, encoder, decoder,
[00:07:02.080 --> 00:07:09.600]   values, now you have a latent space, and you navigate that. So, when I saw this thing which I draw,
[00:07:09.600 --> 00:07:18.720]   which is reasoning, embedding, retrieval, and then again reasoning, I realized that this is very similar
[00:07:18.720 --> 00:07:25.760]   to what we do in, it's very well-known pipeline in chemistry, where you take a data set, which in
