
[00:00:00.000 --> 00:00:04.000]   (music)
[00:00:04.000 --> 00:00:10.000]   There's much to learn from 18th century pastor and hymn writer John Newton.
[00:00:10.000 --> 00:00:16.000]   Newton's autobiography was a best-selling hit in his day, and we still sing his hymns today.
[00:00:16.000 --> 00:00:22.000]   His whole life is a testament to God's sovereign grace in saving a wretched sinner,
[00:00:22.000 --> 00:00:27.000]   a story captured well in his most famous hymn, Amazing Grace.
[00:00:27.000 --> 00:00:30.000]   And we celebrate John Newton's birthday today.
[00:00:30.000 --> 00:00:35.000]   So today has me thinking about him, his hymns, and his living legacy.
[00:00:35.000 --> 00:00:37.000]   It's a rich legacy he left behind.
[00:00:37.000 --> 00:00:41.000]   I was honored to write a whole book on his pastoral counsel,
[00:00:41.000 --> 00:00:48.000]   and that really gave me the chance to soak in his pastoral letters for about three years.
[00:00:48.000 --> 00:00:54.000]   He wrote amazing letters to people who were in need and needing answers,
[00:00:54.000 --> 00:00:57.000]   something very reminiscent to this podcast.
[00:00:57.000 --> 00:01:02.000]   And Pastor John has a wonderful biographical message looking at the life of Newton.
[00:01:02.000 --> 00:01:06.000]   It's titled, "John Newton, the Tough Roots of His Habitual Tenderness."
[00:01:06.000 --> 00:01:10.000]   And particularly, Newton has a lot to teach us on the topic of controversy
[00:01:10.000 --> 00:01:14.000]   and how to argue like a Calvinist.
[00:01:14.000 --> 00:01:17.000]   Here's Pastor John in that 2001 biographical message,
[00:01:17.000 --> 00:01:22.000]   talking about John Newton's approach to controversy and speaking to a room of pastors.
[00:01:22.000 --> 00:01:24.000]   Here's what he said.
[00:01:24.000 --> 00:01:29.000]   Now maybe the most illuminating way to get at this man's pattern of tenderness
[00:01:29.000 --> 00:01:33.000]   is to talk about the way he handled his Calvinism and his doctrine
[00:01:33.000 --> 00:01:36.000]   and controversies of his day and so on.
[00:01:36.000 --> 00:01:41.000]   This is something I'm very, very interested in for us and for myself in particular.
[00:01:41.000 --> 00:01:49.000]   At this point, we're going to see the root bearing fruit in tenderness.
[00:01:49.000 --> 00:01:54.000]   The root of truth bearing fruit in tenderness called love.
[00:01:54.000 --> 00:02:00.000]   I think his patience and his perception guided him between a doctrinaire intellectualism over here
[00:02:00.000 --> 00:02:07.000]   and a doctrinal indifference and carelessness over here.
[00:02:07.000 --> 00:02:13.000]   So let's talk for a minute about his patience, tenderness as it relates to his doctrine.
[00:02:13.000 --> 00:02:15.000]   Here's what he says first.
[00:02:15.000 --> 00:02:19.000]   A lot of people ask me, I've been here 20 years now, so I'm starting to feel old
[00:02:19.000 --> 00:02:23.000]   and people are starting to treat me that way.
[00:02:23.000 --> 00:02:32.000]   And so I get asked a lot about what did you do at this point, at this point, at this point, this, this, this.
[00:02:32.000 --> 00:02:38.000]   He said, "I have been 30 years forming my own views.
[00:02:38.000 --> 00:02:43.000]   And in the course of this time, some of my hills have sunken, some of my valleys have risen.
[00:02:43.000 --> 00:02:50.000]   But how unreasonable within me to expect all this should take place in another person
[00:02:50.000 --> 00:02:53.000]   and that in a course of a year or two.
[00:02:53.000 --> 00:02:59.000]   I mean, some of you have been on your way theologically for 20, 30, 40 years
[00:02:59.000 --> 00:03:03.000]   and you might have a thing or two figured out.
[00:03:03.000 --> 00:03:12.000]   And you start preaching and teaching as though this class should have fixed the atonement for these people.
[00:03:12.000 --> 00:03:21.000]   "Predestination, we got this now. You've been to my classes."
[00:03:21.000 --> 00:03:26.000]   And it took you 20 years to settle in on where you are.
[00:03:26.000 --> 00:03:34.000]   So he's calling for us with tenderness and patience to realize that that's the case.
[00:03:34.000 --> 00:03:42.000]   It's not going to happen for our people any faster than it did for us and for some slower.
[00:03:42.000 --> 00:03:51.000]   Yes, he had a passion for propagating the truth, the whole reformed vision of God as he saw it.
