
[00:00:00.000 --> 00:00:04.320]   student nova it's an accredited private school everything from foreign languages to
[00:00:04.320 --> 00:00:09.040]   we're teaching piano but through these things called melodica she started to
[00:00:09.040 --> 00:00:15.840]   ask a lot more about christianity and like why do you do what you do we go to our first date and
[00:00:15.840 --> 00:00:26.880]   he's like in a soon time i'm like feeling really confident all right hello and welcome to the
[00:00:26.880 --> 00:00:31.920]   official unofficial ax2 network podcast we are launching lifelong kingdom workers from every
[00:00:31.920 --> 00:00:36.560]   college town my name is steven i'm isaiah and today we are with you guys want to introduce yourselves
[00:00:36.560 --> 00:00:43.440]   yeah and uh why don't you guys introduce yourselves real quick um just uh graduating class who are some
[00:00:43.440 --> 00:00:49.440]   of your peers around our network people you've ministered to and maybe just like your history of
[00:00:49.440 --> 00:00:54.000]   like where you first met or like where you were at first and then where did you move to and all that
[00:00:54.000 --> 00:01:00.320]   kind of a little bit of just overview dude yeah background okay my name is uh richard and well
[00:01:00.320 --> 00:01:10.240]   let's see class of 2002 so my peers are mike king here in berkeley and then angel and richard tjen out
[00:01:10.240 --> 00:01:18.000]   on the east coast southeast and then in the midwest south it's andrew iskandar out in madison wisconsin and
[00:01:18.000 --> 00:01:25.760]   and kevin carabian down in texas and then a few other peers here wilson what is your uh peer class known
[00:01:25.760 --> 00:01:34.640]   for uh do you guys have a probably highest gpa geeks geeks all stars um of that era you know nowadays
[00:01:34.640 --> 00:01:41.760]   you know maybe calvin's class or brian mal's class yeah they're pretty up there but yeah yeah the original
[00:01:41.760 --> 00:01:50.080]   east geeks yeah okay cool yeah i'm genie i'm class of 04 um my peers are like ilju sarah song here judy
[00:01:50.080 --> 00:01:57.360]   andrea i'm tiffany betty sophia um leanne here so yeah we've been here for quite a bit
[00:01:57.360 --> 00:02:04.000]   and uh before um coming to the fitlet program we were in berkeley for about 10 years and then went to
[00:02:04.000 --> 00:02:11.040]   riverside and then in the middle of covid we started apu and then slowly transitioned to pomona so
[00:02:11.040 --> 00:02:15.760]   we were in pomona for three years and then moved up here got it so fitlet stands for full-time leads
[00:02:15.760 --> 00:02:19.840]   and training and that's actually what we wanted to talk to you guys a lot about because you guys signed
[00:02:19.840 --> 00:02:24.320]   up for this one-year program to get trained up as full-time leads at our church and that a lot of
[00:02:24.320 --> 00:02:27.520]   people are like it's just like what does that entail and what do you guys do all day and stuff like
[00:02:27.520 --> 00:02:31.360]   that you know but before we get there just to get you guys just get to know you guys a little bit more
[00:02:31.360 --> 00:02:35.360]   um maybe you guys can just share how'd you start going to our church how'd you become christian what
[00:02:35.360 --> 00:02:41.440]   was that journey like for you yeah so yeah i started coming because uh one of my high school friends
[00:02:41.440 --> 00:02:47.040]   older brothers uh was part of our group back then he was a fifth year senior he gave me a new student
[00:02:47.040 --> 00:02:52.560]   welcome night flyer and so i did i went around to different clubs and i came to our new student welcome
[00:02:52.560 --> 00:02:58.800]   night i was 20 minutes late um but i got in time i got there just in time for the mask skit the original
[00:02:58.800 --> 00:03:04.560]   mass skit and i was like wow this is actually well done and this is a christian group amazing
[00:03:04.560 --> 00:03:11.760]   um and it was like really funny and and and i thought profound and so um i was like wow uh that
[00:03:11.760 --> 00:03:16.480]   was good did you go to church i grew up going to church yeah and so i was kind of looking for a
[00:03:16.480 --> 00:03:23.680]   church halfway you know um and uh i stumbled upon our group and then um we had kli burger night which
[00:03:23.680 --> 00:03:28.400]   was our sport what our sports nights were called back then it's maxwell it was it's now called
[00:03:28.400 --> 00:03:34.080]   maxwell family deal night but now it's called kli burger night maxwell i had a lot of fun so yeah
[00:03:34.080 --> 00:03:39.920]   that's how i first came to our church yeah so i didn't grow up going to church um but end of my
[00:03:39.920 --> 00:03:45.760]   senior year my aunt died from cancer i was kind of asking questions about life and um things like
[00:03:45.760 --> 00:03:51.920]   that i kind of hit a low because senior year you know you like that was like kind of you know i was
[00:03:51.920 --> 00:03:56.640]   president of a few clubs i got a lot of awards and things like that but i also saw my sinfulness
[00:03:56.640 --> 00:04:02.320]   through different choices that i had made that i regretted um so i actually started going to church
[00:04:02.320 --> 00:04:07.840]   my senior year with a friend yeah high school in high school yeah i went twice i mean by started going
[00:04:07.840 --> 00:04:14.400]   i went twice and uh there was a low point where i went to church by myself just this little white
[00:04:14.400 --> 00:04:20.480]   steeple church um and i saw that it started at 11 it was like 10 55 so i just stuck in there and that
[00:04:20.480 --> 00:04:26.480]   pastor preached on the prodigal son and i thought you know if god is like that like that father then i
[00:04:26.480 --> 00:04:33.360]   want to know who he is so coming into college that was my mindset i was like i gotta i want to learn about
[00:04:33.360 --> 00:04:38.240]   this god you know so actually in high school my non-christian friends bought me a bible because
[00:04:38.240 --> 00:04:43.920]   we were talking about all this essential stuff yeah they're like you know we heard that people go to
[00:04:43.920 --> 00:04:48.960]   the bible when you have these kind of questions so i tried reading it and like open it up it was like
[00:04:48.960 --> 00:04:54.160]   leviticus or something like i need some help right so coming into college i was looking at christian
