
[00:00:00.000 --> 00:00:04.000]   When you're in winter's favorite town,
[00:00:04.000 --> 00:00:08.000]   the snow-covered mountains surround you,
[00:00:08.000 --> 00:00:12.000]   a historic main street charms you,
[00:00:12.000 --> 00:00:16.000]   and every day brings a new adventure.
[00:00:16.000 --> 00:00:24.000]   Welcome to Park City, Utah. Naturally, winter's favorite town.
[00:00:24.000 --> 00:00:28.000]   [sigh]
[00:00:28.000 --> 00:00:40.000]   Welcome to Radical Personal Finance, a show dedicated to providing you with the knowledge, skills, insight, and encouragement you need to live a rich and meaningful life now, while building a plan for financial freedom in 10 years or less.
[00:00:40.000 --> 00:00:49.000]   My name is Joshua Sheets. I am your host today on the show, broadcasting to you from the wonderful little Central American nation of Costa Rica.
[00:00:49.000 --> 00:00:56.000]   Or as the Canadians would say, I guess, Costa Rica. Or as the Costa Ricans themselves would probably say, Costa Rica.
[00:00:56.000 --> 00:01:08.000]   And really glad to be talking to you today because I want to share with you some ideas around extended travel, extended family travel, or nomadism.
[00:01:08.000 --> 00:01:15.000]   And I think you're going to enjoy today's show and the many shows that will be coming in days to come on this topic.
[00:01:15.000 --> 00:01:22.000]   Because not only is this something that I have, as is my want, researched to death,
[00:01:22.000 --> 00:01:32.000]   it's also something that I have done and have significant experience in doing, probably from a more unique perspective than many people.
[00:01:32.000 --> 00:01:37.000]   My wife and I travel with four young children, which is not particularly common.
[00:01:37.000 --> 00:01:46.000]   And it does bring with it some unique challenges. I won't shy away from sharing with you about those challenges and some proposed solutions.
[00:01:46.000 --> 00:01:54.000]   But it's something that I do really enjoy. And at this point in time, we have, I guess, almost three years of nomadism.
[00:01:54.000 --> 00:02:02.000]   And that nomadism has taken different forms along the way. But I've learned lessons at each stage that I want to share with you.
[00:02:02.000 --> 00:02:12.000]   I will not shrink from talking about the difficulties of this particular lifestyle. I'll share them, try to share them quite clearly.
[00:02:12.000 --> 00:02:19.000]   There's often a temptation when you're talking about something that you do to make it sound just awesome all the time.
[00:02:19.000 --> 00:02:27.000]   Right? Oh, how is the new job? Oh, it's fantastic. When in reality, you're sitting there thinking, this is probably not the best for me.
[00:02:27.000 --> 00:02:35.000]   We all want to talk positively about what we do. And I'm no different. I want to talk positively about what we're doing.
[00:02:35.000 --> 00:02:44.000]   But I also want to share with you very realistically the good things and the difficult things so that you can understand if it's right for you.
[00:02:44.000 --> 00:02:53.000]   We are currently nomads. I don't think we'll be nomads forever. And to me, this is where I want to start.
[00:02:53.000 --> 00:03:07.000]   I want to say that when you think about moving around and you think about traveling, I think you will go through different phases in your lifestyle expectations and in the way that you want to live.
[00:03:07.000 --> 00:03:18.000]   And I think you should expect that. I'm not quite sure why travel is as attractive to many people as it seems to be.
[00:03:18.000 --> 00:03:26.000]   For years in my work as a professional financial advisor, I would ask people about their goals and dreams for retirement.
[00:03:26.000 --> 00:03:38.000]   And if you'll go out and survey a dozen of your friends and ask them what they would like to do in retirement, the majority, if not the vast majority, will say, oh, we want to travel.
[00:03:38.000 --> 00:03:45.000]   We want to travel. This is a very common aspiration. I don't know if it's always been this way.
[00:03:45.000 --> 00:03:53.000]   Throughout most of human history, humans have not traveled far away from their family, friends, loved ones, and local tribe.
[00:03:53.000 --> 00:04:05.000]   That's a fairly new phenomenon. However, it is a fairly reliable phenomenon that as cultures around the world are raised from poverty to wealth,
[00:04:05.000 --> 00:04:12.000]   one of the things that many people choose to spend their excess money on is travel.
[00:04:12.000 --> 00:04:21.000]   And it's something that many of us love to wax eloquent about how important it is to us and how much we've learned from it.
[00:04:21.000 --> 00:04:29.000]   And it's quite common in the places that you and I are probably from that we know many people who just really love to travel and they just do it all the time.
[00:04:29.000 --> 00:04:40.000]   I was reflecting during a difficult day of travel on why is this? It's a lot of work. Travel is a lot of work. Why is it that we like it so much?
[00:04:40.000 --> 00:04:46.000]   And yet, while it's difficult, I still like it. I choose to continue doing what we're doing.
[00:04:46.000 --> 00:04:58.000]   And the more I do it, the more I realize the things that are difficult about it, and I fine tune the way that I personally desire to live based upon the new information, the new learnings.
[00:04:58.000 --> 00:05:05.000]   But yet, I still desire, I still have this enjoyment of moving around, of seeing new things, seeing new places.
[00:05:05.000 --> 00:05:11.000]   And I know that I'm certainly not alone. We live right now in a very unique moment.
[00:05:11.000 --> 00:05:27.000]   Right now, of course, being May 19, 2021. This unique moment is one in which travel is more accessible to more people than at any point in human history.
[00:05:27.000 --> 00:05:33.000]   I have often, when talking about travel, emphasized the fact that the mode of travel does not matter.
[00:05:33.000 --> 00:05:40.000]   If you want to travel, you walk out your front door and you turn left or right and you start walking and you are now technically traveling.
[00:05:40.000 --> 00:05:47.000]   Anybody can travel. Anybody can walk out their front door, turn left or right and start traveling.
[00:05:47.000 --> 00:05:59.000]   And I've often wondered what it would be like to do more of that kind of slow travel. Not slow travel in the sense of months on the road, but slow travel as in slowly moving across the planet.
[00:05:59.000 --> 00:06:04.000]   There are people out there who've done it. They walk across countries, across continents.
[00:06:04.000 --> 00:06:08.000]   Some people ride bicycles across countries or continents or around the world.
[00:06:08.000 --> 00:06:12.000]   And I think those things are neat for those who enjoy them.
[00:06:12.000 --> 00:06:19.000]   So travel is accessible to anybody who wants to. But we live in a time in which travel is widespread.
[00:06:19.000 --> 00:06:24.000]   Far-flung travel is more accessible than it's ever been in human history.
[00:06:24.000 --> 00:06:32.000]   We are in what I can only classify as a golden age of air transportation.
[00:06:32.000 --> 00:06:41.000]   I was just giving an interview a few days ago to a journalist who was writing a story on people who were expatriating and digital nomads, etc.
[00:06:41.000 --> 00:06:51.000]   And in that interview, I was reflecting on and emphasizing how the way that I live now was simply not possible 15 years ago.
[00:06:51.000 --> 00:07:02.000]   It was not possible. And yet today it is eminently possible. It's eminently achievable by virtually any person who wants to do it.
[00:07:02.000 --> 00:07:06.000]   And that's a dramatic, it's a stunning thing to realize.
[00:07:06.000 --> 00:07:11.000]   And there are a number of factors that I want to talk to you because it's important that once you identify that these factors exist,
[00:07:11.000 --> 00:07:18.000]   you will understand how accessible this kind of thing really is if you want it.
[00:07:18.000 --> 00:07:22.000]   So let's talk about some of the factors that influence the modern-day travel movement.
[00:07:22.000 --> 00:07:28.000]   The first thing is certainly a massive plummeting in the cost of transportation.
[00:07:28.000 --> 00:07:33.000]   Truly, air transportation has been completely revolutionized.
[00:07:33.000 --> 00:07:39.000]   I often look at magazine articles and ads for – I like old ads.
[00:07:39.000 --> 00:07:45.000]   And so I look at an ad from the 1950s for Pan Am or something like that.
[00:07:45.000 --> 00:07:50.000]   And you see these ads from the 1950s and they just look awesome to me, right?
[00:07:50.000 --> 00:07:58.000]   There's a sharply dressed couple, husband in a suit, wife in a beautiful dress, sitting in their seats on their Pan Am flight,
[00:07:58.000 --> 00:08:06.000]   being served roast beef, fresh roast beef and fresh wine by the stewardess who looks just fantastic in her nice dress.
[00:08:06.000 --> 00:08:15.000]   And you think, "Wow, wouldn't it have been awesome to live in that golden age of travel where I could be treated like a king and a queen while I jet around the world?"
[00:08:15.000 --> 00:08:17.000]   It was probably pretty cool.
[00:08:17.000 --> 00:08:22.000]   But there's a reason why the guy was dressed in a fancy suit and the girl was dressed in a fancy dress,
[00:08:22.000 --> 00:08:25.000]   because they were upper-class rich people who could afford to do it.
[00:08:25.000 --> 00:08:29.000]   The common guy or gal could not afford in those days to travel.
[00:08:29.000 --> 00:08:32.000]   But now the common guy or gal can.
[00:08:32.000 --> 00:08:37.000]   The common guy or gal can pretty much travel anywhere in the world,
[00:08:37.000 --> 00:08:45.000]   especially now while the airline industry has been so buffeted by the worldwide pandemic that we've all lived through over the last year and a half.
[00:08:45.000 --> 00:08:48.000]   So this is a remarkable time in human history.
[00:08:48.000 --> 00:08:55.000]   You can fly between most continents if you are flexible for a few hundred dollars.
[00:08:55.000 --> 00:08:57.000]   I'm right here in Costa Rica at the moment.
[00:08:57.000 --> 00:09:00.000]   Costa Rica is an amazingly well-connected tourist hub.
[00:09:00.000 --> 00:09:05.000]   You can regularly fly to Costa Rica from the United States for a couple hundred dollars.
[00:09:05.000 --> 00:09:08.000]   Costa Rica is well-served by the budget airlines.
[00:09:08.000 --> 00:09:11.000]   Spirit Airlines flies here.
[00:09:11.000 --> 00:09:12.000]   JetBlue flies here.
[00:09:12.000 --> 00:09:14.000]   Southwest flies here.
[00:09:14.000 --> 00:09:19.000]   It's well-served by some other budget carriers internationally.
[00:09:19.000 --> 00:09:23.000]   Wingo flies here from Colombia.
[00:09:23.000 --> 00:09:30.000]   Volaris flies here from Mexico and just from all over Central America.
[00:09:30.000 --> 00:09:35.000]   There are a number of vacation airlines that fly from Europe directly to Costa Rica.
[00:09:35.000 --> 00:09:42.000]   You can fly directly from Amsterdam, directly from Frankfurt, directly from Madrid.
[00:09:42.000 --> 00:09:45.000]   Those tickets are often priced a little bit higher.
[00:09:45.000 --> 00:09:49.000]   But you can get to Costa Rica from the United States for a couple hundred dollars round trip.
[00:09:49.000 --> 00:09:54.000]   You can get here from South America or from other places in Central America for a couple hundred dollars.
[00:09:54.000 --> 00:09:56.000]   It's really incredible.
[00:09:56.000 --> 00:09:59.000]   And it's like things just keep getting better.
[00:09:59.000 --> 00:10:06.000]   When you look at travel transportation trends all around the world, in my lifetime, it has just gotten better and better and better.
[00:10:06.000 --> 00:10:13.000]   JetBlue finally just finally started taking tickets for their long-anticipated service to Europe,
[00:10:13.000 --> 00:10:22.000]   which means that now you can fly from JetBlue directly to London for right now there's tickets for $300, $400, $500.
[00:10:22.000 --> 00:10:24.000]   And these aren't mistake fares.
[00:10:24.000 --> 00:10:27.000]   These are just standard tickets that they're selling, part of their introductory launch.
[00:10:27.000 --> 00:10:35.000]   But this is an amazing trend that an average person, a common person, can fly from the United States to London for a few hundred dollars.
[00:10:35.000 --> 00:10:38.000]   Once you're in London, of course, all of Europe is available to you.
[00:10:38.000 --> 00:10:43.000]   It left less than $50 on the budget airlines if you know how to pack lightly.
[00:10:43.000 --> 00:10:45.000]   It's just incredible.
[00:10:45.000 --> 00:10:51.000]   It's still – there's still, of course, many higher-priced places around the world.
[00:10:51.000 --> 00:10:53.000]   But I've been watching all through this pandemic.
[00:10:53.000 --> 00:11:00.000]   I watched flights from the United States to Japan for $300 a few months ago, a month or so ago.
[00:11:00.000 --> 00:11:07.000]   Just this incredible sale to Japan for 2021, 2020 – sorry, 2022 travel, late 2021, 2022 travel,
[00:11:07.000 --> 00:11:11.000]   when you anticipate that, of course, Japan would have opened their borders.
[00:11:11.000 --> 00:11:13.000]   It's just really incredible.
[00:11:13.000 --> 00:11:23.000]   I booked tickets from the United States to Europe in a couple of months for $165 one way.
[00:11:23.000 --> 00:11:27.000]   From the United States to Europe for $165 one way.
[00:11:27.000 --> 00:11:33.000]   We live in a time where it's just amazing connectedness.
[00:11:33.000 --> 00:11:42.000]   And so the average person can simply go and learn a little bit about booking decent-priced airfare and get on an airplane and go.
[00:11:42.000 --> 00:11:47.000]   The other thing that has completely transformed travel is the information age.
[00:11:47.000 --> 00:11:50.000]   Now, this is on a couple of different levels.
[00:11:50.000 --> 00:11:58.000]   First, you cannot overemphasize the tremendous impact of the smartphone.
[00:11:58.000 --> 00:12:01.000]   I was talking to this reporter and I said, "When did the iPhone come out?"
[00:12:01.000 --> 00:12:03.000]   I think it was 2007, right?
[00:12:03.000 --> 00:12:05.000]   2007 was 14 years ago from now.
[00:12:05.000 --> 00:12:07.000]   That was when the iPhone came out.
[00:12:07.000 --> 00:12:16.000]   What's interesting to me, being here in Costa Rica, is that I was in Costa Rica in college in 2005.
[00:12:16.000 --> 00:12:25.000]   When I flew to Costa Rica, I was pretty well fully disconnected from the United States.
[00:12:25.000 --> 00:12:30.000]   I got on an airplane in Miami, Florida, and I flew to San Jose, Costa Rica.
[00:12:30.000 --> 00:12:36.000]   I called my family maybe three times over the course of three or four semesters.
[00:12:36.000 --> 00:12:42.000]   Once a month or so, we of course could send emails back in the dinosaur age.
[00:12:42.000 --> 00:12:50.000]   From time to time, I did go to an internet cafe and I had a laptop and I would connect my laptop and send out a couple of emails.
[00:12:50.000 --> 00:12:53.000]   It wasn't like we were unreachable, but I was pretty well disconnected.
[00:12:53.000 --> 00:12:56.000]   I did not have a smartphone.
[00:12:56.000 --> 00:12:58.000]   I did not have a phone that I cooked.
[00:12:58.000 --> 00:13:02.000]   I didn't get cell phone service in Costa Rica or anywhere.
[00:13:02.000 --> 00:13:08.000]   I did have a laptop that I could go and use Wi-Fi and you'd do a Skype call, which was novel and innovative at that time.
[00:13:08.000 --> 00:13:10.000]   But I was not connected.
[00:13:10.000 --> 00:13:14.000]   I felt like I was a million miles away, even though of course I was a two-hour flight away.
[00:13:14.000 --> 00:13:17.000]   It wasn't that big of a deal, but I felt like I was a million miles away.
[00:13:17.000 --> 00:13:23.000]   That all changed from 2006, 2007, 2008 onward.
[00:13:23.000 --> 00:13:29.000]   Now, of course, the first smartphone was not the iPhone, but the iPhone was a stunning development.
[00:13:29.000 --> 00:13:33.000]   I signed up for Facebook in Costa Rica in 2005.
[00:13:33.000 --> 00:13:37.000]   I vividly remember I was at the Hotel Presidente in downtown San Jose, Costa Rica.
[00:13:37.000 --> 00:13:40.000]   I got an email from a friend of mine in high school.
[00:13:40.000 --> 00:13:43.000]   It was like, "Hey, check out this cool new thing that's only available to college students."
[00:13:43.000 --> 00:13:45.000]   They'd sent me an invitation because it was by invitation only.
[00:13:45.000 --> 00:13:46.000]   I clicked on there.
[00:13:46.000 --> 00:13:50.000]   I still remember the first message that I had with someone on Facebook.
[00:13:50.000 --> 00:13:51.000]   It was my friend.
[00:13:51.000 --> 00:13:54.000]   I won't say his name, but I still remember it.
[00:13:54.000 --> 00:14:00.000]   It just firmly imprinted on my mind that I distinctly signed up for Costa Rica.
[00:14:00.000 --> 00:14:02.000]   Sorry, I signed up in Costa Rica.
[00:14:02.000 --> 00:14:07.000]   My friends and family all signed up or my friends on that trip all signed up in Costa Rica.
[00:14:07.000 --> 00:14:10.000]   We did it to share pictures around of our travels together.
[00:14:10.000 --> 00:14:15.000]   That was the pivot point, was 2005 when all of a sudden now we were more connected.
[00:14:15.000 --> 00:14:19.000]   We were able to stay in touch more easily, and the things continued.
[00:14:19.000 --> 00:14:26.000]   Well, I remember a few years later, about 2009, I was back in Costa Rica in 2009 or so,
[00:14:26.000 --> 00:14:31.000]   and I remember that the world had completely shifted, had completely changed.
[00:14:31.000 --> 00:14:34.000]   Where now, of course, most of us had phones.
[00:14:34.000 --> 00:14:40.000]   We weren't traveling so much with the cell phone signal, but Wi-Fi was becoming more ubiquitous.
[00:14:40.000 --> 00:14:42.000]   You could sign on to Wi-Fi and you could be connected.
[00:14:42.000 --> 00:14:45.000]   Of course, we all had an app on our phone that would ask to connect.
[00:14:45.000 --> 00:14:47.000]   "Hey, here I am checking in in Costa Rica."
[00:14:47.000 --> 00:14:51.000]   I just thought, "Man, this doesn't feel so far away anymore."
[00:14:51.000 --> 00:14:56.000]   I went and I talked to the directors and teachers of the study abroad program that I had participated in,
[00:14:56.000 --> 00:14:58.000]   and I asked them, "Are things changing?"
[00:14:58.000 --> 00:15:01.000]   It was rather obvious that things were changing dramatically.
[00:15:01.000 --> 00:15:04.000]   Whereas since I was in Costa Rica in 2005 when people disconnected,
[00:15:04.000 --> 00:15:10.000]   now a student went abroad and that student was every bit as well connected to their friends and family back home as they were,
[00:15:10.000 --> 00:15:16.000]   and the teachers were struggling with how do we get the student to disengage from the United States
[00:15:16.000 --> 00:15:20.000]   and actually engage with what's happening here on the ground in Costa Rica.
[00:15:20.000 --> 00:15:22.000]   And things have only accelerated since then.
[00:15:22.000 --> 00:15:23.000]   What's accelerated?
[00:15:23.000 --> 00:15:25.000]   Well, of course, the smartphone.
[00:15:25.000 --> 00:15:27.000]   There's a whole revolution there.
[00:15:27.000 --> 00:15:30.000]   The smartphone has become ubiquitous for all of us,
[00:15:30.000 --> 00:15:38.000]   but the smartphone drove a tremendous embrace of Wi-Fi connections, of easily accessible Wi-Fi connections.
[00:15:38.000 --> 00:15:45.000]   So now you go virtually anywhere in the world and there is abundant connectivity for free on Wi-Fi signals.
[00:15:45.000 --> 00:15:48.000]   Five years ago, it was totally different than it is today.
[00:15:48.000 --> 00:15:53.000]   And then now we have more and more global phone carriers.
[00:15:53.000 --> 00:16:01.000]   And so you can easily have – I mean, for crying out loud, you have Google Fi with a couple dozen shekels per month,
[00:16:01.000 --> 00:16:05.000]   and you've got your Google Fi line that gives you global access.
[00:16:05.000 --> 00:16:12.000]   T-Mobile is probably the best carrier in the United States for people if they don't want to do Google Fi, 60 bucks a month.
[00:16:12.000 --> 00:16:16.000]   And you can have an unlimited plan that you can use all around the world, 60 bucks a month.
