
[00:00:00.000 --> 00:00:01.200]   That's good going.
[00:00:01.200 --> 00:00:03.840]   Lord, we're just so thankful for these moms and dads.
[00:00:03.840 --> 00:00:05.800]   Thanks that they're joining us tonight.
[00:00:05.800 --> 00:00:09.160]   And thanks that they're being consistent in coming to class
[00:00:09.160 --> 00:00:10.560]   and perfectly doing their homework.
[00:00:10.560 --> 00:00:12.480]   Lord, we pray that tonight's session
[00:00:12.480 --> 00:00:16.600]   would be of benefit to them and a blessing to them as well.
[00:00:16.600 --> 00:00:18.200]   We have a lot to cover tonight, Lord.
[00:00:18.200 --> 00:00:21.000]   So please prepare our hearts and minds for the information
[00:00:21.000 --> 00:00:24.200]   that we're about to share, that it might glorify you.
[00:00:24.200 --> 00:00:26.160]   Lord, we want to dedicate this class to you,
[00:00:26.160 --> 00:00:28.680]   as we always do, in your son's precious name.
[00:00:28.680 --> 00:00:29.320]   Amen.
[00:00:29.320 --> 00:00:30.000]   Amen.
[00:00:30.000 --> 00:00:31.800]   And before we get started, I just
[00:00:31.800 --> 00:00:34.520]   want to make a little announcement.
[00:00:34.520 --> 00:00:41.360]   We have decided not to use January 2024 for the beta
[00:00:41.360 --> 00:00:43.440]   class.
[00:00:43.440 --> 00:00:47.360]   So feel free to talk.
[00:00:47.360 --> 00:00:50.880]   And don't hold back, because your videos
[00:00:50.880 --> 00:00:52.360]   won't be going anywhere.
[00:00:52.360 --> 00:00:53.320]   Yeah.
[00:00:53.320 --> 00:00:54.080]   All right?
[00:00:54.080 --> 00:00:56.880]   And you can put your jammies back on if you want.
[00:00:57.280 --> 00:00:57.840]   And--
[00:00:57.840 --> 00:00:59.480]   [LAUGHTER]
[00:00:59.480 --> 00:01:01.200]   Comfy as you want to be.
[00:01:01.200 --> 00:01:03.680]   And as chatty as you want to be.
[00:01:03.680 --> 00:01:04.600]   Absolutely.
[00:01:04.600 --> 00:01:07.240]   And ask whatever questions you want to ask.
[00:01:07.240 --> 00:01:09.920]   Feel free to do that.
[00:01:09.920 --> 00:01:14.880]   We want to make sure that you guys get your time before this
[00:01:14.880 --> 00:01:16.440]   class comes to a close.
[00:01:16.440 --> 00:01:17.120]   Yeah.
[00:01:17.120 --> 00:01:18.480]   OK.
[00:01:18.480 --> 00:01:19.400]   See how it goes then.
[00:01:19.400 --> 00:01:22.680]   Anyway, we're on session 8, moving right along.
[00:01:22.680 --> 00:01:26.120]   Ages 0 to 5, we're going to talk about methods.
[00:01:26.120 --> 00:01:28.920]   The continuing concept is the erotic correction
[00:01:28.920 --> 00:01:32.200]   imparting wisdom.
[00:01:32.200 --> 00:01:35.840]   You know, in the early years, it's not an easy thing
[00:01:35.840 --> 00:01:38.000]   to discipline, obviously.
[00:01:38.000 --> 00:01:40.960]   And it's hard to even get our two-year-old's attention
[00:01:40.960 --> 00:01:45.360]   sometimes, as the chapter opens up and tells us that.
[00:01:45.360 --> 00:01:47.960]   How effective can formative discipline
[00:01:47.960 --> 00:01:51.680]   be with an 18-month-old, a two-year-old, a five-year-old?
[00:01:51.680 --> 00:01:54.560]   And some of you may have experienced some frustration
[00:01:54.560 --> 00:01:55.440]   in those areas.
[00:01:55.440 --> 00:01:59.600]   But even though your efforts are well-intended,
[00:01:59.600 --> 00:02:04.200]   and specifically, we're directed according to God's word
[00:02:04.200 --> 00:02:06.080]   and we're being obedient, but sometimes we
[00:02:06.080 --> 00:02:08.080]   kind of feel like those words are just
[00:02:08.080 --> 00:02:10.520]   bouncing off the walls.
[00:02:10.520 --> 00:02:15.000]   But again, our goal tonight is to kind of encourage you
[00:02:15.000 --> 00:02:19.480]   in all this and to let you know that your work is not--
[00:02:19.480 --> 00:02:20.200]   In vain.
[00:02:20.200 --> 00:02:22.120]   In vain, yeah, for sure.
[00:02:22.120 --> 00:02:25.520]   And that it will bear much fruit if you're patient
[00:02:25.520 --> 00:02:28.120]   and if you're consistent, right?
[00:02:28.120 --> 00:02:30.760]   One of the most important things that we have talked about
[00:02:30.760 --> 00:02:32.800]   before and we're going to emphasize again tonight
[00:02:32.800 --> 00:02:37.280]   is self-control leading towards more maturity.
[00:02:37.280 --> 00:02:39.960]   That is such an important concept for us
[00:02:39.960 --> 00:02:41.920]   to be able to grasp and to understand
[00:02:41.920 --> 00:02:44.680]   and to relay that to our children
[00:02:44.680 --> 00:02:47.880]   because it will go well with them in all things
[00:02:47.880 --> 00:02:51.040]   if they do gain that understanding of what
[00:02:51.040 --> 00:02:53.640]   self-control is and meaning the ability
[00:02:53.640 --> 00:02:56.840]   to say no to yourself, right?
[00:02:56.840 --> 00:03:00.200]   And this is not merely a concept.
[00:03:00.200 --> 00:03:05.560]   This is a biblical truth.
[00:03:05.560 --> 00:03:07.560]   It's a biblical discipline.
[00:03:07.560 --> 00:03:11.800]   And we are called by God to practice self-discipline
[00:03:11.800 --> 00:03:13.640]   in several verses.
