
[00:00:00.000 --> 00:00:01.000]   Hello, everybody.
[00:00:01.000 --> 00:00:02.680]   It's Sam from Financial Samurai.
[00:00:02.680 --> 00:00:07.240]   And in this episode, I want to talk about the mortgage market and specifically mortgage
[00:00:07.240 --> 00:00:09.580]   market abnormalities.
[00:00:09.580 --> 00:00:14.800]   The number one economic indicator or financial indicator I like to track is the 10-year bond
[00:00:14.800 --> 00:00:15.800]   yield.
[00:00:15.800 --> 00:00:18.200]   The 10-year bond yield tells you a lot of things.
[00:00:18.200 --> 00:00:22.280]   You can write books about what the 10-year bond yield is saying.
[00:00:22.280 --> 00:00:27.920]   And after the election results on November 7, we saw that the 10-year bond yield spiked
[00:00:27.920 --> 00:00:31.160]   higher to about 0.97%.
[00:00:31.160 --> 00:00:36.160]   But in actuality, the 10-year bond yield has been rising steadily from a bottom of around
[00:00:36.160 --> 00:00:44.540]   0.51% in early August to about 0.85% up until the election results.
[00:00:44.540 --> 00:00:48.940]   And concurrently, what's been happening is that the average 30-year mortgage rate has
[00:00:48.940 --> 00:00:53.600]   been going down while that 10-year bond yield had been going up.
[00:00:53.600 --> 00:00:58.240]   At first, I was thinking to myself, this must be a mortgage market anomaly.
[00:00:58.240 --> 00:00:59.680]   You know, there's a kink in the system.
[00:00:59.680 --> 00:01:01.760]   It'll right itself eventually.
[00:01:01.760 --> 00:01:06.600]   But after about three months of this disconnect, it's clear that something's going on with
[00:01:06.600 --> 00:01:08.960]   the 30-year fixed-rate mortgage.
[00:01:08.960 --> 00:01:10.820]   And we need to get to the bottom of it.
[00:01:10.820 --> 00:01:16.520]   The other mortgage market anomaly is that the average 15-year mortgage rate is way below
[00:01:16.520 --> 00:01:18.840]   the average 5.1 arm rate.
[00:01:18.840 --> 00:01:24.440]   We're talking 50 basis points or a half a percentage points lower than the 5.1 average
[00:01:24.440 --> 00:01:25.680]   rate.
[00:01:25.680 --> 00:01:31.880]   And this generally doesn't happen because longer-term duration loans charge higher rates.
[00:01:31.880 --> 00:01:37.600]   It's just like if your buddy were to ask you to borrow $20 and if he pays you back tomorrow,
[00:01:37.600 --> 00:01:39.240]   you won't charge him an interest rate.
[00:01:39.240 --> 00:01:44.900]   But if he says, I want to borrow $100,000, which you're probably not going to lend him
[00:01:44.900 --> 00:01:50.620]   over a 30-year period of time, you're certainly going to demand a higher rate because inflation
[00:01:50.620 --> 00:01:53.640]   is going to eat up the value of the dollar.
