
[00:00:00.000 --> 00:00:06.920]   [APPLAUSE]
[00:00:06.920 --> 00:00:10.320]   All righty, so I get to introduce myself today.
[00:00:10.320 --> 00:00:11.360]   So hello.
[00:00:11.360 --> 00:00:12.720]   I am Mike.
[00:00:12.720 --> 00:00:14.040]   I am a CPA.
[00:00:14.040 --> 00:00:16.280]   And let's just get started.
[00:00:16.280 --> 00:00:18.680]   So as you can see from our title here,
[00:00:18.680 --> 00:00:22.400]   this is going to be a deep dive on the topic of Roth conversions.
[00:00:22.400 --> 00:00:26.640]   But before we do that, before we really dive deep,
[00:00:26.640 --> 00:00:28.600]   I want to take just a brief moment to make sure
[00:00:28.600 --> 00:00:32.400]   that everyone here is on the same page about one
[00:00:32.400 --> 00:00:34.120]   fundamental piece of information.
[00:00:34.120 --> 00:00:37.480]   And that is, what is a Roth conversion?
[00:00:37.480 --> 00:00:41.480]   So a Roth conversion is when you move money
[00:00:41.480 --> 00:00:45.080]   from a tax-deferred account to a Roth account.
[00:00:45.080 --> 00:00:48.280]   So for instance, you could be moving money from a traditional IRA
[00:00:48.280 --> 00:00:49.800]   to a Roth IRA.
[00:00:49.800 --> 00:00:52.640]   And when you do that, the money that you move over--
[00:00:52.640 --> 00:00:54.280]   so the money that you convert--
[00:00:54.280 --> 00:00:56.840]   it's generally taxable as income in the year
[00:00:56.840 --> 00:00:58.040]   that you do the conversion.
[00:00:58.040 --> 00:01:00.280]   So that's what a conversion is.
[00:01:00.280 --> 00:01:01.920]   And there are three primary things
[00:01:01.920 --> 00:01:03.640]   that we're going to be talking about today
[00:01:03.640 --> 00:01:06.760]   that all fall under the Roth conversion umbrella.
[00:01:06.760 --> 00:01:09.240]   The first one is, what are the effects?
[00:01:09.240 --> 00:01:11.560]   What are the pros and cons of a Roth conversion?
[00:01:11.560 --> 00:01:13.760]   In other words, how do we decide whether or not
[00:01:13.760 --> 00:01:18.240]   it makes sense for you to do a conversion in any given year?
[00:01:18.240 --> 00:01:21.920]   Topic number two, what can we hope to achieve
[00:01:21.920 --> 00:01:23.920]   with a smart conversion plan?
[00:01:23.920 --> 00:01:25.640]   In other words, what are the metrics
[00:01:25.640 --> 00:01:27.560]   that we can realistically hope would be
[00:01:27.560 --> 00:01:29.680]   improved by doing conversions?
[00:01:29.680 --> 00:01:33.040]   And our third topic, which we're going to hit on more briefly,
[00:01:33.040 --> 00:01:36.160]   is, how does a Roth conversion plan
[00:01:36.160 --> 00:01:40.760]   fit into a broader overall retirement tax plan?
[00:01:40.760 --> 00:01:42.840]   So digging right in here with the effects of a Roth
[00:01:42.840 --> 00:01:47.120]   conversion, in most cases, conversions
[00:01:47.120 --> 00:01:49.180]   are going to have up to three major effects.
[00:01:49.180 --> 00:01:50.760]   And these are the three things that you
[00:01:50.760 --> 00:01:52.920]   want to be looking at in any given year
[00:01:52.920 --> 00:01:56.080]   when trying to determine whether it does or does not make sense
[00:01:56.080 --> 00:01:58.440]   for you to do a conversion.
[00:01:58.440 --> 00:02:01.520]   The first effect is that you will end up paying tax now
[00:02:01.520 --> 00:02:03.920]   instead of paying tax later.
[00:02:03.920 --> 00:02:05.840]   The second effect is that conversions
[00:02:05.840 --> 00:02:10.000]   will let you use taxable account dollars to essentially buy
[00:02:10.000 --> 00:02:12.600]   more Roth space.
[00:02:12.600 --> 00:02:14.520]   And the third effect is that Roth conversions
[00:02:14.520 --> 00:02:17.380]   will reduce your future required minimum distributions,
[00:02:17.380 --> 00:02:18.960]   your future RMDs.
[00:02:18.960 --> 00:02:23.360]   And that can reduce the future tax drag on your portfolio.
[00:02:23.360 --> 00:02:25.360]   And we're going to go through these one by one.
[00:02:25.360 --> 00:02:28.160]   So pay tax now instead of later.
