
[00:00:00.000 --> 00:00:01.000]   Hello, everybody.
[00:00:01.000 --> 00:00:03.260]   It's Sam from Financial Samurai.
[00:00:03.260 --> 00:00:05.900]   And in this episode, I want to talk about inflation.
[00:00:05.900 --> 00:00:10.180]   Because great news, the October inflation numbers
[00:00:10.180 --> 00:00:12.180]   came out on November 10th.
[00:00:12.180 --> 00:00:15.020]   And they came in below expectations.
[00:00:15.020 --> 00:00:19.060]   October consumer prices plus 0.4%
[00:00:19.060 --> 00:00:22.540]   versus consensus of plus 0.6%.
[00:00:22.540 --> 00:00:27.660]   October CPI, x food and energy, came in at plus 0.3%
[00:00:27.660 --> 00:00:31.660]   versus consensus of plus 0.5%.
[00:00:31.660 --> 00:00:34.460]   And then October consumer prices overall
[00:00:34.460 --> 00:00:37.900]   increased 7.7% from a year earlier.
[00:00:37.900 --> 00:00:43.060]   And core CPI was up 6.3% year over year.
[00:00:43.060 --> 00:00:46.820]   And what's pretty cool is that you heard a podcast episode
[00:00:46.820 --> 00:00:49.140]   just a couple episodes ago talking
[00:00:49.140 --> 00:00:52.700]   about the most bullish economic indicator yet.
[00:00:52.700 --> 00:00:55.460]   And that bullish indicator, as you recall,
[00:00:55.460 --> 00:01:00.660]   was a lower series I bond rate, lower by 2.7%.
[00:01:00.660 --> 00:01:05.420]   And the general thesis was inflation has clearly peaked.
[00:01:05.420 --> 00:01:07.820]   The government has shown its cards.
[00:01:07.820 --> 00:01:10.420]   And the upcoming inflation numbers
[00:01:10.420 --> 00:01:13.300]   reported in November, December, January, February,
[00:01:13.300 --> 00:01:17.660]   March will likely be overall below expectations.
[00:01:17.660 --> 00:01:21.820]   Or individual months will be below expectations.
[00:01:21.820 --> 00:01:23.380]   So right now, we're spot on.
[00:01:23.380 --> 00:01:26.860]   We've got October numbers coming in below expectations.
[00:01:26.860 --> 00:01:28.660]   And what's happening with the stock market?
[00:01:28.660 --> 00:01:31.100]   The stock market is up 4%.
[00:01:31.100 --> 00:01:34.580]   The NASDAQ is up over 5.5%.
[00:01:34.580 --> 00:01:37.660]   So clearly, investors like this print
[00:01:37.660 --> 00:01:41.220]   because it shows that inflation really is rolling over.
[00:01:41.220 --> 00:01:43.380]   And there's hope now that the Fed
[00:01:43.380 --> 00:01:47.620]   won't hike as aggressively in December, January, and February.
[00:01:47.620 --> 00:01:51.820]   I think it's really important to know that once inflation turns,
[00:01:51.820 --> 00:01:55.140]   it can turn down very quickly, just like how inflation turned
[00:01:55.140 --> 00:01:56.460]   up very quickly.
[00:01:56.460 --> 00:02:00.340]   And as a result, interest rates can also turn up and then also
[00:02:00.340 --> 00:02:01.940]   turn down very quickly.
[00:02:01.940 --> 00:02:07.060]   So a 10-year bond yield at 3.8%, that's a 30 basis point
[00:02:07.060 --> 00:02:08.340]   move in just one day.
[00:02:08.340 --> 00:02:09.220]   That's huge.
[00:02:09.220 --> 00:02:11.780]   That's like a two standard deviation move.
[00:02:11.780 --> 00:02:15.900]   So you will see mortgage rates concurrently, on average,
[00:02:15.900 --> 00:02:17.620]   go down about 30 basis points.
[00:02:17.620 --> 00:02:21.300]   So let's say 6.5% mortgage, you can now
[00:02:21.300 --> 00:02:23.300]   get it at 6.2%.
[00:02:23.300 --> 00:02:27.580]   And again, with the series I bond collapsing by 2.7%,
[00:02:27.580 --> 00:02:30.380]   and given the rate is for six months,
[00:02:30.380 --> 00:02:34.820]   I can very easily imagine where the average mortgage rate will
[00:02:34.820 --> 00:02:36.900]   be down between 2% to 3%.
[00:02:36.900 --> 00:02:40.380]   So in other words, the average 30-year fixed rate mortgage
[00:02:40.380 --> 00:02:44.940]   could decline to 4.5% to 5.5%.
[00:02:44.940 --> 00:02:47.740]   And the reason why is because everything
[00:02:47.740 --> 00:02:49.060]   is correlated in finance.
[00:02:49.060 --> 00:02:52.100]   Everything is correlated to a risk-free rate and the series
[00:02:52.100 --> 00:02:53.140]   I bond rate.
[00:02:53.140 --> 00:02:55.060]   It's not a great example of a risk-free rate,
[00:02:55.060 --> 00:02:57.700]   given there's a $10,000 limit per person,
[00:02:57.700 --> 00:03:00.860]   but it is a risk-free rate nonetheless.
[00:03:00.860 --> 00:03:04.580]   And the government has to be consistent with its offerings.
[00:03:04.580 --> 00:03:07.380]   It can't say, OK, the next six months,
[00:03:07.380 --> 00:03:10.660]   we're going to offer 6.7% on the series I bond,
[00:03:10.660 --> 00:03:15.060]   but inflation is still at 8%, because then people
[00:03:15.060 --> 00:03:18.820]   will be like, well, why bother investing in such a lower rate
[00:03:18.820 --> 00:03:23.220]   when before you were offering 9.6% on the series I bond?
[00:03:23.220 --> 00:03:26.980]   Everything is relative to the risk-free rate return.
[00:03:26.980 --> 00:03:29.420]   You've got to think about that as an investor.
[00:03:29.420 --> 00:03:33.940]   Another thing to consider is how come more PhD economists
[00:03:33.940 --> 00:03:36.620]   and highly paid Wall Street strategists
[00:03:36.620 --> 00:03:40.580]   didn't recognize upcoming inflation figures will likely
[00:03:40.580 --> 00:03:42.700]   come in below expectations?
[00:03:42.700 --> 00:03:44.700]   Expectations are the expectations.
[00:03:44.700 --> 00:03:47.940]   So how did these numbers come in below expectations?
[00:03:47.940 --> 00:03:48.940]   They get paid a lot.
[00:03:48.940 --> 00:03:52.260]   They spend 40-plus hours a week crunching the numbers,
[00:03:52.260 --> 00:03:54.340]   looking at the research, and so forth.
[00:03:54.340 --> 00:03:55.860]   So how did they miss that?
[00:03:55.860 --> 00:04:00.380]   Conversely, how does a tired, stay-at-home dad
[00:04:00.380 --> 00:04:03.220]   who hasn't worked in finance in over 10 years
[00:04:03.220 --> 00:04:04.860]   get the call correctly?
[00:04:04.860 --> 00:04:06.940]   And to give you an idea of what I'm up to,
[00:04:06.940 --> 00:04:10.180]   it's right now 10:05 AM on November 10,
[00:04:10.180 --> 00:04:13.140]   and I'm sitting in my car a block away from the hospital
[00:04:13.140 --> 00:04:15.940]   because I just dropped off my wife and daughter
[00:04:15.940 --> 00:04:18.700]   for a nose and ear and throat checkup.
[00:04:18.700 --> 00:04:20.620]   So the first important thing to know
[00:04:20.620 --> 00:04:23.300]   is that skin in the game matters.
