
[00:00:00.000 --> 00:00:07.200]   Last week Jerry Seinfeld as part of the promotional tour for his new Netflix movie frosted
[00:00:07.200 --> 00:00:14.340]   Did an interview on the honestly podcast with Barry Weiss now. They covered a lot of territory, but there was a
[00:00:14.340 --> 00:00:19.400]   remarkable 10-minute run that occurred roughly between the
[00:00:19.400 --> 00:00:24.580]   16 and a half minute mark in the 25 minute mark where Seinfeld peeled off
[00:00:25.360 --> 00:00:31.200]   Multiple deep ideas that are very relevant to the types of things we talked about here on this podcast and in particular
[00:00:31.200 --> 00:00:36.700]   How to cultivate a deep focused life in a distracted world
[00:00:36.700 --> 00:00:44.000]   So what I did here is I grabbed four of the most interesting quotes from Jerry during this period
[00:00:44.000 --> 00:00:48.040]   I will read each of these quotes and then I will respond to them
[00:00:48.040 --> 00:00:53.440]   Helping to identify the wisdom in the quote and offering a few thoughts of my own. So we have our own sort of
[00:00:54.320 --> 00:00:58.560]   Seinfeld Ian Talmud session that we're doing today. I'm excited about this
[00:00:58.560 --> 00:01:02.440]   Now let's start with the first lesson. Here's the setup
[00:01:02.440 --> 00:01:08.440]   Barry asked Jerry if it's true that he still writes
[00:01:08.440 --> 00:01:13.520]   With a legal pad and a ballpoint pen. This is something about a decade ago that Jerry Seinfeld
[00:01:13.520 --> 00:01:19.560]   Noted in a New York Times interview and Barry is saying is that still true? All right. Here's Jerry's exact quote
[00:01:19.560 --> 00:01:21.960]   It's nice
[00:01:21.960 --> 00:01:27.080]   When you write comedy and excuse this pretentious analogy, but it's a lot like poetry
[00:01:27.080 --> 00:01:31.080]   You don't do a lot of writing. It's 90% thinking
[00:01:31.080 --> 00:01:37.800]   10% actual writing but the feeling of a ballpoint pen on a thick yellow pad is very pleasant
[00:01:37.800 --> 00:01:40.760]   It's like a warm bath to me
[00:01:40.760 --> 00:01:48.720]   All right. I think there's a really important point lurking in here beyond just a specific tool that Jerry uses. It's his indifference
[00:01:49.720 --> 00:01:53.120]   To the details of the efficiency of his tools
[00:01:53.120 --> 00:01:58.640]   That we should really care about because it gets to the difference between two different notions of productivity on
[00:01:58.640 --> 00:02:04.600]   The one hand we have what a lot of us are familiar with it's what I call process productivity on the other hand
[00:02:04.600 --> 00:02:08.720]   You have what Jerry Seinfeld cares about which is what we can call creative productivity
[00:02:08.720 --> 00:02:14.320]   now process productivity is where you have a sequence of defined steps and you want those steps to occur as
[00:02:14.320 --> 00:02:16.840]   quickly and low cost as possible
[00:02:17.480 --> 00:02:24.800]   if I have a assembly line that makes pop-tarts see I'm doing a pop-tarts reference here because of Jerry's new movie if I have
[00:02:24.800 --> 00:02:30.120]   An assembly line that makes pop-tarts. I want that line to go as quick as possible and as low cost as possible. So in
[00:02:30.120 --> 00:02:32.840]   process productivity
[00:02:32.840 --> 00:02:35.640]   You care a lot about the tools
[00:02:35.640 --> 00:02:40.920]   How exactly does this machine put icing on the pop-tarts if there's a faster way to do it, that's better
[00:02:40.920 --> 00:02:43.600]   How exactly do we put the little icing?
[00:02:44.680 --> 00:02:50.240]   Twist on top of the main frosting. Hey, if we have a tool that does that faster or cheaper, that's better, right?
[00:02:50.240 --> 00:02:52.920]   That's often how we think when we're confronting
[00:02:52.920 --> 00:02:59.040]   Productivity tools for us as individual knowledge workers. We think like well, what's this going to make faster?
[00:02:59.040 --> 00:03:04.520]   Is this going to connect my thoughts to other thoughts? Is it going to seamlessly?
[00:03:04.520 --> 00:03:08.500]   Let me move between formats. Will it auto fill in or correct my typing?
[00:03:08.500 --> 00:03:12.840]   Can it even help me think on my behalf by showing me connections between thoughts?
[00:03:12.840 --> 00:03:18.960]   We want the tools to be faster and more featured as a way to get more productivity. That's process productivity
[00:03:18.960 --> 00:03:26.120]   Jerry cares about creative productivity, which is how do I produce the best stuff over time when it comes to creative productivity?
[00:03:26.120 --> 00:03:28.120]   The tools don't matter much
[00:03:28.120 --> 00:03:35.780]   How fast I write how many features I have in my writing software makes a negligible difference in
[00:03:35.780 --> 00:03:40.600]   The ultimate quality and quantity of what I write think about writing in particular
[00:03:40.600 --> 00:03:43.360]   This is something we've been doing professionally for a long time
[00:03:43.360 --> 00:03:50.160]   We've had big publishing houses in the American context since you know, the Revolutionary Period right? This is something we've done for a long time
[00:03:50.160 --> 00:03:52.840]   the tools by which
