
[00:00:00.000 --> 00:00:03.160]   (audience applauding)
[00:00:03.160 --> 00:00:07.240]   - Welcome everyone, thanks for being here.
[00:00:07.240 --> 00:00:08.920]   My name is Gauri.
[00:00:08.920 --> 00:00:11.160]   I'm on the board of the Bogle Center
[00:00:11.160 --> 00:00:13.120]   for Financial Literacy.
[00:00:13.120 --> 00:00:14.740]   We're happy to have you here.
[00:00:14.740 --> 00:00:17.720]   We are thrilled to have Dr. Jordan Grumet
[00:00:17.720 --> 00:00:21.040]   speak about finding purpose, balance, and meaning
[00:00:21.040 --> 00:00:23.360]   during the accumulation years.
[00:00:23.360 --> 00:00:25.800]   Jordan's bio is ubiquitously available,
[00:00:25.800 --> 00:00:27.960]   so I'll touch on a few key points.
[00:00:27.960 --> 00:00:30.120]   He's a hospice physician,
[00:00:30.120 --> 00:00:33.440]   so he has unique insights into what people regret
[00:00:33.440 --> 00:00:34.600]   and don't regret.
[00:00:34.600 --> 00:00:37.960]   He's authored over 1,000 blog posts,
[00:00:37.960 --> 00:00:40.440]   and he's the author of this book,
[00:00:40.440 --> 00:00:43.280]   "Taking Stock, A Hospice Doctor's Advice
[00:00:43.280 --> 00:00:45.880]   "on Financial Independence, Building Wealth,
[00:00:45.880 --> 00:00:49.440]   "and Living a Regret-Free Life."
[00:00:49.440 --> 00:00:51.200]   And he has another book on the way.
[00:00:53.960 --> 00:00:58.320]   In a way, Jordan has been a physician since age seven,
[00:00:58.320 --> 00:01:00.000]   and he'll touch on that later.
[00:01:00.000 --> 00:01:01.440]   Some quick housekeeping.
[00:01:01.440 --> 00:01:04.640]   Folks on chairs and at your tables
[00:01:04.640 --> 00:01:07.900]   have notepaper and pens.
[00:01:07.900 --> 00:01:10.120]   I'll be walking around collecting questions
[00:01:10.120 --> 00:01:12.640]   that when Jordan's done with his primary talk,
[00:01:12.640 --> 00:01:14.860]   I'll collect the questions and ask them of Jordan.
[00:01:14.860 --> 00:01:18.400]   So just raise your hand, and I'll walk over to you.
[00:01:18.400 --> 00:01:21.040]   With that, I'll turn it over to Jordan.
[00:01:21.040 --> 00:01:23.440]   - Thank you, Gauri, for your kind introduction.
[00:01:24.400 --> 00:01:29.400]   Chris was on the cusp of his 12th birthday
[00:01:29.400 --> 00:01:34.560]   when he arguably made one of the two biggest decisions
[00:01:34.560 --> 00:01:36.040]   of his young life.
[00:01:36.040 --> 00:01:40.920]   He decided to run away from his foster home.
[00:01:40.920 --> 00:01:44.080]   You see, Chris's parents died when he was four years old
[00:01:44.080 --> 00:01:47.200]   when they were in an unfortunate car accident,
[00:01:47.200 --> 00:01:49.520]   and he had bounced from foster home to foster home,
[00:01:49.520 --> 00:01:51.960]   but this last one wasn't good, it was abusive.
[00:01:52.880 --> 00:01:57.500]   So he made this huge decision, and he ran away from home.
[00:01:57.500 --> 00:02:02.760]   Now, over the next year, he did whatever he could
[00:02:02.760 --> 00:02:07.760]   to find a place to stay, shelter, and to find food.
[00:02:07.760 --> 00:02:13.880]   He lied, he cheated, he stole.
[00:02:13.880 --> 00:02:15.520]   He probably did a few other things
[00:02:15.520 --> 00:02:18.400]   that we're not gonna talk about here,
[00:02:18.400 --> 00:02:22.520]   but it was on the cusp of his 13th birthday,
[00:02:22.520 --> 00:02:27.440]   one year later, that he made even a bigger decision,
[00:02:27.440 --> 00:02:30.400]   and that was not to commit suicide.
[00:02:30.400 --> 00:02:32.480]   Because by that time,
[00:02:32.480 --> 00:02:36.360]   he realized he couldn't go on like that anymore,
[00:02:36.360 --> 00:02:39.360]   and it was either take his own life, or...
[00:02:39.360 --> 00:02:45.960]   Or...
[00:02:45.960 --> 00:02:48.920]   The truth is, he didn't have many options,
[00:02:48.920 --> 00:02:53.320]   but one morning, he woke up on a park bench,
[00:02:53.320 --> 00:02:55.480]   and another kid was lying next to him,
[00:02:55.480 --> 00:02:59.520]   and that kid said, "Hey, there's this guy,
[00:02:59.520 --> 00:03:03.160]   "his name is Rabbi Simon, and he has a synagogue
[00:03:03.160 --> 00:03:06.880]   "five miles from here in neighboring Waukegan, Illinois,
[00:03:06.880 --> 00:03:10.800]   "and if you go there, he will give you support,
[00:03:10.800 --> 00:03:13.940]   "give you food, get you some help."
[00:03:15.080 --> 00:03:18.360]   So that morning, Chris walked in his shoes,
[00:03:18.360 --> 00:03:22.080]   full of holes, the five miles,
[00:03:22.080 --> 00:03:26.400]   and found himself sitting in the pews of the synagogue,
[00:03:26.400 --> 00:03:29.840]   waiting for Rabbi Simon to come out of his study.
[00:03:29.840 --> 00:03:33.960]   And little did he know that Rabbi Simon
[00:03:33.960 --> 00:03:38.120]   was gonna come out of his study, and save his life.
[00:03:38.120 --> 00:03:39.960]   And you know how I know that?
[00:03:39.960 --> 00:03:44.960]   Because six months earlier, I saved Rabbi Simon's life,
[00:03:45.040 --> 00:03:48.960]   and 60 years before that,
[00:03:48.960 --> 00:03:52.840]   a gentleman who none of us ever had met,
[00:03:52.840 --> 00:03:57.840]   saved all our lives, and he did so without knowing it,
[00:03:57.840 --> 00:04:02.640]   by pursuing his unique sense of purpose.
[00:04:02.640 --> 00:04:07.000]   My goal for all of you here today,
[00:04:07.000 --> 00:04:12.000]   is to do the same thing, and help you do the same thing.
[00:04:14.160 --> 00:04:16.280]   So how did I get here?
[00:04:16.280 --> 00:04:19.920]   At the age of seven, my father, a physician,
[00:04:19.920 --> 00:04:23.560]   a prominent oncologist, was rounding at the hospital,
[00:04:23.560 --> 00:04:27.160]   got a severe headache, collapsed, and died.
[00:04:27.160 --> 00:04:28.360]   He had a brain aneurysm.
