
[00:00:00.040 --> 00:00:20.580]   All right. Thank you, everyone. We're excited to be here. And thank you for coming to our talk.
[00:00:20.580 --> 00:00:25.500]   My name is Chong. I'm the CEO and co-founder of LandCB. I've been making data tools for machine
[00:00:25.500 --> 00:00:29.120]   learning and data science for about 20 years. I was one of the co-authors of the Pandas library,
[00:00:29.120 --> 00:00:34.160]   and I'm working on LandCB today for all of that data that doesn't fit neatly into those
[00:00:34.160 --> 00:00:40.960]   Pandas data frames. I'm Calvin. I lead one of the teams at HardVAI, working on RAG. Tough RAG
[00:00:40.960 --> 00:00:48.240]   problems across massive data sets of complex legal docs and complex use cases. So yeah, our talk is
[00:00:48.240 --> 00:00:58.240]   about, oh, one sec. Maybe we should have used the other clicker. Yeah, yeah. All right. That's okay. We'll use the laptop. So we're going to talk
[00:00:58.240 --> 00:01:03.280]   about some of the tough RAG problems in the legal frontier, sort of challenges, some solutions
[00:01:03.280 --> 00:01:07.440]   and learnings from our experiences working together on it. So we'll start roughly with like sort of how
[00:01:07.440 --> 00:01:11.520]   Harvey tackles retrieval, the types of problems there are, and then the challenges that come up with that,
[00:01:11.520 --> 00:01:16.960]   all with like retrieval quality, scaling, security, all that good stuff, and then how we end up sort
[00:01:16.960 --> 00:01:19.680]   of creating a system with good infrastructure to support that.
[00:01:19.680 --> 00:01:29.600]   So first of all, a quick intro to what Harvey is. We're a legal AI assistant. So we sell our sort of AI
[00:01:29.600 --> 00:01:34.800]   product to a bunch of law firms to help them do all kinds of legal tasks like draft, analyze documents,
[00:01:36.080 --> 00:01:41.760]   sort of go through legal workflows. And a big part of that is processing data. So we handle data of all
[00:01:41.760 --> 00:01:46.480]   different sort of volumes and forms. The sort of different scales of that are, we have an assistant
[00:01:46.480 --> 00:01:51.120]   product that's like on demand uploads, same way you might like on demand upload to any AI assistant tool.
[00:01:51.120 --> 00:01:57.840]   So that's like a smaller one to 50 range. We have these vaults, which are sort of larger scale project
[00:01:57.840 --> 00:02:02.160]   contacts. So if there's like a big deal going on that the law firm's working on, or like a data room,
[00:02:02.160 --> 00:02:05.920]   where they need sort of all their contracts, all their, you know, litigation documents and emails in
[00:02:05.920 --> 00:02:10.720]   one place, that's a vault. And then the third is the largest scale, which is data corpuses,
[00:02:10.720 --> 00:02:15.040]   which are like knowledge bases around the world. So like legislation, case laws of a particular country,
[00:02:15.040 --> 00:02:18.880]   all the sort of laws, taxes, regulations that go into it.
[00:02:18.880 --> 00:02:29.280]   So yeah, some big challenges that come up, come with that. One is scale, just very large amounts of data.
[00:02:29.280 --> 00:02:33.680]   Some of these documents are like super long and dense and packed with content.
[00:02:33.680 --> 00:02:38.640]   Sparse versus dense, I'm sure it's like a sort of retrieval challenge that all of you deal with,
[00:02:38.640 --> 00:02:44.640]   of how to represent the data, how to retrieve over and index it. Query complexity is a big one. We got
[00:02:44.640 --> 00:02:48.640]   very sort of difficult expert queries. And I'll show an example of that in the next slide.
[00:02:48.640 --> 00:02:56.240]   The data is very domain specific and complex. There's sort of a lot of nitty gritty legal details
[00:02:56.240 --> 00:03:00.160]   that go into it. So we have to like work with domain experts and lawyers to understand it and try
[00:03:00.160 --> 00:03:05.600]   to like translate that into how we represent the data, how we, you know, index, query, pre-process over
[00:03:05.600 --> 00:03:11.760]   it. Data security and privacy is a big one. A lot of this data is sensitive for like confidential deals
[00:03:11.760 --> 00:03:16.160]   or confidential, I don't know, IPOs, financial filing, stuff like that. So we have to respect all
[00:03:16.160 --> 00:03:20.560]   that for our clients. And then of course, evaluation of how to make sure systems are actually good.
[00:03:22.560 --> 00:03:26.720]   So yeah, I'll show a quick demonstration of a retrieval quality challenge. So this is just
[00:03:26.720 --> 00:03:31.280]   on the query side of like, this is maybe the average complexity of a query someone might issue in our
[00:03:31.280 --> 00:03:35.680]   product. They're much more complex and maybe simpler ones, but this is right in the middle. And you can
[00:03:35.680 --> 00:03:40.960]   see that like, there's a lot of different components that go into this. There's sort of a semantic, well,
[00:03:40.960 --> 00:03:44.480]   to read it out, it's like, what is the applicable regime to covered bonds issued before
[00:03:45.200 --> 00:03:52.320]   9 July 2022 under the directive EU 2019-2062 and article 129 of the CRR. So, you know, that's a
[00:03:52.320 --> 00:03:58.240]   handful. What goes into it is like, there's a semantic aspect. There's sort of implicit filtering going on
[00:03:58.240 --> 00:04:03.040]   of like, you know, we want applicability before a certain date. There's a specialized data set being
[00:04:03.040 --> 00:04:09.200]   referenced, which is EU laws and directives. There's kind of keyword matches of like the specific, you know,
[00:04:09.200 --> 00:04:14.880]   regulation directive ID. It is multi-part in that it's sort of asking how this applies to two different
[00:04:14.880 --> 00:04:19.760]   regulations, like one directive, one article. And there's like domain jargon here, or this is like
[00:04:19.760 --> 00:04:24.560]   an abbreviation. I forget what it was, capital regulations something. I looked it up this morning.
[00:04:24.560 --> 00:04:32.160]   But yeah, it's very complex. And we sort of need a system that can tackle all this complexity and sort of
[00:04:32.160 --> 00:04:36.960]   break down this query and use all the appropriate technologies for the different parts of it.
[00:04:36.960 --> 00:04:44.960]   And yeah, so one common question we get sort of in response to this complexity is, how do you
[00:04:44.960 --> 00:04:49.200]   evaluate your systems? How do you make sure they're good? And that's actually where we spend a ton of
[00:04:49.200 --> 00:04:54.240]   time. It's, you know, not as much on the algorithms and the fancy egetic techniques, but more like how to
[00:04:54.240 --> 00:05:01.120]   validate them. And I'd say like investing in eval driven development is a huge, huge key to building
[00:05:01.120 --> 00:05:05.200]   these systems and making sure they're good, especially when it's a tough domain that like you don't
[00:05:05.200 --> 00:05:10.640]   inherently know much about as maybe an engineer or researcher. So I say there's no silver bullet eval,
[00:05:10.640 --> 00:05:15.360]   but we have like a whole range of them of like different task depths and complexities. So in sort
[00:05:15.360 --> 00:05:20.320]   of one dimension, you have it being sort of higher fidelity, the more costly. And then the other
[00:05:20.320 --> 00:05:26.160]   direction, it's like more automated evals that are faster to iterate on. So as an example, like the
[00:05:26.160 --> 00:05:32.640]   sort of high fidelity would be like expert reviews of just having them directly review outputs and analyze
[00:05:32.640 --> 00:05:37.520]   them and write reports. So that's like super expensive, but super high quality. And then
[00:05:37.520 --> 00:05:42.960]   maybe something between is like an expert labeled like set of criteria that you can maybe evaluate
[00:05:42.960 --> 00:05:46.960]   synthetically or evaluate in some automated way. So it's still expensive to curate, maybe a little
[00:05:46.960 --> 00:05:52.960]   expensive to run, but more, more tractable. And then the third is sort of the fastest iteration,
[00:05:52.960 --> 00:05:58.560]   which is sort of more automated quantitative metrics like just, you know, retrieval precision recall,
[00:05:58.560 --> 00:06:03.360]   sort of different, more deterministic success criteria of like, am I pulling documents from
[00:06:03.360 --> 00:06:07.200]   the right folder? Is it the right section? Do they have the right keywords in them? Things like that.
[00:06:07.200 --> 00:06:16.160]   And yeah, give you a quick sense also of sort of the scale and complexity on the data side,
[00:06:16.160 --> 00:06:22.560]   not only on the query side. So the data sets we integrate with are pretty massive. As you can see,
[00:06:22.560 --> 00:06:27.040]   we support like, you know, data sets across all different kinds of countries. And for each one,
[00:06:27.040 --> 00:06:31.040]   there's sort of complex filtering and organization and categorization that goes into it.
[00:06:31.040 --> 00:06:37.200]   So we sort of work with domain experts for all of this, but also try to apply automation whenever
[00:06:37.200 --> 00:06:42.160]   possible, like use their guidance to maybe come up with heuristics or LLM processing techniques
[00:06:42.720 --> 00:06:49.600]   to be able to categorize all of this. And I'd say that the performance implications are pretty significant
[00:06:49.600 --> 00:06:56.320]   as well. We need very good performance both online and offline. Online being like querying over this,
[00:06:56.320 --> 00:07:01.040]   you want good latency, and then offline being like ingestion, re-ingestion, running ML experiments for
[00:07:01.040 --> 00:07:06.800]   different variations and such. And I'd say generally one of these corpuses can be like, yeah, tens of millions
[00:07:06.800 --> 00:07:11.760]   of docks. So yeah, pretty large scale. And each document is often quite large.
[00:07:11.760 --> 00:07:22.400]   So I can talk quickly about kind of infrastructure needs to support this. So at this scale, of course,
[00:07:22.400 --> 00:07:29.360]   we, you know, we want infrastructure to be reliable, available for all our users at all times. I'm sure
[00:07:29.360 --> 00:07:35.920]   that's something that, you know, all products need. We also want smooth sort of onboarding and scaling,
[00:07:35.920 --> 00:07:41.440]   where, you know, we definitely want our ML and data teams to be able to focus more on the sort of
[00:07:41.440 --> 00:07:46.960]   the business logic and the quality and spinning up new applications and products for customers and,
[00:07:46.960 --> 00:07:52.000]   you know, not too much about like the nitty-gritty details of the database or tuning that or manually
[00:07:52.000 --> 00:07:55.840]   scaling. And of course, there's always some in between where you you want to have awareness of it.
[00:07:55.840 --> 00:08:02.720]   It can't be like fully 1000% automated. Likewise, we need sort of flexibility and capabilities around
[00:08:02.720 --> 00:08:10.400]   data privacy and data retention. Like I mentioned, with some storage needing to be like segregated
[00:08:10.400 --> 00:08:15.600]   depending on the customer, depending on the use case, sort of retention policies on some docs that
[00:08:15.600 --> 00:08:20.880]   we might only be allowed to store for certain amounts of time for legal reasons. We want good sort of
[00:08:20.880 --> 00:08:28.320]   telemetry and usage around the database. And then, of course, any sort of vector or or keyword or any
[00:08:28.320 --> 00:08:34.000]   filtering database we need, we want to support good performance, query flexibility, scale, especially
[00:08:34.000 --> 00:08:38.480]   for all the different kinds of query patterns I mentioned before, where it's like, you need exact
[00:08:38.480 --> 00:08:44.880]   matches, you want semantic matches, you want filters, you might want sort of to sort of navigate it, maybe,
[00:08:44.880 --> 00:08:52.240]   yeah, agentically or like in some dynamic way. So yeah, all that flexibility is important to us at scale.
[00:08:52.240 --> 00:08:59.600]   And that's where LanceTV comes in. Cool. Thank you. Awesome. So
[00:08:59.600 --> 00:09:02.240]   sorry.
[00:09:05.920 --> 00:09:15.760]   Okay. I'm going to try to hold this here, maybe. So there's no echo. Okay. Yeah. So as I was saying,
[00:09:15.760 --> 00:09:26.720]   and so, you know, I work at LanceTV. And what we are delivering for AI is beyond what I call just a vector
[00:09:26.720 --> 00:09:33.280]   database, but what we call an AI native multimodal lake house. And so if you think about back to maybe
[00:09:33.280 --> 00:09:41.040]   Jerry's talk, right, in addition to search, you also need a good foundation, a good platform for you to do
[00:09:41.040 --> 00:09:47.440]   all of the other tasks that you need to do with your AI data. So this can be feature extraction,
[00:09:47.440 --> 00:09:55.040]   generating summaries, generating text descriptions from images, managing all that data. And you want
[00:09:55.040 --> 00:10:00.000]   to be able to do that all together. So what you really need is sort of this lake house architecture,
[00:10:00.000 --> 00:10:08.160]   where all the data can be stored in one place on object store. You can run search and retrieval
[00:10:08.160 --> 00:10:13.120]   workloads. You can run analytical workloads. You can train off of that data. And of course,
[00:10:13.120 --> 00:10:18.640]   you can pre-process that data to iterate on new features that you can experiment for your applications
[00:10:18.640 --> 00:10:28.400]   and models. Specifically, too, in addition to these large batch offline use cases,
[00:10:28.400 --> 00:10:34.720]   you know, lake house architectures generally are good for that, but not necessarily for online serving.
[00:10:34.720 --> 00:10:43.440]   And this is where LanceTV distributed architecture comes in. And it's actually good for both offline and
[00:10:43.440 --> 00:10:50.000]   online context so that we can serve at massive scale from cloud object store. We can deliver
[00:10:50.000 --> 00:10:58.000]   compute memory and storage separation. And we give you a simple API for sophisticated retrieval, whether
[00:10:58.000 --> 00:11:06.400]   you want to combine multiple vector columns, vector and full text search, and then do re-ranking on top of
