
[00:00:00.000 --> 00:00:03.000]   Thank you.
[00:00:03.000 --> 00:00:08.040]   Welcome to the last lesson, lesson 14.
[00:00:08.040 --> 00:00:13.080]   We're going to be looking at image segmentation today, amongst other things, but before we
[00:00:13.080 --> 00:00:20.040]   do, a bit of show and tell from last week.
[00:00:20.040 --> 00:00:24.160]   Elena Harley did something really interesting, which was she tried finding out what would
[00:00:24.160 --> 00:00:28.780]   happen if you did CycleGAN on just 300 or 400 images.
[00:00:28.780 --> 00:00:33.360]   I really like these projects where people just go to Google image search using the API
[00:00:33.360 --> 00:00:35.400]   or one of the libraries out there.
[00:00:35.400 --> 00:00:38.720]   Some of our students have created some very good libraries for interacting with Google
[00:00:38.720 --> 00:00:44.360]   images API, download a bunch of stuff they're interested in, in this case some photos and
[00:00:44.360 --> 00:00:51.320]   some stained glass windows, and with 300 or 400 photos of that she trained a model.
[00:00:51.320 --> 00:00:54.840]   She trained actually a few different models, this is what I particularly liked, and as
[00:00:54.840 --> 00:00:59.760]   you can see, with quite a small number of images she gets some very nice stained glass
[00:00:59.760 --> 00:01:00.760]   effects.
[00:01:00.760 --> 00:01:06.440]   So I thought that was an interesting example of using pretty small amounts of data that
[00:01:06.440 --> 00:01:10.960]   was readily available, which she was able to download pretty quickly, and there's more
[00:01:10.960 --> 00:01:17.160]   information about that on the forum if you're interested.
[00:01:17.160 --> 00:01:20.280]   It's interesting to wonder about what kinds of things people will come up with with this
[00:01:20.280 --> 00:01:28.120]   kind of generative model, it's clearly a great artistic medium, it's clearly a great medium
[00:01:28.120 --> 00:01:35.240]   for forgeries and fakeries, I wonder what other kinds of things people will realize
[00:01:35.240 --> 00:01:38.080]   they can do with these kind of generative models.
[00:01:38.080 --> 00:01:45.240]   I think audio is going to be the next big area, and also very interactive type stuff.
[00:01:45.240 --> 00:01:54.940]   Nvidia just released a paper showing an interactive photo repair tool where you just brush over
[00:01:54.940 --> 00:02:01.400]   an object and it replaces it with a deep learning generated replacement very nicely.
[00:02:01.400 --> 00:02:07.000]   Those kinds of interactive tools I think will be very interesting too.
[00:02:07.000 --> 00:02:12.240]   So before we talk about segmentation, we've got some stuff to finish up from last time
[00:02:12.240 --> 00:02:22.760]   which is that we looked at doing style transfer by actually directly optimizing pixels.
[00:02:22.760 --> 00:02:30.680]   Like with most of the things in Part 2, it's not so much that I'm wanting you to understand
[00:02:30.680 --> 00:02:37.240]   style transfer per se, but the kind of idea of optimizing your input directly and using
[00:02:37.240 --> 00:02:46.920]   activations as part of a loss function is really the key kind of takeaway here.
[00:02:46.920 --> 00:02:52.680]   So it's interesting then to kind of see what is effectively the follow-up paper, not from
[00:02:52.680 --> 00:02:57.240]   the same people, but the paper that kind of came next in the sequence of these kind of
[00:02:57.240 --> 00:03:05.240]   vision generative models with this one from Justin Johnson and folks at Stanford.
[00:03:05.240 --> 00:03:11.200]   And it actually does the same thing, style transfer, but it does it in a different way.
[00:03:11.200 --> 00:03:16.480]   Rather than optimizing the pixels, we're going to go back to something much more familiar
[00:03:16.480 --> 00:03:18.760]   and optimize some weights.
[00:03:18.760 --> 00:03:25.020]   And so specifically we're going to train a model which learns to take a photo and translate
[00:03:25.020 --> 00:03:30.360]   it into a photo in the style of a particular artwork.
[00:03:30.360 --> 00:03:39.260]   So each ConvNet will learn to produce one kind of style.
[00:03:39.260 --> 00:03:45.040]   Now it turns out that getting to that point, there's an intermediate point which is I actually
[00:03:45.040 --> 00:03:52.480]   think kind of more useful and takes us halfway there, which is something called super-resolution.
[00:03:52.480 --> 00:03:57.240]   So we're actually going to start with super-resolution because then we'll build on top of super-resolution
[00:03:57.240 --> 00:04:02.560]   to finish off the style transfer, ConvNet based style transfer.
[00:04:02.560 --> 00:04:09.200]   And so super-resolution is where we take a low-res image, we're going to take 72x72 and
[00:04:09.200 --> 00:04:18.160]   upscale it to a larger image, 288x288 in our case, trying to create a higher-res image
[00:04:18.160 --> 00:04:24.360]   that looks as real as possible.
[00:04:24.360 --> 00:04:28.640]   And so this is a pretty challenging thing to do because at 72x72 there's not that much
[00:04:28.640 --> 00:04:31.000]   information about a lot of the details.
[00:04:31.000 --> 00:04:35.680]   And the cool thing is that we're going to do it in a way as we tend to do with vision
[00:04:35.680 --> 00:04:39.160]   models which is not tied to the input size.
[00:04:39.160 --> 00:04:45.160]   So you could totally then take this model and apply it to a 288x288 image and get something
[00:04:45.160 --> 00:04:51.840]   that's 4 times bigger on each side, so 16 times bigger than that.
[00:04:51.840 --> 00:04:57.440]   But often it even works better at that level because you're really introducing a lot of
[00:04:57.440 --> 00:05:02.080]   detail into the finer details and you could really print out a high-resolution print of
[00:05:02.080 --> 00:05:07.560]   something which earlier on was pretty pixelated.
[00:05:07.560 --> 00:05:12.520]   So this is the notebook called Enhance.
[00:05:12.520 --> 00:05:18.600]   And it is a lot like that kind of CSI style enhancement where we're going to take something
[00:05:18.600 --> 00:05:25.760]   that appears like the information is just not there and we kind of invent it, but the
[00:05:25.760 --> 00:05:29.320]   ConvNet is going to learn to invent it in a way that's consistent with the information
[00:05:29.320 --> 00:05:33.920]   that is there, so hopefully it's kind of inventing the right information.
[00:05:33.920 --> 00:05:40.440]   One of the really nice things about this kind of problem is that we can create our own dataset
[00:05:40.440 --> 00:05:47.240]   as big as we like without any labeling requirements because we can easily create a low-res image
[00:05:47.240 --> 00:05:51.200]   from a high-res image just by downsampling our images.
[00:05:51.200 --> 00:05:57.760]   So something I would love some of you to try during the week would be to do other types
[00:05:57.760 --> 00:06:04.920]   of image-to-image translation where you can invent kind of labels, invent your dependent
[00:06:04.920 --> 00:06:05.920]   variable.
